"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","171.85","170.43","172.14","168.44","41.53M","1.40"
"Nov 29, 2017","169.48","172.63","172.92","167.16","41.67M","-2.07"
"Nov 28, 2017","173.07","174.30","174.87","171.86","26.43M","-0.59"
"Nov 27, 2017","174.09","175.05","175.08","173.34","20.72M","-0.50"
"Nov 24, 2017","174.97","175.10","175.50","174.65","14.03M","0.01"
"Nov 22, 2017","174.96","173.36","175.00","173.05","25.59M","1.05"
"Nov 21, 2017","173.14","170.78","173.70","170.78","25.13M","1.86"
"Nov 20, 2017","169.98","170.29","170.56","169.56","16.26M","-0.10"
"Nov 17, 2017","170.15","171.04","171.39","169.64","21.90M","-0.56"
"Nov 16, 2017","171.10","171.18","171.87","170.30","23.64M","1.19"
"Nov 15, 2017","169.08","169.97","170.32","168.38","29.16M","-1.32"
"Nov 14, 2017","171.34","173.04","173.48","171.18","24.78M","-1.51"
"Nov 13, 2017","173.97","173.50","174.50","173.40","16.98M","-0.40"
"Nov 10, 2017","174.67","175.11","175.38","174.27","25.15M","-0.69"
"Nov 09, 2017","175.88","175.11","176.09","173.14","29.48M","-0.20"
"Nov 08, 2017","176.24","174.66","176.24","174.33","24.41M","0.82"
"Nov 07, 2017","174.81","173.91","175.25","173.60","24.36M","0.32"
"Nov 06, 2017","174.25","172.37","174.99","171.72","35.03M","1.01"
"Nov 03, 2017","172.50","174.00","174.26","171.12","59.40M","2.61"
"Nov 02, 2017","168.11","167.64","168.50","165.28","41.39M","0.73"
"Nov 01, 2017","166.89","169.87","169.94","165.61","33.64M","-1.27"
"Oct 31, 2017","169.04","167.90","169.65","166.94","36.05M","1.39"
"Oct 30, 2017","166.72","163.89","168.07","163.72","44.70M","2.25"
"Oct 27, 2017","163.05","159.29","163.60","158.70","44.45M","3.58"
"Oct 26, 2017","157.41","157.23","157.83","156.78","17.00M","0.64"
"Oct 25, 2017","156.41","156.91","157.55","155.27","21.21M","-0.44"
"Oct 24, 2017","157.10","156.29","157.42","156.20","17.76M","0.60"
"Oct 23, 2017","156.17","156.89","157.69","155.50","21.98M","-0.05"
"Oct 20, 2017","156.25","156.61","157.75","155.96","23.97M","0.17"
"Oct 19, 2017","155.98","156.75","157.08","155.02","42.58M","-2.37"
"Oct 18, 2017","159.76","160.42","160.71","159.60","16.37M","-0.44"
"Oct 17, 2017","160.47","159.78","160.87","159.23","19.00M","0.37"
"Oct 16, 2017","159.88","157.90","160.00","157.65","24.12M","1.84"
"Oct 13, 2017","156.99","156.73","157.28","156.41","16.39M","0.63"
"Oct 12, 2017","156.00","156.35","157.37","155.73","16.13M","-0.35"
"Oct 11, 2017","156.55","155.97","156.98","155.75","16.91M","0.42"
"Oct 10, 2017","155.90","156.06","158.00","155.10","15.62M","0.04"
"Oct 09, 2017","155.84","155.81","156.73","155.49","16.26M","0.35"
"Oct 06, 2017","155.30","154.97","155.49","154.56","17.41M","-0.06"
"Oct 05, 2017","155.39","154.18","155.44","154.05","21.28M","1.24"
"Oct 04, 2017","153.48","153.63","153.86","152.46","20.16M","-0.65"
"Oct 03, 2017","154.48","154.01","155.09","153.91","16.23M","0.44"
"Oct 02, 2017","153.81","154.26","154.45","152.72","18.70M","-0.20"
"Sep 29, 2017","154.12","153.21","154.13","152.00","26.30M","0.55"
"Sep 28, 2017","153.28","153.89","154.28","152.70","22.01M","-0.62"
"Sep 27, 2017","154.23","153.80","154.72","153.54","25.50M","0.71"
"Sep 26, 2017","153.14","151.78","153.92","151.69","36.66M","1.72"
"Sep 25, 2017","150.55","149.99","151.83","149.16","44.39M","-0.88"
"Sep 22, 2017","151.89","152.02","152.27","150.56","46.65M","-0.98"
"Sep 21, 2017","153.39","155.80","155.80","152.75","37.51M","-1.72"
"Sep 20, 2017","156.07","157.90","158.26","153.83","52.95M","-1.68"
"Sep 19, 2017","158.73","159.51","159.77","158.44","20.81M","0.04"
"Sep 18, 2017","158.67","160.11","160.50","158.00","28.27M","-0.76"
"Sep 15, 2017","159.88","158.47","160.97","158.00","49.11M","1.01"
"Sep 14, 2017","158.28","158.99","159.40","158.09","23.76M","-0.86"
"Sep 13, 2017","159.65","159.87","159.96","157.91","44.91M","-0.75"
"Sep 12, 2017","160.86","162.61","163.96","158.77","71.71M","-0.40"
"Sep 11, 2017","161.50","160.50","162.05","159.89","31.58M","1.81"
"Sep 08, 2017","158.63","160.86","161.15","158.53","28.61M","-1.63"
"Sep 07, 2017","161.26","162.09","162.24","160.36","21.93M","-0.40"
"Sep 06, 2017","161.91","162.71","162.99","160.52","21.65M","-0.10"
"Sep 05, 2017","162.08","163.75","164.25","160.56","29.54M","-1.20"
"Sep 01, 2017","164.05","164.80","164.94","163.63","16.59M","0.03"
"Aug 31, 2017","164.00","163.64","164.52","163.48","26.79M","0.40"
"Aug 30, 2017","163.35","163.80","163.89","162.61","27.27M","0.27"
"Aug 29, 2017","162.91","160.10","163.12","160.00","29.52M","0.89"
"Aug 28, 2017","161.47","160.14","162.00","159.93","25.97M","1.01"
"Aug 25, 2017","159.86","159.65","160.56","159.27","25.48M","0.37"
"Aug 24, 2017","159.27","160.43","160.74","158.55","19.82M","-0.44"
"Aug 23, 2017","159.98","159.07","160.47","158.88","19.40M","0.13"
"Aug 22, 2017","159.78","158.23","160.00","158.02","21.60M","1.63"
"Aug 21, 2017","157.21","157.50","157.89","155.11","26.37M","-0.18"
"Aug 18, 2017","157.50","157.86","159.50","156.72","27.43M","-0.23"
"Aug 17, 2017","157.86","160.52","160.71","157.84","27.94M","-1.92"
"Aug 16, 2017","160.95","161.94","162.51","160.15","27.67M","-0.40"
"Aug 15, 2017","161.60","160.66","162.19","160.14","29.47M","1.09"
"Aug 14, 2017","159.85","159.32","160.21","158.75","22.12M","1.50"
"Aug 11, 2017","157.48","156.60","158.57","156.07","26.26M","1.39"
"Aug 10, 2017","155.32","159.90","160.00","154.63","40.80M","-3.56"
"Aug 09, 2017","161.06","159.26","161.27","159.11","26.13M","0.61"
"Aug 08, 2017","160.08","158.60","161.83","158.27","36.21M","0.80"
"Aug 07, 2017","158.81","157.06","158.92","156.67","21.87M","1.55"
"Aug 04, 2017","156.39","156.07","157.40","155.69","20.56M","0.53"
"Aug 03, 2017","155.57","157.05","157.21","155.02","27.10M","-1.00"
"Aug 02, 2017","157.14","159.28","159.75","156.16","69.94M","4.73"
"Aug 01, 2017","150.05","149.10","150.22","148.41","35.37M","0.89"
"Jul 31, 2017","148.73","149.90","150.33","148.13","19.85M","-0.52"
"Jul 28, 2017","149.50","149.89","150.23","149.19","17.21M","-0.70"
"Jul 27, 2017","150.56","153.75","153.99","147.30","32.48M","-1.89"
"Jul 26, 2017","153.46","153.35","153.93","153.06","15.78M","0.47"
"Jul 25, 2017","152.74","151.80","153.84","151.80","18.85M","0.43"
"Jul 24, 2017","152.09","150.58","152.44","149.90","21.49M","1.21"
"Jul 21, 2017","150.27","149.99","150.44","148.88","26.25M","-0.05"
"Jul 20, 2017","150.34","151.50","151.74","150.19","17.24M","-0.45"
"Jul 19, 2017","151.02","150.48","151.42","149.95","20.92M","0.63"
"Jul 18, 2017","150.08","149.20","150.13","148.67","17.87M","0.35"
"Jul 17, 2017","149.56","148.82","150.90","148.57","23.79M","0.35"
"Jul 14, 2017","149.04","147.97","149.33","147.33","20.13M","0.86"
"Jul 13, 2017","147.77","145.50","148.49","145.44","25.20M","1.39"
"Jul 12, 2017","145.74","145.87","146.18","144.82","24.88M","0.14"
"Jul 11, 2017","145.53","144.73","145.85","144.38","19.78M","0.32"
"Jul 10, 2017","145.06","144.11","145.95","143.37","21.09M","0.61"
"Jul 07, 2017","144.18","142.90","144.75","142.90","19.20M","1.02"
"Jul 06, 2017","142.73","143.02","143.50","142.41","24.13M","-0.94"
"Jul 05, 2017","144.09","143.69","144.79","142.72","21.57M","0.41"
"Jul 03, 2017","143.50","144.88","145.30","143.10","14.28M","-0.36"
"Jun 30, 2017","144.02","144.45","144.96","143.78","23.02M","0.24"
"Jun 29, 2017","143.68","144.71","145.13","142.28","31.50M","-1.47"
"Jun 28, 2017","145.83","144.49","146.11","143.16","22.08M","1.46"
"Jun 27, 2017","143.73","145.01","146.16","143.62","24.76M","-1.43"
"Jun 26, 2017","145.82","147.17","148.28","145.38","25.69M","-0.31"
"Jun 23, 2017","146.28","145.13","147.16","145.11","35.44M","0.45"
"Jun 22, 2017","145.63","145.77","146.70","145.12","19.11M","-0.16"
"Jun 21, 2017","145.87","145.52","146.07","144.61","21.27M","0.59"
"Jun 20, 2017","145.01","146.87","146.87","144.94","24.90M","-0.91"
"Jun 19, 2017","146.34","143.66","146.74","143.66","32.54M","2.86"
"Jun 16, 2017","142.27","143.78","144.50","142.20","50.36M","-1.40"
"Jun 15, 2017","144.29","143.32","144.48","142.21","32.17M","-0.60"
"Jun 14, 2017","145.16","147.50","147.50","143.84","31.53M","-0.98"
"Jun 13, 2017","146.59","147.16","147.45","145.15","34.17M","0.80"
"Jun 12, 2017","145.42","145.74","146.09","142.51","72.31M","-2.39"
"Jun 09, 2017","148.98","155.19","155.19","146.02","64.88M","-3.88"
"Jun 08, 2017","154.99","155.25","155.54","154.40","21.25M","-0.24"
"Jun 07, 2017","155.37","155.02","155.98","154.48","21.07M","0.60"
"Jun 06, 2017","154.45","153.90","155.81","153.78","26.62M","0.34"
"Jun 05, 2017","153.93","154.34","154.45","153.46","25.33M","-0.98"
"Jun 02, 2017","155.45","153.58","155.45","152.89","27.77M","1.48"
"Jun 01, 2017","153.18","153.17","153.33","152.22","16.40M","0.27"
"May 31, 2017","152.76","153.97","154.17","152.38","24.45M","-0.59"
"May 30, 2017","153.67","153.42","154.43","153.33","20.13M","0.04"
"May 26, 2017","153.61","154.00","154.24","153.31","21.93M","-0.17"
"May 25, 2017","153.87","153.73","154.35","153.03","19.24M","0.35"
"May 24, 2017","153.34","153.84","154.17","152.67","19.22M","-0.30"
"May 23, 2017","153.80","154.90","154.90","153.31","19.92M","-0.12"
"May 22, 2017","153.99","154.00","154.58","152.91","22.97M","0.61"
"May 19, 2017","153.06","153.38","153.98","152.63","26.96M","0.34"
"May 18, 2017","152.54","151.27","153.34","151.13","33.57M","1.52"
"May 17, 2017","150.25","153.60","154.57","149.71","50.77M","-3.36"
"May 16, 2017","155.47","155.94","156.06","154.72","20.05M","-0.15"
"May 15, 2017","155.70","156.01","156.65","155.05","26.01M","-0.26"
"May 12, 2017","156.10","154.70","156.42","154.67","32.53M","1.40"
"May 11, 2017","153.95","152.45","154.07","152.31","27.26M","0.45"
"May 10, 2017","153.26","153.63","153.94","152.11","25.81M","-0.47"
"May 09, 2017","153.99","153.87","154.88","153.45","39.13M","0.64"
"May 08, 2017","153.01","149.03","153.70","149.03","48.75M","2.72"
"May 05, 2017","148.96","146.76","148.98","146.76","27.33M","1.66"
"May 04, 2017","146.53","146.52","147.14","145.81","23.37M","-0.36"
"May 03, 2017","147.06","145.59","147.49","144.27","45.70M","-0.31"
"May 02, 2017","147.51","147.54","148.09","146.84","45.35M","0.63"
"May 01, 2017","146.58","145.10","147.20","144.96","33.60M","2.04"
"Apr 28, 2017","143.65","144.09","144.30","143.27","20.86M","-0.10"
"Apr 27, 2017","143.79","143.92","144.16","143.31","14.25M","0.08"
"Apr 26, 2017","143.68","144.47","144.60","143.38","20.04M","-0.59"
"Apr 25, 2017","144.53","143.91","144.90","143.87","18.87M","0.62"
"Apr 24, 2017","143.64","143.50","143.95","143.18","17.13M","0.96"
"Apr 21, 2017","142.27","142.44","142.68","141.85","17.32M","-0.12"
"Apr 20, 2017","142.44","141.22","142.92","141.16","23.32M","1.25"
"Apr 19, 2017","140.68","141.88","142.00","140.45","17.33M","-0.37"
"Apr 18, 2017","141.20","141.41","142.04","141.11","14.70M","-0.44"
"Apr 17, 2017","141.83","141.48","141.88","140.87","16.58M","0.55"
"Apr 13, 2017","141.05","141.91","142.38","141.05","17.82M","-0.53"
"Apr 12, 2017","141.80","141.60","142.15","141.01","20.35M","0.12"
"Apr 11, 2017","141.63","142.94","143.35","140.06","30.38M","-1.08"
"Apr 10, 2017","143.17","143.60","143.88","142.90","18.93M","-0.12"
"Apr 07, 2017","143.34","143.73","144.18","143.27","16.67M","-0.22"
"Apr 06, 2017","143.66","144.29","144.52","143.45","21.15M","-0.25"
"Apr 05, 2017","144.02","144.22","145.46","143.81","27.72M","-0.52"
"Apr 04, 2017","144.77","143.25","144.89","143.17","19.89M","0.74"
"Apr 03, 2017","143.70","143.71","144.12","143.05","19.99M","0.03"
"Mar 31, 2017","143.66","143.72","144.27","143.01","19.66M","-0.19"
"Mar 30, 2017","143.93","144.19","144.50","143.50","21.21M","-0.13"
"Mar 29, 2017","144.12","143.68","144.49","143.19","29.19M","0.22"
"Mar 28, 2017","143.80","140.91","144.04","140.62","33.37M","2.07"
"Mar 27, 2017","140.88","139.39","141.22","138.62","23.58M","0.17"
"Mar 24, 2017","140.64","141.50","141.74","140.35","22.40M","-0.20"
"Mar 23, 2017","140.92","141.26","141.58","140.61","20.35M","-0.35"
"Mar 22, 2017","141.42","139.84","141.60","139.76","25.86M","1.13"
"Mar 21, 2017","139.84","142.11","142.80","139.73","39.53M","-1.15"
"Mar 20, 2017","141.46","140.40","141.50","140.23","21.54M","1.05"
"Mar 17, 2017","139.99","141.00","141.00","139.89","43.88M","-0.50"
"Mar 16, 2017","140.69","140.72","141.02","140.26","19.23M","0.16"
"Mar 15, 2017","140.46","139.41","140.75","139.03","25.69M","1.06"
"Mar 14, 2017","138.99","139.30","139.65","138.84","15.31M","-0.15"
"Mar 13, 2017","139.20","138.85","139.43","138.82","17.42M","0.04"
"Mar 10, 2017","139.14","139.25","139.36","138.64","19.61M","0.33"
"Mar 09, 2017","138.68","138.74","138.79","137.05","22.16M","-0.23"
"Mar 08, 2017","139.00","138.95","139.80","138.82","18.71M","-0.37"
"Mar 07, 2017","139.52","139.06","139.98","138.79","17.45M","0.13"
"Mar 06, 2017","139.34","139.37","139.77","138.60","21.75M","-0.31"
"Mar 03, 2017","139.78","138.78","139.83","138.59","21.57M","0.59"
"Mar 02, 2017","138.96","140.00","140.28","138.76","26.21M","-0.59"
"Mar 01, 2017","139.79","137.89","140.15","137.59","36.41M","2.04"
"Feb 28, 2017","136.99","137.08","137.44","136.70","23.48M","0.04"
"Feb 27, 2017","136.93","137.14","137.44","136.28","20.26M","0.20"
"Feb 24, 2017","136.66","135.91","136.66","135.28","21.78M","0.10"
"Feb 23, 2017","136.53","137.38","137.48","136.30","20.79M","-0.42"
"Feb 22, 2017","137.11","136.43","137.12","136.11","20.84M","0.30"
"Feb 21, 2017","136.70","136.23","136.75","135.98","24.51M","0.72"
"Feb 17, 2017","135.72","135.10","135.83","135.10","22.20M","0.28"
"Feb 16, 2017","135.34","135.67","135.90","134.84","22.58M","-0.13"
"Feb 15, 2017","135.51","135.52","136.27","134.62","35.62M","0.36"
"Feb 14, 2017","135.02","133.47","135.09","133.25","33.23M","1.30"
"Feb 13, 2017","133.29","133.08","133.82","132.75","23.04M","0.89"
"Feb 10, 2017","132.12","132.46","132.94","132.05","20.07M","-0.23"
"Feb 09, 2017","132.42","131.65","132.44","131.12","28.35M","0.29"
"Feb 08, 2017","132.04","131.35","132.22","131.22","23.00M","0.39"
"Feb 07, 2017","131.53","130.54","132.09","130.45","38.18M","0.95"
"Feb 06, 2017","130.29","129.13","130.50","128.90","26.85M","0.94"
"Feb 03, 2017","129.08","128.31","129.19","128.16","24.51M","0.43"
"Feb 02, 2017","128.53","127.97","129.39","127.78","33.71M","-0.17"
