Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,171.85,170.43,172.14,168.44,41.53M,1.4,AAPL,0.560538117,-2.589163237,2.121157649,30,11,2017
29-Nov-17,169.48,172.63,172.92,167.16,41.67M,-2.07,AAPL,-0.254232392,-0.294559316,2.12375769,29,11,2017
28-Nov-17,173.07,174.3,174.87,171.86,26.43M,-0.59,AAPL,0.120627262,2.541475468,4.546545106,28,11,2017
27-Nov-17,174.09,175.05,175.08,173.34,20.72M,-0.5,AAPL,0.045722124,2.879811931,7.359705612,27,11,2017
24-Nov-17,174.97,175.1,175.5,174.65,14.03M,0.01,AAPL,0.08001829,2.337814144,11.23816784,24,11,2017
22-Nov-17,174.96,173.36,175,173.05,25.59M,1.05,AAPL,0.127064803,2.531346108,10.83690301,22,11,2017
21-Nov-17,173.14,170.78,173.7,170.78,25.13M,1.86,AAPL,0.470643605,-0.326835532,8.707829408,21,11,2017
20-Nov-17,169.98,170.29,170.56,169.56,16.26M,-0.1,AAPL,0.082280341,-2.115307237,9.041429212,20,11,2017
17-Nov-17,170.15,171.04,171.39,169.64,21.90M,-0.56,AAPL,-0.035067212,-2.078204614,9.4656,17,11,2017
16-Nov-17,171.1,171.18,171.87,170.3,23.64M,1.19,AAPL,1.242015614,-2.672276552,9.744839082,16,11,2017
15-Nov-17,169.08,169.97,170.32,168.38,29.16M,-1.32,AAPL,-0.799579783,-3.557648661,6.390836254,15,11,2017
14-Nov-17,171.34,173.04,173.48,171.18,24.78M,-1.51,AAPL,-0.534574927,-1.012527887,7.833239858,14,11,2017
13-Nov-17,173.97,173.5,174.5,173.4,16.98M,-0.4,AAPL,-0.669834545,-0.430416069,8.518889167,13,11,2017
10-Nov-17,174.67,175.11,175.38,174.27,25.15M,-0.69,AAPL,-0.437798499,1.513043478,11.54213644,10,11,2017
9-Nov-17,175.88,175.11,176.09,173.14,29.48M,-0.2,AAPL,-0.64117113,4.163940277,12.25,9,11,2017
8-Nov-17,176.24,174.66,176.24,174.33,24.41M,0.82,AAPL,-0.085807448,4.65576128,11.56818908,8,11,2017
7-Nov-17,174.81,173.91,175.25,173.6,24.36M,0.32,AAPL,-0.195121951,2.880974917,11.5522771,7,11,2017
6-Nov-17,174.25,172.37,174.99,171.72,35.03M,1.01,AAPL,-0.075362319,3.388915547,10.60703285,6,11,2017
3-Nov-17,172.5,174,174.26,171.12,59.40M,2.61,AAPL,3.503658319,6.715731371,12.04121056,3,11,2017
2-Nov-17,168.11,167.64,168.5,165.28,41.39M,0.73,AAPL,0.449397807,6.498951782,7.88339018,2,11,2017
1-Nov-17,166.89,169.87,169.94,165.61,33.64M,-1.27,AAPL,0.491008045,8.605587878,10.67891582,1,11,2017
31-Oct-17,169.04,167.9,169.65,166.94,36.05M,1.39,AAPL,0.707773512,6.874602164,8.6872087,31,10,2017
30-Oct-17,166.72,163.89,168.07,163.72,44.70M,2.25,AAPL,0.515179393,4.943330985,6.553540082,30,10,2017
27-Oct-17,163.05,159.29,163.6,158.7,44.45M,3.58,AAPL,1.19433327,1.9456,3.354528938,27,10,2017
26-Oct-17,157.41,157.23,157.83,156.78,17.00M,0.64,AAPL,0.524263155,0.801384793,2.576983299,26,10,2017
25-Oct-17,156.41,156.91,157.55,155.27,21.21M,-0.44,AAPL,-0.120942075,-1.783925889,1.737664527,25,10,2017
24-Oct-17,157.1,156.29,157.42,156.2,17.76M,0.6,AAPL,0.076839342,-2.604848258,2.056941361,24,10,2017
23-Oct-17,156.17,156.89,157.69,155.5,21.98M,-0.05,AAPL,0.4096,-1.870152614,4.211225506,23,10,2017
20-Oct-17,156.25,156.61,157.75,155.96,23.97M,0.17,AAPL,0.403897936,-0.242053634,3.107512015,20,10,2017
19-Oct-17,155.98,156.75,157.08,155.02,42.58M,-2.37,AAPL,-1.884076114,0.480769231,2.190494817,19,10,2017
18-Oct-17,159.76,160.42,160.71,159.6,16.37M,-0.44,AAPL,-0.031158472,2.472053657,2.787210867,18,10,2017
17-Oct-17,160.47,159.78,160.87,159.23,19.00M,0.37,AAPL,-0.06254691,2.488774856,0.661500662,17,10,2017
16-Oct-17,159.88,157.9,160,157.65,24.12M,1.84,AAPL,0.579654755,1.321868583,-0.485283923,16,10,2017
13-Oct-17,156.99,156.73,157.28,156.41,16.39M,0.63,AAPL,0.467948718,0.920798455,-1.970227671,13,10,2017
12-Oct-17,156,156.35,157.37,155.73,16.13M,-0.35,AAPL,-0.127754711,0.617800373,-1.2193581,12,10,2017
11-Oct-17,156.55,155.97,156.98,155.75,16.91M,0.42,AAPL,0.044900577,1.62236122,-2.30504228,11,10,2017
10-Oct-17,155.9,156.06,158,155.1,15.62M,0.04,AAPL,0.141170431,1.022786121,-2.983961209,10,10,2017
9-Oct-17,155.84,155.81,156.73,155.49,16.26M,0.35,AAPL,0.328396652,1.300305572,-3.523219814,9,10,2017
6-Oct-17,155.3,154.97,155.49,154.56,17.41M,-0.06,AAPL,-0.270287663,0.551518297,-2.307255878,6,10,2017
5-Oct-17,155.39,154.18,155.44,154.05,21.28M,1.24,AAPL,0.456085483,0.587160752,-4.3904254,5,10,2017
4-Oct-17,153.48,153.63,153.86,152.46,20.16M,-0.65,AAPL,-0.55023304,-0.389029372,-5.113952196,4,10,2017
3-Oct-17,154.48,154.01,155.09,153.91,16.23M,0.44,AAPL,0.130030557,0.568107614,-4.979022705,3,10,2017
2-Oct-17,153.81,154.26,154.45,152.72,18.70M,-0.2,AAPL,0.090838308,2.464297576,-5.967692777,2,10,2017
29-Sep-17,154.12,153.21,154.13,152,26.30M,0.55,AAPL,-0.045668058,0.86904997,-6.579268293,29,9,2017
28-Sep-17,153.28,153.89,154.28,152.7,22.01M,-0.62,AAPL,-0.220449977,0.325966491,-5.791245791,28,9,2017
27-Sep-17,154.23,153.8,154.72,153.54,25.50M,0.71,AAPL,0.43097819,-1.454475556,-5.592044687,27,9,2017
26-Sep-17,153.14,151.78,153.92,151.69,36.66M,1.72,AAPL,0.817004318,-4.378504379,-6.001114758,26,9,2017
25-Sep-17,150.55,149.99,151.83,149.16,44.39M,-0.88,AAPL,-1.25090526,-5.470473309,-6.174152383,25,9,2017
22-Sep-17,151.89,152.02,152.27,150.56,46.65M,-0.98,AAPL,-0.893148184,-4.91618714,-4.552018585,22,9,2017
21-Sep-17,153.39,155.8,155.8,152.75,37.51M,-1.72,AAPL,-0.172999295,-1.566843568,-2.612826603,21,9,2017
20-Sep-17,156.07,157.9,158.26,153.83,52.95M,-1.68,AAPL,-0.522900523,-1.096147823,-1.17661785,20,9,2017
19-Sep-17,158.73,159.51,159.77,158.44,20.81M,0.04,AAPL,0.529400643,-0.83923909,1.463011259,19,9,2017
18-Sep-17,158.67,160.11,160.5,158,28.27M,-0.76,AAPL,0.143857893,-0.860681115,1.657142857,18,9,2017
15-Sep-17,159.88,158.47,160.97,158,49.11M,1.01,AAPL,0.120040435,-0.100863645,0.386418345,15,9,2017
