"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","181.47","178.14","181.67","176.55","3.98M","2.61"
"Nov 29, 2017","176.85","183.87","184.73","175.31","4.32M","-4.61"
"Nov 28, 2017","185.40","185.62","186.27","184.37","1.65M","0.22"
"Nov 27, 2017","185.00","184.83","185.84","184.09","1.31M","0.29"
"Nov 24, 2017","184.46","182.96","184.71","182.96","662.99K","0.85"
"Nov 22, 2017","182.90","184.32","184.50","182.62","1.55M","-0.68"
"Nov 21, 2017","184.15","183.75","185.55","182.84","2.04M","0.99"
"Nov 20, 2017","182.34","182.80","183.43","181.34","1.12M","0.05"
"Nov 17, 2017","182.24","182.08","182.91","181.13","1.48M","-0.03"
"Nov 16, 2017","182.30","181.18","182.44","180.58","1.96M","1.23"
"Nov 15, 2017","180.08","180.92","181.73","179.60","1.98M","-0.68"
"Nov 14, 2017","181.32","181.98","182.17","180.31","1.55M","-0.29"
"Nov 13, 2017","181.85","180.50","182.32","179.75","1.50M","0.07"
"Nov 10, 2017","181.72","181.00","182.06","179.83","2.08M","-0.11"
"Nov 09, 2017","181.92","182.88","183.08","179.03","2.70M","-1.16"
"Nov 08, 2017","184.06","181.19","184.44","181.06","1.79M","1.76"
"Nov 07, 2017","180.88","181.23","181.78","180.11","2.54M","0.04"
"Nov 06, 2017","180.80","182.01","182.29","180.54","2.02M","-0.82"
"Nov 03, 2017","182.30","181.76","182.74","179.64","2.24M","0.75"
"Nov 02, 2017","180.94","178.02","181.48","175.80","3.26M","2.66"
"Nov 01, 2017","176.25","176.59","176.94","174.70","2.00M","0.62"
"Oct 31, 2017","175.16","176.16","176.73","174.52","2.66M","-0.49"
"Oct 30, 2017","176.03","177.00","177.48","174.45","2.12M","-0.73"
"Oct 27, 2017","177.33","174.02","177.58","174.02","2.81M","2.06"
"Oct 26, 2017","173.75","172.06","175.02","172.02","2.58M","1.12"
"Oct 25, 2017","171.83","170.37","173.41","170.03","2.79M","0.15"
"Oct 24, 2017","171.58","171.47","172.49","170.49","2.66M","-0.34"
"Oct 23, 2017","172.16","175.68","175.85","171.83","3.22M","-1.98"
"Oct 20, 2017","175.64","171.50","175.87","171.35","6.02M","2.28"
"Oct 19, 2017","171.73","165.50","172.15","164.42","13.52M","12.24"
"Oct 18, 2017","153.00","150.33","153.43","149.03","4.29M","1.74"
"Oct 17, 2017","150.38","150.52","150.93","148.15","3.55M","-0.05"
"Oct 16, 2017","150.46","151.15","153.07","149.28","3.83M","-2.25"
"Oct 13, 2017","153.93","153.96","154.59","153.06","2.52M","0.21"
"Oct 12, 2017","153.61","153.72","154.85","153.39","2.43M","-0.03"
"Oct 11, 2017","153.65","152.09","154.00","151.35","2.79M","0.99"
"Oct 10, 2017","152.15","152.00","152.86","151.32","2.82M","0.43"
"Oct 09, 2017","151.50","150.76","151.57","150.25","1.46M","0.25"
"Oct 06, 2017","151.12","149.96","151.36","149.53","2.28M","0.58"
"Oct 05, 2017","150.25","148.49","150.45","147.71","2.41M","1.55"
"Oct 04, 2017","147.95","148.21","148.46","146.60","2.89M","-0.44"
"Oct 03, 2017","148.60","148.48","148.80","147.99","1.81M","0.45"
"Oct 02, 2017","147.94","149.79","150.48","147.52","2.34M","-0.83"
"Sep 29, 2017","149.18","146.69","149.28","146.60","2.18M","1.60"
"Sep 28, 2017","146.83","146.14","147.32","145.39","1.67M","0.27"
"Sep 27, 2017","146.43","146.31","147.09","145.75","2.95M","0.71"
"Sep 26, 2017","145.40","145.50","146.35","143.96","3.28M","0.57"
"Sep 25, 2017","144.57","148.39","148.71","143.95","4.87M","-2.65"
"Sep 22, 2017","148.50","148.69","149.50","147.85","2.93M","-0.54"
"Sep 21, 2017","149.30","150.38","151.25","148.30","4.99M","-0.44"
