Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,181.47,178.14,181.67,176.55,3.98M,2.61,ADBE,0.729431722,-2.602515036,1.072340426,30,11,2017
29-Nov-17,176.85,183.87,184.73,175.31,4.32M,-4.61,ADBE,-0.825242718,-0.152049959,4.972596483,29,11,2017
28-Nov-17,185.4,185.62,186.27,184.37,1.65M,0.22,ADBE,0.335135135,1.798837337,5.447935011,28,11,2017
27-Nov-17,185,184.83,185.84,184.09,1.31M,0.29,ADBE,0.200585493,1.421202809,4.229402808,27,11,2017
24-Nov-17,184.46,182.96,184.71,182.96,662.99K,0.85,ADBE,0.032804811,0.362040592,5.300719424,24,11,2017
22-Nov-17,182.9,184.32,184.5,182.62,1.55M,-0.68,ADBE,0.092316047,2.354509107,7.268812198,22,11,2017
21-Nov-17,184.15,183.75,185.55,182.84,2.04M,0.99,ADBE,0.773280684,1.340172071,7.092901271,21,11,2017
20-Nov-17,182.34,182.8,183.43,181.34,1.12M,0.05,ADBE,0.307287094,0.522408578,6.180297398,20,11,2017
17-Nov-17,182.24,182.08,182.91,181.13,1.48M,-0.03,ADBE,-0.120680197,0.198106978,3.666590754,17,11,2017
16-Nov-17,182.3,181.18,182.44,180.58,1.96M,1.23,ADBE,0.610839627,-0.406772208,5.502824201,16,11,2017
15-Nov-17,180.08,180.92,181.73,179.6,1.98M,-0.68,ADBE,-0.220604456,-1.705965446,18.24836601,15,11,2017
14-Nov-17,181.32,181.98,182.17,180.31,1.55M,-0.29,ADBE,0.07148749,0.608137992,21.01343264,14,11,2017
13-Nov-17,181.85,180.5,182.32,179.75,1.50M,0.07,ADBE,-0.671362536,-0.165929204,19.96543932,13,11,2017
10-Nov-17,181.72,181,182.06,179.83,2.08M,-0.11,ADBE,-0.505716799,-0.713110258,17.58591568,10,11,2017
9-Nov-17,181.92,182.88,183.08,179.03,2.70M,-1.16,ADBE,-0.641095295,1.072178623,19.05474904,9,11,2017
8-Nov-17,184.06,181.19,184.44,181.06,1.79M,1.76,ADBE,0.171384343,2.802836879,17.92385291,8,11,2017
7-Nov-17,180.88,181.23,181.78,180.11,2.54M,0.04,ADBE,0.237831858,3.46540306,19.11271771,7,11,2017
6-Nov-17,180.8,182.01,182.29,180.54,2.02M,-0.82,ADBE,-0.159078442,3.397148213,20.13861386,6,11,2017
3-Nov-17,182.3,181.76,182.74,179.64,2.24M,0.75,ADBE,0.453188902,2.498167259,20.27527792,3,11,2017
2-Nov-17,180.94,178.02,181.48,175.8,3.26M,2.66,ADBE,1.004255319,2.457553957,18.48252912,2,11,2017
1-Nov-17,176.25,176.59,176.94,174.7,2.00M,0.62,ADBE,0.816396438,2.770179829,19.35789118,1,11,2017
31-Oct-17,175.16,176.16,176.73,174.52,2.66M,-0.49,ADBE,0.073851048,2.669308777,18.54643338,31,10,2017
30-Oct-17,176.03,177,177.48,174.45,2.12M,-0.73,ADBE,-0.186093724,2.81133829,19.64309855,30,10,2017
27-Oct-17,177.33,174.02,177.58,174.02,2.81M,2.06,ADBE,0.155395683,-0.922341152,16.65102561,27,10,2017
26-Oct-17,173.75,172.06,175.02,172.02,2.58M,1.12,ADBE,0.133853227,0.192162115,17.18313696,26,10,2017
25-Oct-17,171.83,170.37,173.41,170.03,2.79M,0.15,ADBE,-0.705210397,11.35294118,16.34910879,25,10,2017
24-Oct-17,171.58,171.47,172.49,170.49,2.66M,-0.34,ADBE,-0.400789963,14.02447134,17.92984869,24,10,2017
