Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,86.11,85.82,86.27,84.99,3.87M,0.53,ADI,0.186784964,-3.192329385,-5.681943071,30,11,2017
29-Nov-17,85.66,87.08,87.29,83.9,6.13M,-1.62,ADI,0.011485012,-3.448275862,-4.622124863,29,11,2017
28-Nov-17,87.07,87.08,87.44,86.39,3.84M,-0.43,ADI,-0.423098914,-6.436015902,-4.643013579,28,11,2017
27-Nov-17,87.45,88.49,88.83,87.4,2.89M,-1.91,ADI,-0.740325294,-2.134483521,-2.982129153,27,11,2017
24-Nov-17,89.15,88.67,89.25,88.01,1.62M,0.56,ADI,0.022560632,-2.000442087,-2.087014134,24,11,2017
22-Nov-17,88.65,89.61,90.74,88.43,4.03M,-1.71,ADI,-0.643086817,0.504710633,-0.27821055,22,11,2017
21-Nov-17,90.19,92.62,92.83,88.88,6.03M,-3.09,ADI,-0.483507038,2.410437859,2.580573707,21,11,2017
20-Nov-17,93.07,90.97,93.99,90.73,6.53M,2.93,ADI,0.608272506,1.044096412,2.478314746,20,11,2017
17-Nov-17,90.42,91,91.05,90.24,2.34M,-0.07,ADI,0.574712644,1.573836366,2.327673451,17,11,2017
16-Nov-17,90.48,89.79,90.75,89.41,2.30M,1.48,ADI,0.706594886,0.100334448,1.114864865,16,11,2017
15-Nov-17,89.16,89.58,89.95,88.67,2.25M,-1.42,ADI,-0.950906678,-2.630434783,0.651685393,15,11,2017
14-Nov-17,90.44,89.79,90.49,89.4,2.17M,0.46,ADI,-0.266577807,-2.295973885,0.955700472,14,11,2017
13-Nov-17,90.03,89.36,90.21,89,2.43M,0.49,ADI,-0.256725081,-3.164282618,0.596645277,13,11,2017
10-Nov-17,89.59,89.54,90.03,88.88,2.74M,-0.12,ADI,-0.178372352,-2.472497549,0.538962497,10,11,2017
9-Nov-17,89.7,91.67,91.69,87.98,3.14M,-2.5,ADI,-0.358695652,0.969269743,3.197118091,9,11,2017
8-Nov-17,92,91.9,92.45,91.04,1.62M,0.11,ADI,0,1.000109902,3.75973806,8,11,2017
7-Nov-17,91.9,92.08,92.57,91.7,1.42M,-0.41,ADI,-0.216731686,0.854326396,4.648255484,7,11,2017
6-Nov-17,92.28,92.42,92.96,91.65,1.53M,0.51,ADI,0.664415641,1.20455541,5.369969217,6,11,2017
3-Nov-17,91.81,90.97,91.83,90.19,1.37M,1.12,ADI,0.19825972,-0.263129043,3.527939001,3,11,2017
2-Nov-17,90.79,90.85,91.47,90.26,1.45M,-0.22,ADI,-0.153863062,0.320229682,3.367846171,2,11,2017
1-Nov-17,90.99,91.85,92.11,90.59,2.37M,-0.34,ADI,0.602409639,2.214555976,5.574712644,1,11,2017
31-Oct-17,91.3,91.47,91.74,90.75,1.53M,-0.02,ADI,0.164257556,1.306899989,6.484284051,31,10,2017
30-Oct-17,91.32,91.35,91.96,90.89,1.25M,0.12,ADI,0.153491942,2.906387293,6.443719413,30,10,2017
27-Oct-17,91.21,90.77,91.38,89.96,1.63M,0.72,ADI,0.231890459,2.069043068,5.338284786,27,10,2017
26-Oct-17,90.56,90.26,90.96,89.86,1.24M,0.78,ADI,0.44513688,1.644144144,5.394675385,26,10,2017
25-Oct-17,89.86,89.66,90.45,89.23,2.04M,-0.48,ADI,-0.697751689,0.741573034,5.581723976,25,10,2017
24-Oct-17,90.29,88.77,90.79,88.38,2.67M,1.71,ADI,0,-0.191140094,5.791919914,24,10,2017
23-Oct-17,88.77,89.43,89.67,88.56,2.03M,-0.18,ADI,0.562239964,0.675447484,6.616595136,23,10,2017
20-Oct-17,88.93,89.61,89.93,88.76,1.78M,0.15,ADI,0.912162162,0.617561195,5.522845031,20,10,2017
19-Oct-17,88.8,88.32,88.83,87.38,1.58M,-0.22,ADI,-0.764044944,-0.574130361,4.843304843,19,10,2017
