Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,114.46,112.98,114.77,112.85,7.30M,1,ADP,-0.308832613,2.513383541,-2.097053726,30,11,2017
29-Nov-17,113.33,111.14,114.48,110.82,3.92M,1.9,ADP,-0.071929509,0.524602026,-4.403922243,29,11,2017
28-Nov-17,111.22,110.2,111.44,110.14,2.22M,0.98,ADP,0.054476121,-0.298561477,-5.795862541,28,11,2017
27-Nov-17,110.14,110.41,110.64,109.83,1.47M,0.11,ADP,0.354481003,-0.585269224,-6.630021142,27,11,2017
24-Nov-17,110.02,110.09,110.44,109.51,868.55K,-0.17,ADP,-0.108883041,-0.846618031,-6.146632566,24,11,2017
22-Nov-17,110.21,110.41,110.73,109.79,2.11M,-0.32,ADP,-0.135672938,-0.225917224,-5.097129104,22,11,2017
21-Nov-17,110.56,111.14,111.35,110.31,1.73M,0.03,ADP,0.551886366,-0.838686652,-4.568092049,21,11,2017
20-Nov-17,110.53,111.18,111.38,110.4,1.40M,-0.48,ADP,0.108049703,-0.31381691,-4.98248013,20,11,2017
17-Nov-17,111.06,110.98,111.22,110.27,1.97M,0.03,ADP,-0.045032874,-0.099018814,-4.269817994,17,11,2017
16-Nov-17,111.03,111,111.48,110.47,1.87M,0.33,ADP,0.307247425,-0.866303474,-3.158262083,16,11,2017
15-Nov-17,110.66,112.2,112.23,110.38,1.56M,-1.27,ADP,0.107066381,-0.346389555,-1.518476257,15,11,2017
14-Nov-17,112.08,111.31,112.23,110.94,1.99M,0.49,ADP,-0.197256344,-1.277161863,-2.119240239,14,11,2017
13-Nov-17,111.53,110.98,112.06,110.55,3.72M,0.4,ADP,-0.099018814,-0.31438067,-3.141909583,13,11,2017
10-Nov-17,111.09,111.71,112.13,110.95,2.11M,-0.79,ADP,-0.232205055,-0.472202423,-1.888283857,10,11,2017
9-Nov-17,111.97,112.04,113.15,110.77,1.51M,-0.55,ADP,-0.48849809,-2.011544516,-1.364556739,9,11,2017
8-Nov-17,112.59,112.93,113.42,112.52,1.46M,-0.14,ADP,0.159645233,-2.140381282,-0.141480237,8,11,2017
7-Nov-17,112.75,110.33,112.9,109.44,4.41M,1.28,ADP,-0.898230486,-5.100636504,-3.312593112,7,11,2017
6-Nov-17,111.33,111.72,112.19,110.27,2.92M,-0.81,ADP,-0.463292944,-4.496495127,-1.628951308,6,11,2017
3-Nov-17,112.24,114.57,114.7,111.84,2.91M,-1.84,ADP,0.201154452,-3.11205074,0.960521678,3,11,2017
2-Nov-17,114.34,115,115.49,112.12,3.60M,-0.92,ADP,-0.346620451,-1.960784314,1.259135335,2,11,2017
1-Nov-17,115.4,116.4,116.77,114.69,2.75M,-0.74,ADP,0.120419749,0.051572976,4.488330341,1,11,2017
31-Oct-17,116.26,116.88,117.14,116.01,1.82M,-0.62,ADP,-0.085484698,0.360638846,5.573118959,31,10,2017
30-Oct-17,116.98,118.09,118.17,116.55,1.38M,-1.07,ADP,-0.135306554,0.922998034,8.022319795,30,10,2017
27-Oct-17,118.25,116.9,118.47,116.28,1.59M,0.81,ADP,-0.341005968,0.836711809,6.933772411,27,10,2017
26-Oct-17,117.3,117.26,117.85,116.71,1.61M,0.83,ADP,0.790785628,2.303262956,7.558246193,26,10,2017
25-Oct-17,116.34,116.28,116.72,115.14,1.81M,-0.1,ADP,-0.154559505,2.062670061,6.056183874,25,10,2017
24-Oct-17,116.46,116.69,117.3,116.06,2.15M,-0.47,ADP,-0.273480899,2.611677805,7.776854161,24,10,2017
23-Oct-17,117.01,116.26,117.8,115.46,2.09M,0.93,ADP,0.284654533,1.466224472,6.836978497,23,10,2017
20-Oct-17,115.93,114.99,116.08,114.56,1.71M,1.14,ADP,0.322805793,0.992446865,6.314718935,20,10,2017
19-Oct-17,114.62,113.95,114.65,113.29,1.13M,0.61,ADP,0.017554639,0.316929307,6.704747636,19,10,2017
18-Oct-17,113.93,113.69,114.47,113.55,1.41M,0.18,ADP,-0.026380584,0.530550889,6.421417205,18,10,2017
17-Oct-17,113.72,114.1,114.13,113.24,1.37M,-0.75,ADP,-0.418921278,-0.008763474,6.159285448,17,10,2017
16-Oct-17,114.58,113.91,114.72,113.66,1.06M,0.63,ADP,0.043913578,0.299374835,6.907555138,16,10,2017
13-Oct-17,113.86,114.18,114.4,112.24,1.24M,0.24,ADP,0.51941192,0.616848784,6.93013673,13,10,2017
12-Oct-17,113.59,112.99,113.64,112.91,1.13M,0.44,ADP,-0.088425148,-0.510698248,5.805787059,12,10,2017
11-Oct-17,113.09,114.26,114.39,112.41,1.66M,-0.89,ADP,0.131452108,2.567324955,6.585820896,11,10,2017
10-Oct-17,114.11,113.62,114.14,113.19,1.01M,0.48,ADP,0.044025711,2.628488845,5.281690141,10,10,2017
9-Oct-17,113.57,113.45,114.06,113.16,1.88M,0.08,ADP,-0.026436376,3.777899744,5.534883721,9,10,2017
6-Oct-17,113.48,113.51,113.73,112.59,1.67M,-0.08,ADP,-0.052830853,3.832784486,4.704363066,6,10,2017
5-Oct-17,113.57,111.92,113.63,111.48,1.91M,1.95,ADP,0.466786355,2.660062374,2.754315094,5,10,2017
4-Oct-17,111.4,110.65,111.44,109.7,1.91M,0.62,ADP,-0.054195646,0.921196644,2.406293383,4,10,2017
3-Oct-17,110.71,109.66,110.98,109.35,1.84M,1.27,ADP,0.311013538,1.283827468,3.034858593,3,10,2017
2-Oct-17,109.32,109.22,109.5,108.53,3.54M,0,ADP,-0.09147457,0.367579489,1.741965533,2,10,2017
29-Sep-17,109.32,109.11,109.74,109,1.23M,0.28,ADP,0.08255366,0.878328402,2.47957171,29,9,2017
