Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,109.7,109.64,111.58,106.54,8.48M,0.33,ADSK,0.274373514,-14.18955936,-12.1333547,30,11,2017
29-Nov-17,109.34,114.03,114.46,106.2,19.49M,-15.86,ADSK,-12.25086572,-10.71176885,-8.746798976,29,11,2017
28-Nov-17,129.95,130.76,131.1,127.49,4.98M,-0.22,ADSK,0.399262899,3.54767184,5.528205956,28,11,2017
27-Nov-17,130.24,130.19,130.92,129.26,2.34M,0.57,ADSK,0.532818533,2.117813162,5.348761936,27,11,2017
24-Nov-17,129.5,127.74,129.54,127.65,1.01M,1.35,ADSK,-0.02347969,0.582677165,5.265760198,24,11,2017
22-Nov-17,127.77,128.01,128.69,126.83,1.47M,0.05,ADSK,0.234907212,3.217223029,6.728364182,22,11,2017
21-Nov-17,127.71,127.13,128.17,126.97,1.64M,1.13,ADSK,0.67310738,2.631791394,6.572218962,21,11,2017
20-Nov-17,126.28,127.51,128.28,126.11,1.79M,-0.95,ADSK,0.015687505,2.302631579,7.160265569,20,11,2017
17-Nov-17,127.49,127.49,127.92,125.87,1.46M,0.39,ADSK,0.385826772,3.557793843,5.529343597,17,11,2017
16-Nov-17,127,124.79,127,124.64,1.55M,2.4,ADSK,0.620867602,1.952614379,4.610612792,16,11,2017
15-Nov-17,124.02,123.87,125.01,122.44,1.44M,0.12,ADSK,0,0.024224806,4.496372532,15,11,2017
14-Nov-17,123.87,124.4,124.82,123.16,1.23M,-0.62,ADSK,-0.192554557,0.810372771,4.784366577,14,11,2017
13-Nov-17,124.64,124.34,125.02,122.69,1.22M,1.24,ADSK,0.99910649,0.419964465,4.312080537,13,11,2017
10-Nov-17,123.11,121.95,123.32,121.31,929.44K,0.58,ADSK,-0.367647059,-2.322787345,1.939312881,10,11,2017
9-Nov-17,122.4,122.9,123.09,120.01,1.47M,-1.16,ADSK,-0.759043928,-1.459268762,3.285990419,9,11,2017
8-Nov-17,123.84,123.49,124.21,123.17,892.52K,0.36,ADSK,0.072933549,-1.033819522,4.149447584,8,11,2017
7-Nov-17,123.4,124.26,124.54,122.61,828.38K,-0.34,ADSK,0.355354547,-0.560179257,6.159760786,7,11,2017
6-Nov-17,123.82,125,125.09,123.19,1.00M,-0.82,ADSK,0.120144173,0.879670729,6.709919754,6,11,2017
3-Nov-17,124.85,124.5,125.5,124.11,1.31M,0.1,ADSK,-0.176395125,0.744457032,6.446648427,3,11,2017
2-Nov-17,124.72,125.5,125.65,123.51,1.74M,-0.05,ADSK,0.577015547,3.419859909,7.688347349,2,11,2017
1-Nov-17,124.78,125.63,126.44,123.4,1.62M,-0.14,ADSK,0.536171575,4.744038686,10.15344147,1,11,2017
31-Oct-17,124.96,124.28,125.01,123.42,1.84M,0.85,ADSK,0.298603825,4.183083243,9.372524861,31,10,2017
30-Oct-17,123.91,123.04,124.28,121.9,1.61M,0.27,ADSK,-0.43696391,3.403647365,9.398061705,30,10,2017
27-Oct-17,123.58,121.61,123.97,121.4,1.52M,1.84,ADSK,0.214256283,0.662196838,8.328879387,27,10,2017
26-Oct-17,121.35,120.21,121.95,119.46,903.37K,1.18,ADSK,0.225112556,0.771229776,7.860026918,26,10,2017
25-Oct-17,119.94,119,120.25,118.05,1.08M,0.54,ADSK,-0.243105038,0.388054665,6.287959986,25,10,2017
24-Oct-17,119.29,118.96,119.61,117.9,1.34M,0.25,ADSK,-0.025212203,0.202156334,7.549046198,24,10,2017
23-Oct-17,118.99,120.99,121.72,118.73,1.49M,-1.51,ADSK,0.148994289,1.501677852,10.17118922,23,10,2017
20-Oct-17,120.81,119.98,121.88,119.7,1.65M,1.27,ADSK,0.578422332,0.292568754,7.335838254,20,10,2017
19-Oct-17,119.29,119,119.32,117.57,1.10M,0.63,ADSK,0.388054665,0.008404068,5.975598896,19,10,2017
18-Oct-17,118.54,118.5,118.86,117.78,1.01M,-0.15,ADSK,-0.185309973,-0.059036856,5.118424554,18,10,2017
17-Oct-17,118.72,119.35,119.76,118.06,1.18M,-0.4,ADSK,0.125838926,1.964972234,5.544747082,17,10,2017
16-Oct-17,119.2,119.69,119.97,118.67,1.18M,-0.36,ADSK,0.050154643,2.176882363,5.138791286,16,10,2017
13-Oct-17,119.63,119.77,119.77,118.45,1.26M,0.54,ADSK,0.65551727,2.40253078,4.941733111,13,10,2017
12-Oct-17,118.99,118.55,119.84,118.51,1.24M,0.35,ADSK,-0.016867673,1.724729707,2.667359487,12,10,2017
11-Oct-17,118.57,117.02,118.66,116.93,1.08M,1.3,ADSK,-0.025630073,2.604121,0.72301601,11,10,2017
10-Oct-17,117.05,117.22,117.53,116.32,931.45K,-0.08,ADSK,0.068294349,3.159376925,0.912534435,10,10,2017
9-Oct-17,117.14,116.8,117.52,116.64,847.11K,0.15,ADSK,-0.136798906,3.849915533,0.274725275,9,10,2017
6-Oct-17,116.96,116.18,117.61,115.81,1.81M,0.36,ADSK,-0.308906813,3.491893818,1.520447396,6,10,2017
5-Oct-17,116.54,114.5,116.83,113.9,1.67M,2.18,ADSK,0.394563788,2.736653208,0.394563788,5,10,2017
4-Oct-17,114.05,113.79,114.07,112.35,1.12M,0.37,ADSK,0.140807885,1.634512326,0,4,10,2017
3-Oct-17,113.63,112.39,113.73,111.67,1.04M,1.03,ADSK,-0.071130079,1.609257752,-1.212973543,3,10,2017
2-Oct-17,112.47,110.69,113.76,110.68,1.96M,0.19,ADSK,-1.398539106,0.792205427,-2.65587899,2,10,2017
29-Sep-17,112.26,111.25,112.76,111,2.03M,0.73,ADSK,-0.179452669,-0.474145643,-2.804473178,29,9,2017
28-Sep-17,111.45,111.4,111.96,110.52,1.36M,-0.46,ADSK,-0.500178635,-0.792590614,-1.668284932,28,9,2017
27-Sep-17,111.96,110.21,113.47,110.21,1.73M,1.22,ADSK,-0.361630956,-2.235429788,-0.952637728,27,9,2017
26-Sep-17,110.61,110.59,111.38,108.83,1.59M,0.72,ADSK,0.701147332,-2.201980898,-0.79834948,26,9,2017
25-Sep-17,109.82,111.67,111.83,108.65,2.03M,-1.75,ADSK,-0.098407586,-1.906184118,-2.870313995,25,9,2017
22-Sep-17,111.78,111.68,112.82,111.64,1.09M,-0.45,ADSK,-0.543236263,-2.146674844,0.967362806,22,9,2017
21-Sep-17,112.29,112.82,113,111.37,1.15M,-0.39,ADSK,0.079836778,-2.29496839,1.961138726,21,9,2017
20-Sep-17,112.73,113.07,113.34,111.35,1.78M,-0.31,ADSK,-0.008843297,-2.676880702,1.855688677,20,9,2017
