Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,55.78,55.03,56.2,55.03,2.26M,0.8,AKAM,-0.560173473,-1.185131981,4.441070412,30,11,2017
29-Nov-17,55.34,55.7,56.04,55.06,1.82M,-0.04,AKAM,0.61416185,0.03591954,6.602870813,29,11,2017
28-Nov-17,55.36,56.16,56.16,54.91,2.52M,0.02,AKAM,1.463414634,1.408450704,7.052992756,28,11,2017
27-Nov-17,55.35,55.25,55.72,54.39,4.30M,-0.79,AKAM,-0.967915397,-0.342712843,4.245283019,27,11,2017
24-Nov-17,55.79,56,56,55.59,435.11K,0.18,AKAM,0.5566529,1.33912414,4.98687664,24,11,2017
22-Nov-17,55.69,55.73,56,55.52,1.70M,0.02,AKAM,0.089798851,3.184595445,3.203703704,22,11,2017
21-Nov-17,55.68,55.61,55.7,55.35,1.14M,0.54,AKAM,0.415312387,3.460465116,7.127721056,21,11,2017
20-Nov-17,55.38,55.6,55.6,55,1.92M,-0.11,AKAM,0.288600289,3.886397608,8.04508356,20,11,2017
17-Nov-17,55.44,55.37,55.56,55.18,3.90M,0.33,AKAM,0.199058994,2.045705861,6.747638327,17,11,2017
16-Nov-17,55.26,54.21,55.3,53.92,2.76M,2.31,AKAM,0.370301796,0.668523677,4.956437561,16,11,2017
15-Nov-17,54.01,53.5,54.14,53.34,2.44M,0.48,AKAM,-0.465116279,-0.483630952,4.901960784,15,11,2017
14-Nov-17,53.75,53.43,53.87,53.08,1.68M,0.43,AKAM,-0.168161435,-0.613839286,5.634638197,14,11,2017
13-Nov-17,53.52,54.11,54.23,53.46,3.01M,-1.36,AKAM,-0.276446738,0.688500186,6.662724226,13,11,2017
10-Nov-17,54.26,53.8,54.32,53.7,1.98M,0.76,AKAM,-0.092850511,1.490284852,5.988967691,10,11,2017
9-Nov-17,53.85,53.66,53.87,53.01,1.79M,0.17,AKAM,-0.186011905,2.620003825,6.215360253,9,11,2017
8-Nov-17,53.76,53.85,53.93,53.23,1.44M,0,AKAM,0.167410714,2.201556273,6.591448931,8,11,2017
7-Nov-17,53.76,54,54.02,53.5,1.66M,0.04,AKAM,0.483810942,3.349282297,5.82010582,7,11,2017
6-Nov-17,53.74,53.12,53.76,52.92,1.30M,1.38,AKAM,0.207508017,1.258101411,5.585370702,6,11,2017
3-Nov-17,53.01,52.26,53.1,52.02,1.61M,1.38,AKAM,-0.057372347,-1.396226415,3.219435118,3,11,2017
2-Nov-17,52.29,52.55,52.61,51.79,1.55M,-0.76,AKAM,-0.265705067,-1.481064867,3.485624262,2,11,2017
1-Nov-17,52.69,52.7,53.07,52.34,1.61M,0.84,AKAM,0.861244019,-2.407407407,4.356435644,1,11,2017
31-Oct-17,52.25,52.4,52.6,52.2,1.75M,-0.4,AKAM,-0.114372856,0.943941437,3.762376238,31,10,2017
30-Oct-17,52.46,53.11,53.13,52.15,2.07M,-1.02,AKAM,0.20754717,3.206373883,6.22,30,10,2017
27-Oct-17,53,53.96,54.01,52.29,2.81M,-0.64,AKAM,1.162354706,4.029304029,10.75533662,27,10,2017
26-Oct-17,53.34,54.02,54.65,52.88,3.69M,-1.22,AKAM,0.037037037,4.58857696,13.29697987,26,10,2017
25-Oct-17,54,55.65,56.85,53.84,10.27M,4.03,AKAM,7.2047775,9.117647059,16.54450262,25,10,2017
24-Oct-17,51.91,51.5,52.09,50.96,4.79M,0.87,AKAM,0.077730276,1.818900751,7.673008572,24,10,2017
23-Oct-17,51.46,51.89,52.09,51.41,2.70M,-0.79,AKAM,0.038557933,2.286615415,8.284641068,23,10,2017
20-Oct-17,51.87,51.86,52.1,51.63,1.90M,0.43,AKAM,0.406582769,2.167060678,7.303951997,20,10,2017
19-Oct-17,51.65,50.92,51.68,50.83,1.28M,1.27,AKAM,-0.156862745,0.791765637,7.154882155,19,10,2017
18-Oct-17,51,50.7,51.19,50.56,1.32M,0.83,AKAM,0.237247924,0.356294537,6.356198867,18,10,2017
17-Oct-17,50.58,50.65,50.92,50.39,911.52K,-0.3,AKAM,-0.157697615,-0.744660004,6.20675194,17,10,2017
16-Oct-17,50.73,50.84,51.1,50.7,1.43M,-0.06,AKAM,0.157604413,1.053468495,6.874080303,16,10,2017
13-Oct-17,50.76,50.66,50.89,50.58,1.51M,0.48,AKAM,0.277117973,0.059253407,7.013096747,13,10,2017
12-Oct-17,50.52,50.41,50.93,50.22,1.17M,0,AKAM,-0.21773555,-0.72863332,8.175965665,12,10,2017
11-Oct-17,50.52,49.86,50.52,49.59,2.44M,-1,AKAM,-2.292768959,-1.267326733,6.812339332,11,10,2017
10-Oct-17,51.03,50.73,51.11,50.59,1.03M,1.43,AKAM,0.834824091,0.455445545,8.397435897,10,10,2017
9-Oct-17,50.31,50.59,50.59,50.1,1.19M,-0.63,AKAM,-0.079004543,1.18,8.865935012,9,10,2017
6-Oct-17,50.63,50.7,50.87,50.21,1.35M,-0.3,AKAM,-0.15754234,4.064039409,10.2173913,6,10,2017
5-Oct-17,50.78,50.6,50.86,50.34,1.41M,0.55,AKAM,0.198019802,6.124161074,8.11965812,5,10,2017
4-Oct-17,50.5,50.49,50.7,50.26,1.37M,0,AKAM,-0.01980198,5.738219895,7.677543186,4,10,2017
3-Oct-17,50.5,50.14,50.63,49.91,1.80M,1,AKAM,0.28,4.829604851,8.598657137,3,10,2017
2-Oct-17,50,49.35,50.08,48.72,2.61M,2.63,AKAM,1.293103448,2.984140234,4.821580289,2,10,2017
29-Sep-17,48.72,47.59,48.82,47.58,1.82M,2.18,AKAM,-0.188758389,-1.531140079,0.933191941,29,9,2017
28-Sep-17,47.68,47.62,47.71,46.97,1.78M,-0.15,AKAM,-0.272251309,0.21043771,2.47471487,28,9,2017
27-Sep-17,47.75,48.12,48.13,47.44,1.56M,-0.17,AKAM,0.606314029,0.943989931,5.272369285,27,9,2017
26-Sep-17,47.83,48.21,48.34,47.76,1.87M,-0.19,AKAM,0.605175292,1.090375341,6.801063358,26,9,2017
25-Sep-17,47.92,48.2,48.6,47.44,2.56M,-0.85,AKAM,-0.268984068,1.324364095,7.158737217,25,9,2017
22-Sep-17,48.33,47.26,48.38,47.01,1.66M,1.7,AKAM,-0.547138047,-0.168990283,4.488171568,22,9,2017
21-Sep-17,47.52,47.59,47.89,47.5,1.11M,-0.31,AKAM,-0.167820432,2.124463519,4.777631,21,9,2017
20-Sep-17,47.67,47.69,47.9,47.34,1.41M,-0.04,AKAM,0,2.163667524,4.103907444,20,9,2017
19-Sep-17,47.69,47.77,47.82,47.29,1.70M,0.25,AKAM,0.420433046,2.072649573,6.36829214,19,9,2017
18-Sep-17,47.57,47.39,47.91,47.35,1.40M,0.49,AKAM,0.105618927,1.979771896,4.475308642,18,9,2017
15-Sep-17,47.34,46.56,47.36,46.49,2.70M,1.59,AKAM,-0.08583691,1.217391304,2.555066079,15,9,2017
14-Sep-17,46.6,46.57,46.66,46.13,1.52M,-0.17,AKAM,-0.235646958,-0.491452991,0.604882264,14,9,2017
13-Sep-17,46.68,46.74,46.91,46.53,1.13M,-0.26,AKAM,-0.128205128,-0.319897633,0.863185153,13,9,2017
12-Sep-17,46.8,46.45,46.98,46.26,1.31M,0.71,AKAM,-0.043038519,0.606454408,-0.790260572,12,9,2017
11-Sep-17,46.47,46.29,46.62,46.22,1.36M,1.02,AKAM,0.630434783,-1.677994902,-0.17252534,11,9,2017
8-Sep-17,46,46.95,46.95,45.94,1.69M,-1.71,AKAM,0.320512821,-0.424178155,1.381990931,8,9,2017
7-Sep-17,46.8,46.98,47,46.61,1.47M,-0.19,AKAM,0.19193858,1.097482247,-0.886075949,7,9,2017
6-Sep-17,46.89,46.23,46.97,46.1,1.57M,1.56,AKAM,0.129954516,1.137606651,-2.20012693,6,9,2017
5-Sep-17,46.17,46.86,47,45.81,1.65M,-1.93,AKAM,-0.46728972,3.810367745,-0.951173114,5,9,2017
1-Sep-17,47.08,47.28,47.65,47.05,1.15M,-0.15,AKAM,0.275715801,5.113383726,-1.2325047,1,9,2017
31-Aug-17,47.15,46.63,47.35,46.53,1.72M,1.46,AKAM,0.344308156,3.095290736,-2.935054122,31,8,2017
30-Aug-17,46.47,45.72,46.53,45.64,1.82M,1.66,AKAM,0.021877051,0.660501982,-3.767627868,30,8,2017
29-Aug-17,45.71,44.81,45.86,44.71,1.99M,1.26,AKAM,-0.731058928,-2.182929491,-5.722701452,29,8,2017
28-Aug-17,45.14,45.06,45.25,44.91,1.11M,0.36,AKAM,0.177856825,0.334001336,-4.41238863,28,8,2017
25-Aug-17,44.98,45.49,45.49,44.95,1.76M,-0.55,AKAM,0.574839708,0.28659612,-2.985711239,25,8,2017
24-Aug-17,45.23,45.51,45.67,45.1,1.20M,-0.42,AKAM,0.198150594,0.242290749,-1.086720278,24,8,2017
23-Aug-17,45.42,45.55,45.76,45.32,1.14M,-0.85,AKAM,-0.567561668,-1.598617412,0.13189712,23,8,2017
22-Aug-17,45.81,45.04,45.89,45.04,1.29M,2,AKAM,0.289467825,-2.805351748,-15.46546547,22,8,2017
21-Aug-17,44.91,45.29,45.39,44.65,1.32M,-0.99,AKAM,-0.154320988,-3.267834259,-13.51919038,21,8,2017
18-Aug-17,45.36,45.46,45.86,45.18,1.38M,-0.09,AKAM,0.13215859,-1.962475739,-12.79493574,18,8,2017
17-Aug-17,45.4,46.39,46.4,45.37,1.52M,-1.92,AKAM,0.21602938,0.172748866,-11.40183346,17,8,2017
16-Aug-17,46.29,46.41,46.74,45.87,1.72M,-0.11,AKAM,0.151057402,-2.088607595,-10.92130518,16,8,2017
15-Aug-17,46.34,46.82,47.09,46.13,1.69M,-1.03,AKAM,0,-0.951977999,-9.140306618,15,8,2017
