Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,260.88,259.96,262.79,254.24,1.09M,0.97,ALGN,0.615396524,2.193568677,10.64481805,30,11,2017
29-Nov-17,258.37,264.4,264.64,254.02,1.34M,-2.22,ALGN,0.064337887,3.108060679,10.63687338,29,11,2017
28-Nov-17,264.23,264.4,266.41,259,1.02M,0.69,ALGN,0.754515662,3.479315878,12.23840048,28,11,2017
27-Nov-17,262.42,255.78,263.9,255.54,1.05M,3.01,ALGN,0.400376825,0.744416873,8.408917521,27,11,2017
24-Nov-17,254.76,254.32,255.73,253.44,285.87K,0.15,ALGN,-0.02358676,-0.235367959,25.29313233,24,11,2017
22-Nov-17,254.38,255.41,257.35,251.57,804.95K,-0.8,ALGN,-0.397769372,2.496087323,26.59727385,22,11,2017
21-Nov-17,256.43,257.67,258.88,252.03,1.30M,0.36,ALGN,0.845368087,1.436894733,26.48242686,21,11,2017
20-Nov-17,255.51,254.64,258.61,253.67,718.20K,0.64,ALGN,0.295403521,0.358648958,25.58690077,20,11,2017
17-Nov-17,253.89,254.74,255.77,251.5,666.79K,-0.4,ALGN,-0.070610388,2.116571795,26.81202708,17,11,2017
16-Nov-17,254.92,251.76,255.98,249.18,1.05M,2.3,ALGN,1.031341547,0.853262829,27.89433579,16,11,2017
15-Nov-17,249.19,252.24,253.64,243,1.47M,-1.9,ALGN,-0.700732226,-0.197831764,29.86665294,15,11,2017
14-Nov-17,254.02,251.78,256.1,251,948.70K,0.11,ALGN,-0.76853348,2.158565284,29.60312966,14,11,2017
13-Nov-17,253.73,249.29,257.6,248.29,952.44K,1.71,ALGN,-0.068147198,1.959100204,28.91865336,13,11,2017
10-Nov-17,249.46,249.38,251.01,246.26,927.59K,-0.07,ALGN,-0.100148219,3.327118293,29.33976454,10,11,2017
9-Nov-17,249.63,251.8,254.19,245.53,1.31M,-1.23,ALGN,-0.371923716,7.851115775,30.88678657,9,11,2017
8-Nov-17,252.74,246,253.65,246,1.08M,2.55,ALGN,-0.186642863,4.703128325,27.81876754,8,11,2017
7-Nov-17,246.46,245,246.84,243.66,613.53K,0.8,ALGN,0.204498978,2.51903925,29.85636296,7,11,2017
6-Nov-17,244.5,244.02,246.83,238.59,1.06M,1.31,ALGN,1.106277191,3.587044191,29.70818051,6,11,2017
3-Nov-17,241.35,233.85,242.55,233.85,1.04M,3.38,ALGN,0.162761811,-0.885818428,25.02673225,3,11,2017
2-Nov-17,233.47,235.38,237.95,233,1.04M,-0.63,ALGN,0.183017663,15.96216376,26.13471947,2,11,2017
1-Nov-17,234.95,243,244.6,232.31,1.44M,-1.69,ALGN,1.682149134,20.44609665,30.65921067,1,11,2017
31-Oct-17,238.98,235.1,240.66,235.05,951.74K,1.45,ALGN,-0.199516067,15.40349499,26.09278627,31,10,2017
30-Oct-17,235.57,234.35,243.27,233.36,1.41M,-0.16,ALGN,-0.673900144,15.57999605,25.17359256,30,10,2017
27-Oct-17,235.94,225.64,239.83,223.56,3.30M,16.24,ALGN,11.16366144,12.32576663,21.1359854,27,10,2017
26-Oct-17,202.98,202.59,207.65,199.45,1.93M,0.61,ALGN,0.416356877,2.915925832,10.68072552,26,10,2017
25-Oct-17,201.75,203,203.89,200.27,1.11M,-0.97,ALGN,-0.353426271,4.515265407,9.860374499,25,10,2017
24-Oct-17,203.72,202.76,205.07,198.44,1.11M,0.47,ALGN,0,4.370206414,10.07600434,24,10,2017
23-Oct-17,202.76,205.45,205.99,202.46,1.24M,0.94,ALGN,2.274990044,6.247091069,11.12012548,23,10,2017
20-Oct-17,200.88,196.67,201.7,196.67,2.88M,2.05,ALGN,-0.091440183,2.001970852,4.611702128,20,10,2017
19-Oct-17,196.85,194.23,196.89,191.8,928.08K,1.35,ALGN,0,0.961638424,4.245384285,19,10,2017
18-Oct-17,194.23,194.72,196,193.62,775.76K,-0.02,ALGN,0.231636382,1.174269978,3.146519758,18,10,2017
17-Oct-17,194.27,193.46,196.04,192.65,805.64K,0.47,ALGN,0.046542897,2.538824402,3.355059301,17,10,2017
