Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,109.81,108.01,111.88,107.85,2.72M,2.27,ALXN,0.596069666,0.381040892,-6.936067551,30,11,2017
29-Nov-17,107.37,107.84,110.51,106.34,2.59M,-0.68,ALXN,-0.240518039,-0.194354466,-9.877987632,29,11,2017
28-Nov-17,108.1,108.5,108.79,107.18,2.02M,0.32,ALXN,0.696055684,0.009217439,-15.10836398,28,11,2017
27-Nov-17,107.75,108.64,110.91,107.22,2.33M,-0.79,ALXN,0.027621766,-2.011364661,-15.53413155,27,11,2017
24-Nov-17,108.61,107.87,109.1,107.57,662.48K,0.94,ALXN,0.250929368,-2.229674613,-14.43642421,24,11,2017
22-Nov-17,107.6,108.25,108.55,107.07,1.80M,-0.42,ALXN,0.185099491,-1.894145369,-17.99863647,22,11,2017
21-Nov-17,108.05,109.08,109.43,107.9,2.84M,-0.41,ALXN,0.543828924,-0.818330606,-20.18147227,21,11,2017
20-Nov-17,108.49,110.52,111,108.01,1.76M,-2.15,ALXN,-0.315685037,-2.582635522,-18.25443787,20,11,2017
17-Nov-17,110.87,110.15,111.27,109.61,2.18M,0.49,ALXN,-0.163146923,-4.358773986,-20.76679614,17,11,2017
16-Nov-17,110.33,111.18,111.61,108.22,2.89M,-0.01,ALXN,0.761283306,-4.459912349,-20.8457924,16,11,2017
15-Nov-17,110.34,110.1,111.25,108.64,3.09M,0.33,ALXN,0.109110747,-4.584452726,-21.49172847,15,11,2017
14-Nov-17,109.98,113.08,113.5,109.63,2.53M,-3.06,ALXN,-0.326134861,-3.696133538,-21.01145571,14,11,2017
13-Nov-17,113.45,115.02,115.34,113.22,1.62M,-1.49,ALXN,-0.130242251,-0.793513886,-18.33285998,13,11,2017
10-Nov-17,115.17,115.49,116.14,114.91,1.52M,-1.03,ALXN,-0.756208645,-2.085629504,-17.86501671,10,11,2017
9-Nov-17,116.37,114.52,117.01,114.48,1.37M,0.85,ALXN,-0.753964815,-0.959958488,-19.04425279,9,11,2017
8-Nov-17,115.39,117.96,118.74,114.1,2.21M,-1.73,ALXN,0.459887583,1.637084267,-16.47666926,8,11,2017
7-Nov-17,117.42,115.71,117.57,113.52,1.96M,1.28,ALXN,-0.198378472,-3.301019555,-19.55645161,7,11,2017
6-Nov-17,115.94,117.26,118.86,115.44,1.84M,-1.7,ALXN,-0.584993641,-8.254440185,-16.91937084,6,11,2017
3-Nov-17,117.95,115.31,118.13,115.12,1.37M,2.01,ALXN,-0.276744789,-10.34831286,-18.39348903,3,11,2017
2-Nov-17,115.63,117.33,117.47,115,2.12M,-0.37,ALXN,1.094261589,-6.932656461,-18.40183601,2,11,2017
1-Nov-17,116.06,119.97,120.49,114.79,3.60M,-3.01,ALXN,0.259067358,-9.120521173,-15.47241598,1,11,2017
31-Oct-17,119.66,125.54,126.04,119.15,5.09M,-6.38,ALXN,-1.77607386,-8.136982292,-11.26661012,31,10,2017
30-Oct-17,127.81,127.78,131.39,126.9,2.89M,-0.63,ALXN,-0.653086612,-5.48816568,-9.324439398,30,10,2017
27-Oct-17,128.62,125.35,129.4,124.1,3.75M,2.02,ALXN,-0.571111287,-9.833117537,-10.64936916,27,10,2017
26-Oct-17,126.07,130.85,131.75,125.79,4.98M,-4.5,ALXN,-0.878721309,-6.841805496,-5.414196906,26,10,2017
25-Oct-17,132.01,134.18,136.53,131.59,3.26M,-3.4,ALXN,-1.814722669,-4.321163719,-3.779132305,25,10,2017
24-Oct-17,136.66,141.31,142.24,136.13,4.91M,1.08,ALXN,4.519230769,-1.292260408,1.152469578,24,10,2017
