Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,52.77,53.71,53.76,52.33,14.55M,-0.26,AMAT,1.512001512,-6.882801664,-3.590019745,30,11,2017
29-Nov-17,52.91,56.86,57.06,51.59,25.32M,-7.71,AMAT,-0.819815106,-3.299319728,0.762006025,29,11,2017
28-Nov-17,57.33,57,57.63,56.76,7.88M,0.68,AMAT,0.105374078,-1.076015272,1.967799642,28,11,2017
27-Nov-17,56.94,56.92,57.33,56.27,7.96M,-1.68,AMAT,-1.709549301,0.761196672,0.405715294,27,11,2017
24-Nov-17,57.91,57.85,58.13,57.67,3.70M,0.4,AMAT,0.294729542,0.017289073,3.432862507,24,11,2017
22-Nov-17,57.68,58.94,59,57.5,8.30M,-1.9,AMAT,0.238095238,5.68405953,6.582278481,22,11,2017
21-Nov-17,58.8,58,58.86,58,10.20M,2.05,AMAT,0.659493232,2.800425381,2.873359347,21,11,2017
20-Nov-17,57.62,56.66,58.22,56.66,14.36M,2,AMAT,0.300938219,-0.648781343,0.514458045,20,11,2017
17-Nov-17,56.49,60.46,60.89,56.09,27.44M,-2.33,AMAT,4.529737206,7.274662881,7.791050098,17,11,2017
16-Nov-17,57.84,56.36,58,56.26,16.71M,3.71,AMAT,1.057916443,1.586157174,1.861557925,16,11,2017
15-Nov-17,55.77,56.23,56.54,55.46,9.61M,-1.15,AMAT,-0.336760014,-1.212227688,1.608239971,15,11,2017
14-Nov-17,56.42,56.83,56.9,55.8,9.64M,-1.07,AMAT,-0.350692618,0.637506641,3.083620533,14,11,2017
13-Nov-17,57.03,56.4,57.09,56.1,9.41M,1.19,AMAT,0.070972321,0.124267708,2.470930233,13,11,2017
10-Nov-17,56.36,55.65,56.51,55.31,7.37M,1.59,AMAT,0.306416727,-1.591511936,3.170189099,10,11,2017
9-Nov-17,55.48,56.48,56.58,54.8,10.28M,-2.53,AMAT,-0.773014758,0.391041593,5.946351529,9,11,2017
8-Nov-17,56.92,56.49,57.13,56.22,7.47M,0.8,AMAT,0.035417036,1.400107701,6.124365959,8,11,2017
7-Nov-17,56.47,56.38,57.21,56.31,8.18M,0.25,AMAT,0.088762649,-0.088605352,7.206693288,7,11,2017
6-Nov-17,56.33,56.69,56.72,55.7,7.89M,-0.39,AMAT,0.247568523,1.413237925,7.591573354,6,11,2017
3-Nov-17,56.55,56.29,56.55,55.92,5.57M,0.52,AMAT,0.053323854,-0.705591815,7.423664122,3,11,2017
2-Nov-17,56.26,55.72,56.38,55.11,6.55M,0.99,AMAT,0.017950099,-0.375469337,8.34143496,2,11,2017
1-Nov-17,55.71,57,57.34,55.2,10.48M,-1.28,AMAT,1.01010101,3.074141049,10.46511628,1,11,2017
31-Oct-17,56.43,56.05,56.68,55.69,7.66M,0.95,AMAT,0.268336315,-0.585313941,8.121141975,31,10,2017
30-Oct-17,55.9,56.5,56.6,55.58,7.34M,-1.39,AMAT,-0.335156112,0.230619124,8.486943164,30,10,2017
27-Oct-17,56.69,56.26,56.82,55.5,10.52M,1.36,AMAT,0.590023243,0.303084329,8.005375312,27,10,2017
26-Oct-17,55.93,55.67,56.43,55.59,8.21M,1.14,AMAT,0.669077758,0.614494849,9.976293955,26,10,2017
25-Oct-17,55.3,56.29,56.38,54.57,13.69M,-1.92,AMAT,-0.159631075,1.716660643,15.25389025,25,10,2017
24-Oct-17,56.38,56.61,56.66,55.86,7.76M,0.02,AMAT,0.425758382,2.684563758,23.27961672,24,10,2017
23-Oct-17,56.37,56.49,56.73,55.8,11.00M,0.5,AMAT,0.713139597,2.634447674,21.92963523,23,10,2017
20-Oct-17,56.09,55.84,56.23,55.73,10.58M,1.37,AMAT,0.921742274,3.522432332,16.89344777,20,10,2017
19-Oct-17,55.33,54.7,55.34,54.15,7.97M,-0.02,AMAT,-1.15648717,2.607390733,16.01272534,19,10,2017
18-Oct-17,55.34,55.29,55.61,54.67,9.46M,0.38,AMAT,0.290223109,3.869998121,16.94162437,18,10,2017
17-Oct-17,55.13,54.97,55.28,54.28,10.24M,0.16,AMAT,-0.127180233,4.525575204,13.90385412,17,10,2017
16-Oct-17,55.04,54.28,55.09,54.28,9.92M,2.04,AMAT,0.630329996,3.017650408,12.96566077,16,10,2017
13-Oct-17,53.94,53.6,54.05,53.24,10.21M,1.18,AMAT,0.543987995,2.290076336,13.70386084,13,10,2017
12-Oct-17,53.31,53.15,54.13,53.04,12.61M,0.15,AMAT,-0.150291189,3.344351546,12.96493092,12,10,2017
11-Oct-17,53.23,52.39,53.38,52.3,7.75M,1.22,AMAT,-0.380300437,1.531007752,13.59496964,11,10,2017
10-Oct-17,52.59,53.05,53.07,51.79,8.22M,-0.19,AMAT,0.683241602,2.334104938,16.21029573,10,10,2017
9-Oct-17,52.69,52.69,53.04,52.21,8.76M,0.55,AMAT,0.553435115,1.171274962,15.59894691,9,10,2017
