Date	Price	Open	High	Low	Vol.	Change %	Stock	O-Change	W-Change	M-Change	Day	Month	Year
30-Nov-17	175.66	172.63	176.06	172.63	3.82M	1.99	AMGN	0.232247576	1.570957872	-1.59046859	30	11	2017
29-Nov-17	172.23	171	174	170.59	3.24M	1.16	AMGN	0.43462939	0.682995761	-2.408400867	29	11	2017
28-Nov-17	170.26	170.57	170.66	169.43	2.66M	0.32	AMGN	0.506746803	1.054564844	-2.302537373	28	11	2017
27-Nov-17	169.71	170.56	171.26	169.56	2.15M	-0.24	AMGN	0.258640959	0.329411765	-2.692834322	27	11	2017
24-Nov-17	170.12	169.5	170.76	169.49	999.77K	0.09	AMGN	-0.270651918	-0.743690344	-3.976886472	24	11	2017
22-Nov-17	169.96	169.86	170.73	169.33	1.53M	0.07	AMGN	0.011775789	0.283386468	-4.304225352	22	11	2017
21-Nov-17	169.84	169.35	170.49	168.89	2.63M	0.62	AMGN	0.331773209	-0.458472932	-6.10966347	21	11	2017
20-Nov-17	168.79	169.9	170.22	168.15	2.01M	-0.71	AMGN	-0.058823529	-0.932944606	-5.888218025	20	11	2017
17-Nov-17	170	170.67	171.09	169.54	2.04M	-0.45	AMGN	-0.058558295	-0.974760661	-6.71731526	17	11	2017
16-Nov-17	170.77	168.91	171.15	168.75	3.13M	0.82	AMGN	-0.277482584	-2.925287356	-8.260916793	16	11	2017
15-Nov-17	169.38	170.19	170.52	168.33	3.15M	-0.44	AMGN	0.035267149	-1.952989976	-8.637534894	15	11	2017
14-Nov-17	170.13	170.89	171.49	168.31	2.60M	-0.8	AMGN	-0.355685131	-1.492967489	-8.217412321	14	11	2017
13-Nov-17	171.5	171.58	172.94	171.1	2.12M	-0.49	AMGN	-0.446765303	0.456674473	-5.673446949	13	11	2017
10-Nov-17	172.35	173.15	173.48	171.19	1.93M	-0.95	AMGN	-0.488505747	-0.167204797	-5.387683733	10	11	2017
9-Nov-17	174	172.75	174.23	171.31	2.01M	0.24	AMGN	-0.478165687	0.197204338	-5.477128475	9	11	2017
8-Nov-17	173.58	174	174.65	173.18	2.00M	0.06	AMGN	0.299746368	-0.809485805	-5.511811024	8	11	2017
7-Nov-17	173.48	170.61	174.75	170.61	3.10M	1.57	AMGN	-0.111241218	-2.630978199	-8.170515098	7	11	2017
