Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,"1,176.75","1,167.10","1,178.57","1,160.00",4.51M,1.33,AMZN,0.502036563,0.946235815,5.746230792,30,11,2017
29-Nov-17,"1,161.27","1,194.80","1,194.80","1,145.19",9.26M,-2.71,AMZN,0.100536193,4.853925879,8.099305153,29,11,2017
28-Nov-17,"1,193.60","1,204.88","1,205.34","1,188.52",4.56M,-0.19,AMZN,0.756796535,6.975876979,8.464689202,28,11,2017
27-Nov-17,"1,195.83","1,202.66","1,213.41","1,191.15",6.74M,0.83,AMZN,1.404721754,6.441392006,9.238385031,27,11,2017
24-Nov-17,"1,186.00","1,160.70","1,186.84","1,160.70",3.53M,2.58,AMZN,0.392679214,2.058401991,19.36077661,24,11,2017
22-Nov-17,"1,156.16","1,141.00","1,160.27","1,141.00",3.56M,1.46,AMZN,0.132515424,1.27009204,17.27703487,22,11,2017
21-Nov-17,"1,139.49","1,132.86","1,140.00","1,128.20",2.48M,1.17,AMZN,0.581545045,-0.350093241,16.08361512,21,11,2017
20-Nov-17,"1,126.31","1,129.77","1,133.42","1,122.55",2.16M,-0.32,AMZN,-0.009735547,0.053136375,16.91710649,20,11,2017
17-Nov-17,"1,129.88","1,138.28","1,138.80","1,125.81",2.41M,-0.65,AMZN,0.087049038,1.148975874,15.80714409,17,11,2017
16-Nov-17,"1,137.29","1,130.16","1,138.16","1,130.05",2.21M,0.94,AMZN,0.307981787,0.091220674,14.54982212,16,11,2017
15-Nov-17,"1,126.69","1,127.01","1,131.75","1,121.63",3.93M,-0.89,AMZN,-0.864677527,-0.518148436,13.04012036,15,11,2017
14-Nov-17,"1,136.84","1,130.11","1,138.00","1,123.89",3.14M,0.68,AMZN,0.083246987,0.617893996,11.98854459,14,11,2017
13-Nov-17,"1,129.17","1,123.00","1,139.90","1,122.34",2.92M,0.34,AMZN,-0.208823921,0.208805525,11.59250353,13,11,2017
10-Nov-17,"1,125.35","1,126.10","1,131.75","1,124.06",2.18M,-0.33,AMZN,-0.268348197,1.304426053,12.2798971,10,11,2017
9-Nov-17,"1,129.13","1,125.96","1,129.62","1,115.77",3.73M,-0.33,AMZN,-0.610832568,2.900696386,12.49138301,9,11,2017
8-Nov-17,"1,132.88","1,122.82","1,135.54","1,119.11",2.58M,0.86,AMZN,-0.031161801,1.734198318,12.84623116,8,11,2017
7-Nov-17,"1,123.17","1,124.74","1,130.60","1,117.50",2.69M,0.22,AMZN,0.364071172,1.760639838,13.93233387,7,11,2017
6-Nov-17,"1,120.66","1,109.15","1,125.41","1,108.77",3.38M,0.82,AMZN,-0.220403023,-0.153035963,11.92343011,6,11,2017
3-Nov-17,"1,111.60","1,091.15","1,112.68","1,088.52",3.75M,1.59,AMZN,-0.280565151,-0.890140333,10.26395036,3,11,2017
2-Nov-17,"1,094.22","1,097.81","1,101.93","1,086.87",3.68M,-0.86,AMZN,-0.53185706,12.89347305,11.92435133,2,11,2017
1-Nov-17,"1,103.68","1,105.40","1,108.97","1,096.74",3.76M,-0.14,AMZN,0.010856977,13.61790916,14.49583096,1,11,2017
31-Oct-17,"1,105.28","1,109.00","1,110.54","1,101.12",3.48M,-0.5,AMZN,-0.166539137,13.63869249,15.87085989,31,10,2017
30-Oct-17,"1,110.85","1,095.01","1,122.79","1,093.56",6.61M,0.9,AMZN,-0.539534039,13.31987995,14.15986405,30,10,2017
27-Oct-17,"1,100.95","1,058.14","1,105.58","1,050.55",16.57M,13.22,AMZN,8.814002036,7.653803502,10.06813335,27,10,2017
26-Oct-17,972.43,980.33,982.9,968.55,5.62M,-0.05,AMZN,0.762660472,-0.636523044,2.502091175,26,10,2017
25-Oct-17,972.91,978,984.44,966.24,3.03M,-0.31,AMZN,0.215185982,-1.905717151,2.853176565,25,10,2017
24-Oct-17,975.9,969,979.85,965,2.72M,0.99,AMZN,0.27941633,-3.976692795,3.238866397,24,10,2017
23-Oct-17,966.3,986.73,986.77,962.5,3.49M,-1.69,AMZN,0.38864189,-1.948645587,4.994732866,23,10,2017
20-Oct-17,982.91,993.53,994.62,982,2.37M,-0.38,AMZN,0.701391634,-0.93824157,4.023662444,20,10,2017
