Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,62.4,62.55,62.73,60.86,8.95M,0.63,AMZN,0.870827286,-3.976051581,-4.255319149,30,11,2017
29-Nov-17,62.01,65.61,65.71,61.95,9.26M,-6,AMZN,-0.545702592,1.720930233,0.183234082,29,11,2017
28-Nov-17,65.97,66.02,66.46,65.84,3.98M,0.35,AMZN,0.425920292,3.269200688,1.102603369,28,11,2017
27-Nov-17,65.74,66.18,66.45,65.63,4.12M,-0.44,AMZN,0.227169468,3.244929797,3.180542563,27,11,2017
24-Nov-17,66.03,65.18,66.14,65.12,1.64M,1.37,AMZN,0.061406202,1.637299236,5.027392846,24,11,2017
22-Nov-17,65.14,64.91,66.31,64.89,5.73M,0.99,AMZN,0.635658915,3.211957386,5.015369681,22,11,2017
21-Nov-17,64.5,64.49,64.95,64.19,3.75M,0.89,AMZN,0.875958079,0.718413244,2.805675116,21,11,2017
20-Nov-17,63.93,63.93,64.18,63.28,3.14M,-0.27,AMZN,-0.265210608,0.487268155,4.018874064,20,11,2017
17-Nov-17,64.1,64,64.44,63.18,4.21M,-0.05,AMZN,-0.202713239,1.587301587,2.187450104,17,11,2017
16-Nov-17,64.13,63.13,64.41,63.04,4.59M,1.97,AMZN,0.381618699,-0.284315274,1.839006291,16,11,2017
15-Nov-17,62.89,63.43,63.67,62.5,4.07M,-1.78,AMZN,-0.937060753,-1.735089078,3.138211382,15,11,2017
14-Nov-17,64.03,63.37,64.4,62.79,4.56M,0.64,AMZN,-0.392958189,3.953412073,2.773272786,14,11,2017
13-Nov-17,63.62,62.72,63.97,62.67,3.04M,0.98,AMZN,-0.444444444,3.039264005,2.01691607,13,11,2017
10-Nov-17,63,62.87,63.07,62.25,4.86M,-0.49,AMZN,-0.694992892,-0.522151899,2.930582842,10,11,2017
9-Nov-17,63.31,63.49,64.18,62.59,5.42M,-1.92,AMZN,-1.642137878,-2.994652406,2.320709106,9,11,2017
8-Nov-17,64.55,62.5,64.9,62.15,12.60M,5.89,AMZN,2.526246719,-4.331853666,1.857887875,8,11,2017
7-Nov-17,60.96,61.09,61.35,60.1,7.60M,0.15,AMZN,0.36142599,-6.71858299,-0.585842148,7,11,2017
6-Nov-17,60.87,63.41,63.72,60.71,12.95M,-3.69,AMZN,0.332278481,-2.894333844,3.64498202,6,11,2017
3-Nov-17,63.2,66.87,67.03,62.11,18.88M,-3.44,AMZN,2.169595111,4.256314312,5.723320158,3,11,2017
2-Nov-17,65.45,65.41,65.84,64.83,6.13M,0.18,AMZN,0.122455227,5.398001934,3.677286416,2,11,2017
1-Nov-17,65.33,65.69,65.78,64.25,5.14M,-0.24,AMZN,0.305390136,6.277301408,4.885837458,1,11,2017
31-Oct-17,65.49,65.34,66.03,64.86,6.88M,0.29,AMZN,0.061255743,4.160688666,2.978723404,31,10,2017
30-Oct-17,65.3,64.33,65.58,64.27,6.57M,1.81,AMZN,0.296227003,4.669703872,1.482883736,30,10,2017
27-Oct-17,64.14,62.36,64.27,62.36,6.17M,3.35,AMZN,0.483403158,-0.431103305,-3.332816618,27,10,2017
26-Oct-17,62.06,62.27,62.59,61.88,4.85M,0.4,AMZN,0.744216146,0.451685756,-1.998740951,26,10,2017
25-Oct-17,61.81,62.28,62.6,61.19,5.42M,-1.47,AMZN,-0.717360115,1.268292683,-1.283880171,25,10,2017
24-Oct-17,62.73,61.94,63.33,61.74,6.10M,2.07,AMZN,0.78099577,0.454103146,0.291450777,24,10,2017
23-Oct-17,61.46,62.7,62.88,61.23,4.28M,-1.87,AMZN,0.111767524,1.984385166,0.901190859,23,10,2017
