"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","277.94","271.78","278.35","270.09","3.15M","2.37"
"Nov 29, 2017","271.50","278.00","278.13","264.87","4.72M","-2.13"
"Nov 28, 2017","277.40","284.86","284.90","276.84","2.68M","-2.54"
"Nov 27, 2017","284.62","280.26","285.68","279.77","2.62M","0.79"
"Nov 24, 2017","282.38","276.67","282.99","276.51","1.16M","2.55"
"Nov 22, 2017","275.37","277.02","277.71","274.17","1.86M","-0.44"
"Nov 21, 2017","276.59","276.10","278.20","274.91","2.09M","0.62"
"Nov 20, 2017","274.88","272.62","276.75","271.39","2.86M","1.11"
"Nov 17, 2017","271.86","271.77","272.11","268.43","2.41M","-0.09"
"Nov 16, 2017","272.11","266.80","274.65","266.11","3.10M","2.45"
"Nov 15, 2017","265.60","262.30","267.00","258.03","2.90M","0.89"
"Nov 14, 2017","263.26","263.30","265.58","261.26","1.97M","-0.66"
"Nov 13, 2017","265.01","262.50","265.98","261.55","2.81M","0.02"
"Nov 10, 2017","264.96","265.79","266.64","263.60","2.03M","-0.26"
"Nov 09, 2017","265.64","268.64","270.40","262.50","3.10M","-2.48"
"Nov 08, 2017","272.40","269.33","273.82","267.24","3.03M","0.40"
"Nov 07, 2017","271.32","272.54","274.50","267.54","3.68M","-2.23"
"Nov 06, 2017","277.52","278.30","281.80","270.03","7.81M","1.42"
"Nov 03, 2017","273.63","264.03","278.00","257.11","12.05M","5.45"
"Nov 02, 2017","259.50","262.17","264.64","248.87","6.72M","0.08"
"Nov 01, 2017","259.29","264.24","265.64","256.89","2.73M","-1.75"
"Oct 31, 2017","263.91","262.50","266.70","261.30","3.28M","1.03"
"Oct 30, 2017","261.23","253.30","262.20","253.27","5.02M","3.29"
"Oct 27, 2017","252.90","244.57","252.99","242.79","4.48M","3.75"
"Oct 26, 2017","243.76","247.27","247.85","243.76","2.44M","-0.84"
"Oct 25, 2017","245.82","245.88","248.93","244.23","2.10M","-0.75"
"Oct 24, 2017","247.68","245.07","248.14","244.11","2.29M","1.40"
"Oct 23, 2017","244.27","245.18","245.65","242.71","2.34M","0.01"
"Oct 20, 2017","244.24","246.96","247.00","243.76","2.35M","-0.02"
"Oct 19, 2017","244.29","240.82","244.37","238.36","2.58M","0.12"
"Oct 18, 2017","244.00","243.33","244.61","239.80","1.99M","0.57"
"Oct 17, 2017","242.62","245.84","245.94","242.34","2.70M","-1.64"
"Oct 16, 2017","246.67","248.58","249.47","245.62","1.49M","-0.52"
"Oct 13, 2017","247.96","250.15","250.84","247.47","1.53M","-0.31"
"Oct 12, 2017","248.74","250.42","251.28","248.28","2.01M","-0.66"
"Oct 11, 2017","250.40","245.21","251.17","245.14","2.66M","1.79"
"Oct 10, 2017","245.99","247.53","248.16","243.04","1.53M","-0.17"
"Oct 09, 2017","246.42","246.00","247.25","245.39","1.66M","0.28"
"Oct 06, 2017","245.74","240.30","245.75","240.30","1.75M","0.85"
"Oct 05, 2017","243.67","243.27","245.74","242.37","2.28M","0.69"
"Oct 04, 2017","242.00","238.78","242.33","237.51","2.33M","1.04"
"Oct 03, 2017","239.50","240.08","240.94","237.89","2.56M","-0.40"
"Oct 02, 2017","240.47","245.31","245.31","239.75","1.94M","-0.85"
"Sep 29, 2017","242.54","242.94","244.28","241.51","1.73M","-0.16"
"Sep 28, 2017","242.94","239.51","243.36","239.50","2.19M","0.98"
"Sep 27, 2017","240.58","239.50","242.67","238.58","2.65M","1.40"
"Sep 26, 2017","237.27","237.88","239.95","235.31","3.90M","0.75"
"Sep 25, 2017","235.51","237.19","237.81","231.53","3.87M","-1.56"
"Sep 22, 2017","239.24","238.34","240.75","238.12","2.31M","-0.47"
"Sep 21, 2017","240.38","242.46","242.70","238.18","2.86M","-1.04"
"Sep 20, 2017","242.91","249.74","249.88","237.86","5.70M","-2.74"
"Sep 19, 2017","249.76","251.17","251.85","248.33","2.21M","-0.02"
"Sep 18, 2017","249.82","251.05","252.83","248.61","2.57M","-0.29"
"Sep 15, 2017","250.55","247.63","251.19","245.11","5.01M","1.46"
"Sep 14, 2017","246.95","244.62","247.51","243.24","2.86M","0.29"
"Sep 13, 2017","246.24","245.82","247.91","245.15","2.97M","-0.36"
"Sep 12, 2017","247.14","249.66","249.74","245.50","1.84M","-0.24"
"Sep 11, 2017","247.74","247.08","248.24","246.01","1.69M","1.49"
"Sep 08, 2017","244.11","245.92","246.40","243.10","1.81M","-0.99"
"Sep 07, 2017","246.55","249.79","250.00","246.13","1.61M","-1.13"
"Sep 06, 2017","249.38","250.61","251.31","247.70","1.40M","0.13"
"Sep 05, 2017","249.05","250.12","252.73","247.02","2.43M","-1.46"
"Sep 01, 2017","252.73","252.33","255.34","252.30","2.32M","0.26"
"Aug 31, 2017","252.07","246.62","252.53","245.55","2.95M","2.46"
"Aug 30, 2017","246.02","241.56","246.34","240.88","2.19M","1.77"
"Aug 29, 2017","241.73","241.29","244.58","240.03","3.35M","-0.62"
"Aug 28, 2017","243.25","247.04","247.64","242.50","3.42M","-0.95"
"Aug 25, 2017","245.59","252.25","254.40","243.78","6.91M","-3.71"
"Aug 24, 2017","255.05","258.67","259.36","251.10","5.21M","-0.73"
"Aug 23, 2017","256.92","253.92","258.91","253.39","2.79M","0.68"
"Aug 22, 2017","255.19","251.83","256.19","251.00","2.69M","2.23"
"Aug 21, 2017","249.62","251.89","251.89","246.18","2.07M","0.10"
"Aug 18, 2017","249.37","247.33","251.48","246.13","2.01M","0.98"
"Aug 17, 2017","246.95","253.00","254.25","246.65","2.28M","-2.55"
"Aug 16, 2017","253.42","254.32","254.74","251.81","1.54M","-0.11"
"Aug 15, 2017","253.69","252.20","254.06","251.27","2.09M","1.11"
"Aug 14, 2017","250.91","246.86","251.25","246.00","1.67M","2.76"
"Aug 11, 2017","244.17","240.05","245.24","238.70","1.70M","1.44"
"Aug 10, 2017","240.71","246.66","247.00","240.46","2.90M","-3.40"
"Aug 09, 2017","249.17","249.53","250.36","247.52","2.13M","-0.87"
"Aug 08, 2017","251.36","251.98","254.29","250.42","2.04M","-0.43"
"Aug 07, 2017","252.44","249.39","252.89","248.90","1.87M","1.31"
"Aug 04, 2017","249.17","250.74","250.97","248.12","1.35M","-0.45"
"Aug 03, 2017","250.29","252.81","253.00","247.23","2.34M","-1.21"
"Aug 02, 2017","253.36","254.60","257.28","251.06","3.70M","2.00"
"Aug 01, 2017","248.39","248.23","250.00","246.96","1.76M","0.70"
"Jul 31, 2017","246.66","250.98","252.45","245.46","1.90M","-1.48"
"Jul 28, 2017","250.37","248.92","251.12","247.50","3.19M","-0.23"
"Jul 27, 2017","250.95","258.21","258.49","248.95","3.20M","-2.36"
"Jul 26, 2017","257.01","254.69","258.19","254.62","2.00M","1.07"
"Jul 25, 2017","254.30","252.80","254.41","250.18","1.61M","0.50"
"Jul 24, 2017","253.03","253.29","253.68","251.69","1.36M","-0.03"
"Jul 21, 2017","253.11","251.53","253.52","250.46","1.55M","-0.13"
