Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,277.94,271.78,278.35,270.09,3.15M,2.37,AVGO,0.103130755,-1.303700476,4.81700027,30,11,2017
29-Nov-17,271.5,278,278.13,264.87,4.72M,-2.13,AVGO,0.21629416,0.509779819,5.338941306,29,11,2017
28-Nov-17,277.4,284.86,284.9,276.84,2.68M,-2.54,AVGO,0.084322957,3.630675204,9.045668568,28,11,2017
27-Nov-17,284.62,280.26,285.68,279.77,2.62M,0.79,AVGO,-0.750761385,3.089825646,10.81850534,27,11,2017
24-Nov-17,282.38,276.67,282.99,276.51,1.16M,2.55,AVGO,0.472092094,1.675792878,13.50098457,24,11,2017
22-Nov-17,275.37,277.02,277.71,274.17,1.86M,-0.44,AVGO,0.155464767,4.299698795,12.69221381,22,11,2017
21-Nov-17,276.59,276.1,278.2,274.91,2.09M,0.62,AVGO,0.443830035,4.877307605,11.4744832,21,11,2017
20-Nov-17,274.88,272.62,276.75,271.39,2.86M,1.11,AVGO,0.279555654,2.871589751,11.60600974,20,11,2017
17-Nov-17,271.86,271.77,272.11,268.43,2.41M,-0.09,AVGO,-0.124949469,2.570199275,11.27169997,17,11,2017
16-Nov-17,272.11,266.8,274.65,266.11,3.10M,2.45,AVGO,0.451807229,0.436681223,9.214458226,16,11,2017
15-Nov-17,265.6,262.3,267,258.03,2.90M,0.89,AVGO,-0.364658512,-3.707782673,7.5,15,11,2017
14-Nov-17,263.26,263.3,265.58,261.26,1.97M,-0.66,AVGO,-0.645258669,-2.95591921,8.523617179,14,11,2017
13-Nov-17,265.01,262.5,265.98,261.55,2.81M,0.02,AVGO,-0.928442029,-5.412222543,6.417480845,13,11,2017
10-Nov-17,264.96,265.79,266.64,263.6,2.03M,-0.26,AVGO,0.056467399,-2.865182911,7.190675915,10,11,2017
9-Nov-17,265.64,268.64,270.4,262.5,3.10M,-2.48,AVGO,-1.380323054,3.522157996,8.000321621,9,11,2017
8-Nov-17,272.4,269.33,273.82,267.24,3.03M,0.4,AVGO,-0.733451275,3.872112307,7.559904153,8,11,2017
7-Nov-17,271.32,272.54,274.5,267.54,3.68M,-2.23,AVGO,-1.794465264,3.270054185,10.79312167,7,11,2017
6-Nov-17,277.52,278.3,281.8,270.03,7.81M,1.42,AVGO,1.706684209,6.534471538,12.93726159,6,11,2017
3-Nov-17,273.63,264.03,278,257.11,12.05M,5.45,AVGO,1.74566474,4.400948992,7.442825751,3,11,2017
2-Nov-17,259.5,262.17,264.64,248.87,6.72M,0.08,AVGO,1.110725443,7.552510666,7.5922354,2,11,2017
1-Nov-17,259.29,264.24,265.64,256.89,2.73M,-1.75,AVGO,0.125042628,7.493287772,9.190082645,1,11,2017
31-Oct-17,263.91,262.5,266.7,261.3,3.28M,1.03,AVGO,0.48616162,5.983527132,9.603340292,31,10,2017
30-Oct-17,261.23,253.3,262.2,253.27,5.02M,3.29,AVGO,0.158165283,3.696729029,5.335384871,30,10,2017
27-Oct-17,252.9,244.57,252.99,242.79,4.48M,3.75,AVGO,0.33229406,0.135113004,0.836975344,27,10,2017
26-Oct-17,243.76,247.27,247.85,243.76,2.44M,-0.84,AVGO,0.589862501,1.21986164,1.782333086,26,10,2017
