Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,238.58,237.38,239.19,235.19,3.13M,1.31,BIDU,0.802581851,-4.914880833,-3.279957625,30,11,2017
29-Nov-17,235.49,242.32,243.88,229.01,3.53M,-3.5,BIDU,-0.700733516,-0.810478919,-0.664097729,29,11,2017
28-Nov-17,244.03,249,249,241.91,2.34M,-1.21,BIDU,0.80155453,4.385008804,5.321038829,28,11,2017
27-Nov-17,247.02,246,248.97,245.62,2.02M,-0.96,BIDU,-1.37118114,2.81272203,2.769770648,27,11,2017
24-Nov-17,249.42,249.5,250.37,245.73,1.61M,-0.09,BIDU,-0.060084118,4.25371887,-4.266748523,24,11,2017
22-Nov-17,249.65,246.75,252.9,246.39,3.48M,2.19,BIDU,1.00286533,5.354169335,-6.192974453,22,11,2017
21-Nov-17,244.3,242,246.9,240.2,2.59M,2.41,BIDU,1.450490484,3.013791929,-8.333333333,21,11,2017
20-Nov-17,238.54,241,242.63,237.66,2.08M,-0.31,BIDU,0.723032557,1.52925812,-9.442753542,20,11,2017
17-Nov-17,239.27,241.8,243.04,239.01,2.23M,-0.02,BIDU,1.03626943,1.853411963,-8.720271801,17,11,2017
16-Nov-17,239.32,236.71,240.71,234.26,2.27M,2.18,BIDU,1.067418129,-1.395484462,-10.51338273,16,11,2017
15-Nov-17,234.21,232.01,234.84,226.01,2.66M,-0.3,BIDU,-1.238719564,-3.802139481,-13.74130944,15,11,2017
14-Nov-17,234.92,236.6,237,232.92,1.56M,-1.03,BIDU,-0.324388086,-2.821702879,-12.47410476,14,11,2017
13-Nov-17,237.37,234.69,238.46,232.02,1.71M,-0.01,BIDU,-1.141533277,-4.024046129,-13.97624808,13,11,2017
10-Nov-17,237.4,239.58,239.58,236.5,1.72M,-1.11,BIDU,-0.199950012,-0.8114598,-8.793969849,10,11,2017
9-Nov-17,240.06,237.99,240.55,236.29,2.57M,-0.46,BIDU,-1.322663571,-1.69358503,-8.228897544,9,11,2017
8-Nov-17,241.18,243.63,244.53,238.8,2.09M,-0.94,BIDU,0.065716515,-0.733406674,-6.411339889,8,11,2017
7-Nov-17,243.47,246.62,247.92,242.41,1.63M,-0.43,BIDU,0.854700855,1.098630811,-6.01730117,7,11,2017
6-Nov-17,244.53,242.71,246.7,240.8,1.84M,1.24,BIDU,0.484391819,2.660519415,-3.770517802,6,11,2017
3-Nov-17,241.54,242.65,244.39,240.32,1.62M,-0.23,BIDU,0.231318931,1.370263609,-2.034801566,3,11,2017
2-Nov-17,242.09,246.37,247.22,239.5,2.58M,-1.36,BIDU,0.383001263,-5.467730796,0.448485343,2,11,2017
1-Nov-17,245.43,247.71,251.18,245.26,3.62M,0.61,BIDU,1.545461999,-5.828010949,1.532975366,1,11,2017
31-Oct-17,243.94,238,244.41,235.03,3.76M,3.18,BIDU,0.668302174,-9.848484848,-3.643724696,31,10,2017
30-Oct-17,236.42,240.96,244.55,232.44,5.11M,-1.23,BIDU,0.66424364,-9.45778379,-3.100494631,30,10,2017
27-Oct-17,239.37,241.82,247.39,235.73,10.85M,-8.15,BIDU,-7.213567646,-8.712721782,-2.369897856,27,10,2017
26-Oct-17,260.62,262.06,265.51,259.47,3.78M,-0.92,BIDU,-0.37256691,-0.92998639,8.612400531,26,10,2017
25-Oct-17,263.04,264.68,268.51,257.69,3.12M,-0.36,BIDU,0.257575758,-1.594973417,10.36610791,25,10,2017
24-Oct-17,264,266.2,266.8,263.12,1.64M,-0.8,BIDU,0.026302935,-1.524119562,12.70587239,24,10,2017
23-Oct-17,266.13,266.1,267.87,261.51,2.02M,0.46,BIDU,0.453001133,-2.463162525,13.48031899,23,10,2017
20-Oct-17,264.9,268.4,269.8,264.35,2.12M,0.14,BIDU,1.466807803,2.177554439,11.56835848,20,10,2017
19-Oct-17,264.52,262.26,265.53,259.15,2.98M,-1.65,BIDU,-2.494702011,1.129834574,9.768960321,19,10,2017
18-Oct-17,268.97,271.1,271.49,266.97,2.16M,-0.5,BIDU,0.288546907,4.14105716,13.92671037,18,10,2017
17-Oct-17,270.32,273.7,274.97,269.44,3.19M,-0.92,BIDU,0.322556997,4.302427499,15.0725247,17,10,2017
16-Oct-17,272.82,264.98,273.07,264,3.62M,3.86,BIDU,0.875590072,5.05907541,10.83782992,16,10,2017
