"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","322.17","320.69","323.69","317.76","1.19M","0.69"
"Nov 29, 2017","319.96","317.50","321.29","316.23","1.36M","0.89"
"Nov 28, 2017","317.14","314.12","317.39","312.10","1.10M","1.74"
"Nov 27, 2017","311.73","310.07","312.45","307.01","1.35M","0.89"
"Nov 24, 2017","308.97","308.50","310.35","307.27","514.11K","-0.27"
"Nov 22, 2017","309.80","308.91","311.11","307.15","733.32K","0.24"
"Nov 21, 2017","309.06","310.87","311.22","306.11","1.28M","-0.13"
"Nov 20, 2017","309.46","313.60","315.76","309.17","667.19K","-1.44"
"Nov 17, 2017","313.97","313.47","316.00","310.18","907.44K","-0.00"
"Nov 16, 2017","313.98","310.72","314.62","309.68","731.71K","1.19"
"Nov 15, 2017","310.28","309.69","313.19","308.00","1.29M","0.19"
"Nov 14, 2017","309.69","313.34","314.44","307.50","1.21M","-1.91"
"Nov 13, 2017","315.71","310.47","316.07","308.57","1.19M","1.70"
"Nov 10, 2017","310.44","310.10","311.70","306.39","820.71K","0.15"
"Nov 09, 2017","309.96","312.00","313.97","308.90","895.41K","-0.84"
"Nov 08, 2017","312.58","314.81","314.81","311.64","1.23M","-0.32"
"Nov 07, 2017","313.57","315.94","315.98","310.46","887.46K","-0.60"
"Nov 06, 2017","315.47","314.39","319.40","314.14","1.07M","0.42"
"Nov 03, 2017","314.14","309.79","314.20","308.21","827.97K","1.53"
"Nov 02, 2017","309.40","316.00","319.22","308.59","1.57M","-2.00"
"Nov 01, 2017","315.73","312.75","319.95","311.57","1.39M","1.31"
"Oct 31, 2017","311.66","315.18","316.86","310.50","1.20M","-1.31"
"Oct 30, 2017","315.80","307.74","317.67","307.20","1.47M","2.62"
"Oct 27, 2017","307.74","307.45","309.60","305.00","1.68M","0.03"
"Oct 26, 2017","307.64","310.00","313.57","305.12","1.91M","-2.22"
"Oct 25, 2017","314.64","317.96","320.25","313.00","1.88M","-0.35"
"Oct 24, 2017","315.73","319.00","321.11","301.81","5.85M","-3.90"
"Oct 23, 2017","328.55","335.25","335.51","327.83","1.89M","-2.82"
"Oct 20, 2017","338.10","343.00","343.31","333.93","1.91M","-1.26"
"Oct 19, 2017","342.42","343.40","346.11","338.11","1.29M","-0.63"
"Oct 18, 2017","344.58","346.56","348.84","343.54","1.25M","0.03"
"Oct 17, 2017","344.47","343.12","348.65","339.69","1.62M","2.62"
"Oct 16, 2017","335.68","337.73","344.37","333.17","1.18M","-0.58"
"Oct 13, 2017","337.64","333.26","338.94","332.07","1.36M","1.30"
"Oct 12, 2017","333.31","332.93","334.32","330.04","1.12M","0.04"
"Oct 11, 2017","333.19","332.12","333.33","329.27","938.93K","0.11"
"Oct 10, 2017","332.83","328.55","332.87","328.25","1.00M","1.16"
"Oct 09, 2017","329.01","327.46","332.24","326.32","902.44K","0.47"
"Oct 06, 2017","327.48","325.21","328.50","324.60","1.04M","0.23"
"Oct 05, 2017","326.74","320.72","330.98","320.28","2.16M","3.75"
"Oct 04, 2017","314.92","313.57","316.55","306.00","1.07M","-0.78"
"Oct 03, 2017","317.39","317.11","317.80","313.91","850.87K","0.39"
"Oct 02, 2017","316.17","315.19","317.13","313.12","1.67M","0.97"
"Sep 29, 2017","313.12","309.09","313.60","303.00","1.65M","1.01"
"Sep 28, 2017","310.00","312.75","314.57","308.88","957.17K","-0.90"
"Sep 27, 2017","312.80","318.57","318.75","311.73","1.09M","-1.34"
"Sep 26, 2017","317.06","318.21","320.50","314.00","944.26K","-0.14"
"Sep 25, 2017","317.51","318.28","321.50","316.96","1.28M","-0.30"
"Sep 22, 2017","318.46","311.30","319.34","311.30","988.10K","1.09"
"Sep 21, 2017","315.03","316.39","317.96","314.44","934.73K","-1.24"
"Sep 20, 2017","319.00","318.61","321.60","316.52","849.48K","0.34"
"Sep 19, 2017","317.93","318.43","319.44","316.46","779.26K","-0.08"
"Sep 18, 2017","318.18","321.50","321.81","317.60","1.00M","-0.96"
"Sep 15, 2017","321.26","324.91","325.99","320.37","2.24M","-0.74"
"Sep 14, 2017","323.66","323.07","326.20","319.59","1.14M","-0.12"
"Sep 13, 2017","324.05","329.57","330.00","323.40","1.16M","-1.71"
"Sep 12, 2017","329.69","326.82","329.82","324.44","1.05M","0.96"
"Sep 11, 2017","326.54","329.60","329.95","322.82","1.30M","0.06"
"Sep 08, 2017","326.33","326.73","329.84","323.69","1.43M","0.75"
"Sep 07, 2017","323.90","317.36","325.77","315.00","1.57M","2.06"
"Sep 06, 2017","317.36","317.48","321.90","314.28","1.54M","0.48"
"Sep 05, 2017","315.83","318.63","319.82","312.54","1.66M","-1.61"
"Sep 01, 2017","321.01","317.16","322.12","313.68","2.08M","1.41"
"Aug 31, 2017","316.56","304.59","316.85","304.19","2.50M","4.22"
"Aug 30, 2017","303.75","291.46","305.49","291.46","1.92M","3.46"
"Aug 29, 2017","293.58","289.36","293.80","289.36","903.29K","0.44"
"Aug 28, 2017","292.30","288.12","295.50","287.00","1.45M","2.54"
"Aug 25, 2017","285.06","287.31","289.85","284.89","900.47K","-0.14"
"Aug 24, 2017","285.45","283.66","285.80","281.80","801.48K","0.99"
"Aug 23, 2017","282.64","286.00","286.00","282.26","1.05M","-1.42"
"Aug 22, 2017","286.72","284.13","288.15","283.11","945.00K","1.26"
"Aug 21, 2017","283.15","280.95","284.05","280.60","850.26K","0.49"
"Aug 18, 2017","281.77","283.31","285.67","281.65","814.07K","-0.93"
"Aug 17, 2017","284.42","293.07","294.00","284.29","1.59M","-3.28"
"Aug 16, 2017","294.08","291.16","296.91","290.29","1.68M","2.14"
"Aug 15, 2017","287.92","287.10","289.71","285.51","861.69K","0.65"
"Aug 14, 2017","286.05","285.08","286.58","284.00","786.78K","0.84"
"Aug 11, 2017","283.68","282.40","285.90","281.29","727.17K","0.90"
"Aug 10, 2017","281.15","286.72","287.11","280.88","1.38M","-2.63"
"Aug 09, 2017","288.74","285.79","289.47","285.73","777.52K","-0.18"
"Aug 08, 2017","289.26","291.18","291.70","288.50","931.24K","-0.60"
"Aug 07, 2017","291.01","289.18","291.17","288.17","1.04M","0.95"
"Aug 04, 2017","288.27","286.89","288.63","284.45","745.98K","0.76"
"Aug 03, 2017","286.09","288.85","289.01","285.00","882.80K","-0.66"
"Aug 02, 2017","288.00","290.15","291.62","287.17","1.28M","-1.08"
"Aug 01, 2017","291.15","290.80","291.86","289.55","1.20M","0.54"
"Jul 31, 2017","289.59","287.60","290.96","287.59","1.28M","0.75"
"Jul 28, 2017","287.44","287.48","289.30","284.00","869.16K","-0.18"
"Jul 27, 2017","287.95","295.14","296.80","285.03","1.72M","-2.59"
"Jul 26, 2017","295.61","288.55","296.95","285.02","3.01M","4.47"
"Jul 25, 2017","282.96","290.01","291.91","280.24","3.11M","-0.61"
"Jul 24, 2017","284.70","283.00","285.35","280.01","1.48M","0.63"
"Jul 21, 2017","282.92","280.25","283.00","280.02","985.44K","0.53"
"Jul 20, 2017","281.44","282.18","284.32","280.75","1.05M","-0.18"
"Jul 19, 2017","281.95","283.52","285.84","280.51","1.10M","-0.23"
"Jul 18, 2017","282.60","283.01","283.68","280.31","1.13M","-0.02"
"Jul 17, 2017","282.65","280.10","284.31","279.51","1.53M","0.66"
"Jul 14, 2017","280.81","279.74","281.34","277.77","921.00K","0.88"
"Jul 13, 2017","278.36","276.04","280.75","272.61","1.42M","1.19"
"Jul 12, 2017","275.08","274.15","276.45","272.33","1.41M","1.22"
"Jul 11, 2017","271.76","273.10","274.10","269.50","923.11K","-0.67"
"Jul 10, 2017","273.58","273.50","274.08","270.31","942.24K","-0.13"
"Jul 07, 2017","273.93","271.90","274.86","270.80","906.26K","0.72"
"Jul 06, 2017","271.96","275.57","276.89","271.00","1.31M","-2.07"
"Jul 05, 2017","277.71","272.97","278.37","272.61","1.33M","1.90"
"Jul 03, 2017","272.52","272.62","275.11","272.12","612.46K","0.43"
"Jun 30, 2017","271.36","273.70","276.09","269.58","1.37M","-0.19"
"Jun 29, 2017","271.88","275.00","275.20","268.91","1.04M","-1.00"
"Jun 28, 2017","274.64","271.25","275.51","269.09","1.17M","1.25"
"Jun 27, 2017","271.25","279.00","279.40","271.20","1.73M","-3.06"
"Jun 26, 2017","279.81","281.74","282.89","277.64","1.28M","-0.18"
"Jun 23, 2017","280.32","282.33","284.46","277.58","2.44M","-0.09"
"Jun 22, 2017","280.57","279.86","284.21","278.30","2.84M","0.71"
"Jun 21, 2017","278.60","266.11","279.81","266.11","3.16M","4.74"
"Jun 20, 2017","266.00","260.82","269.00","259.61","2.25M","2.10"
"Jun 19, 2017","260.54","253.23","262.28","252.94","1.96M","3.50"
"Jun 16, 2017","251.74","255.49","256.77","250.89","2.43M","-1.29"
"Jun 15, 2017","255.02","253.60","255.76","253.15","1.44M","0.65"
"Jun 14, 2017","253.37","255.56","257.38","250.88","3.07M","-3.08"
"Jun 13, 2017","261.42","261.97","262.12","259.55","1.31M","-0.26"
"Jun 12, 2017","262.11","260.23","265.48","259.57","1.58M","0.85"
"Jun 09, 2017","259.89","256.31","262.37","254.87","1.58M","1.06"
"Jun 08, 2017","257.17","255.25","258.11","254.52","1.14M","0.68"
"Jun 07, 2017","255.43","257.71","258.57","255.11","1.15M","-0.67"
"Jun 06, 2017","257.16","257.06","258.30","254.96","1.08M","-0.52"
"Jun 05, 2017","258.50","257.37","259.24","255.73","1.58M","0.72"
"Jun 02, 2017","256.65","252.98","258.26","252.14","1.73M","1.69"
"Jun 01, 2017","252.38","250.03","253.11","248.61","1.55M","1.86"
"May 31, 2017","247.77","247.31","247.98","244.28","1.89M","0.50"
"May 30, 2017","246.54","250.40","251.55","246.34","1.37M","-1.70"
"May 26, 2017","250.80","252.59","253.62","250.51","833.07K","-0.86"
"May 25, 2017","252.97","252.65","254.45","252.00","1.55M","-0.14"
"May 24, 2017","253.33","249.30","254.37","246.12","2.24M","2.11"
"May 23, 2017","248.10","250.97","250.97","247.97","1.01M","-0.78"
"May 22, 2017","250.04","250.69","251.00","249.00","1.33M","-0.02"
"May 19, 2017","250.09","253.41","254.82","249.71","1.99M","-1.08"
"May 18, 2017","252.81","252.23","254.15","251.59","1.24M","0.58"
"May 17, 2017","251.34","255.38","256.14","251.17","1.41M","-2.45"
"May 16, 2017","257.64","259.44","260.62","256.60","1.05M","-0.34"
"May 15, 2017","258.53","253.97","259.95","253.97","1.65M","1.45"
"May 12, 2017","254.84","255.41","256.30","253.30","1.12M","0.27"
"May 11, 2017","254.15","257.27","258.19","252.69","1.85M","-1.46"
"May 10, 2017","257.92","260.63","262.30","257.02","1.50M","-1.29"
"May 09, 2017","261.28","260.99","263.66","260.28","1.16M","0.33"
"May 08, 2017","260.42","262.52","263.60","259.99","1.99M","-0.66"
"May 05, 2017","262.15","268.32","269.50","261.00","1.91M","-2.40"
"May 04, 2017","268.60","271.13","272.53","267.61","1.14M","-1.02"
"May 03, 2017","271.36","271.44","272.50","270.09","929.01K","0.01"
"May 02, 2017","271.34","271.51","273.25","269.72","1.38M","0.11"
"May 01, 2017","271.03","271.35","273.81","270.50","1.15M","-0.07"
"Apr 28, 2017","271.21","277.09","277.28","271.06","1.80M","-1.94"
"Apr 27, 2017","276.57","279.57","281.22","275.60","2.27M","-1.22"
"Apr 26, 2017","279.98","285.28","286.62","279.57","2.15M","-2.41"
"Apr 25, 2017","286.89","290.00","291.90","285.90","3.13M","3.62"
"Apr 24, 2017","276.86","274.93","278.69","274.61","2.01M","1.44"
"Apr 21, 2017","272.94","272.72","274.90","271.62","1.13M","0.18"
"Apr 20, 2017","272.46","272.20","273.63","270.78","981.16K","0.19"
"Apr 19, 2017","271.94","272.72","274.00","271.08","1.19M","0.29"
"Apr 18, 2017","271.16","273.93","275.18","269.72","1.38M","-1.05"
"Apr 17, 2017","274.05","271.50","274.64","271.00","1.03M","0.80"
"Apr 13, 2017","271.88","269.09","273.14","267.50","1.17M","1.10"
"Apr 12, 2017","268.92","270.37","270.64","267.77","1.06M","0.10"
"Apr 11, 2017","268.65","269.08","270.00","267.10","1.25M","-0.24"
"Apr 10, 2017","269.30","268.68","270.40","268.14","860.98K","0.21"
"Apr 07, 2017","268.73","270.60","270.84","267.32","1.68M","-0.82"
"Apr 06, 2017","270.94","270.14","272.60","269.34","1.62M","0.18"
"Apr 05, 2017","270.44","274.48","274.65","270.07","1.34M","-1.39"
