Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,322.17,320.69,323.69,317.76,1.19M,0.69,BIIB,0.228153519,3.515171078,1.570962531,30,11,2017
29-Nov-17,319.96,317.5,321.29,316.23,1.36M,0.89,BIIB,0.113514536,2.730861321,1.873836874,29,11,2017
28-Nov-17,317.14,314.12,317.39,312.1,1.10M,1.74,BIIB,0.766689122,1.505848898,-0.531982267,28,11,2017
27-Nov-17,311.73,310.07,312.45,307.01,1.35M,0.89,BIIB,0.35602162,-1.242156894,0.757132644,27,11,2017
24-Nov-17,308.97,308.5,310.35,307.27,514.11K,-0.27,BIIB,-0.419625565,-1.745334098,0.279547523,24,11,2017
22-Nov-17,309.8,308.91,311.11,307.15,733.32K,0.24,BIIB,-0.048534265,-0.441536677,-1.821128909,22,11,2017
21-Nov-17,309.06,310.87,311.22,306.11,1.28M,-0.13,BIIB,0.455632392,0.381026187,-1.5392899,21,11,2017
20-Nov-17,309.46,313.6,315.76,309.17,667.19K,-1.44,BIIB,-0.117845654,-0.668334864,-4.550296758,20,11,2017
17-Nov-17,313.97,313.47,316,310.18,907.44K,0,BIIB,-0.162430728,0.976034016,-7.284826974,17,11,2017
16-Nov-17,313.98,310.72,314.62,309.68,731.71K,1.19,BIIB,0.1418074,0.245192928,-9.25763682,16,11,2017
15-Nov-17,310.28,309.69,313.19,308,1.29M,0.19,BIIB,0,-0.924563312,-10.12537002,15,11,2017
14-Nov-17,309.69,313.34,314.44,307.5,1.21M,-1.91,BIIB,-0.750688923,-0.073348854,-9.037071443,14,11,2017
13-Nov-17,315.71,310.47,316.07,308.57,1.19M,1.7,BIIB,0.009663703,-1.584936761,-7.510128694,13,11,2017
10-Nov-17,310.44,310.1,311.7,306.39,820.71K,0.15,BIIB,0.045167118,-1.286050805,-8.156616515,10,11,2017
9-Nov-17,309.96,312,313.97,308.9,895.41K,-0.84,BIIB,-0.185552499,0.840336134,-6.393447541,9,11,2017
8-Nov-17,312.58,314.81,314.81,311.64,1.23M,-0.32,BIIB,0.395445993,-0.291388211,-5.51637204,8,11,2017
7-Nov-17,313.57,315.94,315.98,310.46,887.46K,-0.6,BIIB,0.148984056,1.373291407,-5.074662741,7,11,2017
6-Nov-17,315.47,314.39,319.4,314.14,1.07M,0.42,BIIB,0.079582352,-0.446485117,-4.443633932,6,11,2017
3-Nov-17,314.14,309.79,314.2,308.21,827.97K,1.53,BIIB,0.12605042,0.666146747,-5.401856602,3,11,2017
2-Nov-17,309.4,316,319.22,308.59,1.57M,-2,BIIB,0.085516106,2.717461969,-3.2870172,2,11,2017
1-Nov-17,315.73,312.75,319.95,311.57,1.39M,1.31,BIIB,0.349740101,-0.600686499,-0.689063889,1,11,2017
31-Oct-17,311.66,315.18,316.86,310.5,1.20M,-1.31,BIIB,-0.196326789,-0.174199474,-0.696304231,31,10,2017
