Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,85.8,83.49,86.3,83.48,1.10M,3.04,BMRN,0.264200793,0.602482227,3.175976273,30,11,2017
29-Nov-17,83.27,82.44,84.77,82.34,880.58K,0.86,BMRN,-0.145348837,-0.566879749,0.426361311,29,11,2017
28-Nov-17,82.56,82.98,82.98,81.57,904.58K,-0.48,BMRN,0.024108004,0.036166365,1.232158107,28,11,2017
27-Nov-17,82.96,82.83,83.14,82.19,722.56K,0.3,BMRN,0.145085238,-0.060328185,-0.384846663,27,11,2017
24-Nov-17,82.71,82.66,83.91,82.65,243.75K,-0.34,BMRN,-0.39763827,0.121124031,0.157518478,24,11,2017
22-Nov-17,82.99,83.19,83.72,82.71,481.78K,0.1,BMRN,0.337715595,1.68683535,-1.887014978,22,11,2017
21-Nov-17,82.91,83.01,83.77,82.78,599.85K,-0.05,BMRN,0.072332731,1.965360521,-3.801135705,21,11,2017
20-Nov-17,82.95,82.88,83.64,82.64,1.12M,0.08,BMRN,0,2.245250432,-4.140643072,20,11,2017
17-Nov-17,82.88,82.56,83.36,82.13,970.93K,0.39,BMRN,0,0.646105084,-5.914529915,17,11,2017
16-Nov-17,82.56,81.87,82.96,81.62,848.40K,0.92,BMRN,0.073340667,-0.643203883,-7.103143084,16,11,2017
15-Nov-17,81.81,81.82,81.97,80.58,1.18M,0.49,BMRN,0.503623633,-1.195507789,-7.673211465,15,11,2017
14-Nov-17,81.41,81.06,81.78,80.78,1.47M,0.43,BMRN,0,-3.235048347,-13.34188582,14,11,2017
13-Nov-17,81.06,82.02,82.03,81.05,1.13M,-1.18,BMRN,-0.012190662,-1.133076181,-13.35305303,13,11,2017
10-Nov-17,82.03,81.67,82.13,80.77,842.16K,-0.45,BMRN,-0.88592233,-2.924046119,-14.14003364,10,11,2017
9-Nov-17,82.4,82.32,83.56,81.5,1.82M,-0.5,BMRN,-0.591715976,-0.507614213,-13.46578366,9,11,2017
8-Nov-17,82.81,83.83,83.83,82.41,1.05M,-1.15,BMRN,0.071624687,3.59614434,-11.69282629,8,11,2017
7-Nov-17,83.77,83.4,83.94,82.25,1.35M,0.98,BMRN,0.530376085,1.595809477,-11.58698187,7,11,2017
6-Nov-17,82.96,83.75,84.26,82.55,1.51M,-1.39,BMRN,-0.451681921,2.171526168,-11.86066091,6,11,2017
3-Nov-17,84.13,82.52,84.22,82,1.03M,1.68,BMRN,-0.265893159,-0.757666867,-12.96276764,3,11,2017
2-Nov-17,82.74,80.9,83.04,80.9,1.44M,2.25,BMRN,-0.024715769,-1.97503938,-14.31900021,2,11,2017
1-Nov-17,80.92,82.57,82.88,80.6,1.96M,-1.43,BMRN,0.584724083,-2.618233282,-11.4055794,1,11,2017
31-Oct-17,82.09,82.35,82.95,81.23,1.44M,0.15,BMRN,0.463584238,-4.565998378,-11.6511104,31,10,2017
30-Oct-17,81.97,82.73,83.73,81.73,1.51M,-1.42,BMRN,-0.505111245,-4.314133703,-11.73583698,30,10,2017
27-Oct-17,83.15,82.52,85.48,82.05,2.49M,0.75,BMRN,-0.012116806,-5.96011396,-11.33555388,27,10,2017
26-Oct-17,82.53,85.07,85.07,81.72,2.59M,-2.67,BMRN,0.330227621,-3.472143424,-8.497364741,26,10,2017
25-Oct-17,84.79,86.1,86.45,84.63,1.22M,-1.74,BMRN,-0.220187739,-2.843601896,-7.129759465,25,10,2017
24-Oct-17,86.29,86.63,86.74,85.03,1.25M,-0.2,BMRN,0.196622716,-7.387214026,-7.049356223,24,10,2017
23-Oct-17,86.46,88.27,88.46,85.93,1.46M,-1.47,BMRN,0.592592593,-6.750475386,-6.483737684,23,10,2017
20-Oct-17,87.75,87.77,88.74,86.77,1.33M,-0.43,BMRN,-0.408487462,-7.727081581,-7.561874671,20,10,2017
19-Oct-17,88.13,89.19,89.95,87.59,2.02M,-0.55,BMRN,0.643195667,-6.244087039,-4.527938343,19,10,2017
18-Oct-17,88.62,93.4,94.75,86.9,3.83M,-5.26,BMRN,-0.149668591,-1.611713894,0.896618775,18,10,2017
17-Oct-17,93.54,95.1,95.91,93.44,1.10M,-1.18,BMRN,0.464821466,0.816283261,3.25732899,17,10,2017
16-Oct-17,94.66,95.13,96.05,94.56,747.85K,-0.48,BMRN,0.010513036,0.115765102,3.424657534,16,10,2017
13-Oct-17,95.12,95.23,95.86,93.74,657.15K,-0.01,BMRN,0.10511931,0.442991246,3.612229355,13,10,2017
12-Oct-17,95.13,94.96,95.89,94.06,1.29M,0.21,BMRN,0.031602233,0.57191273,4.088567357,12,10,2017
11-Oct-17,94.93,93.89,95.15,93.58,1.41M,0.64,BMRN,-0.466447578,0.740343348,1.229110512,11,10,2017
10-Oct-17,94.33,95.36,96.05,94.11,1.01M,-0.73,BMRN,0.357819406,2.306619461,3.753672071,10,10,2017
9-Oct-17,95.02,94.76,95.86,94.39,719.32K,0.22,BMRN,-0.052737053,1.098901099,4.869411244,9,10,2017
6-Oct-17,94.81,94.36,95.71,93.68,681.30K,0.41,BMRN,-0.063545859,1.386053508,4.728079911,6,10,2017
5-Oct-17,94.42,93.3,94.94,92.52,1.19M,1.31,BMRN,0.107296137,0.354953211,3.173725534,5,10,2017
4-Oct-17,93.2,93.03,93.47,92.48,629.55K,-0.01,BMRN,-0.193112327,0.345162334,3.550756901,4,10,2017
3-Oct-17,93.21,93.91,94.39,92.78,929.44K,-0.55,BMRN,0.192040969,0.761802575,3.779423141,3,10,2017
2-Oct-17,93.73,93.52,94.62,92.94,1.58M,0.71,BMRN,0.483507038,-0.921707808,3.143266792,2,10,2017
29-Sep-17,93.07,92.98,93.66,92.62,874.74K,0.11,BMRN,0.010756158,-2.074776198,3.093469342,29,9,2017
28-Sep-17,92.97,92.06,93.04,91.91,1.17M,0.28,BMRN,-0.701110991,-1.455791051,5.031374786,28,9,2017
27-Sep-17,92.71,93.35,93.95,92.59,855.61K,-0.53,BMRN,0.160944206,0.842605596,12.49698723,27,9,2017
