"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","33.07","32.71","33.21","32.60","2.55M","1.50"
"Nov 29, 2017","32.58","32.49","32.94","32.49","2.32M","-0.34"
"Nov 28, 2017","32.69","32.67","32.81","32.40","1.68M","0.18"
"Nov 27, 2017","32.63","32.69","33.00","32.58","1.43M","0.00"
"Nov 24, 2017","32.63","32.44","32.71","32.43","673.05K","0.55"
"Nov 22, 2017","32.45","32.58","32.72","32.43","1.15M","-0.40"
"Nov 21, 2017","32.58","32.77","32.79","32.33","2.14M","0.15"
"Nov 20, 2017","32.53","32.47","32.63","32.27","1.39M","0.06"
"Nov 17, 2017","32.51","32.57","32.62","32.26","2.00M","-0.21"
"Nov 16, 2017","32.58","32.10","32.60","32.10","2.14M","1.43"
"Nov 15, 2017","32.12","32.26","32.39","31.97","2.11M","-0.59"
"Nov 14, 2017","32.31","32.21","32.48","32.16","2.15M","-0.03"
"Nov 13, 2017","32.32","32.29","32.41","32.24","1.44M","-0.40"
"Nov 10, 2017","32.45","32.15","32.45","32.07","1.68M","0.59"
"Nov 09, 2017","32.26","32.36","32.47","32.00","1.85M","-1.10"
"Nov 08, 2017","32.62","32.33","32.68","32.25","1.43M","0.99"
"Nov 07, 2017","32.30","32.47","32.60","32.25","1.73M","-0.46"
"Nov 06, 2017","32.45","32.58","32.73","32.44","1.20M","-0.61"
"Nov 03, 2017","32.65","32.41","32.76","32.24","2.35M","0.74"
"Nov 02, 2017","32.41","32.83","32.93","32.41","2.06M","-1.58"
"Nov 01, 2017","32.93","32.56","32.99","32.35","2.36M","1.70"
"Oct 31, 2017","32.38","32.41","32.49","32.23","2.61M","0.19"
"Oct 30, 2017","32.32","32.74","32.89","32.32","2.55M","-1.67"
"Oct 27, 2017","32.87","32.64","33.11","32.54","4.02M","0.74"
"Oct 26, 2017","32.63","33.00","33.28","31.45","5.18M","-4.39"
"Oct 25, 2017","34.13","34.18","34.33","33.86","1.79M","-0.47"
"Oct 24, 2017","34.29","34.27","34.35","33.83","2.24M","0.00"
"Oct 23, 2017","34.29","34.18","34.41","34.05","1.65M","0.56"
"Oct 20, 2017","34.10","33.94","34.15","33.84","1.26M","0.50"
"Oct 19, 2017","33.93","33.68","33.99","33.60","1.23M","0.59"
"Oct 18, 2017","33.73","33.57","33.84","33.41","1.95M","0.42"
"Oct 17, 2017","33.59","33.69","33.74","33.54","1.59M","-0.36"
"Oct 16, 2017","33.71","33.87","33.88","33.41","1.88M","-0.50"
"Oct 13, 2017","33.88","34.05","34.16","33.83","1.14M","-0.12"
"Oct 12, 2017","33.92","33.68","33.99","33.64","1.30M","0.86"
"Oct 11, 2017","33.63","33.52","33.67","33.38","1.22M","-0.03"
"Oct 10, 2017","33.64","33.58","33.75","33.46","1.49M","0.21"
"Oct 09, 2017","33.57","33.86","33.90","33.45","1.56M","-0.86"
"Oct 06, 2017","33.86","33.89","33.97","33.65","936.19K","-0.24"
"Oct 05, 2017","33.94","33.78","33.98","33.65","1.04M","0.83"
"Oct 04, 2017","33.66","33.56","33.70","33.33","857.50K","0.27"
"Oct 03, 2017","33.57","33.66","33.68","33.42","1.33M","-0.30"
"Oct 02, 2017","33.67","33.36","33.73","33.25","1.15M","0.87"
"Sep 29, 2017","33.38","33.00","33.41","32.94","1.32M","1.12"
"Sep 28, 2017","33.01","33.09","33.18","32.83","1.72M","-0.72"
"Sep 27, 2017","33.25","32.57","33.35","32.57","1.38M","0.27"
"Sep 26, 2017","33.16","33.11","33.31","32.98","1.84M","0.45"
"Sep 25, 2017","33.01","32.62","33.02","32.49","1.92M","1.01"
"Sep 22, 2017","32.68","32.34","32.73","32.27","1.67M","0.99"
"Sep 21, 2017","32.36","32.52","32.67","32.35","1.89M","-0.77"
"Sep 20, 2017","32.61","32.98","33.00","32.39","1.87M","-0.88"
"Sep 19, 2017","32.90","33.04","33.04","32.70","2.08M","-0.27"
"Sep 18, 2017","32.99","33.17","33.36","32.91","2.19M","-0.33"
"Sep 15, 2017","33.10","33.17","33.22","32.89","2.94M","-0.21"
"Sep 14, 2017","33.17","33.34","33.37","33.10","1.20M","-0.87"
"Sep 13, 2017","33.46","33.50","33.58","33.25","1.09M","-0.27"
"Sep 12, 2017","33.55","33.46","33.55","33.37","1.01M","0.42"
"Sep 11, 2017","33.41","33.41","33.51","33.24","1.39M","0.75"
"Sep 08, 2017","33.16","33.20","33.30","33.08","893.29K","-0.27"
"Sep 07, 2017","33.25","33.20","33.31","33.01","1.24M","0.54"
"Sep 06, 2017","33.07","33.13","33.13","32.86","1.66M","0.15"
"Sep 05, 2017","33.02","33.25","33.41","32.76","1.74M","-0.72"
"Sep 01, 2017","33.26","33.27","33.43","33.12","1.06M","0.24"
"Aug 31, 2017","33.18","32.90","33.28","32.90","1.80M","0.76"
"Aug 30, 2017","32.93","32.59","32.99","32.49","1.88M","0.80"
"Aug 29, 2017","32.67","32.45","32.81","32.41","1.97M","0.18"
"Aug 28, 2017","32.61","32.63","32.64","32.45","1.45M","0.34"
"Aug 25, 2017","32.50","32.55","32.69","32.47","1.27M","0.25"
"Aug 24, 2017","32.42","32.47","32.62","32.33","2.65M","0.09"
"Aug 23, 2017","32.39","32.39","32.60","32.34","2.70M","-0.37"
"Aug 22, 2017","32.51","32.49","32.66","32.44","2.10M","-0.15"
"Aug 21, 2017","32.56","32.40","32.60","32.37","2.17M","0.59"
"Aug 18, 2017","32.37","32.34","32.56","32.04","2.86M","-0.03"
"Aug 17, 2017","32.38","32.51","32.68","32.36","2.73M","-0.86"
"Aug 16, 2017","32.66","32.60","32.87","32.47","2.02M","0.49"
"Aug 15, 2017","32.50","32.60","32.87","32.42","2.70M","-0.52"
"Aug 14, 2017","32.67","32.24","32.74","32.21","2.89M","2.13"
"Aug 11, 2017","31.99","32.18","32.30","31.95","2.38M","-0.19"
"Aug 10, 2017","32.05","32.36","32.37","31.98","3.89M","-1.54"
"Aug 09, 2017","32.55","32.20","32.57","32.10","3.36M","1.02"
"Aug 08, 2017","32.22","32.24","32.55","32.17","3.13M","-0.31"
"Aug 07, 2017","32.32","32.00","32.37","31.91","3.08M","1.03"
"Aug 04, 2017","31.99","31.95","32.05","31.72","2.24M","0.44"
"Aug 03, 2017","31.85","31.75","32.15","31.37","4.72M","3.24"
"Aug 02, 2017","30.85","31.02","31.13","30.78","3.06M","-1.19"
"Aug 01, 2017","31.22","31.07","31.35","30.94","3.44M","0.58"
"Jul 31, 2017","31.04","31.05","31.22","30.85","8.13M","0.32"
"Jul 28, 2017","30.94","31.43","31.49","30.45","5.19M","-0.51"
"Jul 27, 2017","31.10","34.65","35.01","30.88","11.36M","-10.25"
"Jul 26, 2017","34.65","35.03","35.15","34.52","1.92M","-1.08"
"Jul 25, 2017","35.03","34.81","35.18","34.68","3.44M","0.86"
"Jul 24, 2017","34.73","34.43","34.78","34.26","2.64M","0.90"
"Jul 21, 2017","34.42","34.47","34.70","34.33","4.15M","-0.64"
"Jul 20, 2017","34.64","34.64","34.73","34.50","1.79M","0.14"
"Jul 19, 2017","34.59","34.03","34.77","33.99","2.88M","1.56"
"Jul 18, 2017","34.06","34.34","34.46","33.94","2.14M","-1.28"
"Jul 17, 2017","34.50","34.44","34.54","34.34","1.87M","0.06"
"Jul 14, 2017","34.48","34.61","34.61","34.43","1.34M","0.12"
"Jul 13, 2017","34.44","34.33","34.51","34.26","2.72M","0.35"
"Jul 12, 2017","34.32","34.36","34.52","34.29","2.65M","0.03"
"Jul 11, 2017","34.31","34.31","34.46","34.17","1.59M","0.03"
"Jul 10, 2017","34.30","34.14","34.39","34.06","2.51M","-0.12"
"Jul 07, 2017","34.34","34.00","34.50","33.97","2.12M","1.30"
"Jul 06, 2017","33.90","34.13","34.18","33.77","3.17M","-1.68"
"Jul 05, 2017","34.48","34.10","34.51","33.75","3.10M","0.94"
"Jul 03, 2017","34.16","34.58","34.58","34.12","1.10M","-0.90"
"Jun 30, 2017","34.47","34.41","34.72","34.21","3.43M","0.58"
"Jun 29, 2017","34.27","34.86","34.86","34.06","2.59M","-1.83"
"Jun 28, 2017","34.91","34.73","35.07","34.72","4.31M","0.84"
"Jun 27, 2017","34.62","34.65","35.05","34.53","3.86M","-0.55"
"Jun 26, 2017","34.81","35.06","35.27","34.75","2.62M","-0.49"
"Jun 23, 2017","34.98","35.11","35.11","34.83","5.11M","-0.37"
"Jun 22, 2017","35.11","35.80","35.82","34.97","7.94M","-1.93"
"Jun 21, 2017","35.80","35.62","36.54","35.54","15.61M","13.36"
"Jun 20, 2017","31.58","31.88","32.08","31.50","2.03M","-1.00"
"Jun 19, 2017","31.90","31.91","32.05","31.75","2.08M","0.73"
"Jun 16, 2017","31.67","31.78","31.81","31.45","9.38M","-0.53"
"Jun 15, 2017","31.84","31.50","31.95","31.44","2.67M","0.35"
"Jun 14, 2017","31.73","32.28","32.28","31.55","2.53M","-1.37"
"Jun 13, 2017","32.17","32.10","32.44","31.62","2.82M","0.12"
"Jun 12, 2017","32.13","31.47","32.25","31.37","4.65M","1.32"
"Jun 09, 2017","31.71","31.89","32.01","31.27","3.55M","-0.81"
"Jun 08, 2017","31.97","31.99","32.18","31.86","1.74M","-0.19"
"Jun 07, 2017","32.03","32.17","32.30","31.82","2.48M","-0.37"
"Jun 06, 2017","32.15","31.80","32.21","31.70","2.17M","0.69"
"Jun 05, 2017","31.93","31.97","32.32","31.71","2.52M","-0.81"
"Jun 02, 2017","32.19","31.97","32.21","31.86","2.33M","1.00"
"Jun 01, 2017","31.87","31.84","31.93","31.72","2.14M","0.31"
"May 31, 2017","31.77","31.94","31.96","31.60","2.42M","-0.41"
"May 30, 2017","31.90","31.72","31.95","31.52","1.91M","0.25"
"May 26, 2017","31.82","31.91","32.01","31.81","1.19M","-0.28"
"May 25, 2017","31.91","31.69","31.97","31.60","1.55M","0.95"
"May 24, 2017","31.61","31.58","31.80","31.08","2.04M","0.35"
"May 23, 2017","31.50","31.77","31.80","31.46","3.37M","-1.22"
"May 22, 2017","31.89","31.28","31.93","31.17","4.94M","2.02"
"May 19, 2017","31.26","31.13","31.34","30.93","2.90M","0.71"
"May 18, 2017","31.04","31.26","31.36","30.92","3.16M","-0.54"
"May 17, 2017","31.21","31.46","31.65","31.11","3.51M","-1.58"
"May 16, 2017","31.71","31.70","31.84","31.39","3.68M","0.06"
"May 15, 2017","31.69","31.55","31.77","31.39","3.99M","0.25"
"May 12, 2017","31.61","33.28","33.35","31.39","6.13M","-1.34"
"May 11, 2017","32.04","32.22","32.22","31.65","4.39M","-0.71"
"May 10, 2017","32.27","32.07","32.35","31.91","3.43M","0.69"
"May 09, 2017","32.05","32.28","32.29","31.96","3.44M","-0.84"
"May 08, 2017","32.32","32.67","32.72","32.31","3.33M","-1.13"
"May 05, 2017","32.69","33.08","33.15","32.65","2.96M","-0.82"
"May 04, 2017","32.96","32.78","33.02","32.72","1.84M","0.73"
"May 03, 2017","32.72","32.60","32.78","32.53","2.26M","0.34"
"May 02, 2017","32.61","32.85","32.85","32.55","1.82M","-0.58"
"May 01, 2017","32.80","32.93","32.94","32.62","1.40M","-0.09"
"Apr 28, 2017","32.83","32.86","32.91","32.43","2.76M","-0.06"
"Apr 27, 2017","32.85","32.71","32.89","32.32","1.42M","0.46"
"Apr 26, 2017","32.70","32.65","32.85","32.56","1.21M","0.31"
"Apr 25, 2017","32.60","32.57","32.71","32.53","1.78M","0.22"
"Apr 24, 2017","32.53","32.29","32.55","32.04","2.18M","1.88"
"Apr 21, 2017","31.93","32.20","32.27","31.93","1.96M","-0.65"
"Apr 20, 2017","32.14","32.18","32.22","31.81","3.12M","0.44"
"Apr 19, 2017","32.00","31.96","32.24","31.90","1.65M","0.44"
"Apr 18, 2017","31.86","31.72","31.93","31.66","1.05M","0.22"
"Apr 17, 2017","31.79","31.78","31.87","31.62","1.06M","0.44"
"Apr 13, 2017","31.65","31.75","32.01","31.63","1.63M","-0.19"
"Apr 12, 2017","31.71","31.92","32.02","31.68","2.05M","-0.84"
"Apr 11, 2017","31.98","31.75","31.99","31.61","1.59M","0.50"
"Apr 10, 2017","31.82","31.83","32.04","31.75","1.97M","-0.19"
"Apr 07, 2017","31.88","31.85","31.97","31.69","1.59M","0.25"
"Apr 06, 2017","31.80","31.66","31.89","31.57","1.99M","0.22"
"Apr 05, 2017","31.73","31.67","32.07","31.51","2.17M","0.25"
"Apr 04, 2017","31.65","31.50","31.68","31.40","2.03M","0.19"
"Apr 03, 2017","31.59","31.78","31.93","31.30","3.17M","-0.41"
"Mar 31, 2017","31.72","31.76","31.91","31.70","1.64M","-0.19"
"Mar 30, 2017","31.78","31.87","31.98","31.65","1.79M","-0.25"
