Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,33.07,32.71,33.21,32.6,2.55M,1.5,CA,0.399017802,0.801232666,-0.668083814,30,11,2017
29-Nov-17,32.58,32.49,32.94,32.49,2.32M,-0.34,CA,-0.611807892,-0.276243094,0.339715874,29,11,2017
28-Nov-17,32.69,32.67,32.81,32.4,1.68M,0.18,CA,0.122586577,0.430371964,1.082920792,28,11,2017
27-Nov-17,32.63,32.69,33,32.58,1.43M,0,CA,0.183879865,0.553675792,-0.547611804,27,11,2017
24-Nov-17,32.63,32.44,32.71,32.43,673.05K,0.55,CA,-0.030816641,-0.429711479,-0.58228624,24,11,2017
22-Nov-17,32.45,32.58,32.72,32.43,1.15M,-0.4,CA,0,1.432129514,-4.541459127,22,11,2017
21-Nov-17,32.58,32.77,32.79,32.33,2.14M,0.15,CA,0.73778051,1.42370783,-4.432779236,21,11,2017
20-Nov-17,32.53,32.47,32.63,32.27,1.39M,0.06,CA,-0.123039065,0.464108911,-5.307669875,20,11,2017
17-Nov-17,32.51,32.57,32.62,32.26,2.00M,-0.21,CA,-0.030693677,0.369799692,-4.486803519,17,11,2017
16-Nov-17,32.58,32.1,32.6,32.1,2.14M,1.43,CA,-0.062266501,-0.495970242,-5.393457118,16,11,2017
15-Nov-17,32.12,32.26,32.39,31.97,2.11M,-0.59,CA,-0.154750851,-1.103617413,-4.358138156,15,11,2017
14-Nov-17,32.31,32.21,32.48,32.16,2.15M,-0.03,CA,-0.340346535,-0.278637771,-4.108365585,14,11,2017
13-Nov-17,32.32,32.29,32.41,32.24,1.44M,-0.4,CA,-0.493066256,-0.493066256,-4.212399881,13,11,2017
10-Nov-17,32.45,32.15,32.45,32.07,1.68M,0.59,CA,-0.340979541,-1.531393568,-5.106257379,10,11,2017
9-Nov-17,32.26,32.36,32.47,32,1.85M,-1.1,CA,-0.79705702,-0.154273372,-4.599056604,9,11,2017
8-Nov-17,32.62,32.33,32.68,32.25,1.43M,0.99,CA,0.092879257,-1.822046766,-3.865596194,8,11,2017
7-Nov-17,32.3,32.47,32.6,32.25,1.73M,-0.46,CA,0.061633282,0.277949351,-3.478002378,7,11,2017
6-Nov-17,32.45,32.58,32.73,32.44,1.20M,-0.61,CA,-0.2143951,0.804455446,-2.949061662,6,11,2017
3-Nov-17,32.65,32.41,32.76,32.24,2.35M,0.74,CA,0,-1.399452388,-4.282339043,3,11,2017
2-Nov-17,32.41,32.83,32.93,32.41,2.06M,-1.58,CA,-0.303674461,0.612932884,-3.270477313,2,11,2017
1-Nov-17,32.93,32.56,32.99,32.35,2.36M,1.7,CA,0.555898703,-4.600058599,-3.267973856,1,11,2017
31-Oct-17,32.38,32.41,32.49,32.23,2.61M,0.19,CA,0.278465347,-5.482648002,-3.45546619,31,10,2017
30-Oct-17,32.32,32.74,32.89,32.32,2.55M,-1.67,CA,-0.395497414,-4.5202683,-2.762102762,30,10,2017
27-Oct-17,32.87,32.64,33.11,32.54,4.02M,0.74,CA,0.030646644,-4.281524927,-2.216896345,27,10,2017
26-Oct-17,32.63,33,33.28,31.45,5.18M,-4.39,CA,-3.310870202,-2.740937224,-0.03029385,26,10,2017
25-Oct-17,34.13,34.18,34.33,33.86,1.79M,-0.47,CA,-0.320793234,1.334123925,2.796992481,25,10,2017
24-Oct-17,34.29,34.27,34.35,33.83,2.24M,0,CA,-0.058326043,2.024412027,3.347406514,24,10,2017
23-Oct-17,34.29,34.18,34.41,34.05,1.65M,0.56,CA,0.234604106,1.394245031,3.544380491,23,10,2017
20-Oct-17,34.1,33.94,34.15,33.84,1.26M,0.5,CA,0.029472443,0.177095632,3.855569155,20,10,2017
19-Oct-17,33.93,33.68,33.99,33.6,1.23M,0.59,CA,-0.148235992,-0.70754717,4.079110012,19,10,2017
18-Oct-17,33.73,33.57,33.84,33.41,1.95M,0.42,CA,-0.05954153,-0.178412132,2.943882245,18,10,2017
17-Oct-17,33.59,33.69,33.74,33.54,1.59M,-0.36,CA,-0.059329576,0.14863258,2.401215805,17,10,2017
16-Oct-17,33.71,33.87,33.88,33.41,1.88M,-0.5,CA,-0.029515939,0.893655049,2.667474992,16,10,2017
13-Oct-17,33.88,34.05,34.16,33.83,1.14M,-0.12,CA,0.383254717,0.561134082,2.870090634,13,10,2017
12-Oct-17,33.92,33.68,33.99,33.64,1.30M,0.86,CA,0.148676777,-0.766057749,1.537533916,12,10,2017
11-Oct-17,33.63,33.52,33.67,33.38,1.22M,-0.03,CA,-0.356718193,-0.415923945,0.179318589,11,10,2017
10-Oct-17,33.64,33.58,33.75,33.46,1.49M,0.21,CA,0.029788502,0.029788502,0.089418778,10,10,2017
9-Oct-17,33.57,33.86,33.9,33.45,1.56M,-0.86,CA,0,0.564300564,1.346902125,9,10,2017
6-Oct-17,33.86,33.89,33.97,33.65,936.19K,-0.24,CA,-0.147318798,1.527860995,2.201447527,6,10,2017
5-Oct-17,33.94,33.78,33.98,33.65,1.04M,0.83,CA,0.356506239,2.332626477,1.593984962,5,10,2017
4-Oct-17,33.66,33.56,33.7,33.33,857.50K,0.27,CA,-0.029788502,0.932330827,1.481705473,4,10,2017
3-Oct-17,33.57,33.66,33.68,33.42,1.33M,-0.3,CA,-0.02970003,1.507840772,1.938219261,3,10,2017
2-Oct-17,33.67,33.36,33.73,33.25,1.15M,0.87,CA,-0.059916117,1.060284762,0.300661455,2,10,2017
29-Sep-17,33.38,33,33.41,32.94,1.32M,1.12,CA,-0.03029385,0.979192166,-0.542495479,29,9,2017
28-Sep-17,33.01,33.09,33.18,32.83,1.72M,-0.72,CA,-0.481203008,2.255871446,0.485879138,28,9,2017
