"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","100.83","103.54","104.51","100.35","10.49M","-2.22"
"Nov 29, 2017","103.12","104.06","105.82","102.68","5.73M","-0.84"
"Nov 28, 2017","103.99","103.53","104.46","102.71","4.59M","0.64"
"Nov 27, 2017","103.33","104.41","105.34","103.05","4.68M","-1.12"
"Nov 24, 2017","104.50","105.20","105.79","104.34","2.52M","-0.63"
"Nov 22, 2017","105.16","104.96","106.13","104.80","4.07M","0.63"
"Nov 21, 2017","104.50","103.69","105.98","103.50","7.09M","1.31"
"Nov 20, 2017","103.15","104.60","105.46","102.41","6.18M","-0.91"
"Nov 17, 2017","104.10","103.49","104.59","103.24","5.97M","0.73"
"Nov 16, 2017","103.35","100.82","103.91","100.65","7.32M","3.00"
"Nov 15, 2017","100.34","98.56","101.03","98.44","5.98M","1.50"
"Nov 14, 2017","98.86","101.70","101.70","98.84","9.16M","-2.27"
"Nov 13, 2017","101.16","101.93","102.23","100.78","5.48M","-1.15"
"Nov 10, 2017","102.34","102.06","102.62","101.00","6.47M","-0.12"
"Nov 09, 2017","102.46","101.01","102.86","100.22","6.81M","0.80"
"Nov 08, 2017","101.65","102.86","103.52","101.21","6.41M","-0.66"
"Nov 07, 2017","102.33","101.87","103.02","101.51","7.46M","0.68"
"Nov 06, 2017","101.64","99.89","102.23","99.30","9.16M","1.60"
"Nov 03, 2017","100.04","98.20","100.85","98.17","7.15M","1.87"
"Nov 02, 2017","98.20","101.00","101.03","97.73","10.52M","-2.32"
"Nov 01, 2017","100.53","101.89","102.30","100.04","8.32M","-0.44"
"Oct 31, 2017","100.97","101.93","102.50","98.83","12.97M","0.00"
"Oct 30, 2017","100.97","98.63","101.89","98.28","16.07M","2.85"
"Oct 27, 2017","98.17","99.64","99.83","95.52","24.14M","-1.82"
"Oct 26, 2017","99.99","98.95","101.15","94.55","69.85M","-16.37"
"Oct 25, 2017","119.56","120.37","121.60","117.27","7.18M","-0.65"
