Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,100.83,103.54,104.51,100.35,10.49M,-2.22,CELG,0.407292475,-1.5405097,2.994131105,30,11,2017
29-Nov-17,103.12,104.06,105.82,102.68,5.73M,-0.84,CELG,0.067314165,-0.421052632,3.060314945,29,11,2017
28-Nov-17,103.99,103.53,104.46,102.71,4.59M,0.64,CELG,0.193554631,0.36839554,2.535406556,28,11,2017
27-Nov-17,103.33,104.41,105.34,103.05,4.68M,-1.12,CELG,-0.086124402,0.297790586,6.356320668,27,11,2017
24-Nov-17,104.5,105.2,105.79,104.34,2.52M,-0.63,CELG,0.038037277,1.790033866,5.210521052,24,11,2017
22-Nov-17,105.16,104.96,106.13,104.8,4.07M,0.63,CELG,0.440191388,4.604345226,-12.21144195,22,11,2017
21-Nov-17,104.5,103.69,105.98,103.5,7.09M,1.31,CELG,0.523509452,4.885696945,-13.83579857,21,11,2017
20-Nov-17,103.15,104.6,105.46,102.41,6.18M,-0.91,CELG,0.480307397,3.400553578,-14.52153306,20,11,2017
17-Nov-17,104.1,103.49,104.59,103.24,5.97M,0.73,CELG,0.135462022,1.123705296,-14.70370065,17,11,2017
16-Nov-17,103.35,100.82,103.91,100.65,7.32M,3,CELG,0.47837353,-1.600624634,-25.84583701,16,11,2017
15-Nov-17,100.34,98.56,101.03,98.44,5.98M,1.5,CELG,-0.303459438,-3.039842597,-28.14755413,15,11,2017
14-Nov-17,98.86,101.7,101.7,98.84,9.16M,-2.27,CELG,0.533807829,-0.615655233,-26.76076624,14,11,2017
13-Nov-17,101.16,101.93,102.23,100.78,5.48M,-1.15,CELG,-0.400625366,0.28532074,-25.44071392,13,11,2017
10-Nov-17,102.34,102.06,102.62,101,6.47M,-0.12,CELG,-0.390396252,2.019192323,-25.20885241,10,11,2017
9-Nov-17,102.46,101.01,102.86,100.22,6.81M,0.8,CELG,-0.629611412,2.861507128,-27.06859206,9,11,2017
8-Nov-17,101.65,102.86,103.52,101.21,6.41M,-0.66,CELG,0.51793218,2.317716105,-26.29693322,8,11,2017
7-Nov-17,102.33,101.87,103.02,101.51,7.46M,0.68,CELG,0.226288863,0.891353867,-27.07423581,7,11,2017
6-Nov-17,101.64,99.89,102.23,99.3,9.16M,1.6,CELG,-0.149940024,-1.069624641,-28.27601063,6,11,2017
3-Nov-17,100.04,98.2,100.85,98.17,7.15M,1.87,CELG,0,0.030559234,-29.45909058,3,11,2017
2-Nov-17,98.2,101,101.03,97.73,10.52M,-2.32,CELG,0.467522133,1.01010101,-27.86229555,2,11,2017
1-Nov-17,100.53,101.89,102.3,100.04,8.32M,-0.44,CELG,0.911161731,-14.77919036,-30.46000546,1,11,2017
31-Oct-17,100.97,101.93,102.5,98.83,12.97M,0,CELG,0.950777459,-15.29832142,-30.22316539,31,10,2017
30-Oct-17,100.97,98.63,101.89,98.28,16.07M,2.85,CELG,0.468574921,-19.40017978,-32.46370857,30,10,2017
