Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,70.69,69.94,70.97,69.81,2.92M,1.32,CERN,0.243657733,-0.12851635,6.794930524,30,11,2017
29-Nov-17,69.77,69.91,70.61,69.58,2.14M,0.03,CERN,0.229390681,4.844031194,3.539691943,29,11,2017
28-Nov-17,69.75,69.51,69.89,68.2,2.83M,0.33,CERN,-0.01438435,5.750798722,4.589226602,28,11,2017
27-Nov-17,69.52,70.63,70.88,69.2,3.07M,-1.49,CERN,0.085021964,7.996941896,8.145766345,27,11,2017
24-Nov-17,70.57,70.47,70.81,69.66,2.05M,0.77,CERN,0.628302156,7.522123894,-1.191811554,24,11,2017
22-Nov-17,70.03,66.78,71.43,66.27,8.60M,5.02,CERN,0.149970006,3.087372646,-6.991643454,22,11,2017
21-Nov-17,66.68,66.03,66.73,65.54,1.80M,1.45,CERN,0.456412597,1.475334255,-8.773141752,21,11,2017
20-Nov-17,65.73,65.34,65.78,65.13,1.89M,0.5,CERN,-0.091743119,-0.198564228,-9.813664596,20,11,2017
17-Nov-17,65.4,65.53,66.1,65.08,1.66M,-0.21,CERN,-0.015257858,0.336854999,-10.24517189,17,11,2017
16-Nov-17,65.54,64.77,65.77,64.62,1.03M,1.17,CERN,-0.015436863,-1.08430055,-11.03021978,16,11,2017
15-Nov-17,64.78,64.82,65.15,64.24,1.21M,-0.45,CERN,-0.384201629,-2.202776101,-10.82679873,15,11,2017
14-Nov-17,65.07,65.45,65.62,64.79,1.03M,-0.61,CERN,-0.030548343,-0.712985437,-9.736588057,14,11,2017
13-Nov-17,65.47,65.13,65.55,64.97,1.40M,0.24,CERN,-0.275608636,-0.882666261,-9.642064373,13,11,2017
10-Nov-17,65.31,65.31,65.56,64.93,1.33M,-0.26,CERN,-0.259621258,-0.183402109,-11.22740247,10,11,2017
9-Nov-17,65.48,65.87,66.11,64.69,1.49M,-1.21,CERN,-0.618587809,0.610966855,-8.195121951,9,11,2017
8-Nov-17,66.28,65.85,66.47,65.6,1.33M,0.55,CERN,-0.10618932,0.549702245,-7.927852349,8,11,2017
7-Nov-17,65.92,65.78,66.24,65.67,1.40M,0.32,CERN,0.106528687,-2.577014218,-7.884049853,7,11,2017
6-Nov-17,65.71,65.36,65.81,65.06,1.36M,0.43,CERN,-0.106984564,-1.655130906,-8.510638298,6,11,2017
