Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,104.29,102.53,104.48,101.97,1.31M,2.18,CHKP,0.460513423,-1.051920479,-0.465974177,30,11,2017
29-Nov-17,102.06,104.38,104.38,101.27,980.41K,-2.07,CHKP,0.153521397,0.413660414,-11.32444142,29,11,2017
28-Nov-17,104.22,104.79,105.65,104.14,1.06M,-0.48,CHKP,0.06684492,1.757622839,-10.04378058,28,11,2017
27-Nov-17,104.72,105.18,105.65,104.16,982.88K,0.67,CHKP,1.11517016,2.966226138,-10.48510638,27,11,2017
24-Nov-17,104.02,103.6,104.33,103.6,380.94K,0.39,CHKP,-0.019301293,0.572759926,-10.59716949,24,11,2017
22-Nov-17,103.62,104.23,104.7,103.53,867.21K,-0.32,CHKP,0.269360269,1.145075206,-9.804430599,22,11,2017
21-Nov-17,103.95,103.66,104.42,103.25,772.37K,0.94,CHKP,0.660322393,1.23046875,-11.60569626,21,11,2017
20-Nov-17,102.98,102.61,103.77,102.34,1.12M,0.81,CHKP,0.45031816,-0.184824903,-12.68720218,20,11,2017
17-Nov-17,102.15,103.21,103.21,101.97,1.18M,-0.83,CHKP,0.194155907,0.682860209,-12.90295359,17,11,2017
16-Nov-17,103.01,103.59,104.28,102.83,1.36M,-0.04,CHKP,0.524017467,-0.038598861,-12.13740458,16,11,2017
15-Nov-17,103.05,102.35,103.21,101.99,1.30M,0.63,CHKP,-0.048828125,-2.856871678,-13.26271186,15,11,2017
14-Nov-17,102.4,102.19,102.82,101.86,2.35M,-0.39,CHKP,-0.593385214,-2.666920659,-12.62077811,14,11,2017
13-Nov-17,102.8,102.35,102.93,100.93,2.36M,0.28,CHKP,-0.156082333,-2.718372778,-13.31413568,13,11,2017
10-Nov-17,102.51,103.5,103.6,102.28,1.16M,-1.08,CHKP,-0.125446299,-2.035021297,-13.12012088,10,11,2017
9-Nov-17,103.63,105.36,105.38,102.53,1.11M,-1.64,CHKP,0,-1.181767023,-10.5298913,9,11,2017
8-Nov-17,105.36,105.69,106.03,105.03,771.84K,0.35,CHKP,0.666730165,2.601689156,-10.21153683,8,11,2017
7-Nov-17,104.99,105.62,106.48,104.5,916.45K,-0.21,CHKP,0.389696797,-10.27100501,-9.9420191,7,11,2017
6-Nov-17,105.21,105.8,106.17,105,1.11M,-0.42,CHKP,0.14197823,-9.176753369,-8.879510809,6,11,2017
3-Nov-17,105.65,106.65,106.91,105.34,1.93M,-0.91,CHKP,0.02813731,-9.234042553,-8.650963597,3,11,2017
2-Nov-17,106.62,103.73,106.96,103.53,3.02M,3.5,CHKP,0.698961266,-10.48498447,-10.57758621,2,11,2017
1-Nov-17,103.01,107,110,102.25,9.14M,-12.49,CHKP,-9.098632232,-7.407407407,-7.567380788,1,11,2017
31-Oct-17,117.71,116.75,118.39,116,2.04M,1.05,CHKP,0.223195124,-0.443421165,0.785566298,31,10,2017
30-Oct-17,116.49,117.22,117.22,115.82,1.28M,-0.86,CHKP,-0.238297872,-0.255275698,1.744640222,30,10,2017
27-Oct-17,117.5,116.33,117.96,115.35,1.36M,1.4,CHKP,0.388332758,-1.831223629,2.025960358,27,10,2017
26-Oct-17,115.88,116.62,116.79,115.14,1.19M,0.28,CHKP,0.917272413,-1.085665818,3.78214826,26,10,2017
25-Oct-17,115.56,117.36,117.36,115.26,1.01M,-1.46,CHKP,0.076745971,-0.542372881,4.116394606,25,10,2017
24-Oct-17,117.27,118.05,118.48,117,882.84K,-0.21,CHKP,0.450987066,0.940572894,5.647037766,24,10,2017
23-Oct-17,117.52,119,119,117.19,1.10M,-0.83,CHKP,0.421940928,0.787668332,7.245854362,23,10,2017
20-Oct-17,118.5,118.66,118.89,117.81,773.25K,0.51,CHKP,0.64461408,-0.394526987,5.955888919,20,10,2017
19-Oct-17,117.9,117.74,118.28,116.54,562.96K,-0.08,CHKP,-0.220338983,-0.016983696,6.244360224,19,10,2017
18-Oct-17,118,117.62,118.05,116.74,769.21K,0.9,CHKP,0.572894399,-0.076459094,5.70683922,18,10,2017
17-Oct-17,116.95,117.49,117.7,113.54,1.91M,-0.95,CHKP,-0.491234014,0.179058663,3.991856966,17,10,2017
16-Oct-17,118.07,118.64,118.86,117.67,669.06K,-0.89,CHKP,-0.41131537,2.17896822,5.074838367,16,10,2017
13-Oct-17,119.13,118.68,119.2,118.22,745.16K,1.16,CHKP,0.78125,1.653104925,5.026548673,13,10,2017
12-Oct-17,117.76,117.72,118.24,117.5,544.59K,0.04,CHKP,0.008495455,1.482758621,4.398722951,12,10,2017
11-Oct-17,117.71,116.95,117.76,116.55,490.88K,0.37,CHKP,-0.281377899,1.027988943,3.185106758,11,10,2017
10-Oct-17,117.28,116.25,117.45,116.22,581.15K,1.01,CHKP,0.120575317,0.353936464,3.47129506,10,10,2017
9-Oct-17,116.11,116.64,116.98,115.71,464.37K,-0.55,CHKP,-0.094218415,1.2412117,3.496007098,9,10,2017
6-Oct-17,116.75,116.12,117.11,115.69,719.28K,0.65,CHKP,0.103448276,1.841782143,3.09864157,6,10,2017
5-Oct-17,116,116.22,116.4,115.13,627.89K,0.21,CHKP,0.397373877,3.426181365,4.308023694,5,10,2017
4-Oct-17,115.76,115.63,116.03,114.77,317.73K,-0.07,CHKP,-0.18128453,2.581618169,4.152404972,4,10,2017
3-Oct-17,115.84,115.47,116.68,115.17,604.52K,0.55,CHKP,0.225674855,3.338106318,4.953644792,3,10,2017
2-Oct-17,115.21,113.51,116.3,113.49,1.22M,1.04,CHKP,-0.447289949,2.298125451,2.362701777,2,10,2017
