"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","326.21","328.35","330.91","321.00","4.06M","-1.65"
"Nov 29, 2017","331.67","326.60","332.01","324.19","2.32M","1.77"
"Nov 28, 2017","325.89","321.95","327.96","317.93","2.75M","1.26"
"Nov 27, 2017","321.84","327.69","327.69","319.50","2.09M","-2.17"
"Nov 24, 2017","328.98","333.64","335.44","326.20","769.02K","-1.58"
"Nov 22, 2017","334.27","337.84","339.49","332.44","961.10K","-1.23"
"Nov 21, 2017","338.42","339.24","344.85","337.64","1.95M","0.01"
"Nov 20, 2017","338.37","341.00","348.38","337.96","2.29M","-0.93"
"Nov 17, 2017","341.54","341.38","349.54","338.95","1.25M","0.27"
"Nov 16, 2017","340.63","333.94","340.92","328.50","1.51M","1.92"
"Nov 15, 2017","334.22","337.33","337.66","330.50","1.94M","-0.77"
"Nov 14, 2017","336.81","341.30","344.00","333.97","1.45M","-2.01"
"Nov 13, 2017","343.72","338.50","343.91","337.06","908.98K","1.56"
"Nov 10, 2017","338.44","338.49","343.40","337.21","870.13K","-0.81"
"Nov 09, 2017","341.20","335.79","342.34","333.06","1.36M","0.98"
"Nov 08, 2017","337.90","342.58","343.84","335.51","1.37M","-1.49"
"Nov 07, 2017","343.01","350.04","353.99","342.29","1.72M","-1.55"
"Nov 06, 2017","348.40","338.00","361.28","336.63","3.96M","3.87"
"Nov 03, 2017","335.43","334.59","340.58","328.00","2.23M","-0.66"
"Nov 02, 2017","337.66","341.32","341.67","334.65","2.07M","-0.17"
"Nov 01, 2017","338.22","335.62","340.74","335.46","2.32M","1.21"
"Oct 31, 2017","334.17","324.34","339.42","321.82","3.73M","3.15"
"Oct 30, 2017","323.98","318.47","329.72","316.76","3.40M","1.32"
"Oct 27, 2017","319.76","314.83","321.91","308.30","3.54M","1.10"
"Oct 26, 2017","316.29","322.00","328.09","312.41","8.93M","-8.30"
"Oct 25, 2017","344.91","338.69","345.51","336.57","3.52M","1.37"
"Oct 24, 2017","340.26","345.00","345.23","339.53","2.18M","-1.39"
"Oct 23, 2017","345.07","350.15","351.02","344.15","1.83M","-1.62"
"Oct 20, 2017","350.76","353.84","355.50","350.24","1.32M","-0.26"
"Oct 19, 2017","351.67","351.52","353.59","348.43","2.01M","-0.11"
"Oct 18, 2017","352.07","357.04","357.50","350.76","1.33M","-1.61"
"Oct 17, 2017","357.84","362.59","362.59","356.69","1.18M","-1.31"
"Oct 16, 2017","362.60","358.06","362.78","357.61","1.14M","1.45"
"Oct 13, 2017","357.40","354.62","360.22","347.54","2.71M","0.48"
"Oct 12, 2017","355.71","363.00","363.00","352.51","2.58M","-2.58"
"Oct 11, 2017","365.12","364.06","366.97","361.03","1.43M","0.05"
"Oct 10, 2017","364.92","365.99","368.16","362.86","1.11M","-0.31"
"Oct 09, 2017","366.05","368.10","368.69","364.64","1.24M","-0.37"
"Oct 06, 2017","367.40","370.42","370.85","366.60","1.24M","-0.63"
"Oct 05, 2017","369.72","371.54","374.99","369.51","1.80M","-0.37"
"Oct 04, 2017","371.09","368.61","371.76","367.60","920.37K","0.43"
"Oct 03, 2017","369.51","363.94","370.25","363.23","1.27M","1.48"
"Oct 02, 2017","364.11","364.52","366.52","362.87","1.30M","0.19"
"Sep 29, 2017","363.42","359.77","365.01","357.68","1.32M","0.68"
"Sep 28, 2017","360.95","359.50","362.54","357.26","1.20M","-0.52"
"Sep 27, 2017","362.85","359.59","365.50","356.88","2.28M","1.06"
"Sep 26, 2017","359.04","359.51","361.01","356.58","2.09M","0.41"
"Sep 25, 2017","357.58","358.24","360.04","356.11","1.77M","-0.75"
"Sep 22, 2017","360.30","359.54","363.33","358.75","2.08M","-0.22"
"Sep 21, 2017","361.08","365.88","366.40","359.09","2.37M","-1.62"
"Sep 20, 2017","367.01","365.99","371.50","363.50","2.16M","0.82"
"Sep 19, 2017","364.02","368.39","369.84","360.43","3.30M","-1.13"
"Sep 18, 2017","368.17","370.20","371.51","365.90","1.87M","-0.35"
"Sep 15, 2017","369.47","375.91","377.41","367.69","5.27M","-1.74"
"Sep 14, 2017","376.00","382.17","384.76","375.76","2.34M","-2.37"
"Sep 13, 2017","385.13","381.48","386.00","379.48","1.62M","0.93"
"Sep 12, 2017","381.57","380.92","386.16","374.70","2.72M","0.15"
"Sep 11, 2017","381.01","394.93","397.39","380.69","2.09M","-3.03"
"Sep 08, 2017","392.90","394.63","395.60","387.00","2.14M","-0.69"
