Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,326.21,328.35,330.91,321,4.06M,-1.65,CHTR,-1.000994965,-1.771023424,-2.918218911,30,11,2017
29-Nov-17,331.67,326.6,332.01,324.19,2.32M,1.77,CHTR,0.217864924,-3.492701377,-2.265314062,29,11,2017
28-Nov-17,325.89,321.95,327.96,317.93,2.75M,1.26,CHTR,0.034178474,-4.852676065,-0.626581888,28,11,2017
27-Nov-17,321.84,327.69,327.69,319.5,2.09M,-2.17,CHTR,-0.392121102,-4.055161914,2.479984989,27,11,2017
24-Nov-17,328.98,333.64,335.44,326.2,769.02K,-1.58,CHTR,-0.188470398,-2.052079969,5.485472193,24,11,2017
22-Nov-17,334.27,337.84,339.49,332.44,961.10K,-1.23,CHTR,-0.17138467,1.083118904,-2.049810095,22,11,2017
21-Nov-17,338.42,339.24,344.85,337.64,1.95M,0.01,CHTR,0.257114992,0.721475016,-0.299770764,21,11,2017
20-Nov-17,338.37,341,348.38,337.96,2.29M,-0.93,CHTR,-0.158107396,-0.79134179,-1.179470832,20,11,2017
17-Nov-17,341.54,341.38,349.54,338.95,1.25M,0.27,CHTR,0.220180254,0.868691644,-2.674193181,17,11,2017
16-Nov-17,340.63,333.94,340.92,328.5,1.51M,1.92,CHTR,-0.083777153,-2.127784291,-5.041658373,16,11,2017
15-Nov-17,334.22,337.33,337.66,330.5,1.94M,-0.77,CHTR,0.154389715,-0.168688961,-4.186667424,15,11,2017
14-Nov-17,336.81,341.3,344,333.97,1.45M,-2.01,CHTR,-0.704061445,-0.49852774,-4.62217751,14,11,2017
13-Nov-17,343.72,338.5,343.91,337.06,908.98K,1.56,CHTR,0.017728401,-2.841561424,-6.646442361,13,11,2017
10-Nov-17,338.44,338.49,343.4,337.21,870.13K,-0.81,CHTR,-0.794255569,0.912261873,-5.290990487,10,11,2017
9-Nov-17,341.2,335.79,342.34,333.06,1.36M,0.98,CHTR,-0.624445102,-0.553811526,-5.600067471,9,11,2017
8-Nov-17,337.9,342.58,343.84,335.51,1.37M,-1.49,CHTR,-0.125360777,1.289101768,-6.173312883,8,11,2017
7-Nov-17,343.01,350.04,353.99,342.29,1.72M,-1.55,CHTR,0.470723307,4.74907981,-4.077606051,7,11,2017
6-Nov-17,348.4,338,361.28,336.63,3.96M,3.87,CHTR,0.766180723,4.327427619,-7.662887584,6,11,2017
3-Nov-17,335.43,334.59,340.58,328,2.23M,-0.66,CHTR,-0.909198602,4.63785339,-8.930321176,3,11,2017
2-Nov-17,337.66,341.32,341.67,334.65,2.07M,-0.17,CHTR,0.916563184,7.913623573,-7.681488694,2,11,2017
1-Nov-17,338.22,335.62,340.74,335.46,2.32M,1.21,CHTR,0.433910884,-2.693456264,-9.558328168,1,11,2017
31-Oct-17,334.17,324.34,339.42,321.82,3.73M,3.15,CHTR,0.11111797,-4.678775054,-12.22429704,31,10,2017
30-Oct-17,323.98,318.47,329.72,316.76,3.40M,1.32,CHTR,-0.403427571,-7.708580868,-12.53467359,30,10,2017
27-Oct-17,319.76,314.83,321.91,308.3,3.54M,1.1,CHTR,-0.461601695,-10.24347132,-13.37020527,27,10,2017
26-Oct-17,316.29,322,328.09,312.41,8.93M,-8.3,CHTR,-6.642312487,-8.436886854,-10.79096828,26,10,2017
25-Oct-17,344.91,338.69,345.51,336.57,3.52M,1.37,CHTR,-0.461411862,-3.800380606,-6.658398787,25,10,2017
24-Oct-17,340.26,345,345.23,339.53,2.18M,-1.39,CHTR,-0.020285739,-3.588195842,-3.910427807,24,10,2017
23-Oct-17,345.07,350.15,351.02,344.15,1.83M,-1.62,CHTR,-0.173908085,-3.433535576,-2.077856703,23,10,2017
20-Oct-17,350.76,353.84,355.5,350.24,1.32M,-0.26,CHTR,0.617055763,-0.99608282,-1.792950319,20,10,2017
19-Oct-17,351.67,351.52,353.59,348.43,2.01M,-0.11,CHTR,-0.156218934,-1.177925838,-2.647612717,19,10,2017
18-Oct-17,352.07,357.04,357.5,350.76,1.33M,-1.61,CHTR,-0.223563604,-2.212971078,-2.716547233,18,10,2017
17-Oct-17,357.84,362.59,362.59,356.69,1.18M,-1.31,CHTR,-0.00275786,-0.638496109,-0.392835558,17,10,2017
16-Oct-17,362.6,358.06,362.78,357.61,1.14M,1.45,CHTR,0.18466704,-2.182761918,-2.74601407,16,10,2017
13-Oct-17,357.4,354.62,360.22,347.54,2.71M,0.48,CHTR,-0.306429395,-3.47849755,-4.019270847,13,10,2017
12-Oct-17,355.71,363,363,352.51,2.58M,-2.58,CHTR,-0.580631025,-1.817591691,-3.457446809,12,10,2017
11-Oct-17,365.12,364.06,366.97,361.03,1.43M,0.05,CHTR,-0.235668092,-1.894419144,-5.470879963,11,10,2017
10-Oct-17,364.92,365.99,368.16,362.86,1.11M,-0.31,CHTR,-0.016391203,-0.95261292,-4.083130225,10,10,2017
9-Oct-17,366.05,368.1,368.69,364.64,1.24M,-0.37,CHTR,0.190528035,1.095822691,-3.38836251,9,10,2017
6-Oct-17,367.4,370.42,370.85,366.6,1.24M,-0.63,CHTR,0.189332468,1.926146057,-5.721557648,6,10,2017
5-Oct-17,369.72,371.54,374.99,369.51,1.80M,-0.37,CHTR,0.121264383,2.933924366,-6.091396219,5,10,2017
4-Oct-17,371.09,368.61,371.76,367.6,920.37K,0.43,CHTR,-0.243565803,1.587432823,-8.419875776,4,10,2017
3-Oct-17,369.51,363.94,370.25,363.23,1.27M,1.48,CHTR,-0.046689187,1.364750446,-7.469744737,3,10,2017
2-Oct-17,364.11,364.52,366.52,362.87,1.30M,0.19,CHTR,0.302680095,1.940824431,-7.123929882,2,10,2017
29-Sep-17,363.42,359.77,365.01,357.68,1.32M,0.68,CHTR,-0.326915085,-0.147099639,-9.728007226,29,9,2017
28-Sep-17,360.95,359.5,362.54,357.26,1.20M,-0.52,CHTR,-0.923246521,-0.43757616,-8.610214302,28,9,2017
