Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,37.54,36.97,37.64,36.48,42.86M,0.94,CMCSA,-0.59155687,1.538039,2.466740576,30,11,2017
29-Nov-17,37.19,36.24,37.73,36.01,33.94M,2.59,CMCSA,-0.027586207,-0.494233937,0.582847627,29,11,2017
28-Nov-17,36.25,35.56,36.25,35.26,34.51M,1.97,CMCSA,0.028129395,-0.753558471,-2.575342466,28,11,2017
27-Nov-17,35.55,35.78,35.87,35.31,24.58M,-0.89,CMCSA,-0.25090605,-1.050884956,-2.745311226,27,11,2017
24-Nov-17,35.87,36.29,36.35,35.78,12.30M,-1.48,CMCSA,-0.329579786,-2.104127327,0.055141991,24,11,2017
22-Nov-17,36.41,36.39,36.49,36.13,16.40M,-0.03,CMCSA,-0.082372323,-2.124798279,-1.194678251,22,11,2017
21-Nov-17,36.42,36.14,36.51,36,22.75M,1.65,CMCSA,0.865196762,-1.953336951,-0.98630137,21,11,2017
20-Nov-17,35.83,36.1,36.35,35.75,19.41M,-0.91,CMCSA,-0.165929204,-3.087248322,-1.23119015,20,11,2017
17-Nov-17,36.16,37,37,36.12,38.14M,-2.45,CMCSA,-0.18883194,0.407055631,-0.591080064,17,11,2017
16-Nov-17,37.07,36.9,37.57,36.9,21.60M,-0.3,CMCSA,-0.753093061,0.929978118,0,16,11,2017
15-Nov-17,37.18,36.9,37.28,36.67,20.45M,0.87,CMCSA,0.108518719,1.905550953,1.933701657,15,11,2017
14-Nov-17,36.86,37.01,37.06,36.61,20.19M,-1.05,CMCSA,-0.644295302,1.703764771,1.480669043,14,11,2017
13-Nov-17,37.25,36.69,37.28,36.59,16.26M,1.09,CMCSA,-0.434192673,3.235790658,0.21851953,13,11,2017
10-Nov-17,36.85,36.5,37.31,36.5,18.01M,0.79,CMCSA,-0.164113786,2.298206278,1.36073313,10,11,2017
9-Nov-17,36.56,35.98,36.92,35.83,16.16M,0.97,CMCSA,-0.635183651,2.361308677,0.083449235,9,11,2017
8-Nov-17,36.21,36.51,36.63,36.07,23.91M,-0.49,CMCSA,0.329760923,1.191796009,-2.431854623,8,11,2017
7-Nov-17,36.39,35.57,36.91,35.57,38.11M,2.39,CMCSA,0.08441193,-1.27671385,-5.624834174,7,11,2017
6-Nov-17,35.54,35.58,36.06,35.28,23.36M,-0.39,CMCSA,-0.280269058,-2.520547945,-5.873015873,6,11,2017
3-Nov-17,35.68,35.08,35.69,34.78,30.16M,1.51,CMCSA,-0.199146515,-4.648002175,-7.708497764,3,11,2017
2-Nov-17,35.15,36.09,36.09,34.92,40.32M,-2.58,CMCSA,0.027716186,-0.496277916,-5.893089961,2,11,2017
1-Nov-17,36.08,36.25,36.42,35.94,18.20M,0.14,CMCSA,0.610602276,-1.57480315,-6.063747085,1,11,2017
31-Oct-17,36.03,36.51,36.57,35.93,21.83M,-1.29,CMCSA,0.02739726,0.02739726,-4.673629243,31,10,2017
30-Oct-17,36.5,36.67,36.7,36.06,29.43M,-0.79,CMCSA,-0.326175591,0.328317373,-3.423755597,30,10,2017
27-Oct-17,36.79,35.93,36.92,35.34,51.08M,1.43,CMCSA,-0.937413841,-3.46587856,-6.626819127,27,10,2017
26-Oct-17,36.27,35.89,37.2,35.52,58.63M,-1.52,CMCSA,-2.552267173,-2.737127371,-5.103120042,26,10,2017
25-Oct-17,36.83,36.22,36.85,36.2,26.23M,0.9,CMCSA,-0.767123288,0.055248619,-5.995328316,25,10,2017
24-Oct-17,36.5,36.64,36.88,36.26,25.25M,-0.14,CMCSA,0.24623803,0.466136551,-3.094419466,24,10,2017
23-Oct-17,36.55,37.27,37.27,36.52,30.75M,-1.8,CMCSA,0.134336378,1.802786124,-1.688208916,23,10,2017
20-Oct-17,37.22,37.2,37.22,36.87,14.58M,0.87,CMCSA,0.81300813,3.304637601,-2.362204724,20,10,2017
19-Oct-17,36.9,36.15,37.01,36.05,25.33M,1.93,CMCSA,-0.138121547,0.556328234,-3.522818255,19,10,2017
18-Oct-17,36.2,36.55,36.63,36.13,17.99M,-0.74,CMCSA,0.219358377,-2.324959914,-2.429257875,18,10,2017
17-Oct-17,36.47,36.57,36.73,36.44,14.93M,-0.38,CMCSA,-0.109259765,-2.971610507,-1.957104558,17,10,2017
16-Oct-17,36.61,36.16,37.09,36.12,26.66M,1.67,CMCSA,0.416550958,-4.338624339,-2.559956885,16,10,2017
13-Oct-17,36.01,35.92,36.16,35.26,43.67M,0.17,CMCSA,-0.083449235,-5.498553012,-2.734903872,13,10,2017
12-Oct-17,35.95,36.8,36.9,35.78,50.70M,-3.93,CMCSA,-1.656867985,-4.041720991,-2.127659574,12,10,2017
11-Oct-17,37.42,37.64,37.64,37.2,26.37M,-0.72,CMCSA,-0.132661183,-2.461777663,-0.842992624,11,10,2017
10-Oct-17,37.69,37.8,38.04,37.51,15.02M,-0.29,CMCSA,0,-1.305483029,-0.263852243,10,10,2017
9-Oct-17,37.8,37.99,38.25,37.72,10.69M,-0.55,CMCSA,-0.052617732,0.052673163,0.422944753,9,10,2017
6-Oct-17,38.01,38.31,38.45,37.95,18.82M,-0.89,CMCSA,-0.104302477,-0.441787942,0.261711594,6,10,2017
5-Oct-17,38.35,38.6,38.78,38.09,20.14M,-0.62,CMCSA,0.025913449,2.062400846,0,5,10,2017
4-Oct-17,38.59,38.35,38.61,38.12,20.98M,0.76,CMCSA,0.130548303,-0.46716844,-6.849647802,4,10,2017
3-Oct-17,38.3,37.78,38.38,37.69,18.54M,0.87,CMCSA,-0.500395049,-0.079344089,-7.10597492,3,10,2017
2-Oct-17,37.97,38.41,38.85,37.93,18.16M,-1.33,CMCSA,-0.181912682,1.318913216,-6.4539698,2,10,2017
29-Sep-17,38.48,37.82,38.51,37.61,19.20M,1.75,CMCSA,0,-0.734908136,-6.870229008,29,9,2017
28-Sep-17,37.82,38.25,38.4,37.73,16.36M,-1.84,CMCSA,-0.726706462,2.081665332,-6.295933366,28,9,2017
27-Sep-17,38.53,37.83,38.84,37.72,24.70M,1.9,CMCSA,0.052896059,0.987720235,-5.801792829,27,9,2017
26-Sep-17,37.81,37.9,38.08,37.64,16.01M,-0.26,CMCSA,-0.026378264,1.608579088,-6.04858701,26,9,2017
25-Sep-17,37.91,38.07,38.11,37.53,21.60M,-0.5,CMCSA,-0.078740157,2.5869038,-5.298507463,25,9,2017
