Date	Price	Open	High	Low	Vol.	Change %	Stock	O-Change	W-Change	M-Change	Day	Month	Year
30-Nov-17	184.43	180.43	184.9	180.22	7.72M	3.89	COST	1.633526728	4.609230056	10.90417358	30	11	2017
29-Nov-17	177.53	174	177.74	173.54	4.68M	2.23	COST	0.201554852	0.334448161	8.0208592	29	11	2017
28-Nov-17	173.65	173.32	174.18	172.55	2.73M	0.6	COST	0.411331904	0.603668447	8.169506335	28	11	2017
27-Nov-17	172.61	172.25	173.06	171.12	2.35M	0.58	COST	0.367090083	0.742776933	6.07833477	27	11	2017
24-Nov-17	171.62	172.38	173.16	171.5	789.62K	-0.5	COST	-0.057977737	0.818809217	6.106118429	24	11	2017
22-Nov-17	172.48	173.84	174	171.1	1.95M	-0.54	COST	0.242186599	2.863905325	7.189542484	22	11	2017
21-Nov-17	173.42	172.96	174.19	172.55	2.36M	0.66	COST	0.394706292	0.886607559	6.574650317	21	11	2017
20-Nov-17	172.28	171.11	172.53	170.85	1.96M	0.76	COST	0.076032284	-0.204129243	5.597383362	20	11	2017
17-Nov-17	170.98	171	172.2	170.65	2.10M	0	COST	0.011697275	-0.210084034	6.363127449	17	11	2017
16-Nov-17	170.98	170.23	171.34	169.16	2.34M	1.17	COST	0.727810651	0.662290817	7.427742017	16	11	2017
15-Nov-17	169	169.3	170.73	167.06	2.44M	-1.42	COST	-1.248250117	0.147885241	7.457949857	15	11	2017
14-Nov-17	171.44	170.82	171.83	169.77	1.77M	-0.01	COST	-0.373264901	2.730334376	7.854527087	14	11	2017
13-Nov-17	171.46	171	173.09	170.65	4.09M	0.06	COST	-0.210084034	3.604968191	7.675839053	13	11	2017
10-Nov-17	171.36	168.44	171.38	168.08	2.67M	1.33	COST	-0.396191828	1.201634223	5.373787926	10	11	2017
9-Nov-17	169.11	167.48	169.31	167.05	2.09M	0.04	COST	-0.928719314	1.533798121	6.525887292	9	11	2017
8-Nov-17	169.05	166.63	169.19	166.02	3.49M	1.67	COST	0.210488333	2.421783761	5.548869323	8	11	2017
7-Nov-17	166.28	165.2	166.5	164.6	1.94M	0.75	COST	0.090881551	2.557735287	5.310129407	7	11	2017
6-Nov-17	165.05	165.8	166.59	164.98	1.92M	-0.84	COST	-0.384522951	3.476252886	7.237565487	6	11	2017
