Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,37.3,37.62,37.8,37.3,30.75M,-0.48,CSCO,0.373532551,3.209876543,8.665511265,30,11,2017
29-Nov-17,37.48,37.75,38.02,37.23,36.79M,-0.66,CSCO,0.053008216,3.001364256,10.54172767,29,11,2017
28-Nov-17,37.73,37,37.8,36.98,30.97M,2.33,CSCO,0.352590182,1.369863014,8.695652174,28,11,2017
27-Nov-17,36.87,36.51,37.09,36.5,20.94M,1.04,CSCO,0.054809537,1.699164345,6.041243102,27,11,2017
24-Nov-17,36.49,36.41,36.57,36.32,6.16M,0.11,CSCO,-0.109739369,1.477146042,6.244528742,24,11,2017
22-Nov-17,36.45,36.7,36.72,36.36,17.23M,-0.55,CSCO,0.136425648,7.593081208,6.997084548,22,11,2017
21-Nov-17,36.65,36.75,36.97,36.58,24.15M,0.41,CSCO,0.684931507,7.961222092,6.275303644,21,11,2017
20-Nov-17,36.5,35.93,36.54,35.93,26.90M,1.67,CSCO,0.08356546,5.832106038,4.599708879,20,11,2017
17-Nov-17,35.9,35.9,36.32,35.81,27.99M,0.06,CSCO,0.05574136,5.619299794,4.817518248,17,11,2017
16-Nov-17,35.88,36.04,36.67,35.83,61.18M,5.19,CSCO,5.658164761,5.844346549,6.785185185,16,11,2017
15-Nov-17,34.11,33.97,34.31,33.75,30.83M,0.21,CSCO,-0.205640423,-1.536231884,1.251862891,15,11,2017
14-Nov-17,34.04,33.86,34.16,33.8,17.47M,0.27,CSCO,-0.265095729,-1.569767442,0.773809524,14,11,2017
13-Nov-17,33.95,33.86,34.21,33.83,16.44M,-0.12,CSCO,-0.382465431,-1.598372566,0.954084675,13,11,2017
10-Nov-17,33.99,34.06,34.09,33.67,19.32M,-0.18,CSCO,0.029368576,-1.189440093,1.762772632,10,11,2017
9-Nov-17,34.05,34.29,34.32,33.87,16.78M,-1.3,CSCO,-0.608695652,0.233849752,3.096812989,9,11,2017
8-Nov-17,34.5,34.31,34.5,34.12,13.06M,0.29,CSCO,-0.261627907,-0.895436164,2.143495088,8,11,2017
7-Nov-17,34.4,34.32,34.48,34.21,11.33M,-0.03,CSCO,-0.261551874,0.497803807,2.295081967,7,11,2017
6-Nov-17,34.41,34.37,34.56,34.26,12.79M,-0.17,CSCO,-0.29010734,0.969447709,1.806872038,6,11,2017
3-Nov-17,34.47,34.28,34.49,34.03,13.41M,0.76,CSCO,0.204618533,-0.43566657,1.57037037,3,11,2017
2-Nov-17,34.21,34.55,34.64,34.16,19.83M,-1.18,CSCO,-0.202195263,0.817041144,2.85799345,2,11,2017
1-Nov-17,34.62,34.29,34.75,34.28,22.05M,1.38,CSCO,0.409956076,-0.029154519,2.541866029,1,11,2017
31-Oct-17,34.15,33.98,34.24,33.96,13.94M,0.32,CSCO,-0.17626322,-1.735106998,0.384047267,31,10,2017
