Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,55.75,54.4,56.17,54.15,14.54M,2.41,CSX,-0.073475386,6.645755734,8.474576271,30,11,2017
29-Nov-17,54.44,51.91,54.72,51.51,11.16M,4.43,CSX,-0.422021868,3.36519315,2.934761055,29,11,2017
28-Nov-17,52.13,50.69,52.18,50.44,6.80M,2.9,CSX,0.059218318,1.971434319,-1.763565891,28,11,2017
27-Nov-17,50.66,50.91,51.09,50.22,4.53M,-0.47,CSX,0.019646365,1.983173077,-3.102398173,27,11,2017
24-Nov-17,50.9,50.88,51.32,50.67,2.45M,-0.22,CSX,-0.25485199,1.516360734,-2.808022923,24,11,2017
22-Nov-17,51.01,50.4,51.2,50.13,4.67M,1.57,CSX,0.358422939,3.639728563,-4.761904762,22,11,2017
21-Nov-17,50.22,49.76,50.23,49.56,3.80M,1.03,CSX,0.100583384,0.728744939,-8.411558991,21,11,2017
20-Nov-17,49.71,49.75,49.91,49.3,4.84M,-0.42,CSX,-0.340544872,0,-8.074648928,20,11,2017
17-Nov-17,49.92,49.96,50.07,49.5,6.17M,-0.4,CSX,-0.319233839,-0.239616613,-8.363903155,17,11,2017
16-Nov-17,50.12,48.71,50.15,48.34,7.21M,3.06,CSX,0.164507506,-3.026080032,-9.896411395,16,11,2017
15-Nov-17,48.63,49.26,49.34,48.26,5.29M,-1.56,CSX,-0.28340081,-4.330938046,-8.233979136,15,11,2017
14-Nov-17,49.4,49.46,49.62,49,4.42M,-0.7,CSX,-0.582914573,-4.554226168,-8.795869445,14,11,2017
13-Nov-17,49.75,49.36,49.97,48.79,4.91M,-0.66,CSX,-1.437699681,-3.499511241,-6.585919758,13,11,2017
10-Nov-17,50.08,49.97,50.38,49.77,3.46M,-0.3,CSX,-0.517618953,-2.611576691,-5.413590763,10,11,2017
9-Nov-17,50.23,51.19,51.25,50.17,5.46M,-2.45,CSX,-0.582637405,-0.833010461,-4.460619634,9,11,2017
8-Nov-17,51.49,51.15,51.86,51.02,3.90M,-0.64,CSX,-1.29293709,1.994017946,-3.6360211,8,11,2017
7-Nov-17,51.82,51.13,52.42,50.89,5.51M,1.31,CSX,-0.039100684,1.388062661,-2.40503913,7,11,2017
6-Nov-17,51.15,51.05,51.25,50.59,4.58M,-0.31,CSX,-0.506723836,-1.065891473,-3.33270214,6,11,2017
3-Nov-17,51.31,51.63,51.74,51.17,4.00M,-0.6,CSX,0.019372336,-1.732013704,-1.375358166,3,11,2017
2-Nov-17,51.62,50.22,51.64,50.09,6.12M,2.93,CSX,0.139581256,-4.068767908,-4.068767908,2,11,2017
1-Nov-17,50.15,50.73,50.96,49.77,6.12M,-0.56,CSX,0.594883998,-4.138321995,-2.103434967,1,11,2017
31-Oct-17,50.43,51.58,51.6,50.39,7.43M,-2.27,CSX,-0.03875969,-5.061660225,-1.036070606,31,10,2017
30-Oct-17,51.6,52.41,52.55,51.28,6.32M,-1.79,CSX,-0.247430529,-3.159645233,-0.701023115,30,10,2017
27-Oct-17,52.54,52.12,53.2,52,6.44M,0.36,CSX,-0.439350525,-4.402054292,-3.943973461,27,10,2017
26-Oct-17,52.35,52.44,52.94,50.67,13.01M,-1.08,CSX,-0.907029478,-2.996670366,-2.328180294,26,10,2017
25-Oct-17,52.92,54.48,54.99,52.71,7.78M,-2.6,CSX,0.276090558,1.490312966,1.207505109,25,10,2017
24-Oct-17,54.33,54.16,54.97,54.15,4.03M,0.39,CSX,0.07390983,-0.129079845,1.082493468,24,10,2017
23-Oct-17,54.12,54.54,54.76,54.1,4.51M,-0.73,CSX,0.036683786,3.217259652,2.268891806,23,10,2017
20-Oct-17,54.52,54.45,54.93,54.11,6.11M,0.85,CSX,0.721420644,3.066439523,2.542372881,20,10,2017
19-Oct-17,54.06,53.16,54.12,52.99,5.17M,0.71,CSX,-0.968703428,-0.78387458,0.586565752,19,10,2017
18-Oct-17,53.68,54.29,54.98,53.6,7.47M,-1.01,CSX,0.110639867,2.279577995,2.802499527,18,10,2017
17-Oct-17,54.23,52.26,54.28,52.1,9.78M,2.63,CSX,-1.097653293,-0.248138958,0.926998841,17,10,2017
16-Oct-17,52.84,52.8,53.29,52.61,6.60M,0.02,CSX,-0.056785917,-0.018935808,1.832208293,16,10,2017
13-Oct-17,52.83,53.74,53.94,52.75,3.95M,-1.4,CSX,0.298618888,2.655205349,2.400914634,13,10,2017
12-Oct-17,53.58,53.19,53.86,53.12,5.13M,0.94,CSX,0.207234363,1.604584527,2.131336406,12,10,2017
11-Oct-17,53.08,52.14,53.1,52.02,4.60M,1.32,CSX,-0.477190303,0.617522192,0.134434415,11,10,2017
10-Oct-17,52.39,52.88,52.94,52.35,3.01M,-0.8,CSX,0.132550653,1.458173446,1.848998459,10,10,2017
9-Oct-17,52.81,52.45,52.9,52.35,3.06M,0.88,CSX,0.191021968,-0.625236832,0.729786825,9,10,2017
6-Oct-17,52.35,52.26,52.37,51.79,4.45M,0,CSX,-0.171919771,-3.685956506,2.190066484,6,10,2017
5-Oct-17,52.35,51.91,52.4,51.51,5.03M,1.02,CSX,0.173678117,-3.315328739,0.854866913,5,10,2017
4-Oct-17,51.82,51.99,52.21,51.63,4.83M,-0.58,CSX,-0.249424405,-3.418168308,3.545110536,4,10,2017
3-Oct-17,52.12,52.68,53.04,51.96,6.92M,-1.25,CSX,-0.189465707,-1.679731243,7.532149418,3,10,2017
2-Oct-17,52.78,52.81,53.46,52.38,8.08M,-2.73,CSX,-2.672318467,-0.975060941,6.08678184,2,10,2017
29-Sep-17,54.26,53.65,54.3,53.2,4.58M,1.06,CSX,-0.074501769,1.035781544,6.87250996,29,9,2017
28-Sep-17,53.69,53.65,54.08,53.6,4.55M,-0.26,CSX,-0.33438603,1.51371807,6.427296171,28,9,2017
27-Sep-17,53.83,53.78,54.23,53.65,5.08M,0.47,CSX,0.37327361,1.836773338,8.035355564,27,9,2017
26-Sep-17,53.58,53.34,53.75,53.1,5.05M,0.47,CSX,0.018751172,3.012746234,7.757575758,26,9,2017
25-Sep-17,53.33,53.04,53.37,52.67,4.16M,0.43,CSX,-0.11299435,2.295081967,8.57727738,25,9,2017
