Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,157.44,153.35,157.81,153.01,2.19M,2.41,CTAS,-0.247186626,4.064875136,4.23463839,30,11,2017
29-Nov-17,153.73,151.98,153.87,151.54,706.19K,1.12,CTAS,-0.032888246,2.981433799,1.972624799,29,11,2017
28-Nov-17,152.03,148.19,152.18,147.78,575.02K,2.75,CTAS,0.155447418,-0.040472175,-0.690255998,28,11,2017
27-Nov-17,147.96,147.91,149.1,147.61,524.67K,0.17,CTAS,0.135400447,-0.678216492,-2.408287147,27,11,2017
24-Nov-17,147.71,147.93,148.22,147.49,273.50K,0.24,CTAS,0.386807818,-1.452268337,-2.38865061,24,11,2017
22-Nov-17,147.36,147.56,147.71,146.56,427.60K,-0.15,CTAS,-0.013551972,-1.297658863,-1.731486414,22,11,2017
21-Nov-17,147.58,148.77,148.86,147.21,584.97K,-0.45,CTAS,0.350758853,-0.288203753,-1.378853165,21,11,2017
20-Nov-17,148.25,148.74,149.16,148.05,480.28K,-0.45,CTAS,-0.120870266,0.943332202,-1.81530134,20,11,2017
17-Nov-17,148.92,149.78,150.08,148.33,380.80K,-0.79,CTAS,-0.219838785,2.518822724,-1.590013141,17,11,2017
16-Nov-17,150.11,149.53,150.62,149.25,524.01K,0.41,CTAS,0.02006689,2.819225744,-0.940708844,16,11,2017
15-Nov-17,149.5,148.4,149.65,147.63,702.54K,0.2,CTAS,-0.536193029,-0.808769467,-1.825879862,15,11,2017
14-Nov-17,149.2,146.57,149.46,146.57,603.16K,1.26,CTAS,-0.529351883,-0.879150605,-2.965905329,14,11,2017
13-Nov-17,147.35,145.87,147.77,145.75,659.51K,0.86,CTAS,-0.15742642,-1.151995663,-3.537891813,13,11,2017
10-Nov-17,146.1,144.82,146.14,144.82,415.18K,0.46,CTAS,-0.419445781,-2.392666981,-4.686060287,10,11,2017
9-Nov-17,145.43,147.48,147.72,144.4,532.92K,-2.79,CTAS,-1.423701624,-0.047441545,-2.659890436,9,11,2017
8-Nov-17,149.61,147.43,149.66,147.32,404.16K,1.18,CTAS,-0.297558666,0.210712344,-2.150394903,8,11,2017
7-Nov-17,147.87,148.06,148.44,147.32,335.91K,0.2,CTAS,0.332045809,-0.6575416,-1.451011715,7,11,2017
6-Nov-17,147.57,148.05,148.36,146.96,579.56K,-0.54,CTAS,-0.215677024,-0.784077201,-1.036096257,6,11,2017
3-Nov-17,148.37,147.61,148.51,147.09,375.89K,0.56,CTAS,0.040664182,-2.606228556,-0.98604776,3,11,2017
