Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,46.08,46.3,47.25,46.03,4.10M,-0.37,CTRP,0.108108108,-3.601915469,-2.628811777,30,11,2017
29-Nov-17,46.25,46.68,47.19,45.92,5.40M,-0.9,CTRP,0.021427041,-2.97235502,-2.526623512,29,11,2017
28-Nov-17,46.67,46.74,47.06,46.16,2.50M,-0.3,CTRP,-0.149540696,-1.371597383,-0.574345884,28,11,2017
27-Nov-17,46.81,47.18,47.2,46.35,4.42M,-1.74,CTRP,-0.965575147,-1.173020528,0.10608954,27,11,2017
24-Nov-17,47.64,47.68,47.87,47.1,2.14M,-0.81,CTRP,-0.728711222,1.815075806,2.317596567,24,11,2017
22-Nov-17,48.03,48.39,48.74,47.8,2.97M,-0.17,CTRP,0.581999584,5.493786789,2.196409715,22,11,2017
21-Nov-17,48.11,48.16,48.56,47.61,3.78M,1.52,CTRP,1.624815362,6.313465784,0.2289282,21,11,2017
20-Nov-17,47.39,48.19,48.19,47.17,3.24M,-0.73,CTRP,0.942605781,3.679001721,-0.495560603,20,11,2017
17-Nov-17,47.74,47.11,48.35,47.02,5.41M,1.94,CTRP,0.597907324,3.153054522,-2.564632885,17,11,2017
16-Nov-17,46.83,46.22,47.28,46.11,4.57M,2.09,CTRP,0.763025943,0.697167756,-7.18875502,16,11,2017
15-Nov-17,45.87,45,45.88,44.55,3.63M,1.26,CTRP,-0.662251656,-2.067464635,-17.08126036,15,11,2017
14-Nov-17,45.3,46.2,46.46,45.03,4.44M,-2.54,CTRP,-0.602409639,0.653594771,-15.40010987,14,11,2017
13-Nov-17,46.48,45.65,46.56,45.59,5.98M,1.77,CTRP,-0.043792424,-0.566325419,-17.70326303,13,11,2017
10-Nov-17,45.67,45.64,45.77,45.24,3.23M,-0.5,CTRP,-0.566448802,-1.637931034,-17.30385939,10,11,2017
9-Nov-17,45.9,45.65,45.95,45.03,7.00M,-0.11,CTRP,-0.652883569,-1.743435213,-16.60577274,9,11,2017
8-Nov-17,45.95,45.19,46.83,45.04,6.19M,0.11,CTRP,-1.546840959,-4.963196635,-16.79248757,8,11,2017
7-Nov-17,45.9,46.02,46.27,45.38,5.49M,-0.02,CTRP,0.239599216,-3.904781792,-15.72971983,7,11,2017
6-Nov-17,45.91,46.5,46.8,45.77,6.61M,-1.06,CTRP,0.215517241,-1.084875558,-15.91320072,6,11,2017
3-Nov-17,46.4,46.76,47.19,46.12,5.64M,-0.13,CTRP,0.645716746,-0.785062593,-16.06533836,3,11,2017
2-Nov-17,46.46,46.43,47.49,44.57,14.94M,-2.29,CTRP,-2.355415352,-0.364806867,-17.42841899,2,11,2017
1-Nov-17,47.55,48.05,49.23,47.35,12.25M,-0.71,CTRP,0.334098977,1.478352693,-13.40782123,1,11,2017
31-Oct-17,47.89,47.14,48.44,47,6.05M,1.87,CTRP,0.276536907,-1.893860562,-13.53631695,31,10,2017
30-Oct-17,47.01,47.65,48.18,46.99,3.95M,-0.25,CTRP,1.103331212,-1.61057196,-10.06040015,30,10,2017
27-Oct-17,47.13,46.39,47.31,46.11,4.45M,1.14,CTRP,-0.450643777,-4.05377456,-12.04019719,27,10,2017
26-Oct-17,46.6,47.5,47.7,46.59,4.74M,-1.58,CTRP,0.316789863,-4.618473896,-10.07194245,26,10,2017
25-Oct-17,47.35,48.05,48.21,46.64,6.68M,-1.46,CTRP,0,-11.46121246,-8.161314985,25,10,2017
24-Oct-17,48.05,48.96,49.21,48.04,4.93M,-0.78,CTRP,1.094362998,-10.34609046,-5.391304348,24,10,2017
23-Oct-17,48.43,48.35,48.69,47.62,6.29M,0.17,CTRP,0,-12.83576708,-7.922300514,23,10,2017
20-Oct-17,48.35,50.58,50.58,48.33,13.41M,-2.91,CTRP,1.56626506,-8.352962493,-4.403704404,20,10,2017
19-Oct-17,49.8,53.06,53.1,49.67,17.86M,-8.24,CTRP,-2.229592777,-3.069053708,-0.673904905,19,10,2017
18-Oct-17,54.27,54.54,54.61,54.01,2.10M,-0.62,CTRP,-0.128181652,0.423494752,2.039289055,18,10,2017
17-Oct-17,54.61,55.48,55.88,54.24,2.39M,-1.55,CTRP,0.018027763,1.593114814,4.639758582,17,10,2017
16-Oct-17,55.47,55.45,55.66,55.01,1.17M,0.51,CTRP,0.471099837,0.27124774,4.24891897,16,10,2017
13-Oct-17,55.19,54.76,55.42,54.67,1.81M,0.82,CTRP,0.036536354,-1.705259379,4.503816794,13,10,2017
12-Oct-17,54.74,54.66,54.86,54.08,2.02M,0.79,CTRP,0.644448536,-2.792103859,3.19048518,12,10,2017
11-Oct-17,54.31,54.36,54.38,53.57,2.81M,-0.55,CTRP,-0.457791613,-2.036402955,2.58539347,11,10,2017
10-Oct-17,54.61,54.89,54.98,53.75,3.68M,-1.25,CTRP,-0.741410488,0.678650037,4.791905307,10,10,2017
9-Oct-17,55.3,55.54,55.71,54.47,2.58M,-0.74,CTRP,-0.305151678,4.83201208,5.871139916,9,10,2017
6-Oct-17,55.71,56.14,56.46,55.58,1.96M,-0.92,CTRP,-0.160056909,6.446719757,8.925106713,6,10,2017
5-Oct-17,56.23,55.5,56.41,55.4,2.72M,1.33,CTRP,0.018021265,5.073835668,8.334959984,5,10,2017
4-Oct-17,55.49,54.5,55.99,54.38,4.45M,1.78,CTRP,-0.036683786,4.166666667,8.349900596,4,10,2017
3-Oct-17,54.52,53.6,54.66,53.01,3.92M,2.91,CTRP,1.170252926,3.574879227,6.560636183,3,10,2017
2-Oct-17,52.98,52.84,53.83,52.25,2.15M,0.46,CTRP,0.189609405,0.628451723,4.365000988,2,10,2017
29-Sep-17,52.74,52.93,53.34,52.64,2.51M,-0.15,CTRP,0.208254449,0.037800038,2.876579203,29,9,2017
28-Sep-17,52.82,52.03,53.15,51.8,2.85M,0.96,CTRP,-0.554281346,-2.602021715,-1.308801214,28,9,2017
27-Sep-17,52.32,52.01,52.62,51.71,2.91M,1.1,CTRP,0.502415459,-2.694106642,-0.287576687,27,9,2017
26-Sep-17,51.75,52.71,52.88,51.65,2.86M,-1.45,CTRP,0.380879832,-0.584685025,1.035077631,26,9,2017
