"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","72.28","71.45","72.78","71.45","3.88M","0.24"
"Nov 29, 2017","72.11","72.99","72.99","71.96","3.08M","-1.04"
"Nov 28, 2017","72.87","72.53","73.23","72.38","3.51M","0.65"
"Nov 27, 2017","72.40","72.23","72.61","72.00","3.99M","0.18"
"Nov 24, 2017","72.27","71.93","72.37","71.53","1.83M","0.78"
"Nov 22, 2017","71.71","71.92","72.06","71.48","2.54M","-0.08"
"Nov 21, 2017","71.77","72.78","72.89","71.49","4.24M","-0.18"
"Nov 20, 2017","71.90","72.74","72.91","71.57","5.89M","-1.39"
"Nov 17, 2017","72.91","75.07","75.16","72.88","4.75M","-3.28"
"Nov 16, 2017","75.38","74.40","75.77","74.39","3.37M","1.74"
"Nov 15, 2017","74.09","74.94","75.11","73.97","3.24M","-1.17"
"Nov 14, 2017","74.97","73.84","75.19","73.78","2.26M","0.55"
"Nov 13, 2017","74.56","74.00","74.66","73.81","1.74M","0.40"
"Nov 10, 2017","74.26","73.59","74.44","73.42","2.59M","0.43"
"Nov 09, 2017","73.94","73.86","74.24","73.50","2.14M","-0.59"
"Nov 08, 2017","74.38","74.85","75.08","74.27","2.56M","-0.36"
"Nov 07, 2017","74.65","74.81","75.06","74.53","3.16M","-0.17"
"Nov 06, 2017","74.78","74.11","75.29","74.00","3.18M","0.69"
"Nov 03, 2017","74.27","74.33","74.72","73.77","3.79M","-0.12"
"Nov 02, 2017","74.36","74.14","75.11","73.73","4.43M","1.12"
"Nov 01, 2017","73.54","74.64","75.00","70.53","9.99M","-2.81"
"Oct 31, 2017","75.67","75.73","76.51","75.36","6.13M","0.21"
"Oct 30, 2017","75.51","75.32","75.62","74.75","4.16M","0.16"
"Oct 27, 2017","75.39","74.71","75.50","74.00","3.42M","1.09"
"Oct 26, 2017","74.58","75.31","75.51","74.54","3.39M","0.44"
"Oct 25, 2017","74.25","74.43","74.75","74.10","2.37M","-0.59"
"Oct 24, 2017","74.69","74.32","74.70","74.15","3.55M","0.39"
"Oct 23, 2017","74.40","74.98","75.00","74.30","2.67M","-0.53"
"Oct 20, 2017","74.80","74.50","74.82","74.19","2.91M","0.71"
"Oct 19, 2017","74.27","73.61","74.47","73.42","1.66M","0.45"
"Oct 18, 2017","73.94","74.00","74.33","73.64","2.05M","-0.04"
"Oct 17, 2017","73.97","74.12","74.13","73.60","1.39M","-0.27"
"Oct 16, 2017","74.17","74.44","74.51","73.79","1.22M","-0.28"
"Oct 13, 2017","74.38","74.61","74.77","74.23","1.47M","0.39"
"Oct 12, 2017","74.09","73.74","74.47","73.74","2.68M","0.67"
"Oct 11, 2017","73.60","73.89","74.01","73.15","2.47M","-0.54"
"Oct 10, 2017","74.00","73.62","74.10","73.62","2.09M","0.48"
"Oct 09, 2017","73.65","73.91","73.91","73.20","1.93M","-0.20"
"Oct 06, 2017","73.80","73.00","73.83","73.00","2.25M","0.82"
"Oct 05, 2017","73.20","73.06","73.23","72.62","3.63M","0.76"
"Oct 04, 2017","72.65","72.50","73.03","72.26","4.47M","0.14"
"Oct 03, 2017","72.55","72.46","72.92","72.22","2.64M","0.14"
"Oct 02, 2017","72.45","72.51","73.28","72.35","1.90M","-0.12"
"Sep 29, 2017","72.54","71.99","72.65","71.93","1.95M","0.55"
"Sep 28, 2017","72.14","71.48","72.17","71.39","1.64M","0.32"
"Sep 27, 2017","71.91","72.03","72.33","71.53","2.04M","0.40"
"Sep 26, 2017","71.62","71.93","72.52","71.51","3.77M","-0.10"
"Sep 25, 2017","71.69","71.91","72.05","71.04","2.20M","-0.51"
"Sep 22, 2017","72.06","71.96","72.47","71.91","3.57M","0.28"
"Sep 21, 2017","71.86","72.37","72.58","71.86","2.38M","-0.83"
"Sep 20, 2017","72.46","72.63","72.84","72.01","2.57M","-0.06"
"Sep 19, 2017","72.50","72.25","72.82","72.13","2.62M","0.64"
"Sep 18, 2017","72.04","72.13","72.31","71.81","1.57M","0.31"
"Sep 15, 2017","71.82","71.77","71.93","71.41","3.93M","0.11"
