Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,72.28,71.45,72.78,71.45,3.88M,0.24,CTSH,-0.91526834,-0.362571468,-2.841990753,30,11,2017
29-Nov-17,72.11,72.99,72.99,71.96,3.08M,-1.04,CTSH,0.164676822,1.699874599,-3.541694198,29,11,2017
28-Nov-17,72.87,72.53,73.23,72.38,3.51M,0.65,CTSH,0.179558011,0.876216968,-3.946497153,28,11,2017
27-Nov-17,72.4,72.23,72.61,72,3.99M,0.18,CTSH,-0.055348001,-0.9326567,-4.191537339,27,11,2017
24-Nov-17,72.27,71.93,72.37,71.53,1.83M,0.78,CTSH,0.306791243,-4.576810825,-3.553231429,24,11,2017
22-Nov-17,71.71,71.92,72.06,71.48,2.54M,-0.08,CTSH,0.209000975,-2.928870293,-3.138047138,22,11,2017
21-Nov-17,71.77,72.78,72.89,71.49,4.24M,-0.18,CTSH,1.223922114,-2.921168467,-2.557236578,21,11,2017
20-Nov-17,71.9,72.74,72.91,71.57,5.89M,-1.39,CTSH,-0.233164175,-2.440987124,-2.231182796,20,11,2017
17-Nov-17,72.91,75.07,75.16,72.88,4.75M,-3.28,CTSH,-0.411249668,1.090762187,0.360962567,17,11,2017
16-Nov-17,75.38,74.4,75.77,74.39,3.37M,1.74,CTSH,0.418410042,0.622126048,0.175037027,16,11,2017
15-Nov-17,74.09,74.94,75.11,73.97,3.24M,-1.17,CTSH,-0.040016006,0.752890562,1.352447931,15,11,2017
14-Nov-17,74.97,73.84,75.19,73.78,2.26M,0.55,CTSH,-0.965665236,-1.08506363,-0.175746924,14,11,2017
13-Nov-17,74.56,74,74.66,73.81,1.74M,0.4,CTSH,-0.350121196,-1.043059642,-0.229203182,13,11,2017
10-Nov-17,74.26,73.59,74.44,73.42,2.59M,0.43,CTSH,-0.473356776,-0.915578295,-1.062113471,10,11,2017
9-Nov-17,73.94,73.86,74.24,73.5,2.14M,-0.59,CTSH,-0.699112665,-0.672404519,-0.310433257,9,11,2017
8-Nov-17,74.38,74.85,75.08,74.27,2.56M,-0.36,CTSH,0.267916946,1.781343487,1.698369565,8,11,2017
7-Nov-17,74.65,74.81,75.06,74.53,3.16M,-0.17,CTSH,0.040117679,-1.13651381,1.094594595,7,11,2017
6-Nov-17,74.78,74.11,75.29,74,3.18M,0.69,CTSH,-0.215430187,-1.854059065,0.624575696,6,11,2017
3-Nov-17,74.27,74.33,74.72,73.77,3.79M,-0.12,CTSH,-0.040344271,-1.406022019,0.718157182,3,11,2017
2-Nov-17,74.36,74.14,75.11,73.73,4.43M,1.12,CTSH,0.815882513,-0.589970501,1.284153005,2,11,2017
1-Nov-17,73.54,74.64,75,70.53,9.99M,-2.81,CTSH,-1.361173517,0.525252525,2.739160358,1,11,2017
31-Oct-17,75.67,75.73,76.51,75.36,6.13M,0.21,CTSH,0.291352139,1.392422011,4.383184011,31,10,2017
30-Oct-17,75.51,75.32,75.62,74.75,4.16M,0.16,CTSH,-0.092850511,1.23655914,3.961352657,30,10,2017
27-Oct-17,75.39,74.71,75.5,74,3.42M,1.09,CTSH,0.174309466,-0.120320856,2.991452991,27,10,2017
26-Oct-17,74.58,75.31,75.51,74.54,3.39M,0.44,CTSH,1.427609428,1.400296217,4.394233435,26,10,2017
25-Oct-17,74.25,74.43,74.75,74.1,2.37M,-0.59,CTSH,-0.348105503,0.662699486,3.504380476,25,10,2017
24-Oct-17,74.69,74.32,74.7,74.15,3.55M,0.39,CTSH,-0.107526882,0.473164797,3.769896677,24,10,2017
23-Oct-17,74.4,74.98,75,74.3,2.67M,-0.53,CTSH,0.240641711,1.092085749,4.589203515,23,10,2017
20-Oct-17,74.8,74.5,74.82,74.19,2.91M,0.71,CTSH,0.309680894,0.161333692,3.386067166,20,10,2017
19-Oct-17,74.27,73.61,74.47,73.42,1.66M,0.45,CTSH,-0.446307817,-0.64786071,2.435290843,19,10,2017
18-Oct-17,73.94,74,74.33,73.64,2.05M,-0.04,CTSH,0.040556983,0.543478261,2.125310516,18,10,2017
17-Oct-17,73.97,74.12,74.13,73.6,1.39M,-0.27,CTSH,-0.067412701,0.162162162,2.234482759,17,10,2017
16-Oct-17,74.17,74.44,74.51,73.79,1.22M,-0.28,CTSH,0.080666846,1.072640869,3.33148251,16,10,2017
