Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,87.63,87.19,88.06,86.97,2.17M,0.72,CTXS,0.218390805,0.58837102,6.031861851,30,11,2017
29-Nov-17,87,87.63,87.7,86.52,1.67M,-0.79,CTXS,-0.068422853,1.236136784,6.076746157,29,11,2017
28-Nov-17,87.69,86.33,88.08,86.02,1.79M,1.79,CTXS,0.208937899,0.232207129,4.782133754,28,11,2017
27-Nov-17,86.15,86.4,86.6,85.95,988.48K,-0.12,CTXS,0.173913043,-0.12715293,4.474002418,27,11,2017
24-Nov-17,86.25,86.7,86.78,85.66,561.43K,-0.5,CTXS,0.023073373,1.237739374,6.773399015,24,11,2017
22-Nov-17,86.68,86.76,87.16,86.41,1.42M,0.14,CTXS,0.231053604,3.138373752,5.25294189,22,11,2017
21-Nov-17,86.56,86.56,87.03,86.01,1.41M,0.5,CTXS,0.499245327,1.572400845,4.050967664,21,11,2017
20-Nov-17,86.13,86.44,87.17,86.07,1.41M,-0.44,CTXS,-0.080915501,2.587230002,3.95670475,20,11,2017
17-Nov-17,86.51,85.83,87.49,85.44,2.12M,1.02,CTXS,0.221858944,1.911659938,2.802730866,17,11,2017
16-Nov-17,85.64,84.7,86,84.36,1.77M,1.81,CTXS,0.689491203,0.797334285,2.368866328,16,11,2017
15-Nov-17,84.12,85.02,85.44,83.76,2.21M,-1.29,CTXS,-0.234686693,-1.035967873,3.342652243,15,11,2017
14-Nov-17,85.22,84.19,86.39,83.91,2.49M,1.14,CTXS,-0.083076193,-0.343276515,2.683254055,14,11,2017
13-Nov-17,84.26,83.88,84.67,83.32,762.84K,0.05,CTXS,-0.403704583,-0.54541143,2.781521872,13,11,2017
10-Nov-17,84.22,83.51,84.5,83.11,1.25M,0.23,CTXS,-0.61882661,-1.637220259,2.503989198,10,11,2017
9-Nov-17,84.03,85.28,85.45,83.25,2.12M,-2.19,CTXS,-0.733325573,3.545410393,4.895448954,9,11,2017
8-Nov-17,85.91,84.32,86.05,82.46,2.98M,1.69,CTXS,-0.189393939,2.541651465,4.654337843,8,11,2017
7-Nov-17,84.48,84.54,84.95,83.79,1.34M,0.17,CTXS,0.237135404,2.336278901,4.113300493,7,11,2017
6-Nov-17,84.34,84.86,85.8,84.19,1.80M,-0.66,CTXS,-0.047114252,2.997936643,5.259240883,6,11,2017
