Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,19.02,19,19.16,18.5,10.49M,0.79,DISCA,0.688924218,6.801573918,-0.835073069,30,11,2017
29-Nov-17,18.87,17.97,18.89,17.87,8.08M,5.01,DISCA,0,4.173913043,-4.819915254,29,11,2017
28-Nov-17,17.97,17.44,17.98,17.23,4.29M,2.86,DISCA,-0.171722954,0.460829493,-8.113804004,28,11,2017
27-Nov-17,17.47,17.52,17.56,17.2,3.78M,-0.17,DISCA,0.114285714,-0.170940171,-8.176100629,27,11,2017
24-Nov-17,17.5,17.74,17.82,17.47,2.26M,-1.63,DISCA,-0.281056773,5.84725537,-8.273009307,24,11,2017
22-Nov-17,17.79,17.32,17.98,17.15,4.45M,3.13,DISCA,0.405797101,3.588516746,-10.07268951,22,11,2017
21-Nov-17,17.25,17.39,17.49,16.98,4.86M,-0.63,DISCA,0.17281106,6.818181818,-10.63720452,21,11,2017
20-Nov-17,17.36,17.55,17.57,17.09,6.62M,-1.08,DISCA,0,3.296056504,-10.55045872,20,11,2017
17-Nov-17,17.55,17.39,17.73,16.82,6.90M,4.71,DISCA,3.758949881,1.163467132,-14.29275505,17,11,2017
16-Nov-17,16.76,16.68,16.79,16.14,7.19M,0.24,DISCA,-0.23923445,-2.853814793,-16.97361872,16,11,2017
15-Nov-17,16.72,16.27,16.79,15.99,3.88M,2.7,DISCA,-0.061425061,-4.85380117,-17.11665818,15,11,2017
14-Nov-17,16.28,16.89,16.97,16.22,4.65M,-4.18,DISCA,-0.588581519,-2.538949798,-11.84759916,14,11,2017
13-Nov-17,16.99,17.17,17.2,16.58,4.09M,-1.16,DISCA,-0.116346713,0.409356725,-9.916054565,13,11,2017
10-Nov-17,17.19,17.23,17.34,17.05,3.38M,0.12,DISCA,0.349446709,4.297820823,-10.44698545,10,11,2017
9-Nov-17,17.17,17.04,17.71,16.96,5.46M,0.41,DISCA,-0.350877193,-1.559792028,-11.61825726,9,11,2017
8-Nov-17,17.1,17.22,17.48,17.01,5.53M,-1.33,DISCA,-0.63473745,-10.12526096,-13.9,8,11,2017
7-Nov-17,17.33,17.41,18.09,17.24,9.89M,1.35,DISCA,1.812865497,-7.786016949,-15.19727228,7,11,2017
6-Nov-17,17.1,16.47,17.27,16.42,10.55M,3.51,DISCA,-0.302663438,-13.22444679,-20.93134902,6,11,2017
3-Nov-17,16.52,17.21,17.21,16.2,10.26M,-4.56,DISCA,-0.577700751,-9.800838574,-19.6170014,3,11,2017
