"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","18.08","17.74","18.12","17.44","7.06M","1.69"
"Nov 29, 2017","17.78","16.88","17.78","16.82","4.82M","5.39"
"Nov 28, 2017","16.87","16.45","16.91","16.19","3.85M","2.93"
"Nov 27, 2017","16.39","16.51","16.55","16.13","4.06M","-0.43"
"Nov 24, 2017","16.46","16.69","16.75","16.38","1.57M","-1.56"
"Nov 22, 2017","16.72","16.26","16.88","16.07","3.55M","3.15"
"Nov 21, 2017","16.21","16.31","16.45","15.93","3.88M","-0.43"
"Nov 20, 2017","16.28","16.40","16.48","16.03","4.72M","-1.09"
"Nov 17, 2017","16.46","16.14","16.64","15.82","5.40M","4.71"
"Nov 16, 2017","15.72","15.72","15.76","15.20","4.87M","-0.19"
"Nov 15, 2017","15.75","15.27","15.79","14.99","3.33M","3.14"
"Nov 14, 2017","15.27","15.84","15.93","15.22","2.63M","-4.14"
"Nov 13, 2017","15.93","16.04","16.10","15.57","2.79M","-1.18"
"Nov 10, 2017","16.12","16.06","16.28","15.86","2.92M","0.12"
"Nov 09, 2017","16.10","15.91","16.56","15.86","5.47M","0.69"
"Nov 08, 2017","15.99","16.13","16.37","15.94","3.28M","-1.36"
"Nov 07, 2017","16.21","16.09","16.92","16.06","5.69M","1.25"
"Nov 06, 2017","16.01","15.42","16.18","15.41","6.28M","4.03"
"Nov 03, 2017","15.39","16.09","16.23","15.25","6.54M","-5.35"
"Nov 02, 2017","16.26","17.50","17.55","16.01","7.14M","-10.12"
"Nov 01, 2017","18.09","17.87","18.20","17.72","4.04M","1.57"
"Oct 31, 2017","17.81","17.97","18.02","17.55","3.51M","-0.67"
"Oct 30, 2017","17.93","17.94","18.22","17.89","1.64M","-0.28"
"Oct 27, 2017","17.98","18.10","18.21","17.70","2.66M","-1.59"
"Oct 26, 2017","18.27","18.15","18.40","18.04","1.59M","0.50"
"Oct 25, 2017","18.18","18.32","18.42","18.05","3.61M","-1.46"
"Oct 24, 2017","18.45","18.70","18.70","18.44","3.63M","-1.13"
"Oct 23, 2017","18.66","19.23","19.23","18.65","4.44M","-3.12"
"Oct 20, 2017","19.26","19.03","19.26","18.98","3.08M","1.53"
"Oct 19, 2017","18.97","18.43","18.98","18.29","3.91M","2.37"
"Oct 18, 2017","18.53","18.13","18.57","18.10","3.42M","2.43"
"Oct 17, 2017","18.09","17.93","18.15","17.57","4.16M","0.22"
"Oct 16, 2017","18.05","18.32","18.32","17.99","3.87M","-1.10"
"Oct 13, 2017","18.25","18.20","18.32","17.97","2.89M","0.11"
"Oct 12, 2017","18.23","18.77","18.83","18.20","5.53M","-3.70"
"Oct 11, 2017","18.93","19.34","19.39","18.87","4.70M","-2.42"
"Oct 10, 2017","19.40","19.79","19.84","19.10","3.63M","-1.97"
"Oct 09, 2017","19.79","20.18","20.23","19.70","2.07M","-2.27"
"Oct 06, 2017","20.25","20.40","20.45","20.07","1.66M","-0.59"
"Oct 05, 2017","20.37","20.58","20.72","20.24","1.86M","-0.97"
"Oct 04, 2017","20.57","20.45","20.65","20.35","1.40M","0.83"
"Oct 03, 2017","20.40","20.34","20.42","20.22","1.18M","-0.05"
"Oct 02, 2017","20.41","20.32","20.47","20.22","1.59M","0.74"
"Sep 29, 2017","20.26","20.23","20.43","20.19","1.67M","0.10"
"Sep 28, 2017","20.24","20.23","20.28","20.09","1.60M","-0.49"
"Sep 27, 2017","20.34","20.32","20.40","19.98","2.15M","0.25"
"Sep 26, 2017","20.29","20.50","20.57","20.23","1.70M","-0.34"
"Sep 25, 2017","20.36","20.43","20.56","20.27","1.76M","-0.29"
"Sep 22, 2017","20.42","20.23","20.50","20.17","1.90M","0.59"
"Sep 21, 2017","20.30","19.98","20.37","19.98","2.47M","1.15"
"Sep 20, 2017","20.07","20.15","20.22","19.95","2.70M","0.05"
"Sep 19, 2017","20.06","20.10","20.11","19.76","2.13M","-0.40"
"Sep 18, 2017","20.14","20.63","20.64","20.00","3.49M","-2.42"
"Sep 15, 2017","20.64","20.26","20.70","20.05","6.14M","2.18"
"Sep 14, 2017","20.20","19.87","20.27","19.82","3.23M","1.20"
"Sep 13, 2017","19.96","19.77","20.04","19.74","3.03M","0.96"
"Sep 12, 2017","19.77","19.62","19.98","19.36","4.19M","0.76"
"Sep 11, 2017","19.62","20.21","20.35","19.61","2.22M","-2.19"
"Sep 08, 2017","20.06","20.07","20.12","19.52","3.31M","-0.20"
"Sep 07, 2017","20.10","20.63","20.67","19.93","3.97M","-2.57"
"Sep 06, 2017","20.63","20.43","20.75","20.32","2.50M","1.08"
"Sep 05, 2017","20.41","20.95","21.09","20.28","2.78M","-2.44"
"Sep 01, 2017","20.92","21.05","21.28","20.88","1.51M","-0.43"
"Aug 31, 2017","21.01","20.94","21.05","20.82","2.06M","0.77"
"Aug 30, 2017","20.85","21.12","21.20","20.85","2.50M","-1.56"
"Aug 29, 2017","21.18","21.40","21.40","20.89","2.85M","-1.58"
"Aug 28, 2017","21.52","21.45","21.99","21.45","2.16M","0.61"
"Aug 25, 2017","21.39","21.31","21.51","21.27","3.20M","0.66"
"Aug 24, 2017","21.25","21.18","21.40","21.10","1.56M","0.24"
"Aug 23, 2017","21.20","21.15","21.38","21.10","2.18M","-0.09"
"Aug 22, 2017","21.22","21.09","21.25","21.06","1.62M","0.62"
"Aug 21, 2017","21.09","21.25","21.35","20.96","1.60M","-0.75"
"Aug 18, 2017","21.25","21.02","21.48","20.99","2.87M","1.05"
"Aug 17, 2017","21.03","21.41","21.41","20.90","3.57M","-1.50"
"Aug 16, 2017","21.35","21.66","21.94","21.24","4.20M","-0.79"
"Aug 15, 2017","21.52","21.75","21.87","21.50","3.40M","-1.06"
"Aug 14, 2017","21.75","21.96","22.11","21.70","2.51M","-0.55"
"Aug 11, 2017","21.87","21.94","22.11","21.75","2.11M","-0.27"
"Aug 10, 2017","21.93","22.33","22.43","21.83","3.10M","-2.05"
"Aug 09, 2017","22.39","22.91","22.93","22.00","2.34M","-2.74"
"Aug 08, 2017","23.02","22.97","23.29","22.81","2.15M","0.00"
"Aug 07, 2017","23.02","22.69","23.03","22.60","2.38M","1.86"
"Aug 04, 2017","22.60","23.54","23.54","22.52","3.20M","-4.20"
"Aug 03, 2017","23.59","23.84","23.84","23.47","2.92M","-0.84"
"Aug 02, 2017","23.79","22.92","23.82","22.90","7.75M","3.52"
"Aug 01, 2017","22.98","23.25","23.62","22.84","5.18M","-0.65"
"Jul 31, 2017","23.13","24.75","24.90","22.85","12.35M","-9.29"
"Jul 28, 2017","25.50","25.11","25.59","24.92","4.54M","1.43"
"Jul 27, 2017","25.14","25.05","25.62","24.52","4.31M","-1.57"
"Jul 26, 2017","25.54","25.06","25.80","25.06","1.69M","1.87"
"Jul 25, 2017","25.07","25.50","25.63","24.82","2.02M","-1.61"
"Jul 24, 2017","25.48","25.53","25.64","25.35","919.22K","-0.12"
"Jul 21, 2017","25.51","25.62","25.89","25.45","2.67M","-0.78"
"Jul 20, 2017","25.71","26.20","26.67","25.69","2.47M","-1.91"
"Jul 19, 2017","26.21","26.95","27.15","25.92","1.90M","3.35"
"Jul 18, 2017","25.36","25.50","25.53","25.08","729.07K","-0.78"
"Jul 17, 2017","25.56","25.56","25.72","25.41","1.57M","0.04"
"Jul 14, 2017","25.55","25.63","25.66","25.51","1.54M","0.24"
"Jul 13, 2017","25.49","25.55","25.61","25.31","811.98K","0.00"
"Jul 12, 2017","25.49","25.72","25.72","25.35","928.11K","0.04"
"Jul 11, 2017","25.48","25.48","25.54","25.28","1.67M","0.04"
"Jul 10, 2017","25.47","25.13","25.54","25.06","929.82K","1.27"
"Jul 07, 2017","25.15","25.15","25.27","24.82","630.50K","0.28"
"Jul 06, 2017","25.08","25.30","25.37","24.98","866.50K","-1.45"
"Jul 05, 2017","25.45","25.57","25.72","25.37","1.01M","-0.24"
"Jul 03, 2017","25.51","25.38","26.03","25.38","860.66K","1.19"
"Jun 30, 2017","25.21","25.32","25.34","24.96","1.93M","-0.12"
"Jun 29, 2017","25.24","25.33","25.57","24.99","1.18M","-0.63"
"Jun 28, 2017","25.40","25.46","25.71","25.30","1.32M","0.04"
"Jun 27, 2017","25.39","25.44","25.55","25.28","1.08M","-0.20"
"Jun 26, 2017","25.44","25.18","25.64","25.09","1.11M","1.52"
"Jun 23, 2017","25.06","24.89","25.11","24.70","5.50M","0.97"
"Jun 22, 2017","24.82","24.79","25.01","24.58","1.57M","0.08"
"Jun 21, 2017","24.80","24.71","24.86","24.32","1.32M","0.28"
"Jun 20, 2017","24.73","25.50","25.50","24.71","1.37M","-3.21"
"Jun 19, 2017","25.55","25.69","25.73","25.45","1.57M","-0.20"
"Jun 16, 2017","25.60","25.40","25.63","25.18","3.19M","0.31"
"Jun 15, 2017","25.52","25.31","25.57","25.24","1.22M","0.39"
"Jun 14, 2017","25.42","25.63","25.64","25.18","1.13M","-0.47"
"Jun 13, 2017","25.54","25.51","25.68","25.22","1.54M","-0.23"
"Jun 12, 2017","25.60","25.22","26.31","25.22","5.57M","1.31"
"Jun 09, 2017","25.27","25.35","25.46","24.77","2.74M","-0.04"
"Jun 08, 2017","25.28","25.60","25.66","25.22","1.42M","-1.37"
"Jun 07, 2017","25.63","25.56","25.66","25.42","2.16M","0.47"
"Jun 06, 2017","25.51","25.63","25.64","25.34","1.18M","-0.47"
"Jun 05, 2017","25.63","25.90","25.90","25.33","1.47M","-0.85"
"Jun 02, 2017","25.85","26.07","26.34","25.84","1.42M","-0.81"
"Jun 01, 2017","26.06","25.92","26.13","25.67","1.33M","0.89"
"May 31, 2017","25.83","25.60","26.20","25.36","1.83M","1.18"
"May 30, 2017","25.53","25.21","25.61","24.93","983.69K","1.11"
"May 26, 2017","25.25","25.04","25.26","24.98","1.03M","1.00"
"May 25, 2017","25.00","24.91","25.23","24.89","1.44M","0.52"
"May 24, 2017","24.87","25.06","25.13","24.69","1.22M","-0.40"
"May 23, 2017","24.97","25.50","25.50","24.87","1.24M","-1.92"
"May 22, 2017","25.46","25.07","25.55","25.07","1.33M","1.11"
"May 19, 2017","25.18","24.45","25.27","24.38","1.57M","2.65"
"May 18, 2017","24.53","24.47","24.69","24.18","1.62M","0.57"
"May 17, 2017","24.39","24.64","24.84","24.36","3.16M","-1.69"
"May 16, 2017","24.81","25.21","25.30","24.55","2.98M","-1.78"
"May 15, 2017","25.26","25.40","25.55","25.20","2.73M","-0.75"
"May 12, 2017","25.45","25.70","25.79","25.39","1.51M","-0.97"
"May 11, 2017","25.70","25.34","25.79","25.29","2.69M","0.98"
"May 10, 2017","25.45","25.87","25.89","25.34","3.54M","-2.12"
"May 09, 2017","26.00","25.77","26.01","25.17","2.23M","-1.92"
"May 08, 2017","26.51","26.41","26.62","25.98","1.77M","0.19"
"May 05, 2017","26.46","26.16","26.50","26.12","1.79M","1.46"
"May 04, 2017","26.08","26.14","26.32","25.48","2.40M","-0.42"
"May 03, 2017","26.19","27.36","27.36","25.84","3.33M","-3.75"
"May 02, 2017","27.21","27.15","27.30","26.67","1.39M","0.07"
"May 01, 2017","27.19","28.09","28.09","27.16","2.74M","-2.82"
"Apr 28, 2017","27.98","28.72","28.72","27.67","2.85M","-2.54"
"Apr 27, 2017","28.71","28.77","28.89","28.61","1.45M","-0.28"
"Apr 26, 2017","28.79","28.68","28.96","28.65","1.10M","0.07"
"Apr 25, 2017","28.77","28.93","29.02","28.75","2.49M","-0.45"
"Apr 24, 2017","28.90","29.00","29.18","28.81","1.15M","0.87"
"Apr 21, 2017","28.65","28.71","28.89","28.59","1.13M","-0.24"
"Apr 20, 2017","28.72","28.56","28.85","28.48","1.23M","1.23"
"Apr 19, 2017","28.37","28.08","28.54","28.08","1.02M","1.25"
"Apr 18, 2017","28.02","27.88","28.10","27.79","1.03M","0.29"
"Apr 17, 2017","27.94","27.86","28.08","27.70","1.32M","0.76"
"Apr 13, 2017","27.73","28.12","28.18","27.68","1.21M","-1.46"
"Apr 12, 2017","28.14","28.33","28.43","28.07","1.38M","-1.19"
"Apr 11, 2017","28.48","28.56","28.61","28.26","1.27M","-0.45"
"Apr 10, 2017","28.61","28.52","28.82","28.52","1.52M","0.14"
"Apr 07, 2017","28.57","28.65","28.72","28.48","1.18M","-0.17"
"Apr 06, 2017","28.62","28.53","28.88","28.36","1.85M","0.21"
"Apr 05, 2017","28.56","28.60","29.11","28.56","1.84M","-0.07"
"Apr 04, 2017","28.58","28.22","28.60","28.11","1.39M","1.35"
"Apr 03, 2017","28.20","28.37","28.50","27.84","2.05M","-0.39"
"Mar 31, 2017","28.31","28.05","28.42","27.88","1.57M","0.93"
"Mar 30, 2017","28.05","27.45","28.08","27.44","928.88K","1.96"
"Mar 29, 2017","27.51","27.14","27.55","27.01","873.46K","1.14"
"Mar 28, 2017","27.20","27.04","27.33","26.97","887.13K","0.33"
"Mar 27, 2017","27.11","26.96","27.15","26.81","1.23M","0.15"
"Mar 24, 2017","27.07","27.22","27.23","26.95","1.50M","-0.29"
"Mar 23, 2017","27.15","26.94","27.24","26.88","1.38M","0.56"
"Mar 22, 2017","27.00","26.92","27.12","26.61","1.22M","0.63"
"Mar 21, 2017","26.83","27.29","27.29","26.79","1.31M","-1.22"
"Mar 20, 2017","27.16","27.32","27.42","27.02","869.01K","-0.69"
"Mar 17, 2017","27.35","27.48","27.55","27.11","2.45M","-0.18"
"Mar 16, 2017","27.40","27.24","27.57","27.16","1.20M","0.70"
"Mar 15, 2017","27.21","26.75","27.31","26.56","1.66M","2.02"
"Mar 14, 2017","26.67","26.74","27.21","26.55","2.05M","-0.37"
"Mar 13, 2017","26.77","27.04","27.08","26.61","1.92M","-1.18"
"Mar 10, 2017","27.09","27.38","27.40","26.89","1.94M","-0.73"
"Mar 09, 2017","27.29","27.29","27.59","27.07","1.24M","-0.37"
"Mar 08, 2017","27.39","27.19","27.68","27.19","1.62M","0.70"
"Mar 07, 2017","27.20","27.19","27.54","26.97","1.82M","0.04"
"Mar 06, 2017","27.19","27.10","27.26","26.72","1.55M","-0.04"
"Mar 03, 2017","27.20","27.71","27.75","27.16","1.07M","-1.66"
"Mar 02, 2017","27.66","27.76","27.76","27.22","1.69M","-0.75"
"Mar 01, 2017","27.87","28.26","28.33","27.85","1.49M","-0.71"
"Feb 28, 2017","28.07","28.35","28.35","27.88","1.23M","-0.92"
