Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,18.08,17.74,18.12,17.44,7.06M,1.69,DISCK,-0.224971879,6.100478469,-1.934770591,30,11,2017
29-Nov-17,17.78,16.88,17.78,16.82,4.82M,5.39,DISCK,0.059276823,4.13325108,-5.221785514,29,11,2017
28-Nov-17,16.87,16.45,16.91,16.19,3.85M,2.93,DISCK,0.366076876,1.044226044,-8.254322365,28,11,2017
27-Nov-17,16.39,16.51,16.55,16.13,4.06M,-0.43,DISCK,0.303766707,0.303766707,-8.175750834,27,11,2017
24-Nov-17,16.46,16.69,16.75,16.38,1.57M,-1.56,DISCK,-0.179425837,6.170483461,-8.648056924,24,11,2017
22-Nov-17,16.72,16.26,16.88,16.07,3.55M,3.15,DISCK,0.308451573,3.238095238,-10.56105611,22,11,2017
21-Nov-17,16.21,16.31,16.45,15.93,3.88M,-0.43,DISCK,0.184275184,6.810740013,-11.59891599,21,11,2017
20-Nov-17,16.28,16.4,16.48,16.03,4.72M,-1.09,DISCK,-0.364520049,2.950408035,-12.11146838,20,11,2017
17-Nov-17,16.46,16.14,16.64,15.82,5.40M,4.71,DISCK,2.671755725,0.124069479,-16.19937695,17,11,2017
16-Nov-17,15.72,15.72,15.76,15.2,4.87M,-0.19,DISCK,-0.19047619,-2.360248447,-17.13231418,16,11,2017
15-Nov-17,15.75,15.27,15.79,14.99,3.33M,3.14,DISCK,0,-4.502814259,-17.59309228,15,11,2017
14-Nov-17,15.27,15.84,15.93,15.22,2.63M,-4.14,DISCK,-0.564971751,-2.282541641,-12.43781095,14,11,2017
13-Nov-17,15.93,16.04,16.1,15.57,2.79M,-1.18,DISCK,-0.496277916,0.187382886,-11.13573407,13,11,2017
10-Nov-17,16.12,16.06,16.28,15.86,2.92M,0.12,DISCK,-0.248447205,4.353476283,-12,10,11,2017
9-Nov-17,16.1,15.91,16.56,15.86,5.47M,0.69,DISCK,-0.500312695,-2.152521525,-12.72627537,9,11,2017
8-Nov-17,15.99,16.13,16.37,15.94,3.28M,-1.36,DISCK,-0.493522517,-10.83471531,-14.7913365,8,11,2017
7-Nov-17,16.21,16.09,16.92,16.06,5.69M,1.25,DISCK,0.499687695,-9.657495789,-17.06185567,7,11,2017
6-Nov-17,16.01,15.42,16.18,15.41,6.28M,4.03,DISCK,0.194931774,-13.99888455,-22.08185953,6,11,2017
3-Nov-17,15.39,16.09,16.23,15.25,6.54M,-5.35,DISCK,-1.045510455,-10.51167964,-20.54320988,3,11,2017
2-Nov-17,16.26,17.5,17.55,16.01,7.14M,-10.12,DISCK,-3.261470426,-4.214559387,-14.08934708,2,11,2017
1-Nov-17,18.09,17.87,18.2,17.72,4.04M,1.57,DISCK,0.336889388,-1.705170517,-13.12591152,1,11,2017
31-Oct-17,17.81,17.97,18.02,17.55,3.51M,-0.67,DISCK,0.223089794,-2.601626016,-11.91176471,31,10,2017
30-Oct-17,17.93,17.94,18.22,17.89,1.64M,-0.28,DISCK,-0.22246941,-3.8585209,-12.10191083,30,10,2017
27-Oct-17,17.98,18.1,18.21,17.7,2.66M,-1.59,DISCK,-0.930487137,-6.022845275,-10.66140178,27,10,2017
26-Oct-17,18.27,18.15,18.4,18.04,1.59M,0.5,DISCK,-0.165016502,-4.322614655,-10.32608696,26,10,2017
25-Oct-17,18.18,18.32,18.42,18.05,3.61M,-1.46,DISCK,-0.704607046,-1.133297356,-9.931170108,25,10,2017
24-Oct-17,18.45,18.7,18.7,18.44,3.63M,-1.13,DISCK,0.214362272,3.372028745,-7.836372597,24,10,2017
23-Oct-17,18.66,19.23,19.23,18.65,4.44M,-3.12,DISCK,-0.15576324,6.537396122,-5.550098232,23,10,2017
20-Oct-17,19.26,19.03,19.26,18.98,3.08M,1.53,DISCK,0.316288877,4.273972603,-6.80705191,20,10,2017
19-Oct-17,18.97,18.43,18.98,18.29,3.91M,2.37,DISCK,-0.539665407,1.097092704,-9.21182266,19,10,2017
18-Oct-17,18.53,18.13,18.57,18.1,3.42M,2.43,DISCK,0.221116639,-4.226096144,-9.666168411,18,10,2017
17-Oct-17,18.09,17.93,18.15,17.57,4.16M,0.22,DISCK,-0.664819945,-7.577319588,-10.61814556,17,10,2017
16-Oct-17,18.05,18.32,18.32,17.99,3.87M,-1.1,DISCK,0.383561644,-7.427993936,-9.0367428,16,10,2017
13-Oct-17,18.25,18.2,18.32,17.97,2.89M,0.11,DISCK,-0.164563906,-10.12345679,-11.82170543,13,10,2017
12-Oct-17,18.23,18.77,18.83,18.2,5.53M,-3.7,DISCK,-0.845219229,-7.854688267,-7.079207921,12,10,2017
11-Oct-17,18.93,19.34,19.39,18.87,4.70M,-2.42,DISCK,-0.309278351,-5.979581915,-3.106212425,11,10,2017
10-Oct-17,19.4,19.79,19.84,19.1,3.63M,-1.97,DISCK,0,-2.990196078,0.101163379,10,10,2017
9-Oct-17,19.79,20.18,20.23,19.7,2.07M,-2.27,DISCK,-0.345679012,-1.126898579,2.854230377,9,10,2017
6-Oct-17,20.25,20.4,20.45,20.07,1.66M,-0.59,DISCK,0.147275405,0.691016782,1.694915254,6,10,2017
5-Oct-17,20.37,20.58,20.72,20.24,1.86M,-0.97,DISCK,0.048614487,1.679841897,2.388059701,5,10,2017
4-Oct-17,20.57,20.45,20.65,20.35,1.40M,0.83,DISCK,0.245098039,0.540806293,-0.872515754,4,10,2017
3-Oct-17,20.4,20.34,20.42,20.22,1.18M,-0.05,DISCK,-0.342969133,0.246426811,-0.342969133,3,10,2017
2-Oct-17,20.41,20.32,20.47,20.22,1.59M,0.74,DISCK,0.296150049,-0.196463654,-2.868068834,2,10,2017
29-Sep-17,20.26,20.23,20.43,20.19,1.67M,0.1,DISCK,-0.049407115,-0.930460333,-3.712517849,29,9,2017
28-Sep-17,20.24,20.23,20.28,20.09,1.60M,-0.49,DISCK,-0.540806293,-0.344827586,-2.973621103,28,9,2017
27-Sep-17,20.34,20.32,20.4,19.98,2.15M,0.25,DISCK,0.147856087,1.245640259,-4.060434372,27,9,2017
26-Sep-17,20.29,20.5,20.57,20.23,1.70M,-0.34,DISCK,0.68762279,2.193419741,-4.739776952,26,9,2017
25-Sep-17,20.36,20.43,20.56,20.27,1.76M,-0.29,DISCK,0.048971596,1.439920556,-4.488078541,25,9,2017
22-Sep-17,20.42,20.23,20.5,20.17,1.90M,0.59,DISCK,-0.344827586,-1.986434109,-4.8,22,9,2017
21-Sep-17,20.3,19.98,20.37,19.98,2.47M,1.15,DISCK,-0.448430493,-1.089108911,-5.754716981,21,9,2017
20-Sep-17,20.07,20.15,20.22,19.95,2.70M,0.05,DISCK,0.448654038,0.951903808,-5.042412818,20,9,2017
19-Sep-17,20.06,20.1,20.11,19.76,2.13M,-0.4,DISCK,-0.198609732,1.669195751,-4.694167852,19,9,2017
18-Sep-17,20.14,20.63,20.64,20,3.49M,-2.42,DISCK,-0.048449612,5.147808359,-2.917647059,18,9,2017
15-Sep-17,20.64,20.26,20.7,20.05,6.14M,2.18,DISCK,0.297029703,0.997008973,-3.661436044,15,9,2017
14-Sep-17,20.2,19.87,20.27,19.82,3.23M,1.2,DISCK,-0.450901804,-1.144278607,-6.932084309,14,9,2017
13-Sep-17,19.96,19.77,20.04,19.74,3.03M,0.96,DISCK,0,-4.168686379,-8.13197026,13,9,2017
12-Sep-17,19.77,19.62,19.98,19.36,4.19M,0.76,DISCK,0,-3.870651641,-9.793103448,12,9,2017
11-Sep-17,19.62,20.21,20.35,19.61,2.22M,-2.19,DISCK,0.74775673,-3.393881453,-7.590306356,11,9,2017
8-Sep-17,20.06,20.07,20.12,19.52,3.31M,-0.2,DISCK,-0.149253731,-4.474059971,-8.481532148,8,9,2017
7-Sep-17,20.1,20.63,20.67,19.93,3.97M,-2.57,DISCK,0,-1.055155875,-7.860652077,7,9,2017
6-Sep-17,20.63,20.43,20.75,20.32,2.50M,1.08,DISCK,0.097991181,-3.541076487,-11.25108601,6,9,2017
5-Sep-17,20.41,20.95,21.09,20.28,2.78M,-2.44,DISCK,0.143403442,-2.648698885,-8.992180712,5,9,2017
1-Sep-17,20.92,21.05,21.28,20.88,1.51M,-0.43,DISCK,0.190385531,-1.589527817,-6.85840708,1,9,2017
31-Aug-17,21.01,20.94,21.05,20.82,2.06M,0.77,DISCK,0.431654676,-1.458823529,-11.23357355,31,8,2017
30-Aug-17,20.85,21.12,21.2,20.85,2.50M,-1.56,DISCK,-0.283286119,-0.377358491,-11.22320303,30,8,2017
29-Aug-17,21.18,21.4,21.4,20.89,2.85M,-1.58,DISCK,-0.557620818,0.848256362,-6.875543951,29,8,2017
28-Aug-17,21.52,21.45,21.99,21.45,2.16M,0.61,DISCK,0.280504909,1.706970128,-7.263294423,28,8,2017
25-Aug-17,21.39,21.31,21.51,21.27,3.20M,0.66,DISCK,0.282352941,0.282352941,-16.43137255,25,8,2017
24-Aug-17,21.25,21.18,21.4,21.1,1.56M,0.24,DISCK,-0.094339623,0.713266762,-15.75178998,24,8,2017
23-Aug-17,21.2,21.15,21.38,21.1,2.18M,-0.09,DISCK,-0.329877474,-0.93676815,-17.18872357,23,8,2017
22-Aug-17,21.22,21.09,21.25,21.06,1.62M,0.62,DISCK,0,-1.998141264,-15.87554846,22,8,2017
21-Aug-17,21.09,21.25,21.35,20.96,1.60M,-0.75,DISCK,0,-2.298850575,-16.60125589,21,8,2017
18-Aug-17,21.25,21.02,21.48,20.99,2.87M,1.05,DISCK,-0.047551117,-3.886602652,-17.60094081,18,8,2017
17-Aug-17,21.03,21.41,21.41,20.9,3.57M,-1.5,DISCK,0.281030445,-2.371181031,-16.72500972,17,8,2017
16-Aug-17,21.35,21.66,21.94,21.24,4.20M,-0.79,DISCK,0.650557621,-3.2603841,-17.35978634,16,8,2017
15-Aug-17,21.52,21.75,21.87,21.5,3.40M,-1.06,DISCK,0,-5.51694179,-14.23501577,15,8,2017
14-Aug-17,21.75,21.96,22.11,21.7,2.51M,-0.55,DISCK,0.411522634,-4.604691573,-14.08450704,14,8,2017
11-Aug-17,21.87,21.94,22.11,21.75,2.11M,-0.27,DISCK,0.045599635,-2.920353982,-14.12915851,11,8,2017
10-Aug-17,21.93,22.33,22.43,21.83,3.10M,-2.05,DISCK,-0.267976775,-5.341246291,-12.39701844,10,8,2017
9-Aug-17,22.39,22.91,22.93,22,2.34M,-2.74,DISCK,-0.477845352,-3.699033207,-10.12161632,9,8,2017
8-Aug-17,23.02,22.97,23.29,22.81,2.15M,0,DISCK,-0.217202433,-0.043516101,-9.850863422,8,8,2017
7-Aug-17,23.02,22.69,23.03,22.6,2.38M,1.86,DISCK,0.398230088,-1.902291396,-10.91480173,7,8,2017
4-Aug-17,22.6,23.54,23.54,22.52,3.20M,-4.2,DISCK,-0.211954218,-7.68627451,-6.401590457,4,8,2017
3-Aug-17,23.59,23.84,23.84,23.47,2.92M,-0.84,DISCK,0.210172341,-5.171042164,-4.944178628,3,8,2017
2-Aug-17,23.79,22.92,23.82,22.9,7.75M,3.52,DISCK,-0.261096606,-10.25841817,-9.941060904,2,8,2017
1-Aug-17,22.98,23.25,23.62,22.84,5.18M,-0.65,DISCK,0.518806744,-7.259672916,-8.859270874,1,8,2017
31-Jul-17,23.13,24.75,24.9,22.85,12.35M,-9.29,DISCK,-2.941176471,-2.864992151,-1.824672749,31,7,2017
28-Jul-17,25.5,25.11,25.59,24.92,4.54M,1.43,DISCK,-0.119331742,-1.568012544,-0.515055468,28,7,2017
27-Jul-17,25.14,25.05,25.62,24.52,4.31M,-1.57,DISCK,-1.918559123,-2.567094516,-1.377952756,27,7,2017
26-Jul-17,25.54,25.06,25.8,25.06,1.69M,1.87,DISCK,-0.039888313,-4.387638306,-1.299724301,26,7,2017
25-Jul-17,25.07,25.5,25.63,24.82,2.02M,-1.61,DISCK,0.078492936,0.552050473,0.235849057,25,7,2017
24-Jul-17,25.48,25.53,25.64,25.35,919.22K,-0.12,DISCK,0.078400627,-0.117370892,1.875498803,24,7,2017
21-Jul-17,25.51,25.62,25.89,25.45,2.67M,-0.78,DISCK,-0.350058343,0.273972603,3.223207091,21,7,2017
20-Jul-17,25.71,26.2,26.67,25.69,2.47M,-1.91,DISCK,-0.038153377,2.785406042,5.64516129,20,7,2017
19-Jul-17,26.21,26.95,27.15,25.92,1.90M,3.35,DISCK,6.269716088,5.727736367,8.976951072,19,7,2017
18-Jul-17,25.36,25.5,25.53,25.08,729.07K,-0.78,DISCK,-0.234741784,0.078492936,-0.195694716,18,7,2017
17-Jul-17,25.56,25.56,25.72,25.41,1.57M,0.04,DISCK,0.039138943,0.35335689,-0.15625,17,7,2017
14-Jul-17,25.55,25.63,25.66,25.51,1.54M,0.24,DISCK,0.549234994,1.908548708,0.431034483,14,7,2017
13-Jul-17,25.49,25.55,25.61,25.31,811.98K,0,DISCK,0.235386426,1.87400319,0.51140834,13,7,2017
12-Jul-17,25.49,25.72,25.72,25.35,928.11K,0.04,DISCK,0.941915228,1.060903733,0.704776821,12,7,2017
11-Jul-17,25.48,25.48,25.54,25.28,1.67M,0.04,DISCK,0.039261877,-0.117600941,-0.46875,11,7,2017
10-Jul-17,25.47,25.13,25.54,25.06,929.82K,1.27,DISCK,-0.079522863,-0.317334391,-0.55401662,10,7,2017
7-Jul-17,25.15,25.15,25.27,24.82,630.50K,0.28,DISCK,0.279106858,-0.356576862,-0.514240506,7,7,2017
6-Jul-17,25.08,25.3,25.37,24.98,866.50K,-1.45,DISCK,-0.589390963,-0.393700787,-1.287553648,6,7,2017
