"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","50.65","51.25","51.75","50.21","2.64M","-1.23"
"Nov 29, 2017","51.28","50.33","51.66","50.12","3.03M","1.73"
"Nov 28, 2017","50.41","49.80","50.47","49.42","2.16M","1.53"
"Nov 27, 2017","49.65","49.99","49.99","49.12","1.57M","-0.44"
"Nov 24, 2017","49.87","50.40","50.78","49.63","482.86K","-1.11"
"Nov 22, 2017","50.43","50.04","50.77","49.77","1.77M","0.78"
"Nov 21, 2017","50.04","50.03","50.18","49.44","1.89M","0.06"
"Nov 20, 2017","50.01","50.60","50.70","49.28","1.67M","-1.28"
"Nov 17, 2017","50.66","50.46","50.79","50.16","2.04M","0.32"
"Nov 16, 2017","50.50","50.46","51.01","50.02","2.11M","-0.22"
"Nov 15, 2017","50.61","50.51","50.87","49.52","2.53M","0.20"
"Nov 14, 2017","50.51","50.70","50.78","50.04","2.22M","-0.69"
"Nov 13, 2017","50.86","50.31","50.87","49.71","2.26M","0.10"
"Nov 10, 2017","50.81","50.13","51.29","50.00","2.21M","1.01"
"Nov 09, 2017","50.30","50.00","51.89","48.88","4.50M","3.22"
"Nov 08, 2017","48.73","49.99","50.20","48.45","3.75M","-2.68"
"Nov 07, 2017","50.07","50.81","51.15","49.61","2.57M","-1.48"
"Nov 06, 2017","50.82","49.85","51.56","49.57","5.89M","5.72"
"Nov 03, 2017","48.07","47.83","48.30","47.55","2.38M","-0.41"
"Nov 02, 2017","48.27","48.72","48.79","47.95","1.89M","-1.03"
"Nov 01, 2017","48.77","48.85","49.13","48.34","3.10M","0.47"
"Oct 31, 2017","48.54","48.42","48.92","47.53","2.90M","0.31"
"Oct 30, 2017","48.39","46.23","49.00","46.07","6.04M","4.09"
"Oct 27, 2017","46.49","47.57","47.60","46.41","4.22M","-2.98"
"Oct 26, 2017","47.92","48.87","49.03","47.91","1.68M","-2.20"
"Oct 25, 2017","49.00","48.90","49.04","48.26","1.97M","0.00"
"Oct 24, 2017","49.00","48.87","49.07","48.59","1.47M","0.04"
"Oct 23, 2017","48.98","49.48","49.70","48.73","1.89M","-0.65"
"Oct 20, 2017","49.30","49.72","49.84","49.24","1.82M","-0.04"
"Oct 19, 2017","49.32","49.55","49.87","49.04","2.78M","-0.78"
"Oct 18, 2017","49.71","48.83","50.09","48.70","3.00M","1.76"
"Oct 17, 2017","48.85","49.00","49.16","48.68","1.63M","-0.37"
"Oct 16, 2017","49.03","48.72","49.45","48.32","2.16M","1.34"
"Oct 13, 2017","48.38","48.37","48.64","47.48","6.03M","-1.33"
"Oct 12, 2017","49.03","51.38","51.45","48.73","5.24M","-5.07"
"Oct 11, 2017","51.65","51.75","51.98","51.39","1.94M","-0.10"
"Oct 10, 2017","51.70","52.03","52.36","51.47","3.16M","0.04"
"Oct 09, 2017","51.68","53.28","53.48","51.62","2.82M","-3.09"
"Oct 06, 2017","53.33","53.88","54.11","53.28","1.73M","-1.30"
"Oct 05, 2017","54.03","54.25","54.77","53.99","1.43M","-0.11"
"Oct 04, 2017","54.09","54.21","54.65","53.89","1.35M","-0.42"
"Oct 03, 2017","54.32","53.85","54.34","53.69","898.16K","0.91"
"Oct 02, 2017","53.83","54.01","54.28","53.46","1.47M","-0.74"
"Sep 29, 2017","54.23","53.07","54.45","52.93","2.15M","2.30"
"Sep 28, 2017","53.01","53.00","53.43","52.57","1.41M","-0.56"
"Sep 27, 2017","53.31","52.33","53.59","52.17","1.86M","2.22"
"Sep 26, 2017","52.15","53.61","53.61","52.09","2.76M","-3.43"
"Sep 25, 2017","54.00","53.25","54.04","53.07","1.92M","1.39"
"Sep 22, 2017","53.26","53.28","53.57","52.84","1.01M","0.02"
"Sep 21, 2017","53.25","53.65","53.91","52.85","1.28M","-0.58"
"Sep 20, 2017","53.56","53.60","54.70","53.39","2.68M","0.34"
"Sep 19, 2017","53.38","52.78","53.49","52.39","3.03M","1.00"
"Sep 18, 2017","52.85","52.69","53.42","52.45","2.26M","-0.19"
"Sep 15, 2017","52.95","53.40","53.40","52.44","3.13M","-0.23"
"Sep 14, 2017","53.07","53.86","53.98","52.14","4.13M","-1.61"
"Sep 13, 2017","53.94","54.24","54.58","53.74","3.28M","-1.19"
"Sep 12, 2017","54.59","54.49","54.81","54.23","1.30M","0.05"
"Sep 11, 2017","54.56","55.02","55.30","54.40","2.21M","-0.07"
"Sep 08, 2017","54.60","55.49","55.90","54.53","2.44M","-1.59"
"Sep 07, 2017","55.48","57.61","57.95","55.44","2.19M","-3.68"
"Sep 06, 2017","57.60","57.38","57.74","57.14","1.07M","0.79"
"Sep 05, 2017","57.15","58.47","58.67","56.84","1.74M","-2.26"
"Sep 01, 2017","58.47","57.62","58.70","57.62","1.63M","2.06"
"Aug 31, 2017","57.29","57.38","57.44","56.51","1.73M","0.16"
"Aug 30, 2017","57.20","57.56","57.90","57.05","1.59M","-0.99"
"Aug 29, 2017","57.77","56.29","59.90","55.97","3.64M","1.96"
"Aug 28, 2017","56.66","56.61","57.02","56.44","901.08K","0.04"
"Aug 25, 2017","56.64","57.56","57.72","56.64","1.12M","-1.17"
"Aug 24, 2017","57.31","57.25","57.69","56.47","1.71M","0.05"
"Aug 23, 2017","57.28","57.31","57.92","57.23","1.40M","-0.30"
"Aug 22, 2017","57.45","56.81","57.66","56.81","1.56M","1.41"
"Aug 21, 2017","56.65","56.95","57.03","56.54","990.06K","-0.33"
"Aug 18, 2017","56.84","56.72","57.38","56.22","2.08M","-0.18"
"Aug 17, 2017","56.94","58.34","58.40","56.88","1.53M","-2.60"
"Aug 16, 2017","58.46","58.46","58.75","57.82","1.67M","0.53"
"Aug 15, 2017","58.15","58.64","58.83","57.99","1.19M","-0.97"
"Aug 14, 2017","58.72","58.74","59.46","58.59","1.72M","0.44"
"Aug 11, 2017","58.46","58.41","58.66","58.02","1.21M","0.46"
"Aug 10, 2017","58.19","59.19","59.62","58.15","1.91M","-2.59"
"Aug 09, 2017","59.74","59.30","59.92","58.96","1.38M","0.05"
"Aug 08, 2017","59.71","59.89","60.49","59.33","1.39M","-0.55"
"Aug 07, 2017","60.04","60.50","60.59","59.70","1.39M","-0.96"
"Aug 04, 2017","60.62","60.83","61.39","60.16","2.40M","-0.80"
"Aug 03, 2017","61.11","63.53","63.73","60.70","4.82M","-4.52"
"Aug 02, 2017","64.00","65.17","65.17","63.40","3.20M","-2.28"
"Aug 01, 2017","65.49","64.19","66.48","63.53","3.44M","2.28"
"Jul 31, 2017","64.03","63.98","64.50","63.32","1.31M","0.14"
"Jul 28, 2017","63.94","63.80","64.19","63.50","1.16M","0.09"
"Jul 27, 2017","63.88","64.40","64.62","62.90","2.13M","-0.61"
"Jul 26, 2017","64.27","62.99","64.30","62.71","2.19M","-0.26"
"Jul 25, 2017","64.44","64.51","65.16","64.04","1.41M","0.17"
"Jul 24, 2017","64.33","64.66","64.92","64.14","2.04M","-0.60"
"Jul 21, 2017","64.72","64.84","65.27","64.15","1.76M","-0.57"
"Jul 20, 2017","65.09","65.25","66.00","65.01","1.32M","0.00"
"Jul 19, 2017","65.09","65.79","66.00","65.00","1.67M","-0.67"
"Jul 18, 2017","65.53","65.67","65.77","64.96","1.57M","-0.52"
"Jul 17, 2017","65.87","66.05","66.50","65.47","1.43M","-0.20"
"Jul 14, 2017","66.00","64.97","66.26","64.94","1.90M","2.09"
"Jul 13, 2017","64.65","65.14","65.14","64.50","2.36M","-0.83"
"Jul 12, 2017","65.19","65.14","65.66","64.73","1.62M","0.63"
"Jul 11, 2017","64.78","64.36","65.31","64.25","1.51M","0.75"
"Jul 10, 2017","64.30","63.83","64.43","63.54","1.06M","0.64"
"Jul 07, 2017","63.89","63.65","64.62","63.46","1.55M","0.77"
"Jul 06, 2017","63.40","62.84","64.12","62.48","2.83M","1.00"
"Jul 05, 2017","62.77","62.89","63.22","62.22","1.48M","-0.17"
"Jul 03, 2017","62.88","63.29","63.72","62.86","597.23K","0.19"
"Jun 30, 2017","62.76","63.23","63.29","62.04","1.60M","0.11"
"Jun 29, 2017","62.69","64.41","64.46","62.27","2.29M","-3.17"
"Jun 28, 2017","64.74","64.04","65.19","64.04","1.43M","1.43"
"Jun 27, 2017","63.83","63.81","64.98","63.65","1.58M","-0.03"
"Jun 26, 2017","63.85","64.04","64.46","63.65","882.48K","-0.06"
"Jun 23, 2017","63.89","63.12","64.01","62.62","1.20M","1.38"
"Jun 22, 2017","63.02","63.24","63.77","62.56","1.81M","-0.35"
"Jun 21, 2017","63.24","63.40","63.47","62.75","1.74M","0.00"
"Jun 20, 2017","63.24","65.06","65.06","63.10","1.48M","-2.68"
"Jun 19, 2017","64.98","64.66","65.28","64.23","1.37M","0.74"
"Jun 16, 2017","64.50","65.21","65.21","63.70","2.80M","-1.19"
"Jun 15, 2017","65.28","64.61","65.35","64.21","1.25M","0.62"
"Jun 14, 2017","64.88","66.34","66.48","64.61","1.62M","-1.76"
"Jun 13, 2017","66.04","64.71","66.33","64.71","1.79M","1.62"
"Jun 12, 2017","64.99","64.63","65.38","64.29","2.17M","-0.05"
"Jun 09, 2017","65.02","65.44","66.25","64.50","4.86M","1.64"
"Jun 08, 2017","63.97","64.77","64.77","63.39","2.03M","-1.42"
"Jun 07, 2017","64.89","64.69","65.06","64.54","1.54M","0.48"
"Jun 06, 2017","64.58","66.21","66.27","64.30","2.06M","-2.43"
"Jun 05, 2017","66.19","66.20","66.44","65.37","2.32M","0.17"
"Jun 02, 2017","66.08","65.45","66.31","64.85","1.97M","1.33"
"Jun 01, 2017","65.21","63.99","65.25","63.53","2.30M","2.26"
"May 31, 2017","63.77","63.76","64.15","63.20","1.99M","0.22"
"May 30, 2017","63.63","64.07","64.26","62.33","1.13M","-0.76"
"May 26, 2017","64.12","64.03","64.15","63.48","1.55M","0.34"
"May 25, 2017","63.90","63.61","64.76","62.52","3.04M","0.90"
"May 24, 2017","63.33","63.53","63.83","61.62","3.36M","-0.83"
"May 23, 2017","63.86","64.05","64.23","63.20","1.75M","0.09"
"May 22, 2017","63.80","63.48","63.97","63.37","1.57M","0.42"
"May 19, 2017","63.53","62.68","64.17","62.07","2.07M","1.57"
"May 18, 2017","62.55","62.81","63.63","62.26","2.56M","-0.35"
"May 17, 2017","62.77","63.81","65.41","62.69","8.83M","0.80"
"May 16, 2017","62.27","61.82","62.45","61.69","2.03M","1.24"
"May 15, 2017","61.51","61.24","62.07","61.24","3.00M","0.23"
