Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,50.65,51.25,51.75,50.21,2.64M,-1.23,DISH,-0.05850234,1.62601626,5.085093295,30,11,2017
29-Nov-17,51.28,50.33,51.66,50.12,3.03M,1.73,DISH,-0.158698671,0.579536371,3.687680264,29,11,2017
28-Nov-17,50.41,49.8,50.47,49.42,2.16M,1.53,DISH,0.302114804,-0.419916017,2.91382517,28,11,2017
27-Nov-17,49.65,49.99,49.99,49.12,1.57M,-0.44,DISH,0.240625627,-1.32254244,7.528500753,27,11,2017
24-Nov-17,49.87,50.4,50.78,49.63,482.86K,-1.11,DISH,-0.0594884,-0.198019802,5.175292154,24,11,2017
22-Nov-17,50.43,50.04,50.77,49.77,1.77M,0.78,DISH,0,-1.126259632,2.12244898,22,11,2017
21-Nov-17,50.04,50.03,50.18,49.44,1.89M,0.06,DISH,0.039992002,-0.95030687,2.102040816,21,11,2017
20-Nov-17,50.01,50.6,50.7,49.28,1.67M,-1.28,DISH,-0.118436636,-0.511207236,3.307472438,20,11,2017
17-Nov-17,50.66,50.46,50.79,50.16,2.04M,0.32,DISH,-0.079207921,-0.688840779,2.352941176,17,11,2017
16-Nov-17,50.5,50.46,51.01,50.02,2.11M,-0.22,DISH,-0.296384114,0.318091451,2.311435523,16,11,2017
15-Nov-17,50.61,50.51,50.87,49.52,2.53M,0.2,DISH,0,3.652780628,1.609334138,15,11,2017
14-Nov-17,50.51,50.7,50.78,50.04,2.22M,-0.69,DISH,-0.314589068,1.258238466,3.787103378,14,11,2017
13-Nov-17,50.86,50.31,50.87,49.71,2.26M,0.1,DISH,-0.984058256,-1.003541913,2.610646543,13,11,2017
10-Nov-17,50.81,50.13,51.29,50,2.21M,1.01,DISH,-0.337972167,4.2854171,3.617197189,10,11,2017
9-Nov-17,50.3,50,51.89,48.88,4.50M,3.22,DISH,2.606197414,3.584006629,1.978380583,9,11,2017
8-Nov-17,48.73,49.99,50.2,48.45,3.75M,-2.68,DISH,-0.159776313,2.501537831,-3.213939981,8,11,2017
7-Nov-17,50.07,50.81,51.15,49.61,2.57M,-1.48,DISH,-0.019677292,4.676555418,-1.721470019,7,11,2017
6-Nov-17,50.82,49.85,51.56,49.57,5.89M,5.72,DISH,3.702933222,3.017152304,-3.541021672,6,11,2017
3-Nov-17,48.07,47.83,48.3,47.55,2.38M,-0.41,DISH,-0.911539258,2.882340288,-10.31314457,3,11,2017
2-Nov-17,48.27,48.72,48.79,47.95,1.89M,-1.03,DISH,-0.102522042,1.669449082,-9.827873404,2,11,2017
1-Nov-17,48.77,48.85,49.13,48.34,3.10M,0.47,DISH,0.638648537,-0.306122449,-9.687557774,1,11,2017
31-Oct-17,48.54,48.42,48.92,47.53,2.90M,0.31,DISH,0.06199628,-1.183673469,-10.86156112,31,10,2017
30-Oct-17,48.39,46.23,49,46.07,6.04M,4.09,DISH,-0.559260056,-5.614536546,-14.11852127,30,10,2017
27-Oct-17,46.49,47.57,47.6,46.41,4.22M,-2.98,DISH,-0.730383973,-3.509127789,-12.28102526,27,10,2017
26-Oct-17,47.92,48.87,49.03,47.91,1.68M,-2.2,DISH,-0.265306122,-0.912408759,-7.809847199,26,10,2017
25-Oct-17,49,48.9,49.04,48.26,1.97M,0,DISH,-0.204081633,-1.629450815,-8.272369162,25,10,2017
24-Oct-17,49,48.87,49.07,48.59,1.47M,0.04,DISH,-0.224581462,0.040941658,-6.289549377,24,10,2017
23-Oct-17,48.98,49.48,49.7,48.73,1.89M,-0.65,DISH,0.365111562,0.917805425,-8.37037037,23,10,2017
20-Oct-17,49.3,49.72,49.84,49.24,1.82M,-0.04,DISH,0.811030008,2.769739562,-6.646639129,20,10,2017
19-Oct-17,49.32,49.55,49.87,49.04,2.78M,-0.78,DISH,-0.321866828,1.060575158,-6.948356808,19,10,2017
18-Oct-17,49.71,48.83,50.09,48.7,3.00M,1.76,DISH,-0.040941658,-5.45982575,-8.831217326,18,10,2017
17-Oct-17,48.85,49,49.16,48.68,1.63M,-0.37,DISH,-0.061187028,-5.222437137,-8.205320345,17,10,2017
16-Oct-17,49.03,48.72,49.45,48.32,2.16M,1.34,DISH,0.70276974,-5.72755418,-7.814569536,16,10,2017
13-Oct-17,48.38,48.37,48.64,47.48,6.03M,-1.33,DISH,-1.346114624,-9.300581286,-8.6496695,13,10,2017
12-Oct-17,49.03,51.38,51.45,48.73,5.24M,-5.07,DISH,-0.522749274,-4.904682584,-3.184473337,12,10,2017
11-Oct-17,51.65,51.75,51.98,51.39,1.94M,-0.1,DISH,0.096711799,-4.326123128,-4.060066741,11,10,2017
10-Oct-17,51.7,52.03,52.36,51.47,3.16M,0.04,DISH,0.677244582,-4.215758468,-4.689503572,10,10,2017
9-Oct-17,51.68,53.28,53.48,51.62,2.82M,-3.09,DISH,-0.09375586,-1.021735092,-2.346041056,9,10,2017
6-Oct-17,53.33,53.88,54.11,53.28,1.73M,-1.3,DISH,-0.277623542,-0.645399226,-1.318681319,6,10,2017
5-Oct-17,54.03,54.25,54.77,53.99,1.43M,-0.11,DISH,0.295803291,2.339181287,-2.217015141,5,10,2017
4-Oct-17,54.09,54.21,54.65,53.89,1.35M,-0.42,DISH,-0.202503682,1.688238604,-5.885416667,4,10,2017
3-Oct-17,54.32,53.85,54.34,53.69,898.16K,0.91,DISH,0.037154003,3.259827421,-5.774278215,3,10,2017
2-Oct-17,53.83,54.01,54.28,53.46,1.47M,-0.74,DISH,-0.405679513,0.018518519,-7.627843338,2,10,2017
29-Sep-17,54.23,53.07,54.45,52.93,2.15M,2.3,DISH,0.113186191,-0.356740518,-7.366032466,29,9,2017
28-Sep-17,53.01,53,53.43,52.57,1.41M,-0.56,DISH,-0.581504408,-0.469483568,-7.342657343,28,9,2017
27-Sep-17,53.31,52.33,53.59,52.17,1.86M,2.22,DISH,0.345158198,-2.296489918,-9.416652242,27,9,2017
26-Sep-17,52.15,53.61,53.61,52.09,2.76M,-3.43,DISH,-0.722222222,0.430872986,-5.382986234,26,9,2017
25-Sep-17,54,53.25,54.04,53.07,1.92M,1.39,DISH,-0.018775817,0.756859035,-5.985169492,25,9,2017
22-Sep-17,53.26,53.28,53.57,52.84,1.01M,0.02,DISH,0.056338028,0.623229462,-7.0319316,22,9,2017
21-Sep-17,53.25,53.65,53.91,52.85,1.28M,-0.58,DISH,0.168035848,1.092896175,-6.337290503,21,9,2017
20-Sep-17,53.56,53.6,54.7,53.39,2.68M,0.34,DISH,0.412139378,-0.630329996,-6.701479547,20,9,2017
19-Sep-17,53.38,52.78,53.49,52.39,3.03M,1,DISH,-0.132450331,-3.315625572,-6.831421006,19,9,2017
18-Sep-17,52.85,52.69,53.42,52.45,2.26M,-0.19,DISH,-0.491029273,-3.427419355,-7.301196341,18,9,2017
15-Sep-17,52.95,53.4,53.4,52.44,3.13M,-0.23,DISH,0.621820237,-2.197802198,-6.217070601,15,9,2017
14-Sep-17,53.07,53.86,53.98,52.14,4.13M,-1.61,DISH,-0.14831294,-2.919971161,-7.868628122,14,9,2017
13-Sep-17,53.94,54.24,54.58,53.74,3.28M,-1.19,DISH,-0.641143066,-5.833333333,-6.723989682,13,9,2017
