Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,102.76,104.15,105.14,102.65,4.24M,-1.33,DLTR,0.009602458,4.390097224,14.29982441,30,11,2017
29-Nov-17,104.14,101.31,104.4,101.01,3.31M,3.17,DLTR,0.366554389,1.860044239,11.02465753,29,11,2017
28-Nov-17,100.94,98.39,101.09,98.38,2.46M,2.79,DLTR,0.193482688,1.318092884,7.600612423,28,11,2017
27-Nov-17,98.2,98.32,98.98,97.7,2.52M,-0.18,DLTR,-0.060988006,3.921361378,5.482244394,27,11,2017
24-Nov-17,98.38,99.7,99.7,98.03,1.74M,-1.39,DLTR,-0.070161371,5.357708972,6.939826236,24,11,2017
22-Nov-17,99.77,99.23,100.74,98.99,3.05M,0.31,DLTR,-0.231248743,6.595767537,8.317869228,22,11,2017
21-Nov-17,99.46,100.15,100.54,95.44,7.83M,2.42,DLTR,3.1304706,7.169609417,9.119633907,21,11,2017
20-Nov-17,97.11,95.12,97.24,94.71,5.27M,2.64,DLTR,0.539055068,1.526310172,3.706934147,20,11,2017
17-Nov-17,94.61,94.79,95.22,93.99,1.95M,-0.02,DLTR,0.169079573,-0.284031138,2.619898235,17,11,2017
16-Nov-17,94.63,93.56,94.97,93.15,2.14M,1.65,DLTR,0.504887743,-0.868828142,2.352040258,16,11,2017
15-Nov-17,93.09,92.83,93.76,91.31,2.00M,-0.39,DLTR,-0.663456394,-1.139510117,1.486826282,15,11,2017
14-Nov-17,93.45,93.48,93.57,92.3,2.05M,-0.26,DLTR,-0.224143452,-0.149540696,2.130449033,14,11,2017
13-Nov-17,93.69,94.71,95.46,92.98,1.74M,-1.44,DLTR,-0.368188513,1.413427562,3.001631321,13,11,2017
10-Nov-17,95.06,94.14,95.64,93.92,3.00M,0.72,DLTR,-0.254291163,0.416,2.885245902,10,11,2017
9-Nov-17,94.38,93.35,95.09,93.35,1.71M,0.51,DLTR,-0.585729499,0.864397623,2.167013243,9,11,2017
8-Nov-17,93.9,93.32,94.66,93.1,1.19M,0.3,DLTR,-0.320444349,2.414398595,2.290913077,8,11,2017
7-Nov-17,93.62,93.47,93.78,92.48,1.47M,0.25,DLTR,0.085662276,2.432876712,4.669652856,7,11,2017
6-Nov-17,93.39,93.48,93.74,92.33,1.33M,-0.38,DLTR,-0.288,2.230971129,5.782505375,6,11,2017
3-Nov-17,93.75,93.28,94.49,92.81,2.54M,1.3,DLTR,0.788762831,0.075099238,4.316707672,3,11,2017
2-Nov-17,92.55,91.2,94.8,90.89,2.19M,1.57,DLTR,0.087796313,-2.177410705,2.299495233,2,11,2017
1-Nov-17,91.12,91.6,92.06,90.34,1.75M,-0.14,DLTR,0.383561644,-0.010915839,2.863559798,1,11,2017
31-Oct-17,91.25,91.63,92.21,91.05,1.38M,-0.21,DLTR,0.207786527,-0.163434299,5.540198111,31,10,2017
30-Oct-17,91.44,92.52,92.92,90.3,2.23M,-1.9,DLTR,-0.74026392,0.872219799,6.996646236,30,10,2017
27-Oct-17,93.21,92.02,93.33,90.85,2.19M,-0.02,DLTR,-1.297865494,-0.378910902,5.989403363,27,10,2017
26-Oct-17,93.23,92.12,93.34,91.78,1.64M,1.77,DLTR,0.556707783,0.776720271,7.516339869,26,10,2017
25-Oct-17,91.61,91.5,91.9,91.06,1.16M,-0.19,DLTR,-0.305077359,0.032797639,6.805182678,25,10,2017
24-Oct-17,91.78,91.61,92.31,91.13,2.52M,0.07,DLTR,-0.119930222,0.087403037,7.916126752,24,10,2017
23-Oct-17,91.72,92.38,93.68,91.58,1.58M,-0.7,DLTR,0.010826026,0.467645459,8.695140605,23,10,2017
20-Oct-17,92.37,91.95,92.55,91.58,1.97M,1.05,DLTR,0.590744995,0.491803279,8.662254786,20,10,2017
19-Oct-17,91.41,91.4,91.93,90.8,1.22M,-0.07,DLTR,-0.076527823,0.032833534,9.935049314,19,10,2017
18-Oct-17,91.47,91.45,92.05,91.26,1.48M,-0.07,DLTR,-0.087403037,0.241148745,9.625988971,18,10,2017
17-Oct-17,91.53,91.7,92.22,91.15,1.17M,-0.46,DLTR,-0.271886895,2.687569989,9.912501498,17,10,2017
16-Oct-17,91.95,91.06,92.05,91.06,1.84M,0.49,DLTR,-0.480874317,3.044019464,9.460271667,16,10,2017
13-Oct-17,91.5,90.16,92.15,89.94,2.06M,0.14,DLTR,-1.324285871,0.827555357,8.001916627,13,10,2017
12-Oct-17,91.37,91.23,91.5,89.95,2.19M,0.15,DLTR,0,2.333146383,9.309849029,12,10,2017
11-Oct-17,91.23,89.2,91.39,89.13,2.66M,2.16,DLTR,-0.111982083,0.168444694,5.674683094,11,10,2017
10-Oct-17,89.3,88.56,90.51,88.5,1.86M,1.05,DLTR,0.215005092,2.00414651,5.453679447,10,10,2017
9-Oct-17,88.37,89.61,89.61,87.92,1.83M,-1.17,DLTR,0.212480429,3.63131722,7.446043165,9,10,2017
6-Oct-17,89.42,88.64,89.5,88.34,2.52M,0.3,DLTR,-0.572069546,2.096291177,7.014366775,6,10,2017
5-Oct-17,89.15,89.04,89.9,88.63,2.07M,0.11,DLTR,-0.011229646,3.921568627,6.980656013,5,10,2017
4-Oct-17,89.05,88,89.77,87.62,3.78M,2.57,DLTR,1.35913384,2.719738532,6.370119666,4,10,2017
3-Oct-17,86.82,86.75,87.37,86.36,1.50M,0.4,DLTR,0.323811727,2.191070798,5.164262335,3,10,2017
2-Oct-17,86.47,86.6,86.92,86.18,1.62M,-0.4,DLTR,-0.253397835,1.894340511,6.834443622,2,10,2017
29-Sep-17,86.82,85.68,87.19,85.68,1.82M,1.33,DLTR,0,1.252658946,7.584128579,29,9,2017
28-Sep-17,85.68,85.15,85.82,84.65,1.76M,0.01,DLTR,-0.606980273,2.417608853,6.811339689,28,9,2017
27-Sep-17,85.67,85.27,86.22,84.37,1.75M,0.92,DLTR,0.44763812,2.217693599,6.988707654,27,9,2017
26-Sep-17,84.89,85.21,86.05,84.75,1.54M,-0.12,DLTR,0.258853983,2.133525111,6.008957452,26,9,2017
25-Sep-17,84.99,84.08,86.02,84.08,1.99M,0.44,DLTR,-0.63814701,1.069840125,4.59012315,25,9,2017
22-Sep-17,84.62,83.12,84.8,83.04,2.23M,1.78,DLTR,-0.024055809,-0.431241016,5.885350318,22,9,2017
21-Sep-17,83.14,83.44,83.54,82.4,1.17M,-0.34,DLTR,0.023975066,-0.023963575,12.27125942,21,9,2017
20-Sep-17,83.42,83.44,83.96,82.29,1.78M,-0.01,DLTR,0.011986096,-1.149152944,11.3275517,20,9,2017
19-Sep-17,83.43,83.09,83.55,82.36,2.25M,0.29,DLTR,-0.120206756,-1.059776137,11.90572391,19,9,2017
18-Sep-17,83.19,83.45,84.56,83.05,1.67M,-0.35,DLTR,-0.035936751,0.059952038,12.39057239,18,9,2017
15-Sep-17,83.48,83.59,84.31,83,2.76M,0.02,DLTR,0.15576324,0.917541953,12.44283024,15,9,2017
14-Sep-17,83.46,84.14,84.4,83.13,1.81M,-1.13,DLTR,-0.319867314,1.093355761,13.03062869,14,9,2017
13-Sep-17,84.41,83.97,84.9,83.66,2.08M,0.51,DLTR,-0.011907597,1.498851686,14.33823529,13,9,2017
12-Sep-17,83.98,83.32,84.56,83.16,1.66M,0.7,DLTR,-0.095923261,1.006182568,11.65907263,12,9,2017
11-Sep-17,83.4,83.14,83.51,82.2,2.79M,0.69,DLTR,0.374260534,2.566000493,13.11564626,11,9,2017
8-Sep-17,82.83,83.35,83.95,81.71,2.71M,-0.48,DLTR,0.144178782,4.658463084,14.0530925,8,9,2017
7-Sep-17,83.23,82.85,83.49,82.67,2.07M,0.6,DLTR,0.145050163,3.926241846,10.5846236,7,9,2017
6-Sep-17,82.73,82.47,83.29,82.23,2.47M,0.29,DLTR,-0.024245363,3.47553325,8.871287129,6,9,2017
5-Sep-17,82.49,81.41,83.32,81.37,3.28M,1.76,DLTR,0.431778929,1.281413287,7.784986098,5,9,2017
1-Sep-17,81.06,79.79,81.29,79.66,3.24M,1.78,DLTR,0.188347564,-0.746361488,7.664282823,1,9,2017
31-Aug-17,79.64,79.23,80.23,78.32,3.67M,-0.1,DLTR,-0.614651279,0.929936306,7.751937984,31,8,2017
30-Aug-17,79.72,79.76,80.16,79.34,2.77M,0.03,DLTR,0.075282309,7.319698601,9.305193915,30,8,2017
29-Aug-17,79.7,79.59,80.3,79.43,3.09M,-0.85,DLTR,-0.98283155,6.190793863,9.012464046,29,8,2017
28-Aug-17,80.38,80.78,81.5,80.21,2.47M,-0.01,DLTR,0.485134967,8.794612795,12.06992231,28,8,2017
25-Aug-17,80.39,79.88,80.78,77.92,4.45M,2.41,DLTR,1.757961783,7.582491582,11.25348189,25,8,2017
24-Aug-17,78.5,82.21,82.25,77.57,13.44M,5.62,DLTR,10.61625404,10.58649448,13.80121816,24,8,2017
23-Aug-17,74.32,74.63,74.95,73.86,4.43M,-0.84,DLTR,-0.426951301,0.255239119,5.231246475,23,8,2017
22-Aug-17,74.95,74.51,75.43,74.51,1.77M,0.94,DLTR,0.35016835,1.456971678,5.553194503,22,8,2017
21-Aug-17,74.25,74.22,74.67,73.74,2.50M,0,DLTR,-0.04040404,-0.536049317,7.130484988,21,8,2017
18-Aug-17,74.25,74.24,74.87,74.2,2.13M,-0.12,DLTR,-0.134517084,1.006802721,4.72563126,18,8,2017
17-Aug-17,74.34,74.03,74.81,73.2,2.39M,-0.13,DLTR,-0.550779151,1.299945265,4.606471669,17,8,2017
16-Aug-17,74.44,74.26,75.04,74.22,4.29M,1.36,DLTR,1.116557734,-0.880939669,5.557924662,16,8,2017
15-Aug-17,73.44,74.57,74.89,73.31,3.20M,-1.58,DLTR,-0.067006165,-1.557755776,7.635681293,15,8,2017
14-Aug-17,74.62,74.14,75.7,73.95,3.40M,1.52,DLTR,0.870748299,-1.840328346,6.111349649,14,8,2017
11-Aug-17,73.5,73.01,73.89,72.85,1.79M,0.57,DLTR,-0.095785441,-1.484280124,5.643177543,11,8,2017
10-Aug-17,73.08,74.26,74.29,72.78,2.68M,-2.46,DLTR,-0.880939669,0.992792058,8.298089544,10,8,2017
9-Aug-17,74.92,75.14,75.57,74.42,2.82M,-1.1,DLTR,-0.805280528,2.97382486,11.48367953,9,8,2017
8-Aug-17,75.75,75.53,76.06,75.32,2.41M,0.29,DLTR,0,3.451581975,12.95050097,8,8,2017
7-Aug-17,75.53,74.57,75.92,74.5,3.73M,1.92,DLTR,0.620698961,3.454495006,12.3211327,7,8,2017
4-Aug-17,74.11,73.77,74.21,73.23,1.92M,0.79,DLTR,0.326397389,2.743732591,8.517210944,4,8,2017
3-Aug-17,73.53,73.12,74.3,73.08,2.51M,0.77,DLTR,0.20556393,1.218161683,7.640217871,3,8,2017
2-Aug-17,72.97,72.74,73.37,72.23,2.20M,-0.05,DLTR,-0.369812354,2.566271856,6.641254948,2,8,2017
1-Aug-17,73.01,72.1,73.14,71.79,2.57M,1.29,DLTR,0.027746948,2.139113189,3.16211189,1,8,2017
31-Jul-17,72.08,72,72.33,71.19,1.42M,0.39,DLTR,0.278551532,3.926096998,2.974828375,31,7,2017
28-Jul-17,71.8,71.92,72.38,71.17,1.75M,-0.61,DLTR,-0.442967885,1.452955283,3.140685501,28,7,2017
27-Jul-17,72.24,70.97,72.42,70.37,3.01M,1.86,DLTR,0.070501974,0.282605624,1.429183936,27,7,2017
26-Jul-17,70.92,70.3,71,69.54,1.65M,0.47,DLTR,-0.410823063,-0.071073205,1.560242704,26,7,2017
25-Jul-17,70.59,69.38,71.02,69.17,2.00M,1.89,DLTR,0.144341801,0.144341801,1.299459775,25,7,2017
24-Jul-17,69.28,70.6,70.6,68.66,2.78M,-2.27,DLTR,-0.409084497,1.044797481,6.006006006,24,7,2017
21-Jul-17,70.89,70.62,71.36,70.52,2.69M,0.17,DLTR,-0.211954218,2.184922587,4.343971631,21,7,2017
20-Jul-17,70.77,70.6,71.15,70.09,3.05M,0.6,DLTR,0.355366027,2.960478343,3.747244673,20,7,2017
19-Jul-17,70.35,69.53,70.39,69.31,2.25M,1.54,DLTR,0.360854503,3.160237389,0.855816652,19,7,2017
18-Jul-17,69.28,69.87,70.01,68.82,1.67M,-0.84,DLTR,0,4.486316734,-0.963855422,18,7,2017
17-Jul-17,69.87,69.11,70.88,69.11,2.54M,1.1,DLTR,0,4.097002561,-1.370058513,17,7,2017
14-Jul-17,69.11,68.79,69.15,68.2,2.39M,0.79,DLTR,0.320840018,1.19152692,-5.417296851,14,7,2017
13-Jul-17,68.57,68.05,68.92,67.85,2.88M,1.74,DLTR,0.964391691,0.176652436,-9.592134981,13,7,2017
12-Jul-17,67.4,67.35,68.07,67,1.50M,0.79,DLTR,0.717810677,-1.260812198,-10.79470199,12,7,2017
11-Jul-17,66.87,66.53,67.42,66.39,2.79M,0.72,DLTR,0.210875132,-4.807554729,-11.70537492,11,7,2017
10-Jul-17,66.39,67.9,68.02,66.01,3.10M,-2.34,DLTR,-0.117681671,-2.889016018,-9.923056514,10,7,2017
7-Jul-17,67.98,68,68.69,67.67,1.79M,0.07,DLTR,0.103047255,-2.480998136,-9.139497595,7,7,2017
6-Jul-17,67.93,68.06,68.29,67.55,2.80M,-0.41,DLTR,-0.219909104,-2.729741318,-9.746717942,6,7,2017
5-Jul-17,68.21,69.96,70.06,67.7,4.28M,-2.4,DLTR,0.10015739,1.069055186,-9.001040583,5,7,2017
3-Jul-17,69.89,70.03,70.66,69.34,928.41K,-0.04,DLTR,0.157322654,2.248503431,-11.66750757,3,7,2017
30-Jun-17,69.92,70.01,70.41,69.23,2.82M,0.27,DLTR,0.401548831,5.12012012,-12.95536491,30,6,2017
29-Jun-17,69.73,69.83,70.42,69.34,2.80M,-0.34,DLTR,-0.200085751,3.176713948,-13.31926514,29,6,2017
28-Jun-17,69.97,70.48,70.81,69.37,4.04M,1.08,DLTR,1.820283155,3.570903747,-9.292149292,28,6,2017
27-Jun-17,69.22,68.3,70.3,68.25,6.54M,1.07,DLTR,-0.277412761,-0.928343487,-12.62632724,27,6,2017
26-Jun-17,68.49,66.81,68.53,66.53,6.21M,2.84,DLTR,0.315315315,-5.301204819,-14.65252938,26,6,2017
23-Jun-17,66.6,67.35,67.67,66.17,5.43M,-1.6,DLTR,-0.487588652,-3.881832453,-14.53045685,23,6,2017
22-Jun-17,67.68,68.1,68.54,67.61,2.88M,-0.54,DLTR,0.073475386,-6.366011275,-12.7817623,22,6,2017
21-Jun-17,68.05,69.04,69.88,67.6,4.00M,-1.29,DLTR,0.14505367,-8.276869935,-12.44134432,21,6,2017
20-Jun-17,68.94,70.62,70.69,68.73,3.50M,-2.28,DLTR,0.099220411,-6.463576159,-12.72862086,20,6,2017
19-Jun-17,70.55,70.53,71,69.44,4.43M,0.69,DLTR,0.656486371,-6.396814864,-11.48343373,19,6,2017
16-Jun-17,70.07,69.67,70.63,65.63,11.31M,-3.66,DLTR,-4.207342225,-7.574953569,-11.81012658,16,6,2017
15-Jun-17,72.73,74.82,75.58,72.34,3.96M,-3.37,DLTR,-0.597847748,-0.026723677,-4.175204918,15,6,2017
14-Jun-17,75.27,75.52,75.85,74.69,2.71M,-0.3,DLTR,0.026490066,0.145869248,-4.525916561,14,6,2017
13-Jun-17,75.5,75.27,75.88,74.87,1.42M,0.2,DLTR,-0.106171201,-2.094172737,-7.005189029,13,6,2017
12-Jun-17,75.35,75.43,76.77,74.95,2.02M,-0.04,DLTR,0.066330592,-4.856205853,-7.208758765,12,6,2017
9-Jun-17,75.38,74.85,75.88,74.4,2.25M,0.72,DLTR,0.013361839,-6.93770981,-8.148239048,9,6,2017
8-Jun-17,74.84,75.79,77.09,74.66,2.85M,-0.76,DLTR,0.503911948,-5.921052632,-8.708744881,8,6,2017
7-Jun-17,75.41,77.33,77.33,75,7.29M,-1.91,DLTR,0.585327784,-0.476190476,-6.583715873,7,6,2017
6-Jun-17,76.88,78.61,78.61,76.25,4.20M,-3.03,DLTR,-0.845105954,0.562875784,-4.471989306,6,6,2017
5-Jun-17,79.28,80.15,80.34,78.49,2.32M,-1.43,DLTR,-0.348128808,2.388860501,-2.256097561,5,6,2017
2-Jun-17,80.43,80.49,80.93,79.85,1.89M,-0.16,DLTR,-0.086891758,2.144670051,-1.793557833,2,6,2017
1-Jun-17,80.56,78.03,80.58,78.01,3.96M,3.68,DLTR,0.424710425,-0.064036885,-4.748535156,1,6,2017
31-May-17,77.7,78.27,78.38,76.43,3.43M,-0.6,DLTR,0.127926314,-0.735573874,-4.198286414,31,5,2017
30-May-17,78.17,78.08,78.99,77.82,1.98M,-0.14,DLTR,-0.255493102,-3.50963915,-3.306501548,30,5,2017
26-May-17,78.28,79.15,80.46,77.71,2.18M,-0.66,DLTR,0.444162437,-0.665160643,-4.373565301,26,5,2017
25-May-17,78.8,76.02,81,76,6.42M,0.92,DLTR,-2.638319672,-3.772151899,-8.552869,25,5,2017
24-May-17,78.08,78.86,79.14,76.72,5.01M,-0.98,DLTR,0.012682308,0.99897541,-3.511562462,24,5,2017
23-May-17,78.85,80.85,80.91,78.59,3.59M,-2.56,DLTR,-0.08650519,2.212389381,0.198289751,23,5,2017
22-May-17,80.92,79.62,81.1,79.35,2.13M,1.56,DLTR,-0.075301205,-1.630837658,-0.213059281,22,5,2017
19-May-17,79.68,78.97,80,78.32,2.16M,0.86,DLTR,-0.037974684,-2.853979579,0.203019921,19,5,2017
18-May-17,79,78.34,79.45,77.83,1.86M,1.18,DLTR,0.332991803,-3.86550497,-1.545808722,18,5,2017
17-May-17,78.08,79.16,79.6,77.66,2.76M,-1.29,DLTR,0.07585335,-4.649482053,1.461163804,17,5,2017
16-May-17,79.1,80.78,81.13,78.88,2.63M,-2.27,DLTR,-0.197677292,-2.416042522,4.326488441,16,5,2017
15-May-17,80.94,81.5,82.05,80.78,1.60M,-0.43,DLTR,0.258334358,-0.960019443,6.078354809,15,5,2017
12-May-17,81.29,81.31,81.35,80.33,1.63M,-0.25,DLTR,-0.220885998,-0.841463415,6.34318598,12,5,2017
11-May-17,81.49,82.35,83.04,81.15,1.40M,-1.84,DLTR,-0.80703445,0.475841874,6.75395385,11,5,2017
