"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","106.35","106.11","106.50","105.06","5.40M","0.82"
"Nov 29, 2017","105.49","109.21","109.39","104.95","5.59M","-3.64"
"Nov 28, 2017","109.47","106.99","110.52","106.74","5.50M","2.32"
"Nov 27, 2017","106.99","107.86","108.28","106.79","2.54M","-0.88"
"Nov 24, 2017","107.94","107.66","108.58","107.59","1.31M","0.58"
"Nov 22, 2017","107.32","108.04","108.44","106.61","2.56M","-0.36"
"Nov 21, 2017","107.71","107.78","108.77","107.54","3.30M","0.07"
"Nov 20, 2017","107.64","108.28","108.45","106.75","5.98M","-1.08"
"Nov 17, 2017","108.82","108.99","109.55","107.50","8.56M","-2.49"
"Nov 16, 2017","111.60","111.85","113.13","111.21","2.45M","0.11"
"Nov 15, 2017","111.48","112.72","112.87","110.52","2.59M","-0.70"
"Nov 14, 2017","112.27","110.60","113.90","110.39","3.62M","0.23"
"Nov 13, 2017","112.01","112.00","113.24","111.19","3.17M","-0.66"
"Nov 10, 2017","112.75","111.26","112.83","110.82","2.53M","0.77"
"Nov 09, 2017","111.89","112.99","113.30","110.94","3.45M","-1.98"
"Nov 08, 2017","114.15","112.45","115.60","112.10","3.39M","2.19"
"Nov 07, 2017","111.70","112.29","112.72","110.08","2.83M","-0.68"
"Nov 06, 2017","112.46","112.99","113.50","110.76","3.64M","-0.65"
"Nov 03, 2017","113.20","113.47","113.76","112.57","2.93M","0.45"
"Nov 02, 2017","112.69","114.35","114.52","112.60","3.44M","-1.55"
"Nov 01, 2017","114.47","116.00","116.60","111.28","9.67M","-4.29"
"Oct 31, 2017","119.60","118.12","119.84","116.37","5.48M","1.72"
"Oct 30, 2017","117.58","117.13","117.77","116.64","2.61M","0.59"
"Oct 27, 2017","116.89","116.83","117.55","115.41","2.89M","0.92"
"Oct 26, 2017","115.83","115.07","117.06","115.02","2.45M","1.11"
"Oct 25, 2017","114.56","113.20","114.88","112.59","3.21M","1.03"
"Oct 24, 2017","113.39","113.68","114.72","112.76","2.01M","-0.24"
"Oct 23, 2017","113.66","113.81","114.43","112.73","2.20M","0.04"
"Oct 20, 2017","113.62","113.60","114.28","113.15","1.99M","0.49"
"Oct 19, 2017","113.07","112.00","113.08","111.12","3.18M","-0.08"
"Oct 18, 2017","113.16","113.41","113.75","110.31","9.78M","-2.43"
"Oct 17, 2017","115.98","117.20","118.15","115.63","3.13M","-1.28"
"Oct 16, 2017","117.48","118.81","119.00","117.05","2.60M","-0.96"
"Oct 13, 2017","118.62","117.76","118.92","117.55","1.93M","1.26"
"Oct 12, 2017","117.14","115.97","117.78","115.77","2.05M","0.94"
"Oct 11, 2017","116.05","117.33","118.00","115.52","3.15M","-1.50"
"Oct 10, 2017","117.82","119.03","119.49","116.71","1.56M","-0.67"
"Oct 09, 2017","118.62","119.24","119.30","117.67","1.52M","-1.22"
"Oct 06, 2017","120.09","119.03","120.29","118.44","1.91M","0.48"
"Oct 05, 2017","119.52","118.63","119.75","117.93","1.44M","0.81"
"Oct 04, 2017","118.56","117.52","118.75","116.41","1.64M","0.51"
"Oct 03, 2017","117.96","117.92","118.10","116.76","1.25M","0.01"
"Oct 02, 2017","117.95","118.89","119.72","116.94","1.85M","-0.09"
"Sep 29, 2017","118.06","116.71","118.17","116.30","1.74M","1.24"
"Sep 28, 2017","116.61","115.82","116.79","115.24","1.40M","0.55"
"Sep 27, 2017","115.97","115.40","116.65","115.40","1.79M","1.80"
"Sep 26, 2017","113.92","114.50","114.67","112.83","2.99M","-0.25"
"Sep 25, 2017","114.20","118.05","118.29","112.85","4.11M","-3.63"
"Sep 22, 2017","118.50","117.46","120.18","117.15","2.08M","0.41"
"Sep 21, 2017","118.02","120.49","120.49","117.82","1.91M","-1.93"
"Sep 20, 2017","120.34","120.77","121.40","118.74","2.39M","0.11"
"Sep 19, 2017","120.21","120.25","121.20","119.37","2.24M","0.21"
"Sep 18, 2017","119.96","119.50","120.87","119.50","2.57M","0.45"
"Sep 15, 2017","119.42","119.29","119.92","117.75","3.19M","0.19"
"Sep 14, 2017","119.19","118.74","119.66","117.71","2.54M","-0.34"
"Sep 13, 2017","119.60","119.86","120.45","119.00","2.52M","-0.67"
"Sep 12, 2017","120.41","121.61","122.12","118.67","2.66M","-0.64"
"Sep 11, 2017","121.19","119.88","121.35","119.28","2.28M","2.46"
"Sep 08, 2017","118.28","119.99","120.16","117.71","2.42M","-0.55"
"Sep 07, 2017","118.93","117.20","119.10","116.59","1.81M","1.65"
"Sep 06, 2017","117.00","118.77","119.15","116.47","1.77M","-1.02"
"Sep 05, 2017","118.21","118.80","119.30","116.32","2.37M","-0.92"
"Sep 01, 2017","119.31","121.27","121.77","118.51","2.75M","-1.80"
"Aug 31, 2017","121.50","122.00","122.79","120.94","2.62M","-0.39"
"Aug 30, 2017","121.97","119.42","122.08","119.06","2.19M","2.30"
"Aug 29, 2017","119.23","117.47","119.43","117.22","1.30M","0.42"
"Aug 28, 2017","118.73","117.52","119.04","116.95","1.78M","1.54"
"Aug 25, 2017","116.93","118.19","118.71","115.71","2.21M","-0.76"
"Aug 24, 2017","117.82","118.49","118.92","116.00","1.34M","-0.30"
"Aug 23, 2017","118.18","118.65","119.37","117.55","1.30M","-0.71"
"Aug 22, 2017","119.03","117.28","120.45","117.22","2.51M","1.87"
"Aug 21, 2017","116.84","116.85","117.40","116.12","1.85M","-0.03"
"Aug 18, 2017","116.88","116.00","117.84","115.46","1.91M","0.35"
"Aug 17, 2017","116.47","119.19","119.47","116.46","1.79M","-2.33"
"Aug 16, 2017","119.25","117.49","119.59","117.03","2.10M","1.55"
"Aug 15, 2017","117.43","117.23","117.62","116.58","1.05M","0.27"
"Aug 14, 2017","117.11","116.71","118.00","116.40","2.89M","1.44"
"Aug 11, 2017","115.45","113.74","115.98","113.51","1.58M","1.28"
"Aug 10, 2017","113.99","115.41","115.72","113.69","2.95M","-1.83"
"Aug 09, 2017","116.11","115.55","116.84","114.75","1.71M","-0.33"
"Aug 08, 2017","116.50","116.50","117.13","116.02","1.33M","-0.39"
"Aug 07, 2017","116.96","117.60","117.96","116.49","1.88M","-0.22"
"Aug 04, 2017","117.22","119.15","119.18","116.90","2.34M","-1.37"
"Aug 03, 2017","118.85","117.38","119.23","116.98","2.93M","1.73"
"Aug 02, 2017","116.83","117.11","117.42","113.83","3.11M","-0.08"
"Aug 01, 2017","116.92","117.57","117.65","116.44","2.49M","0.15"
"Jul 31, 2017","116.74","119.05","119.25","116.50","2.95M","-1.28"
"Jul 28, 2017","118.25","114.00","118.75","113.50","5.01M","0.55"
"Jul 27, 2017","117.60","119.01","120.25","116.06","8.95M","-0.34"
"Jul 26, 2017","118.00","115.46","118.11","115.19","4.52M","3.82"
"Jul 25, 2017","113.66","113.97","114.52","113.31","2.74M","-0.08"
"Jul 24, 2017","113.75","112.22","113.97","112.22","2.78M","1.36"
"Jul 21, 2017","112.22","111.50","112.91","111.27","2.43M","0.22"
"Jul 20, 2017","111.97","111.61","112.18","110.38","2.14M","0.35"
"Jul 19, 2017","111.58","110.43","111.65","109.81","2.50M","1.18"
"Jul 18, 2017","110.28","110.00","110.93","109.48","1.91M","0.77"
