Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,106.35,106.11,106.5,105.06,5.40M,0.82,EA,0.587733434,-1.127469251,-7.303223552,30,11,2017
29-Nov-17,105.49,109.21,109.39,104.95,5.59M,-3.64,EA,-0.237507993,1.392628354,-8.68729097,29,11,2017
28-Nov-17,109.47,106.99,110.52,106.74,5.50M,2.32,EA,0,-0.603864734,-9.006633781,28,11,2017
27-Nov-17,106.99,107.86,108.28,106.79,2.54M,-0.88,EA,-0.074115249,-0.882190774,-7.725211738,27,11,2017
24-Nov-17,107.94,107.66,108.58,107.59,1.31M,0.58,EA,0.316809542,-3.53046595,-7.053440387,24,11,2017
22-Nov-17,107.32,108.04,108.44,106.61,2.56M,-0.36,EA,0.306378238,-3.085755292,-5.691340782,22,11,2017
21-Nov-17,107.71,107.78,108.77,107.54,3.30M,0.07,EA,0.130063174,-3.999287432,-4.947526237,21,11,2017
20-Nov-17,107.64,108.28,108.45,106.75,5.98M,-1.08,EA,-0.49623231,-3.330059816,-4.73341545,20,11,2017
17-Nov-17,108.82,108.99,109.55,107.5,8.56M,-2.49,EA,-2.338709677,-3.33481153,-4.074986798,17,11,2017
16-Nov-17,111.6,111.85,113.13,111.21,2.45M,0.11,EA,0.331898098,-0.035749397,-1.078977624,16,11,2017
15-Nov-17,111.48,112.72,112.87,110.52,2.59M,-0.7,EA,0.400819453,-1.252737626,-0.388829975,15,11,2017
14-Nov-17,112.27,110.6,113.9,110.39,3.62M,0.23,EA,-1.258816177,-0.984780662,-4.638730816,14,11,2017
13-Nov-17,112.01,112,113.24,111.19,3.17M,-0.66,EA,-0.66518847,-0.409034323,-4.664623766,13,11,2017
10-Nov-17,112.75,111.26,112.83,110.82,2.53M,0.77,EA,-0.563052998,-1.713780919,-6.204687237,10,11,2017
9-Nov-17,111.89,112.99,113.3,110.94,3.45M,-1.98,EA,-1.016206746,0.266217056,-3.542769336,9,11,2017
8-Nov-17,114.15,112.45,115.6,112.1,3.39M,2.19,EA,0.671441361,-1.764654495,-3.102111159,8,11,2017
7-Nov-17,111.7,112.29,112.72,110.08,2.83M,-0.68,EA,-0.151164859,-6.112040134,-4.693600407,7,11,2017
6-Nov-17,112.46,112.99,113.5,110.76,3.64M,-0.65,EA,-0.185512367,-3.903725123,-4.746248525,6,11,2017
3-Nov-17,113.2,113.47,113.76,112.57,2.93M,0.45,EA,0.692164345,-2.925827701,-5.512532267,3,11,2017
2-Nov-17,112.69,114.35,114.52,112.6,3.44M,-1.55,EA,-0.10483096,-1.277734611,-4.325635877,2,11,2017
1-Nov-17,114.47,116,116.6,111.28,9.67M,-4.29,EA,-3.010033445,1.25698324,-2.159244265,1,11,2017
31-Oct-17,119.6,118.12,119.84,116.37,5.48M,1.72,EA,0.459261779,4.17144369,0.1356392,31,10,2017
30-Oct-17,117.58,117.13,117.77,116.64,2.61M,0.59,EA,0.205321242,3.052964983,-0.695209835,30,10,2017
27-Oct-17,116.89,116.83,117.55,115.41,2.89M,0.92,EA,0.863334197,2.82520683,-1.041843131,27,10,2017
26-Oct-17,115.83,115.07,117.06,115.02,2.45M,1.11,EA,0.445181564,1.768815778,-1.320641454,26,10,2017
25-Oct-17,114.56,113.2,114.88,112.59,3.21M,1.03,EA,-0.167563277,0.03534818,-2.388548763,25,10,2017
24-Oct-17,113.39,113.68,114.72,112.76,2.01M,-0.24,EA,0.01759634,-1.983100535,-0.210674157,24,10,2017
23-Oct-17,113.66,113.81,114.43,112.73,2.20M,0.04,EA,0.16722408,-3.123935989,-0.34150613,23,10,2017
20-Oct-17,113.62,113.6,114.28,113.15,1.99M,0.49,EA,0.468736181,-4.232001349,-4.135021097,20,10,2017
19-Oct-17,113.07,112,113.08,111.12,3.18M,-0.08,EA,-1.025097207,-4.3879119,-5.100830368,19,10,2017
18-Oct-17,113.16,113.41,113.75,110.31,9.78M,-2.43,EA,-2.215899293,-2.274881517,-5.758683729,18,10,2017
17-Oct-17,115.98,117.2,118.15,115.63,3.13M,-1.28,EA,-0.238338441,-0.526226447,-2.503951418,17,10,2017
16-Oct-17,117.48,118.81,119,117.05,2.60M,-0.96,EA,0.16017535,0.16017535,-0.958652884,16,10,2017
13-Oct-17,118.62,117.76,118.92,117.55,1.93M,1.26,EA,0.529281202,-1.940211508,-1.390051918,13,10,2017
12-Oct-17,117.14,115.97,117.78,115.77,2.05M,0.94,EA,-0.068935804,-2.97021419,-2.701568924,12,10,2017
11-Oct-17,116.05,117.33,118,115.52,3.15M,-1.5,EA,-0.415888644,-1.037449393,-1.897993311,11,10,2017
10-Oct-17,117.82,119.03,119.49,116.71,1.56M,-0.67,EA,0.345641544,0.907087148,-1.146084212,10,10,2017
9-Oct-17,118.62,119.24,119.3,117.67,1.52M,-1.22,EA,-0.707802481,1.093683764,-1.60904365,9,10,2017
6-Oct-17,120.09,119.03,120.29,118.44,1.91M,0.48,EA,-0.409973226,0.821616127,0.634088603,6,10,2017
5-Oct-17,119.52,118.63,119.75,117.93,1.44M,0.81,EA,0.059041835,1.73226996,-0.252249222,5,10,2017
4-Oct-17,118.56,117.52,118.75,116.41,1.64M,0.51,EA,-0.373007799,1.336552557,0.444444444,4,10,2017
3-Oct-17,117.96,117.92,118.1,116.76,1.25M,0.01,EA,-0.025434506,3.511235955,-0.245326115,3,10,2017
2-Oct-17,117.95,118.89,119.72,116.94,1.85M,-0.09,EA,0.703032356,4.106830123,-0.352024139,2,10,2017
29-Sep-17,118.06,116.71,118.17,116.3,1.74M,1.24,EA,0.085755939,-1.510548523,-3.942386831,29,9,2017
28-Sep-17,116.61,115.82,116.79,115.24,1.40M,0.55,EA,-0.129343796,-1.864090832,-5.042223498,28,9,2017
27-Sep-17,115.97,115.4,116.65,115.4,1.79M,1.8,EA,1.299157303,-4.105035732,-3.212278789,27,9,2017
26-Sep-17,113.92,114.5,114.67,112.83,2.99M,-0.25,EA,0.262697023,-4.750020797,-3.562705298,26,9,2017
25-Sep-17,114.2,118.05,118.29,112.85,4.11M,-3.63,EA,-0.379746835,-1.592197399,0.957838023,25,9,2017
22-Sep-17,118.5,117.46,120.18,117.15,2.08M,0.41,EA,-0.474495848,-1.64126612,-0.30555084,22,9,2017
21-Sep-17,118.02,120.49,120.49,117.82,1.91M,-1.93,EA,0.124646834,1.090695528,1.954645456,21,9,2017
20-Sep-17,120.34,120.77,121.4,118.74,2.39M,0.11,EA,0.465851427,0.97826087,1.461816349,20,9,2017
19-Sep-17,120.21,120.25,121.2,119.37,2.24M,0.21,EA,0.241747249,-0.132879329,2.918521054,19,9,2017
18-Sep-17,119.96,119.5,120.87,119.5,2.57M,0.45,EA,0.066990454,-1.394504497,2.241615332,18,9,2017
15-Sep-17,119.42,119.29,119.92,117.75,3.19M,0.19,EA,0.083899656,0.853905986,2.42122435,15,9,2017
14-Sep-17,119.19,118.74,119.66,117.71,2.54M,-0.34,EA,-0.719063545,-0.159757841,-0.427672956,14,9,2017
13-Sep-17,119.6,119.86,120.45,119,2.52M,-0.67,EA,-0.456772693,2.444444444,2.069317892,13,9,2017
12-Sep-17,120.41,121.61,122.12,118.67,2.66M,-0.64,EA,0.346563248,2.876237205,3.842541201,12,9,2017
11-Sep-17,121.19,119.88,121.35,119.28,2.28M,2.46,EA,1.352722354,0.477747046,3.837158943,11,9,2017
8-Sep-17,118.28,119.99,120.16,117.71,2.42M,-0.55,EA,0.891280585,-1.242798354,5.263619616,8,9,2017
7-Sep-17,118.93,117.2,119.1,116.59,1.81M,1.65,EA,0.170940171,-3.910797737,0.938764964,7,9,2017
6-Sep-17,117,118.77,119.15,116.47,1.77M,-1.02,EA,0.473733187,-0.385808941,1.948497854,6,9,2017
5-Sep-17,118.21,118.8,119.3,116.32,2.37M,-0.92,EA,-0.427457883,0.058957298,1.573187415,5,9,2017
1-Sep-17,119.31,121.27,121.77,118.51,2.75M,-1.8,EA,-0.189300412,3.711622338,3.455041802,1,9,2017
31-Aug-17,121.5,122,122.79,120.94,2.62M,-0.39,EA,0.024596212,3.547784756,2.650399663,31,8,2017
30-Aug-17,121.97,119.42,122.08,119.06,2.19M,2.3,EA,0.159355867,1.049246911,2.216896345,30,8,2017
29-Aug-17,119.23,117.47,119.43,117.22,1.30M,0.42,EA,-1.061231365,-1.310593968,0.470407116,29,8,2017
28-Aug-17,118.73,117.52,119.04,116.95,1.78M,1.54,EA,0.504575387,0.581992468,0.668151448,28,8,2017
25-Aug-17,116.93,118.19,118.71,115.71,2.21M,-0.76,EA,0.314038364,1.120807666,-0.050739958,25,8,2017
24-Aug-17,117.82,118.49,118.92,116,1.34M,-0.3,EA,0.262311728,1.734352194,0.756802721,24,8,2017
23-Aug-17,118.18,118.65,119.37,117.55,1.30M,-0.71,EA,-0.319247249,-0.503144654,0.550847458,23,8,2017
22-Aug-17,119.03,117.28,120.45,117.22,2.51M,1.87,EA,0.376583362,-0.127735672,3.184937533,22,8,2017
21-Aug-17,116.84,116.85,117.4,116.12,1.85M,-0.03,EA,-0.025667351,-0.222013492,2.725274725,21,8,2017
18-Aug-17,116.88,116,117.84,115.46,1.91M,0.35,EA,-0.403537392,0.476396709,3.368383532,18,8,2017
17-Aug-17,116.47,119.19,119.47,116.46,1.79M,-2.33,EA,-0.050314465,4.561803667,6.448155756,17,8,2017
16-Aug-17,119.25,117.49,119.59,117.03,2.10M,1.55,EA,0.051094269,1.18852812,5.296648145,16,8,2017
15-Aug-17,117.43,117.23,117.62,116.58,1.05M,0.27,EA,0.102467765,0.626609442,6.302140007,15,8,2017
14-Aug-17,117.11,116.71,118,116.4,2.89M,1.44,EA,1.09138155,-0.21374829,6.642909357,14,8,2017
11-Aug-17,115.45,113.74,115.98,113.51,1.58M,1.28,EA,-0.219317484,-2.968776659,4.358198,11,8,2017
10-Aug-17,113.99,115.41,115.72,113.69,2.95M,-1.83,EA,-0.602876583,-2.894404712,5.900165168,10,8,2017
9-Aug-17,116.11,115.55,116.84,114.75,1.71M,-0.33,EA,-0.815450644,-1.095609005,4.40007228,9,8,2017
8-Aug-17,116.5,116.5,117.13,116.02,1.33M,-0.39,EA,-0.393296854,-0.359219979,7.452499539,8,8,2017
7-Aug-17,116.96,117.6,117.96,116.49,1.88M,-0.22,EA,0.324176762,0.736679801,9.050445104,7,8,2017
4-Aug-17,117.22,119.15,119.18,116.9,2.34M,-1.37,EA,0.252419016,0.761099366,10.88878548,4,8,2017
3-Aug-17,118.85,117.38,119.23,116.98,2.93M,1.73,EA,0.470769494,-0.18707483,10.99763593,3,8,2017
2-Aug-17,116.83,117.11,117.42,113.83,3.11M,-0.08,EA,0.162504276,-0.754237288,9.694642188,2,8,2017
1-Aug-17,116.92,117.57,117.65,116.44,2.49M,0.15,EA,0.710981669,3.440084462,11.52532726,1,8,2017
31-Jul-17,116.74,119.05,119.25,116.5,2.95M,-1.28,EA,0.67653277,4.659340659,12.6087779,31,7,2017
28-Jul-17,118.25,114,118.75,113.5,5.01M,0.55,EA,-3.06122449,1.586170023,6.861642295,28,7,2017
27-Jul-17,117.6,119.01,120.25,116.06,8.95M,-0.34,EA,0.855932203,6.28739841,9.374138406,27,7,2017
26-Jul-17,118,115.46,118.11,115.19,4.52M,3.82,EA,1.583670597,3.477325686,6.591580502,26,7,2017
25-Jul-17,113.66,113.97,114.52,113.31,2.74M,-0.08,EA,0.193406593,3.346028292,1.886286429,25,7,2017
24-Jul-17,113.75,112.22,113.97,112.22,2.78M,1.36,EA,0,2.540204678,1.217642284,24,7,2017
21-Jul-17,112.22,111.5,112.91,111.27,2.43M,0.22,EA,-0.419755292,2.302963575,-0.994494761,21,7,2017
20-Jul-17,111.97,111.61,112.18,110.38,2.14M,0.35,EA,0.026886539,2.413286842,-1.378457188,20,7,2017
19-Jul-17,111.58,110.43,111.65,109.81,2.50M,1.18,EA,0.13601741,-0.2258764,-2.679122235,19,7,2017
18-Jul-17,110.28,110,110.93,109.48,1.91M,0.77,EA,0.511695906,1.457295702,-3.211614606,18,7,2017
17-Jul-17,109.44,109.02,110.43,108.72,1.69M,0.41,EA,0.027525461,1.09421365,-1.348294272,17,7,2017
14-Jul-17,108.99,109.61,110.34,108.75,1.32M,0.01,EA,0.578087723,2.01023732,-0.832353207,14,7,2017
13-Jul-17,108.98,110.83,111.61,108.92,1.71M,-1.54,EA,0.13552584,4.803782506,0.736229776,13,7,2017
12-Jul-17,110.68,109.5,110.9,109.05,1.94M,2.08,EA,0.996126176,2.566504309,-0.43644299,12,7,2017
11-Jul-17,108.42,107.63,109.71,107.1,2.29M,0.54,EA,-0.194732938,2.096376399,-1.16620753,11,7,2017
10-Jul-17,107.84,107.84,108.69,107.01,2.19M,0.36,EA,0.362959516,2.005297011,-2.37189933,10,7,2017
7-Jul-17,107.45,106.28,108.47,105.54,2.15M,1.61,EA,0.501182033,-0.374953131,-7.008487182,7,7,2017
6-Jul-17,105.75,106.06,107.12,105.5,2.47M,-0.95,EA,-0.655676283,-2.527341237,-8.069688827,6,7,2017
5-Jul-17,106.76,105.95,107.31,105.35,2.82M,1.27,EA,0.502750901,-2.187961595,-6.80798663,5,7,2017
3-Jul-17,105.42,106.51,107,105.21,1.66M,-0.28,EA,0.747256905,-4.782764169,-7.132269596,3,7,2017
30-Jun-17,105.72,107.1,107.56,105.65,3.22M,-0.9,EA,0.393700787,-3.400378822,-6.479217604,30,6,2017
29-Jun-17,106.68,108.16,108.72,105.47,3.82M,-1.96,EA,-0.597371565,-3.96022021,-5.014490208,29,6,2017
28-Jun-17,108.81,108.7,109.2,106.74,3.67M,0.45,EA,0.350812408,-3.94981002,-4.085414277,28,6,2017
27-Jun-17,108.32,111.35,111.93,108.13,3.06M,-3.16,EA,-0.455927052,-1.868335243,-1.329198051,27,6,2017
26-Jun-17,111.86,111,112.64,110.38,2.45M,0.89,EA,0.117254442,-2.331720194,-1.007758851,26,6,2017
23-Jun-17,110.87,112.51,112.95,110.77,7.46M,-1.55,EA,-0.097673593,1.809790969,-1.159624001,23,6,2017
22-Jun-17,112.62,113.51,113.52,111.36,2.38M,-0.49,EA,0.300432977,2.696100606,1.068471196,22,6,2017
