"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","34.67","34.48","35.19","34.46","16.42M","0.84"
"Nov 29, 2017","34.38","35.42","35.45","33.95","22.06M","-3.15"
"Nov 28, 2017","35.50","35.99","36.20","35.42","11.34M","-1.36"
"Nov 27, 2017","35.99","35.88","36.20","35.79","7.22M","0.42"
"Nov 24, 2017","35.84","36.07","36.11","35.70","3.12M","-0.28"
"Nov 22, 2017","35.94","36.05","36.20","35.84","4.58M","-0.06"
"Nov 21, 2017","35.96","35.72","36.11","35.56","5.89M","1.21"
"Nov 20, 2017","35.53","35.62","35.97","35.42","5.98M","-0.14"
"Nov 17, 2017","35.58","35.64","35.71","35.31","7.54M","-0.11"
"Nov 16, 2017","35.62","35.37","35.81","35.32","8.14M","0.91"
"Nov 15, 2017","35.30","35.03","35.47","34.79","8.12M","0.23"
"Nov 14, 2017","35.22","35.71","35.79","35.18","11.47M","-1.76"
"Nov 13, 2017","35.85","35.70","36.10","35.32","7.27M","-0.33"
"Nov 10, 2017","35.97","35.51","36.05","35.34","8.33M","0.78"
"Nov 09, 2017","35.69","36.26","36.36","35.21","17.01M","-3.57"
"Nov 08, 2017","37.01","37.30","37.37","36.94","7.10M","-1.07"
"Nov 07, 2017","37.41","37.60","37.60","37.10","5.65M","0.11"
"Nov 06, 2017","37.37","37.38","37.61","37.30","4.36M","-0.35"
"Nov 03, 2017","37.50","37.44","37.55","37.11","5.72M","0.27"
"Nov 02, 2017","37.40","37.49","37.50","36.99","5.35M","-0.37"
"Nov 01, 2017","37.54","37.85","38.09","37.44","7.09M","-0.27"
"Oct 31, 2017","37.64","37.11","37.68","37.02","6.72M","1.73"
"Oct 30, 2017","37.00","36.86","37.13","36.74","8.12M","0.54"
"Oct 27, 2017","36.80","37.07","37.36","36.63","10.88M","-0.27"
"Oct 26, 2017","36.90","36.74","37.24","36.72","7.64M","0.60"
"Oct 25, 2017","36.68","36.66","36.92","36.45","8.03M","-0.16"
"Oct 24, 2017","36.74","36.51","37.03","36.51","8.53M","-0.24"
"Oct 23, 2017","36.83","37.66","37.85","36.74","10.37M","-2.07"
"Oct 20, 2017","37.61","37.34","37.86","37.30","15.11M","0.86"
"Oct 19, 2017","37.29","36.48","37.49","36.19","29.10M","-1.79"
"Oct 18, 2017","37.97","37.68","38.22","37.54","16.94M","1.28"
"Oct 17, 2017","37.49","37.76","37.84","37.42","12.01M","-0.74"
"Oct 16, 2017","37.77","38.29","38.50","37.73","8.65M","-1.51"
"Oct 13, 2017","38.35","38.35","38.53","38.16","9.42M","0.68"
"Oct 12, 2017","38.09","38.31","38.50","38.05","10.05M","-0.57"
"Oct 11, 2017","38.31","38.85","38.98","38.17","11.04M","-1.36"
"Oct 10, 2017","38.84","39.02","39.27","38.77","6.01M","-0.38"
"Oct 09, 2017","38.99","38.80","39.27","38.80","4.98M","0.46"
"Oct 06, 2017","38.81","39.05","39.08","38.67","7.47M","-0.46"
"Oct 05, 2017","38.99","38.76","39.03","38.67","5.45M","0.85"
"Oct 04, 2017","38.66","38.80","38.83","38.50","5.63M","-0.13"
"Oct 03, 2017","38.71","38.78","39.05","38.48","5.11M","-0.05"
"Oct 02, 2017","38.73","38.51","38.78","38.37","7.24M","0.70"
"Sep 29, 2017","38.46","37.73","38.60","37.71","9.96M","1.93"
"Sep 28, 2017","37.73","37.44","37.96","37.44","7.73M","-0.84"
"Sep 27, 2017","38.05","38.03","38.29","37.76","9.38M","0.53"
