Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,34.67,34.48,35.19,34.46,16.42M,0.84,EBAY,0.290866783,-4.062326099,-8.151305274,30,11,2017
29-Nov-17,34.38,35.42,35.45,33.95,22.06M,-3.15,EBAY,-0.225352113,-1.501668521,-5.897980871,29,11,2017
28-Nov-17,35.5,35.99,36.2,35.42,11.34M,-1.36,EBAY,0,1.294680552,-2.72972973,28,11,2017
27-Nov-17,35.99,35.88,36.2,35.79,7.22M,0.42,EBAY,0.111607143,0.84317032,-2.5,27,11,2017
24-Nov-17,35.84,36.07,36.11,35.7,3.12M,-0.28,EBAY,0.361713968,1.263335205,-2.249322493,24,11,2017
22-Nov-17,35.94,36.05,36.2,35.84,4.58M,-0.06,EBAY,0.250278087,2.124645892,-1.717557252,22,11,2017
21-Nov-17,35.96,35.72,36.11,35.56,5.89M,1.21,EBAY,0.534759358,1.419647927,-2.776265651,21,11,2017
20-Nov-17,35.53,35.62,35.97,35.42,5.98M,-0.14,EBAY,0.112422709,-0.641562064,-3.285365191,20,11,2017
17-Nov-17,35.58,35.64,35.71,35.31,7.54M,-0.11,EBAY,0.056148231,-0.917431193,-5.237968625,17,11,2017
16-Nov-17,35.62,35.37,35.81,35.32,8.14M,0.91,EBAY,0.198300283,-0.896609695,-5.148833467,16,11,2017
15-Nov-17,35.3,35.03,35.47,34.79,8.12M,0.23,EBAY,-0.539466212,-5.349905431,-7.742954964,15,11,2017
14-Nov-17,35.22,35.71,35.79,35.18,11.47M,-1.76,EBAY,-0.390516039,-4.544239508,-4.747932782,14,11,2017
13-Nov-17,35.85,35.7,36.1,35.32,7.27M,-0.33,EBAY,-0.750625521,-4.468825261,-5.480540111,13,11,2017
10-Nov-17,35.97,35.51,36.05,35.34,8.33M,0.78,EBAY,-0.504342953,-5.306666667,-7.40547588,10,11,2017
9-Nov-17,35.69,36.26,36.36,35.21,17.01M,-3.57,EBAY,-2.02647933,-3.048128342,-4.804410606,9,11,2017
8-Nov-17,37.01,37.3,37.37,36.94,7.10M,-1.07,EBAY,-0.294039027,-0.639318061,-2.636387366,8,11,2017
7-Nov-17,37.41,37.6,37.6,37.1,5.65M,0.11,EBAY,0.615466952,-0.106269926,-3.192584964,7,11,2017
6-Nov-17,37.37,37.38,37.61,37.3,4.36M,-0.35,EBAY,-0.32,1.027027027,-4.129263914,6,11,2017
3-Nov-17,37.5,37.44,37.55,37.11,5.72M,0.27,EBAY,0.106951872,1.739130435,-3.530018037,3,11,2017
2-Nov-17,37.4,37.49,37.5,36.99,5.35M,-0.37,EBAY,-0.133191263,1.598915989,-3.847140292,2,11,2017
1-Nov-17,37.54,37.85,38.09,37.44,7.09M,-0.27,EBAY,0.557917109,3.189749182,-2.095188826,1,11,2017
31-Oct-17,37.64,37.11,37.68,37.02,6.72M,1.73,EBAY,0.297297297,1.007076756,-4.133298889,31,10,2017
30-Oct-17,37,36.86,37.13,36.74,8.12M,0.54,EBAY,0.163043478,0.081455335,-4.828298477,30,10,2017
27-Oct-17,36.8,37.07,37.36,36.63,10.88M,-0.27,EBAY,0.460704607,-1.435788354,-3.614144566,27,10,2017
26-Oct-17,36.9,36.74,37.24,36.72,7.64M,0.6,EBAY,0.163576881,-1.474926254,-2.623906706,26,10,2017
25-Oct-17,36.68,36.66,36.92,36.45,8.03M,-0.16,EBAY,-0.217746326,-3.450092178,-3.653088042,25,10,2017
24-Oct-17,36.74,36.51,37.03,36.51,8.53M,-0.24,EBAY,-0.86885691,-2.614030408,-3.540290621,24,10,2017
23-Oct-17,36.83,37.66,37.85,36.74,10.37M,-2.07,EBAY,0.132943366,-0.291236431,-0.317628375,23,10,2017
20-Oct-17,37.61,37.34,37.86,37.3,15.11M,0.86,EBAY,0.134084205,-2.633637549,-2.481065552,20,10,2017
19-Oct-17,37.29,36.48,37.49,36.19,29.10M,-1.79,EBAY,-3.924150645,-4.226831189,-4.62745098,19,10,2017
18-Oct-17,37.97,37.68,38.22,37.54,16.94M,1.28,EBAY,0.506801814,-1.644479248,-2.231447846,18,10,2017
