Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,65.18,63.27,65.2,62.73,7.75M,3.69,ESRX,0.65224308,1.851255634,1.524390244,30,11,2017
29-Nov-17,62.86,61.6,64.68,61.3,5.76M,2.31,ESRX,0.260416667,0.670044125,0.505792136,29,11,2017
28-Nov-17,61.44,61.47,61.61,60.63,3.81M,-0.05,ESRX,0,0.081406708,0.195599022,28,11,2017
27-Nov-17,61.47,61.18,61.62,60.75,3.70M,0.47,ESRX,0,-1.226993865,-1.624055314,27,11,2017
24-Nov-17,61.18,61.79,61.93,60.7,2.11M,-1.51,ESRX,-0.531229878,-1.056845476,4.85321568,24,11,2017
22-Nov-17,62.12,61.22,62.79,60.91,3.25M,1.52,ESRX,0.049027619,1.948376353,0.098103336,22,11,2017
21-Nov-17,61.19,61.58,61.62,60.93,3.04M,-0.37,ESRX,0.260501465,2.20746888,4.638912489,21,11,2017
20-Nov-17,61.42,61.78,61.84,61.08,2.86M,-0.84,ESRX,-0.258314498,1.478318003,5.336743393,20,11,2017
17-Nov-17,61.94,62.13,62.22,61.05,3.05M,-0.82,ESRX,-0.512409928,3.463780183,4.402621408,17,11,2017
16-Nov-17,62.45,60.54,62.9,60.29,4.50M,4,ESRX,0.815986678,-0.345679012,3.046808511,16,11,2017
15-Nov-17,60.05,59.58,60.44,59.25,2.56M,-0.33,ESRX,-1.112033195,-2.805872757,3.133114073,15,11,2017
14-Nov-17,60.25,60.67,60.69,59.17,2.68M,-1.03,ESRX,-0.344940867,0.115511551,6.047893725,14,11,2017
13-Nov-17,60.88,59.97,61.6,59.67,3.43M,1.38,ESRX,-0.133222315,-1.072253382,5.562400986,13,11,2017
10-Nov-17,60.05,60.52,60.55,59.47,3.61M,-1.15,ESRX,-0.378600823,-0.033036009,5.915295765,10,11,2017
9-Nov-17,60.75,60.99,61.32,60.41,2.53M,-0.9,ESRX,-0.505709625,1.110742706,5.756892665,9,11,2017
8-Nov-17,61.3,60.54,61.34,60.1,2.06M,1.16,ESRX,-0.099009901,-2.856225931,4.903829492,8,11,2017
7-Nov-17,60.6,60.81,60.97,60.14,2.49M,-0.03,ESRX,0.313427912,-0.783162017,4.520453764,7,11,2017
6-Nov-17,60.62,60.43,60.87,60.08,2.22M,0.13,ESRX,-0.181698051,-1.499592502,2.043228639,6,11,2017
3-Nov-17,60.54,60.2,60.76,59.81,2.64M,0.36,ESRX,-0.198938992,-3.199871362,-3.46375882,3,11,2017
2-Nov-17,60.32,62.34,62.76,60.09,3.04M,-3.21,ESRX,0.032092426,5.786526387,-2.608967349,2,11,2017
1-Nov-17,62.32,61.81,62.61,61.52,3.39M,1.68,ESRX,0.848425518,1.062786135,-3.391684902,1,11,2017
31-Oct-17,61.29,61.5,61.71,60.89,3.51M,-0.1,ESRX,0.244498778,4.502973662,-3.377847604,31,10,2017
30-Oct-17,61.35,61.94,62.12,60.8,4.64M,-1.35,ESRX,-0.40199389,5.609548167,-2.655979884,30,10,2017
27-Oct-17,62.19,58.59,62.41,58.58,9.09M,5.53,ESRX,-0.57695571,-1.545958662,-7.469993683,27,10,2017
26-Oct-17,58.93,61.18,62.4,58.62,8.24M,-3.65,ESRX,0.032701112,4.136170213,-2.996670366,26,10,2017
25-Oct-17,61.16,59.36,61.49,58.98,7.96M,3.93,ESRX,0.866610025,2.752293578,-5.717916137,25,10,2017
24-Oct-17,58.85,58.7,59.3,58.23,3.84M,0.34,ESRX,0.085251492,2.604439783,-6.899286281,24,10,2017
23-Oct-17,58.65,59.59,59.78,58.57,3.24M,-1.45,ESRX,0.134431188,4.893504665,-4.610212902,23,10,2017
20-Oct-17,59.51,58.9,60,58.44,5.17M,1.29,ESRX,0.255319149,3.080154008,-5.442286081,20,10,2017
19-Oct-17,58.75,57.72,58.92,57.61,3.80M,1.7,ESRX,-0.086550113,0.086700191,-6.4808814,19,10,2017
18-Oct-17,57.77,56.2,59.04,55.8,7.87M,0.98,ESRX,-1.765425625,-2.616530931,-9.090909091,18,10,2017
17-Oct-17,57.21,56.84,57.36,56.62,3.41M,0.7,ESRX,0.052807604,-2.303196975,-6.819672131,17,10,2017
16-Oct-17,56.81,57.14,57.54,56.65,3.67M,-0.58,ESRX,0,-3.512326917,-7.853572005,16,10,2017
13-Oct-17,57.14,57.86,57.86,56.82,3.73M,-0.92,ESRX,0.329460725,-7.216164208,-7.645650439,13,10,2017
12-Oct-17,57.67,57.81,58.18,57.41,3.77M,-0.07,ESRX,0.173280194,-9.685986565,-7.266602502,12,10,2017
11-Oct-17,57.71,58.27,58.43,57.56,4.82M,-0.81,ESRX,0.154692334,-8.924663957,-7.858950032,11,10,2017
10-Oct-17,58.18,58.53,59.77,57.88,5.88M,-1.76,ESRX,-1.16514691,-8.043990573,-6.561302682,10,10,2017
9-Oct-17,59.22,61.28,61.5,58.84,6.38M,-5.04,ESRX,-1.73187941,-3.693226466,-3.753730171,9,10,2017
6-Oct-17,62.36,64.07,64.17,62.03,4.77M,-2.58,ESRX,0.093735354,1.184459886,1.86009539,6,10,2017
5-Oct-17,64.01,64,64.19,63.62,3.07M,0.05,ESRX,0.031259769,1.474552085,2.662816811,5,10,2017
4-Oct-17,63.98,63.58,64.08,63.47,2.13M,0.52,ESRX,-0.109976434,0.984752224,1.41968416,4,10,2017
3-Oct-17,63.65,63.77,63.87,63.38,2.08M,0.03,ESRX,0.220022002,1.141950833,3.271255061,3,10,2017
