"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","122.50","121.57","123.53","121.57","2.04M","0.39"
"Nov 29, 2017","122.02","125.86","126.70","120.88","2.83M","-2.91"
"Nov 28, 2017","125.68","127.00","127.00","124.65","1.22M","-0.79"
"Nov 27, 2017","126.68","126.95","128.43","126.64","1.45M","-0.10"
"Nov 24, 2017","126.81","127.07","127.81","126.35","638.10K","-0.13"
"Nov 22, 2017","126.98","125.08","127.99","124.48","2.09M","1.68"
"Nov 21, 2017","124.88","123.99","125.75","122.54","2.58M","1.13"
"Nov 20, 2017","123.49","124.30","124.87","122.14","2.04M","-0.37"
"Nov 17, 2017","123.95","121.84","124.20","121.75","2.50M","1.57"
"Nov 16, 2017","122.04","120.95","122.59","120.50","3.39M","0.72"
"Nov 15, 2017","121.17","121.89","121.89","119.98","2.27M","-0.75"
"Nov 14, 2017","122.09","119.97","122.45","119.22","2.47M","1.50"
"Nov 13, 2017","120.28","120.69","120.89","118.90","3.45M","-0.38"
"Nov 10, 2017","120.74","116.34","121.15","115.55","3.82M","2.92"
"Nov 09, 2017","117.32","118.00","118.48","116.14","3.18M","-1.05"
"Nov 08, 2017","118.56","120.24","120.78","117.26","3.06M","-0.88"
"Nov 07, 2017","119.61","120.00","121.13","118.91","6.28M","-2.74"
"Nov 06, 2017","122.98","122.90","123.90","122.40","1.97M","-0.06"
"Nov 03, 2017","123.05","123.24","124.10","122.52","1.48M","-0.37"
"Nov 02, 2017","123.51","122.74","123.92","121.56","2.40M","1.20"
"Nov 01, 2017","122.05","125.88","127.00","121.92","3.52M","-2.09"
"Oct 31, 2017","124.66","120.88","125.10","120.46","6.92M","3.70"
"Oct 30, 2017","120.21","124.79","124.89","119.76","7.61M","-2.89"
"Oct 27, 2017","123.79","123.10","124.50","118.00","20.60M","-15.99"
"Oct 26, 2017","147.35","148.17","148.48","145.05","5.96M","-0.37"
"Oct 25, 2017","147.90","148.50","150.13","147.46","3.25M","-1.88"
"Oct 24, 2017","150.73","150.80","151.47","149.95","2.05M","0.03"
"Oct 23, 2017","150.68","153.47","153.69","150.56","1.88M","-1.39"
"Oct 20, 2017","152.80","154.00","154.24","152.28","1.71M","-0.39"
"Oct 19, 2017","153.40","151.47","153.46","149.36","1.57M","0.74"
"Oct 18, 2017","152.28","149.89","152.95","149.75","2.03M","2.11"
"Oct 17, 2017","149.14","148.95","149.82","148.23","690.91K","0.44"
"Oct 16, 2017","148.49","150.34","150.54","148.00","1.64M","-1.08"
"Oct 13, 2017","150.11","148.98","151.33","148.72","1.79M","1.44"
"Oct 12, 2017","147.98","147.10","148.07","145.85","1.38M","0.55"
"Oct 11, 2017","147.17","146.92","147.39","145.44","1.84M","0.51"
"Oct 10, 2017","146.43","146.61","148.46","145.42","1.20M","-0.02"
"Oct 09, 2017","146.46","148.06","149.61","146.10","1.81M","-1.03"
"Oct 06, 2017","147.99","147.66","148.90","147.33","1.24M","-0.28"
"Oct 05, 2017","148.41","147.67","149.55","147.33","1.09M","0.55"
"Oct 04, 2017","147.60","146.80","147.99","145.90","1.13M","0.95"
"Oct 03, 2017","146.21","147.50","148.24","145.38","1.39M","-0.43"
"Oct 02, 2017","146.84","144.00","149.34","143.55","2.35M","2.01"
"Sep 29, 2017","143.94","143.63","144.80","142.85","1.42M","0.77"
"Sep 28, 2017","142.84","144.82","145.00","142.31","1.86M","-1.88"
"Sep 27, 2017","145.57","143.01","146.93","143.01","1.48M","1.52"
"Sep 26, 2017","143.39","143.53","144.44","141.17","2.07M","0.47"
"Sep 25, 2017","142.72","145.73","145.77","140.01","2.82M","-2.09"
"Sep 22, 2017","145.77","142.55","146.28","142.08","2.27M","1.85"
"Sep 21, 2017","143.12","142.20","143.34","140.07","2.34M","0.08"
"Sep 20, 2017","143.01","141.69","143.50","141.39","1.66M","1.09"
"Sep 19, 2017","141.47","141.60","141.98","138.35","2.58M","-0.49"
"Sep 18, 2017","142.16","143.00","143.37","140.68","2.45M","0.02"
"Sep 15, 2017","142.13","143.23","143.89","141.51","1.56M","-0.87"
"Sep 14, 2017","143.38","144.87","145.08","142.96","1.05M","-1.57"
"Sep 13, 2017","145.66","145.32","145.85","144.44","1.14M","0.21"
"Sep 12, 2017","145.36","144.07","145.77","142.71","1.24M","0.86"
"Sep 11, 2017","144.12","142.43","144.59","141.43","2.37M","1.92"
"Sep 08, 2017","141.41","143.99","144.67","141.22","1.38M","-1.78"
"Sep 07, 2017","143.97","144.66","145.19","143.09","1.35M","-0.29"
"Sep 06, 2017","144.39","144.09","145.45","142.05","3.27M","-2.18"
"Sep 05, 2017","147.61","147.79","148.60","146.02","1.49M","-0.42"
"Sep 01, 2017","148.23","149.03","151.89","148.01","2.20M","-0.09"
"Aug 31, 2017","148.36","145.32","148.52","144.88","2.38M","3.43"
"Aug 30, 2017","143.44","144.00","145.16","141.83","3.36M","-0.38"
"Aug 29, 2017","143.99","141.00","145.02","140.75","3.17M","1.02"
"Aug 28, 2017","142.53","143.72","143.99","141.21","6.69M","-4.51"
"Aug 25, 2017","149.26","151.53","151.75","148.47","1.17M","-0.45"
"Aug 24, 2017","149.94","149.31","151.87","149.31","1.84M","1.25"
"Aug 23, 2017","148.09","147.00","148.32","146.55","1.71M","0.33"
"Aug 22, 2017","147.61","145.32","148.07","145.32","944.70K","1.78"
"Aug 21, 2017","145.03","143.86","145.32","143.26","1.15M","0.92"
"Aug 18, 2017","143.71","144.14","145.13","142.72","1.58M","-0.30"
"Aug 17, 2017","144.14","148.09","148.65","144.02","1.72M","-3.12"
"Aug 16, 2017","148.78","148.16","149.24","147.30","1.71M","1.17"
"Aug 15, 2017","147.06","147.54","147.63","145.00","1.25M","-0.35"
"Aug 14, 2017","147.58","146.11","147.83","145.09","1.40M","2.12"
"Aug 11, 2017","144.51","144.16","144.74","142.06","1.33M","0.67"
"Aug 10, 2017","143.55","146.76","146.90","143.03","1.81M","-2.94"
"Aug 09, 2017","147.90","143.75","148.06","143.31","2.51M","1.36"
"Aug 08, 2017","145.92","148.37","148.57","144.59","4.19M","-2.15"
"Aug 07, 2017","149.12","151.47","152.76","148.71","2.62M","-1.47"
"Aug 04, 2017","151.35","153.00","153.68","149.74","1.93M","-1.52"
"Aug 03, 2017","153.68","153.26","154.85","152.16","1.14M","0.36"
"Aug 02, 2017","153.13","152.87","153.36","150.28","1.64M","0.29"
"Aug 01, 2017","152.69","157.24","157.24","152.46","1.85M","-2.42"
"Jul 31, 2017","156.47","159.28","159.28","154.64","2.29M","-1.90"
"Jul 28, 2017","159.50","154.44","161.00","154.36","4.40M","3.40"
"Jul 27, 2017","154.25","158.53","158.74","152.08","2.94M","-1.71"
"Jul 26, 2017","156.94","155.24","158.00","155.00","2.07M","1.53"
"Jul 25, 2017","154.57","155.68","155.80","154.16","1.70M","-0.03"
"Jul 24, 2017","154.61","153.94","155.03","153.88","858.43K","0.44"
"Jul 21, 2017","153.94","153.91","154.95","152.93","1.22M","-0.45"
"Jul 20, 2017","154.63","155.22","155.98","153.96","953.56K","-0.54"
"Jul 19, 2017","155.47","154.25","155.84","153.91","1.01M","1.24"
"Jul 18, 2017","153.57","152.47","153.70","151.87","933.73K","0.55"
"Jul 17, 2017","152.73","154.30","154.44","152.16","1.29M","-0.93"
"Jul 14, 2017","154.17","153.73","154.78","152.70","1.22M","0.83"
"Jul 13, 2017","152.90","152.24","153.07","151.83","1.01M","0.37"
"Jul 12, 2017","152.34","151.32","152.64","150.94","1.47M","1.60"
"Jul 11, 2017","149.94","150.20","150.97","149.54","1.21M","-0.03"
"Jul 10, 2017","149.98","149.63","151.32","149.06","1.04M","0.13"
"Jul 07, 2017","149.78","148.95","150.39","148.95","932.34K","0.75"
"Jul 06, 2017","148.66","149.24","150.58","148.08","1.29M","-0.99"
"Jul 05, 2017","150.15","148.28","150.60","147.65","1.72M","1.64"
"Jul 03, 2017","147.73","149.56","149.69","146.80","826.53K","-0.82"
"Jun 30, 2017","148.95","149.25","150.00","147.59","1.66M","0.57"
"Jun 29, 2017","148.11","149.36","149.58","145.93","2.41M","-1.31"
"Jun 28, 2017","150.07","150.50","150.82","148.35","2.65M","1.47"
"Jun 27, 2017","147.89","151.81","152.02","146.50","1.97M","-2.69"
"Jun 26, 2017","151.98","154.43","156.39","151.61","1.47M","-1.59"
"Jun 23, 2017","154.43","151.59","154.70","151.00","1.57M","1.60"
"Jun 22, 2017","152.00","149.50","152.83","148.88","1.97M","1.70"
"Jun 21, 2017","149.46","147.23","149.66","146.45","937.83K","1.20"
"Jun 20, 2017","147.69","148.69","149.46","147.38","1.11M","-0.47"
"Jun 19, 2017","148.39","147.00","148.84","146.42","1.37M","1.49"
"Jun 16, 2017","146.21","145.74","146.57","145.00","1.73M","0.36"
"Jun 15, 2017","145.69","145.39","145.98","143.75","1.16M","-1.02"
"Jun 14, 2017","147.19","146.81","149.50","146.01","1.59M","0.87"
"Jun 13, 2017","145.92","144.80","146.74","144.79","1.37M","1.14"
"Jun 12, 2017","144.28","142.15","145.44","141.55","2.58M","0.48"
"Jun 09, 2017","143.59","149.09","150.62","142.19","2.71M","-3.77"
"Jun 08, 2017","149.22","147.15","149.34","145.95","1.67M","1.95"
"Jun 07, 2017","146.36","147.31","147.31","145.87","898.85K","-0.35"
"Jun 06, 2017","146.87","147.35","147.83","146.65","901.01K","-0.68"
"Jun 05, 2017","147.87","146.09","148.10","145.83","1.87M","1.02"
"Jun 02, 2017","146.37","147.00","147.01","145.50","1.18M","-0.29"
"Jun 01, 2017","146.79","144.42","147.09","144.31","1.66M","2.09"
"May 31, 2017","143.78","144.37","145.02","143.37","1.91M","-0.26"
"May 30, 2017","144.15","144.01","145.19","143.77","870.12K","-0.30"
"May 26, 2017","144.58","145.46","145.73","143.58","1.13M","-0.66"
"May 25, 2017","145.54","143.70","146.03","143.57","1.56M","1.29"
"May 24, 2017","143.69","142.78","143.75","141.67","1.18M","0.79"
"May 23, 2017","142.57","142.74","143.50","142.07","931.57K","0.04"
"May 22, 2017","142.51","142.14","143.12","141.48","1.58M","0.65"
"May 19, 2017","141.59","141.62","143.03","141.23","1.58M","0.23"
"May 18, 2017","141.26","138.89","142.28","138.57","1.55M","0.61"
"May 17, 2017","140.41","143.98","145.20","140.14","4.69M","-3.41"
"May 16, 2017","145.37","143.68","145.77","142.74","3.02M","1.64"
"May 15, 2017","143.02","140.32","143.30","140.17","1.80M","2.30"
"May 12, 2017","139.81","140.03","140.83","139.35","1.09M","-0.04"
"May 11, 2017","139.86","139.05","139.89","138.29","1.32M","0.02"
"May 10, 2017","139.83","138.50","139.86","137.81","1.41M","0.31"
"May 09, 2017","139.40","139.54","140.34","139.25","1.74M","-0.12"
"May 08, 2017","139.57","140.40","140.95","138.66","1.75M","-0.58"
"May 05, 2017","140.38","140.95","141.41","138.33","2.50M","-0.51"
"May 04, 2017","141.10","139.38","141.32","138.48","2.71M","1.42"
"May 03, 2017","139.13","139.50","139.69","137.78","2.57M","0.10"
