Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,122.5,121.57,123.53,121.57,2.04M,0.39,EXPE,-0.368792001,-4.260513467,-0.393281442,30,11,2017
29-Nov-17,122.02,125.86,126.7,120.88,2.83M,-2.91,EXPE,0.143220878,0.784753363,0.962618322,29,11,2017
28-Nov-17,125.68,127,127,124.65,1.22M,-0.79,EXPE,0.252604989,2.842335412,5.648448548,28,11,2017
27-Nov-17,126.68,126.95,128.43,126.64,1.45M,-0.1,EXPE,0.110401388,2.420330779,2.552710235,27,11,2017
24-Nov-17,126.81,127.07,127.81,126.35,638.10K,-0.13,EXPE,0.070877304,4.121599476,-13.76314897,24,11,2017
22-Nov-17,126.98,125.08,127.99,124.48,2.09M,1.68,EXPE,0.160153748,3.226871338,-15.42934415,22,11,2017
21-Nov-17,124.88,123.99,125.75,122.54,2.58M,1.13,EXPE,0.404891084,1.556229011,-17.74033039,21,11,2017
20-Nov-17,123.49,124.3,124.87,122.14,2.04M,-0.37,EXPE,0.282371924,3.34220153,-17.50730024,20,11,2017
17-Nov-17,123.95,121.84,124.2,121.75,2.50M,1.57,EXPE,-0.163880695,0.911048534,-20.2617801,17,11,2017
16-Nov-17,122.04,120.95,122.59,120.5,3.39M,0.72,EXPE,-0.181563093,3.094101602,-21.15384615,16,11,2017
15-Nov-17,121.17,121.89,121.89,119.98,2.27M,-0.75,EXPE,-0.16381358,2.808704453,-19.95665879,15,11,2017
14-Nov-17,122.09,119.97,122.45,119.22,2.47M,1.5,EXPE,-0.257731959,0.300978179,-19.55880381,14,11,2017
13-Nov-17,120.28,120.69,120.89,118.9,3.45M,-0.38,EXPE,-0.041411297,-1.862091397,-18.72179945,13,11,2017
10-Nov-17,120.74,116.34,121.15,115.55,3.82M,2.92,EXPE,-0.835322196,-5.453067859,-22.49683565,10,11,2017
9-Nov-17,117.32,118,118.48,116.14,3.18M,-1.05,EXPE,-0.472334683,-4.461177233,-20.25949453,9,11,2017
8-Nov-17,118.56,120.24,120.78,117.26,3.06M,-0.88,EXPE,0.526711813,-1.482998771,-18.29856628,8,11,2017
7-Nov-17,119.61,120,121.13,118.91,6.28M,-2.74,EXPE,-2.423158237,-3.738167816,-18.04958,7,11,2017
6-Nov-17,122.98,122.9,123.9,122.4,1.97M,-0.06,EXPE,-0.121901666,2.237750603,-16.08630343,6,11,2017
3-Nov-17,123.05,123.24,124.1,122.52,1.48M,-0.37,EXPE,-0.218605781,-0.444300832,-16.72410298,3,11,2017
2-Nov-17,123.51,122.74,123.92,121.56,2.40M,1.2,EXPE,0.565342073,-16.70173057,-17.29667812,2,11,2017
1-Nov-17,122.05,125.88,127,121.92,3.52M,-2.09,EXPE,0.978661961,-14.88843813,-14.71544715,1,11,2017
31-Oct-17,124.66,120.88,125.1,120.46,6.92M,3.7,EXPE,0.557357957,-19.80362237,-17.32439642,31,10,2017
30-Oct-17,120.21,124.79,124.89,119.76,7.61M,-2.89,EXPE,0.807819695,-17.18210778,-15.01634432,30,10,2017
27-Oct-17,123.79,123.1,124.5,118,20.60M,-15.99,EXPE,-16.45741432,-19.43717277,-14.47825483,27,10,2017
26-Oct-17,147.35,148.17,148.48,145.05,5.96M,-0.37,EXPE,0.182555781,-3.409387223,3.731447774,26,10,2017
25-Oct-17,147.9,148.5,150.13,147.46,3.25M,-1.88,EXPE,-1.479466596,-2.482269504,2.012777358,25,10,2017
24-Oct-17,150.73,150.8,151.47,149.95,2.05M,0.03,EXPE,0.07963897,1.113048143,5.167724388,24,10,2017
23-Oct-17,150.68,153.47,153.69,150.56,1.88M,-1.39,EXPE,0.438481675,3.353761196,7.532230942,23,10,2017
20-Oct-17,152.8,154,154.24,152.28,1.71M,-0.39,EXPE,0.391134289,2.591432949,5.645880497,20,10,2017
19-Oct-17,153.4,151.47,153.46,149.36,1.57M,0.74,EXPE,-0.531914894,2.358426814,5.834264952,19,10,2017
18-Oct-17,152.28,149.89,152.95,149.75,2.03M,2.11,EXPE,0.502883197,1.848202759,4.810852388,18,10,2017
17-Oct-17,149.14,148.95,149.82,148.23,690.91K,0.44,EXPE,0.309785171,1.72095882,5.287340072,17,10,2017
16-Oct-17,148.49,150.34,150.54,148,1.64M,-1.08,EXPE,0.153220971,2.649187491,5.75407991,16,10,2017
13-Oct-17,150.11,148.98,151.33,148.72,1.79M,1.44,EXPE,0.675766996,0.668964119,4.819531415,13,10,2017
12-Oct-17,147.98,147.1,148.07,145.85,1.38M,0.55,EXPE,-0.047564042,-0.882689846,2.594504115,12,10,2017
11-Oct-17,147.17,146.92,147.39,145.44,1.84M,0.51,EXPE,0.334630882,-0.460704607,0.865028148,11,10,2017
10-Oct-17,146.43,146.61,148.46,145.42,1.20M,-0.02,EXPE,0.102417042,0.273579099,0.859933957,10,10,2017
9-Oct-17,146.46,148.06,149.61,146.1,1.81M,-1.03,EXPE,0.047300493,0.830836284,2.733832917,9,10,2017
6-Oct-17,147.99,147.66,148.9,147.33,1.24M,-0.28,EXPE,-0.505356782,2.584410171,4.419772293,6,10,2017
5-Oct-17,148.41,147.67,149.55,147.33,1.09M,0.55,EXPE,0.047425474,3.381405769,2.569979857,5,10,2017
4-Oct-17,147.6,146.8,147.99,145.9,1.13M,0.95,EXPE,0.40352917,0.844954318,1.669090657,4,10,2017
3-Oct-17,146.21,147.5,148.24,145.38,1.39M,-0.43,EXPE,0.44946881,2.866308669,-0.074520696,3,10,2017
2-Oct-17,146.84,144,149.34,143.55,2.35M,2.01,EXPE,0.041684035,0.896860987,-2.853673345,2,10,2017
29-Sep-17,143.94,143.63,144.8,142.85,1.42M,0.77,EXPE,0.553066368,-1.468066132,-3.188190887,29,9,2017
28-Sep-17,142.84,144.82,145,142.31,1.86M,-1.88,EXPE,-0.515216047,1.187814421,0.962074735,28,9,2017
27-Sep-17,145.57,143.01,146.93,143.01,1.48M,1.52,EXPE,-0.265011507,0,-0.68060282,27,9,2017
26-Sep-17,143.39,143.53,144.44,141.17,2.07M,0.47,EXPE,0.567544843,1.456139111,0.701606679,26,9,2017
25-Sep-17,142.72,145.73,145.77,140.01,2.82M,-2.09,EXPE,-0.027440488,2.511254924,-2.36500067,25,9,2017
22-Sep-17,145.77,142.55,146.28,142.08,2.27M,1.85,EXPE,-0.398267188,0.295504116,-4.928638122,22,9,2017
21-Sep-17,143.12,142.2,143.34,140.07,2.34M,0.08,EXPE,-0.566393958,-0.822987864,-3.977311095,21,9,2017
20-Sep-17,143.01,141.69,143.5,141.39,1.66M,1.09,EXPE,0.155510002,-2.725525196,-4.01056839,20,9,2017
19-Sep-17,141.47,141.6,141.98,138.35,2.58M,-0.49,EXPE,-0.393922341,-2.586681343,-2.365027925,19,9,2017
18-Sep-17,142.16,143,143.37,140.68,2.45M,0.02,EXPE,0.612115669,-0.777130169,-0.494050518,18,9,2017
15-Sep-17,142.13,143.23,143.89,141.51,1.56M,-0.87,EXPE,-0.104617101,1.287037692,-0.631330651,15,9,2017
14-Sep-17,143.38,144.87,145.08,142.96,1.05M,-1.57,EXPE,-0.542358918,0.625130235,-2.628041403,14,9,2017
13-Sep-17,145.66,145.32,145.85,144.44,1.14M,0.21,EXPE,-0.027517887,0.644088926,-1.183190534,13,9,2017
12-Sep-17,145.36,144.07,145.77,142.71,1.24M,0.86,EXPE,-0.034693311,-2.398211503,-2.378371053,12,9,2017
11-Sep-17,144.12,142.43,144.59,141.43,2.37M,1.92,EXPE,0.721306838,-3.912838157,-1.439346758,11,9,2017
8-Sep-17,141.41,143.99,144.67,141.22,1.38M,-1.78,EXPE,0.013891783,-2.945537881,0.30651341,8,9,2017
7-Sep-17,143.97,144.66,145.19,143.09,1.35M,-0.29,EXPE,0.186993559,0.850529838,-2.190669371,7,9,2017
6-Sep-17,144.39,144.09,145.45,142.05,3.27M,-2.18,EXPE,-2.384662286,0.069449267,-1.254111842,6,9,2017
5-Sep-17,147.61,147.79,148.6,146.02,1.49M,-0.42,EXPE,-0.296835998,3.690451133,-0.891899142,5,9,2017
1-Sep-17,148.23,149.03,151.89,148.01,2.20M,-0.09,EXPE,0.451604206,-0.154093528,-1.532870829,1,9,2017
31-Aug-17,148.36,145.32,148.52,144.88,2.38M,3.43,EXPE,1.310652538,-3.081232493,-5.439875065,31,8,2017
30-Aug-17,143.44,144,145.16,141.83,3.36M,-0.38,EXPE,0.006944927,-2.76183402,-5.962254294,30,8,2017
