"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","52.39","51.24","52.89","50.91","4.33M","2.24"
"Nov 29, 2017","51.24","50.49","52.00","50.21","2.97M","1.67"
"Nov 28, 2017","50.40","48.96","50.45","48.83","2.26M","2.96"
"Nov 27, 2017","48.95","49.03","49.74","48.75","1.45M","-0.24"
"Nov 24, 2017","49.07","48.87","49.14","48.42","936.36K","0.66"
"Nov 22, 2017","48.75","48.53","49.56","48.48","2.04M","0.62"
"Nov 21, 2017","48.45","48.42","48.63","48.22","991.11K","0.71"
"Nov 20, 2017","48.11","48.37","48.72","47.78","1.67M","-0.74"
"Nov 17, 2017","48.47","48.45","48.77","47.86","1.44M","0.00"
"Nov 16, 2017","48.47","47.78","48.64","47.51","1.66M","1.89"
"Nov 15, 2017","47.57","47.28","48.01","47.15","1.62M","0.21"
"Nov 14, 2017","47.47","46.94","47.66","46.91","1.87M","0.51"
"Nov 13, 2017","47.23","47.33","47.66","47.10","1.74M","-0.76"
"Nov 10, 2017","47.59","47.25","48.47","47.10","1.66M","0.11"
"Nov 09, 2017","47.54","48.22","48.35","46.72","1.81M","-1.92"
"Nov 08, 2017","48.47","48.15","48.50","47.94","1.63M","0.90"
"Nov 07, 2017","48.04","48.11","48.24","47.84","1.56M","-0.04"
"Nov 06, 2017","48.06","47.50","48.19","47.25","1.48M","0.31"
"Nov 03, 2017","47.91","47.48","48.21","47.20","1.78M","0.69"
"Nov 02, 2017","47.58","46.78","47.63","46.63","1.24M","1.71"
"Nov 01, 2017","46.78","47.23","47.23","46.40","1.52M","-0.40"
"Oct 31, 2017","46.97","47.65","47.99","46.92","2.18M","0.38"
"Oct 30, 2017","46.79","47.07","47.48","46.70","1.52M","-0.85"
"Oct 27, 2017","47.19","47.22","47.49","46.89","1.68M","-0.63"
"Oct 26, 2017","47.49","46.77","47.75","46.33","2.18M","1.82"
"Oct 25, 2017","46.64","46.58","46.73","45.96","2.42M","-0.43"
"Oct 24, 2017","46.84","48.60","48.82","46.55","3.83M","-4.25"
"Oct 23, 2017","48.92","48.57","48.97","48.17","2.11M","1.10"
"Oct 20, 2017","48.39","48.50","48.77","48.27","2.10M","0.27"
"Oct 19, 2017","48.26","48.33","48.66","48.15","2.01M","-0.39"
"Oct 18, 2017","48.45","48.16","48.88","48.01","3.78M","1.06"
"Oct 17, 2017","47.94","47.49","48.12","46.83","4.42M","1.44"
"Oct 16, 2017","47.26","46.75","47.28","46.62","3.22M","1.46"
"Oct 13, 2017","46.58","46.19","46.80","46.07","2.84M","1.39"
"Oct 12, 2017","45.94","44.38","45.95","44.38","4.63M","3.21"
"Oct 11, 2017","44.51","43.30","44.51","42.51","8.79M","-0.78"
"Oct 10, 2017","44.86","45.99","45.99","44.68","4.24M","-2.03"
"Oct 09, 2017","45.79","46.02","46.41","45.70","1.52M","-0.52"
"Oct 06, 2017","46.03","46.26","46.55","45.90","3.14M","-0.02"
"Oct 05, 2017","46.04","45.63","46.08","45.33","1.86M","0.85"
"Oct 04, 2017","45.65","45.83","46.11","45.29","2.25M","-0.33"
"Oct 03, 2017","45.80","45.93","46.17","45.32","2.08M","0.09"
"Oct 02, 2017","45.76","45.68","45.76","45.14","2.38M","0.39"
"Sep 29, 2017","45.58","45.61","46.15","45.52","2.27M","-0.33"
"Sep 28, 2017","45.73","45.50","45.96","45.14","2.60M","0.44"
"Sep 27, 2017","45.53","45.41","45.75","44.76","2.66M","0.64"
"Sep 26, 2017","45.24","44.77","45.39","44.44","2.31M","1.59"
"Sep 25, 2017","44.53","44.18","44.55","43.76","2.19M","0.63"
"Sep 22, 2017","44.25","44.09","44.52","43.97","2.07M","-0.54"
"Sep 21, 2017","44.49","44.90","45.16","44.46","1.63M","-0.16"
"Sep 20, 2017","44.56","44.43","45.17","44.27","3.01M","0.81"
"Sep 19, 2017","44.20","44.15","44.41","43.99","1.76M","0.23"
"Sep 18, 2017","44.10","43.92","44.24","43.75","1.74M","0.39"
"Sep 15, 2017","43.93","43.58","43.98","43.36","3.41M","0.85"
"Sep 14, 2017","43.56","43.40","43.95","43.31","1.60M","0.02"
"Sep 13, 2017","43.55","43.44","43.77","43.29","1.80M","0.00"
"Sep 12, 2017","43.55","43.07","43.73","42.97","1.62M","1.37"
"Sep 11, 2017","42.96","42.93","43.42","42.73","2.86M","0.63"
"Sep 08, 2017","42.69","41.90","42.71","41.61","2.33M","1.81"
"Sep 07, 2017","41.93","41.81","42.41","40.76","4.95M","-1.04"
"Sep 06, 2017","42.37","42.38","42.89","42.18","2.59M","0.78"
"Sep 05, 2017","42.04","42.40","42.63","41.86","1.91M","-1.04"
"Sep 01, 2017","42.48","42.89","43.06","42.47","1.79M","-0.45"
"Aug 31, 2017","42.67","42.19","42.87","41.93","2.44M","1.45"
"Aug 30, 2017","42.06","41.26","42.18","41.06","1.81M","1.57"
"Aug 29, 2017","41.41","41.39","41.95","41.12","1.75M","-0.41"
"Aug 28, 2017","41.58","41.75","42.07","41.26","2.45M","0.29"
"Aug 25, 2017","41.46","41.35","41.75","41.10","2.56M","0.75"
"Aug 24, 2017","41.15","41.32","41.62","40.91","2.24M","-0.02"
"Aug 23, 2017","41.16","41.25","41.27","40.84","2.57M","-0.58"
"Aug 22, 2017","41.40","40.20","41.49","40.00","3.50M","3.58"
"Aug 21, 2017","39.97","40.58","40.60","39.79","5.92M","-1.75"
"Aug 18, 2017","40.68","41.56","41.68","40.66","3.39M","-2.24"
"Aug 17, 2017","41.61","42.91","42.96","41.59","3.52M","-3.43"
"Aug 16, 2017","43.09","42.72","43.11","42.65","1.65M","0.77"
"Aug 15, 2017","42.76","43.23","43.23","42.69","1.50M","-0.97"
"Aug 14, 2017","43.18","42.76","43.36","42.70","1.25M","1.34"
"Aug 11, 2017","42.61","42.44","43.00","42.23","1.60M","0.59"
"Aug 10, 2017","42.36","42.90","43.15","42.30","1.94M","-1.72"
"Aug 09, 2017","43.10","42.52","43.14","42.21","2.01M","1.44"
"Aug 08, 2017","42.49","43.00","43.15","42.45","2.00M","-1.35"
"Aug 07, 2017","43.07","43.86","43.95","43.05","1.70M","-1.80"
"Aug 04, 2017","43.86","42.90","43.94","42.90","3.79M","3.03"
"Aug 03, 2017","42.57","42.97","43.10","42.47","2.37M","-0.95"
"Aug 02, 2017","42.98","43.10","43.20","42.46","2.86M","-0.02"
"Aug 01, 2017","42.99","43.09","43.16","42.28","3.33M","0.07"
"Jul 31, 2017","42.96","43.60","43.77","42.72","2.39M","-1.35"
"Jul 28, 2017","43.55","43.72","43.97","43.28","3.13M","-0.57"
"Jul 27, 2017","43.80","43.62","44.07","43.29","4.68M","-0.21"
"Jul 26, 2017","43.89","44.22","44.34","43.73","2.70M","-0.43"
"Jul 25, 2017","44.08","43.40","44.44","43.26","3.83M","2.44"
"Jul 24, 2017","43.03","42.35","43.15","42.25","3.65M","1.46"
"Jul 21, 2017","42.41","42.73","43.21","42.21","4.73M","-1.53"
"Jul 20, 2017","43.07","42.69","43.34","42.62","3.72M","0.91"
"Jul 19, 2017","42.68","43.50","43.59","41.88","7.04M","-1.70"
"Jul 18, 2017","43.42","42.47","43.51","42.39","3.46M","2.16"
"Jul 17, 2017","42.50","42.84","43.03","42.25","3.36M","-0.89"
"Jul 14, 2017","42.88","43.40","43.97","42.82","3.53M","-0.67"
"Jul 13, 2017","43.17","43.36","43.36","42.45","10.17M","1.05"
"Jul 12, 2017","42.72","46.38","46.60","41.06","18.10M","-2.00"
"Jul 11, 2017","43.59","43.84","43.97","43.04","4.51M","-0.37"
"Jul 10, 2017","43.75","43.75","44.12","43.36","2.85M","-0.32"
"Jul 07, 2017","43.89","44.13","44.21","43.64","1.74M","-0.41"
"Jul 06, 2017","44.07","43.98","44.70","43.78","2.43M","-0.23"
"Jul 05, 2017","44.17","44.17","44.28","43.58","3.48M","0.27"
"Jul 03, 2017","44.05","43.21","44.17","43.21","1.49M","1.19"
"Jun 30, 2017","43.53","42.96","43.73","42.64","1.90M","2.35"
"Jun 29, 2017","42.53","42.49","42.77","42.06","2.72M","0.19"
"Jun 28, 2017","42.45","42.40","42.69","42.31","4.96M","0.81"
"Jun 27, 2017","42.11","42.90","42.95","41.98","2.47M","-1.27"
"Jun 26, 2017","42.65","42.95","43.06","42.36","1.97M","-0.51"
"Jun 23, 2017","42.87","42.86","43.34","42.66","2.64M","0.19"
"Jun 22, 2017","42.79","42.79","43.12","42.60","1.88M","0.19"
"Jun 21, 2017","42.71","43.31","43.31","42.55","1.80M","-1.16"
"Jun 20, 2017","43.21","44.55","44.57","43.19","1.70M","-3.16"
"Jun 19, 2017","44.62","44.76","45.02","44.41","2.70M","0.50"
"Jun 16, 2017","44.40","43.21","44.42","43.21","4.43M","1.72"
"Jun 15, 2017","43.65","43.03","43.85","43.03","2.09M","1.07"
"Jun 14, 2017","43.19","43.49","43.61","42.70","2.93M","-0.53"
"Jun 13, 2017","43.42","43.83","44.12","43.23","3.31M","-1.30"
"Jun 12, 2017","43.99","43.41","44.56","43.04","3.28M","1.08"
"Jun 09, 2017","43.52","42.42","43.77","42.42","3.98M","2.59"
"Jun 08, 2017","42.42","41.89","42.74","41.87","2.86M","0.59"
"Jun 07, 2017","42.17","42.18","42.90","42.11","3.54M","0.17"
"Jun 06, 2017","42.10","43.80","43.99","41.87","7.05M","-5.71"
"Jun 05, 2017","44.65","44.27","45.02","44.03","3.75M","0.86"
"Jun 02, 2017","44.27","45.83","45.83","44.03","4.65M","1.51"
"Jun 01, 2017","43.61","43.27","43.82","42.94","3.00M","1.02"
"May 31, 2017","43.17","43.19","43.22","42.37","3.65M","-0.23"
"May 30, 2017","43.27","43.54","43.68","43.14","2.32M","-0.46"
"May 26, 2017","43.47","43.30","43.76","43.06","3.27M","0.42"
"May 25, 2017","43.29","43.76","43.77","43.09","3.28M","-0.80"
"May 24, 2017","43.64","42.91","44.38","42.91","2.15M","-1.36"
"May 23, 2017","44.24","44.40","44.47","43.82","1.52M","-0.29"
"May 22, 2017","44.37","43.59","44.43","43.52","2.19M","1.81"
"May 19, 2017","43.58","42.99","43.98","42.83","3.03M","1.49"
"May 18, 2017","42.94","42.21","43.16","41.91","4.33M","1.51"
"May 17, 2017","42.30","43.61","43.81","42.26","4.70M","-3.78"
"May 16, 2017","43.96","44.09","44.28","43.63","3.65M","-0.54"
"May 15, 2017","44.20","45.01","45.03","43.94","3.05M","-1.21"
"May 12, 2017","44.74","44.87","45.02","44.53","1.91M","-0.53"
"May 11, 2017","44.98","45.26","45.35","44.37","2.28M","-1.12"
"May 10, 2017","45.49","45.47","45.71","45.03","2.13M","-0.02"
"May 09, 2017","45.50","45.80","45.99","45.29","2.50M","-0.66"
"May 08, 2017","45.80","45.60","45.96","45.45","2.11M","0.26"
"May 05, 2017","45.68","45.49","45.84","45.01","2.34M","0.33"
"May 04, 2017","45.53","46.22","46.60","45.10","4.12M","0.62"
"May 03, 2017","45.25","44.80","45.60","44.80","3.02M","0.38"
"May 02, 2017","45.08","44.81","45.13","44.67","3.00M","1.24"
"May 01, 2017","44.53","44.87","44.87","43.86","3.72M","-0.34"
"Apr 28, 2017","44.68","45.39","45.39","44.62","2.49M","-1.54"
"Apr 27, 2017","45.38","45.88","45.97","45.11","2.59M","-0.94"
"Apr 26, 2017","45.81","45.78","46.00","45.60","2.13M","0.20"
"Apr 25, 2017","45.72","45.53","45.94","45.30","3.02M","0.68"
"Apr 24, 2017","45.41","46.22","46.33","45.22","3.31M","-0.72"
"Apr 21, 2017","45.74","45.60","45.88","45.19","2.77M","0.59"
"Apr 20, 2017","45.47","45.56","45.93","45.33","3.63M","0.04"
"Apr 19, 2017","45.45","45.03","45.50","44.62","6.43M","2.69"
"Apr 18, 2017","44.26","45.03","45.59","44.23","6.79M","-3.36"
"Apr 17, 2017","45.80","45.60","45.86","45.20","3.12M","0.57"
"Apr 13, 2017","45.54","46.50","47.05","45.53","4.83M","-1.62"
"Apr 12, 2017","46.29","48.00","48.17","46.23","12.22M","-8.05"
"Apr 11, 2017","50.34","50.39","50.50","49.48","3.89M","-0.18"
"Apr 10, 2017","50.43","50.39","50.64","49.87","2.82M","0.40"
"Apr 07, 2017","50.23","51.00","51.13","50.05","3.07M","-1.41"
"Apr 06, 2017","50.95","51.72","51.75","50.84","2.86M","-1.47"
"Apr 05, 2017","51.71","52.08","52.74","51.60","2.58M","-0.10"
"Apr 04, 2017","51.76","51.16","51.95","51.03","2.05M","0.84"
"Apr 03, 2017","51.33","51.18","51.98","50.75","2.43M","-0.33"
"Mar 31, 2017","51.50","51.24","51.78","50.91","1.91M","0.35"
"Mar 30, 2017","51.32","51.16","51.36","50.80","1.08M","0.20"
"Mar 29, 2017","51.22","50.75","51.38","50.50","2.10M","0.67"
"Mar 28, 2017","50.88","49.98","51.01","49.70","1.65M","1.68"
"Mar 27, 2017","50.04","50.11","50.25","49.51","2.34M","-1.42"
"Mar 24, 2017","50.76","51.15","51.44","50.49","1.45M","-0.49"
"Mar 23, 2017","51.01","51.62","51.83","50.98","1.68M","-1.37"
"Mar 22, 2017","51.72","51.33","51.90","50.99","1.67M","1.09"
"Mar 21, 2017","51.16","51.86","52.07","50.92","2.20M","-1.24"
"Mar 20, 2017","51.80","51.78","52.00","51.47","1.57M","-0.13"
"Mar 17, 2017","51.87","51.54","51.99","51.07","2.89M","1.21"
"Mar 16, 2017","51.25","51.59","51.75","51.13","1.47M","-0.70"
"Mar 15, 2017","51.61","50.97","51.80","50.77","1.37M","1.81"
"Mar 14, 2017","50.69","51.23","51.23","50.66","1.44M","-1.38"
"Mar 13, 2017","51.40","50.67","51.43","50.29","1.85M","1.18"
"Mar 10, 2017","50.80","50.52","51.01","50.52","1.74M","1.24"
"Mar 09, 2017","50.18","51.42","51.84","49.94","2.47M","-2.45"
"Mar 08, 2017","51.44","51.44","51.62","51.15","1.53M","0.14"
"Mar 07, 2017","51.37","52.12","52.47","51.25","2.11M","-1.63"
"Mar 06, 2017","52.22","51.83","52.64","51.52","3.85M","0.81"
"Mar 03, 2017","51.80","50.65","51.85","50.57","2.59M","2.31"
"Mar 02, 2017","50.63","50.82","51.40","50.55","2.21M","-0.69"
"Mar 01, 2017","50.98","50.56","51.17","50.51","2.16M","1.90"
"Feb 28, 2017","50.03","50.39","50.44","49.88","1.67M","-0.64"
"Feb 27, 2017","50.35","50.16","50.41","50.02","1.26M","0.50"
"Feb 24, 2017","50.10","49.64","50.10","49.40","1.31M","0.62"
"Feb 23, 2017","49.79","51.07","51.24","49.66","1.82M","-2.12"
"Feb 22, 2017","50.87","50.82","50.99","50.63","1.17M","0.00"
"Feb 21, 2017","50.87","50.62","50.90","50.40","1.51M","0.32"
"Feb 17, 2017","50.71","50.44","50.71","50.08","1.68M","0.20"
"Feb 16, 2017","50.61","50.45","50.61","49.93","1.14M","0.30"
"Feb 15, 2017","50.46","50.14","50.63","49.89","1.47M","0.14"
"Feb 14, 2017","50.39","49.97","50.51","49.86","1.21M","0.52"
"Feb 13, 2017","50.13","50.68","50.83","50.10","1.10M","-0.42"
"Feb 10, 2017","50.34","50.44","50.69","50.04","1.15M","0.18"
"Feb 09, 2017","50.25","49.88","50.34","49.54","1.19M","0.86"
"Feb 08, 2017","49.82","49.74","49.98","49.42","1.36M","0.02"
"Feb 07, 2017","49.81","50.10","50.45","49.74","2.78M","-1.15"
"Feb 06, 2017","50.39","49.45","51.18","49.45","3.99M","2.75"
"Feb 03, 2017","49.04","49.26","49.80","48.88","2.53M","0.08"
"Feb 02, 2017","49.00","49.28","49.51","48.69","2.04M","-1.25"
"Feb 01, 2017","49.62","49.85","50.05","49.28","2.06M","-0.12"
"Jan 31, 2017","49.68","50.11","50.21","49.31","2.01M","-1.04"
"Jan 30, 2017","50.20","49.80","50.24","49.24","3.46M","0.06"
"Jan 27, 2017","50.17","50.41","50.41","49.93","2.55M","-0.40"
"Jan 26, 2017","50.37","50.82","51.02","50.22","2.46M","-0.83"
"Jan 25, 2017","50.79","51.01","51.51","50.57","4.11M","-0.04"
"Jan 24, 2017","50.81","51.30","51.37","50.26","4.29M","-0.33"
"Jan 23, 2017","50.98","51.21","51.44","50.72","2.44M","-0.51"
"Jan 20, 2017","51.24","50.83","51.42","50.75","2.79M","1.36"
"Jan 19, 2017","50.55","50.86","51.30","50.48","3.83M","-1.00"
"Jan 18, 2017","51.06","48.01","51.56","47.00","8.41M","5.80"
"Jan 17, 2017","48.26","47.94","48.48","47.53","3.31M","0.44"
"Jan 13, 2017","48.05","48.14","48.19","47.82","2.32M","0.10"
"Jan 12, 2017","48.00","47.77","48.16","47.16","3.21M","1.20"
"Jan 11, 2017","47.43","46.85","47.80","46.75","2.74M","1.98"
"Jan 10, 2017","46.51","46.23","46.62","46.10","1.90M","0.74"
"Jan 09, 2017","46.17","46.46","46.66","46.16","2.31M","-0.73"
"Jan 06, 2017","46.51","46.64","46.91","46.22","2.20M","-0.24"
"Jan 05, 2017","46.62","47.94","47.99","46.32","2.55M","-1.17"
"Jan 04, 2017","47.17","47.14","47.45","46.91","2.61M","0.47"
"Jan 03, 2017","46.95","47.40","47.76","46.44","2.83M","-0.06"
"Dec 30, 2016","46.98","47.49","47.65","46.66","1.47M","-0.49"
"Dec 29, 2016","47.21","47.55","47.75","47.13","1.56M","-0.36"
"Dec 28, 2016","47.38","48.42","48.43","47.27","1.36M","-1.97"
"Dec 27, 2016","48.33","48.19","48.67","48.05","732.54K","0.39"
"Dec 23, 2016","48.14","48.04","48.27","47.80","944.54K","0.23"
"Dec 22, 2016","48.03","48.13","48.14","47.68","1.28M","-0.23"
"Dec 21, 2016","48.14","48.50","48.68","48.14","1.14M","-0.80"
"Dec 20, 2016","48.53","48.24","48.92","47.98","1.43M","1.06"
"Dec 19, 2016","48.02","47.98","48.35","47.69","2.32M","-0.06"
"Dec 16, 2016","48.05","48.52","48.74","48.02","2.99M","-0.78"
"Dec 15, 2016","48.43","48.35","48.77","47.96","2.35M","0.23"
"Dec 14, 2016","48.32","48.73","48.99","48.22","2.32M","-0.58"
"Dec 13, 2016","48.60","48.96","48.97","48.23","2.82M","-0.61"
"Dec 12, 2016","48.90","49.06","49.15","48.56","2.39M","-0.22"
"Dec 09, 2016","49.01","49.17","49.28","48.76","2.18M","-0.24"
"Dec 08, 2016","49.13","49.14","49.30","48.89","2.79M","-0.08"
"Dec 07, 2016","49.17","48.28","49.23","47.83","3.16M","1.80"
"Dec 06, 2016","48.30","47.94","48.45","47.20","5.19M","-0.58"
"Dec 05, 2016","48.58","48.46","49.21","48.18","6.27M","1.57"
"Dec 02, 2016","47.83","47.55","48.01","47.20","3.58M","0.72"
"Dec 01, 2016","47.49","47.51","48.37","47.27","3.66M","0.19"
"Nov 30, 2016","47.40","47.19","47.89","46.87","3.70M","0.83"
"Nov 29, 2016","47.01","46.28","47.15","46.17","3.43M","1.40"
"Nov 28, 2016","46.36","46.29","46.51","45.97","2.29M","-0.02"
"Nov 25, 2016","46.37","46.21","46.37","46.01","538.36K","0.28"
"Nov 23, 2016","46.24","45.99","46.51","45.71","1.92M","0.70"
"Nov 22, 2016","45.92","45.41","45.97","45.14","2.51M","1.46"
"Nov 21, 2016","45.26","44.99","45.28","44.78","2.04M","1.03"
"Nov 18, 2016","44.80","44.92","45.09","44.73","1.86M","-0.36"
"Nov 17, 2016","44.96","45.03","45.37","44.78","2.89M","-0.29"
"Nov 16, 2016","45.09","45.03","45.20","44.75","2.40M","0.00"
"Nov 15, 2016","45.09","45.22","45.26","44.73","2.54M","-0.02"
"Nov 14, 2016","45.10","44.50","45.43","44.39","3.98M","1.85"
"Nov 11, 2016","44.28","44.77","45.08","43.44","5.02M","-1.42"
"Nov 10, 2016","44.92","43.96","45.30","43.96","5.58M","3.05"
"Nov 09, 2016","43.59","39.97","43.97","39.78","5.73M","7.31"
"Nov 08, 2016","40.62","40.58","41.04","40.19","2.01M","0.02"
"Nov 07, 2016","40.61","39.93","40.65","39.92","2.91M","2.97"
"Nov 04, 2016","39.44","38.70","39.80","38.68","3.59M","2.18"
"Nov 03, 2016","38.60","38.41","38.62","38.17","2.24M","0.92"
"Nov 02, 2016","38.25","38.47","38.59","38.09","2.27M","-0.39"
"Nov 01, 2016","38.40","39.08","39.13","38.21","1.66M","-1.49"
"Oct 31, 2016","38.98","38.94","39.05","38.68","1.76M","0.57"
"Oct 28, 2016","38.76","38.46","39.00","38.44","1.21M","0.81"
"Oct 27, 2016","38.45","39.07","39.13","38.37","1.25M","-1.46"
"Oct 26, 2016","39.02","38.52","39.38","38.43","1.73M","0.98"
"Oct 25, 2016","38.64","38.86","38.98","38.47","1.87M","-0.77"
"Oct 24, 2016","38.94","38.62","39.08","38.37","2.42M","1.49"
"Oct 21, 2016","38.37","38.32","38.50","37.96","1.66M","-1.13"
"Oct 20, 2016","38.81","38.92","39.12","38.75","2.26M","-0.28"
"Oct 19, 2016","38.92","38.25","38.96","38.02","3.27M","1.99"
"Oct 18, 2016","38.16","38.66","38.79","37.88","2.16M","-0.29"
"Oct 17, 2016","38.27","38.31","38.55","38.18","2.70M","-0.18"
"Oct 14, 2016","38.34","38.13","38.63","37.70","3.37M","0.00"
"Oct 13, 2016","38.34","38.82","38.85","37.93","4.83M","-1.84"
"Oct 12, 2016","39.06","39.85","39.85","39.02","4.58M","-2.25"
"Oct 11, 2016","39.96","41.69","42.77","39.68","7.07M","-5.13"
"Oct 10, 2016","42.12","42.47","42.53","42.00","4.89M","-0.43"
"Oct 07, 2016","42.30","42.49","42.74","42.14","2.89M","-1.01"
"Oct 06, 2016","42.73","41.82","42.79","41.80","2.08M","1.96"
"Oct 05, 2016","41.91","41.73","42.08","41.67","1.50M","1.11"
"Oct 04, 2016","41.45","42.27","42.36","41.29","1.55M","-1.68"
"Oct 03, 2016","42.16","41.58","42.29","41.46","3.11M","0.91"
"Sep 30, 2016","41.78","41.00","41.99","40.92","3.24M","2.30"
"Sep 29, 2016","40.84","40.71","41.26","40.40","1.69M","-0.07"
"Sep 28, 2016","40.87","40.51","40.91","40.35","1.36M","1.19"
"Sep 27, 2016","40.39","40.04","40.44","40.02","1.67M","0.47"
"Sep 26, 2016","40.20","40.21","40.44","40.14","1.39M","-0.59"
"Sep 23, 2016","40.44","40.40","40.73","40.27","1.69M","-0.27"
"Sep 22, 2016","40.55","40.57","40.74","40.50","1.85M","0.77"
"Sep 21, 2016","40.24","39.96","40.32","39.94","2.43M","0.80"
"Sep 20, 2016","39.92","40.70","40.70","39.91","2.07M","-1.60"
"Sep 19, 2016","40.57","40.33","40.72","40.26","2.20M","1.25"
"Sep 16, 2016","40.07","40.45","40.48","39.85","3.09M","-1.81"
"Sep 15, 2016","40.81","40.24","40.84","40.08","3.44M","1.32"
"Sep 14, 2016","40.28","40.30","40.65","39.99","4.48M","-0.40"
"Sep 13, 2016","40.44","40.43","40.89","40.15","3.81M","-0.66"
"Sep 12, 2016","40.71","40.25","40.86","40.11","3.10M","0.35"
"Sep 09, 2016","40.57","41.77","42.21","40.57","3.05M","-3.79"
"Sep 08, 2016","42.17","42.26","42.39","42.00","1.48M","-0.21"
"Sep 07, 2016","42.26","42.44","42.49","41.61","2.20M","-1.51"
"Sep 06, 2016","42.91","43.44","43.60","42.81","1.93M","-0.95"
"Sep 02, 2016","43.32","43.13","43.53","42.91","1.41M","1.17"
"Sep 01, 2016","42.82","43.25","43.37","42.45","2.41M","-0.67"
"Aug 31, 2016","43.11","43.69","43.70","42.94","1.84M","-1.46"
"Aug 30, 2016","43.75","44.05","44.18","43.59","1.07M","-0.57"
"Aug 29, 2016","44.00","43.70","44.04","43.53","889.97K","0.57"
"Aug 26, 2016","43.75","43.86","44.23","43.49","1.33M","0.05"
"Aug 25, 2016","43.73","43.68","43.77","43.47","1.09M","0.07"
"Aug 24, 2016","43.70","43.83","44.07","43.63","1.13M","-0.75"
"Aug 23, 2016","44.03","44.57","44.57","43.96","1.12M","-0.29"
"Aug 22, 2016","44.16","43.75","44.20","43.59","1.41M","0.36"
"Aug 19, 2016","44.00","43.75","44.05","43.43","1.11M","0.25"
"Aug 18, 2016","43.89","43.71","43.99","43.24","1.20M","0.64"
"Aug 17, 2016","43.61","43.62","43.64","43.32","1.22M","0.30"
