Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,52.39,51.24,52.89,50.91,4.33M,2.24,FAST,0,5.107692308,9.533988884,30,11,2017
29-Nov-17,51.24,50.49,52,50.21,2.97M,1.67,FAST,0.178571429,4.210526316,7.494145199,29,11,2017
28-Nov-17,50.4,48.96,50.45,48.83,2.26M,2.96,FAST,0.020429009,1.766784452,4.637743108,28,11,2017
27-Nov-17,48.95,49.03,49.74,48.75,1.45M,-0.24,FAST,-0.081516201,1.155353827,3.899131172,27,11,2017
24-Nov-17,49.07,48.87,49.14,48.42,936.36K,0.66,FAST,0.246153846,0.825252734,2.905874921,24,11,2017
22-Nov-17,48.75,48.53,49.56,48.48,2.04M,0.62,FAST,0.165118679,2.018078621,4.052315609,22,11,2017
21-Nov-17,48.45,48.42,48.63,48.22,991.11K,0.71,FAST,0.644356683,2.001263956,3.373185312,21,11,2017
20-Nov-17,48.11,48.37,48.72,47.78,1.67M,-0.74,FAST,-0.206313183,2.413720093,-1.124284546,20,11,2017
17-Nov-17,48.47,48.45,48.77,47.86,1.44M,0,FAST,-0.041262637,1.807102332,0.12399256,17,11,2017
16-Nov-17,48.47,47.78,48.64,47.51,1.66M,1.89,FAST,0.441454698,0.504838031,-0.994612516,16,11,2017
15-Nov-17,47.57,47.28,48.01,47.15,1.62M,0.21,FAST,-0.400252791,-2.455126883,-2.414860681,15,11,2017
14-Nov-17,47.47,46.94,47.66,46.91,1.87M,0.51,FAST,-0.614016515,-2.289758535,-2.085940759,14,11,2017
13-Nov-17,47.23,47.33,47.66,47.1,1.74M,-0.76,FAST,-0.546333263,-1.518934665,0.148116801,13,11,2017
10-Nov-17,47.59,47.25,48.47,47.1,1.66M,0.11,FAST,-0.610012621,-1.377582968,1.438385573,10,11,2017
9-Nov-17,47.54,48.22,48.35,46.72,1.81M,-1.92,FAST,-0.515782959,1.345102984,4.962995211,9,11,2017
8-Nov-17,48.47,48.15,48.5,47.94,1.63M,0.9,FAST,0.228975853,2.928601967,8.177937542,8,11,2017
7-Nov-17,48.04,48.11,48.24,47.84,1.56M,-0.04,FAST,0.104036621,2.427081116,7.24476148,7,11,2017
6-Nov-17,48.06,47.5,48.19,47.25,1.48M,0.31,FAST,-0.855771238,1.517418252,3.734439834,6,11,2017
3-Nov-17,47.91,47.48,48.21,47.2,1.78M,0.69,FAST,-0.210172341,0.614536978,3.150119487,3,11,2017
2-Nov-17,47.58,46.78,47.63,46.63,1.24M,1.71,FAST,0,-1.49505159,1.607298002,2,11,2017
1-Nov-17,46.78,47.23,47.23,46.4,1.52M,-0.4,FAST,0.553544816,1.265008576,3.461117196,1,11,2017
31-Oct-17,46.97,47.65,47.99,46.92,2.18M,0.38,FAST,1.837999573,1.729291204,4.03930131,31,10,2017
30-Oct-17,46.79,47.07,47.48,46.7,1.52M,-0.85,FAST,-0.254291163,-3.781684383,2.862762238,30,10,2017
27-Oct-17,47.19,47.22,47.49,46.89,1.68M,-0.63,FAST,-0.568540745,-2.417854929,3.598069329,27,10,2017
26-Oct-17,47.49,46.77,47.75,46.33,2.18M,1.82,FAST,0.278730703,-3.087443017,2.274218237,26,10,2017
25-Oct-17,46.64,46.58,46.73,45.96,2.42M,-0.43,FAST,-0.555081127,-3.859649123,2.306171755,25,10,2017
24-Oct-17,46.84,48.6,48.82,46.55,3.83M,-4.25,FAST,-0.654129191,1.376720901,7.427055703,24,10,2017
23-Oct-17,48.92,48.57,48.97,48.17,2.11M,1.1,FAST,0.371977681,2.771900127,9.072535369,23,10,2017
20-Oct-17,48.39,48.5,48.77,48.27,2.10M,0.27,FAST,0.497306258,4.121940747,9.604519774,20,10,2017
19-Oct-17,48.26,48.33,48.66,48.15,2.01M,-0.39,FAST,-0.247678019,5.202437963,8.631153068,19,10,2017
18-Oct-17,48.45,48.16,48.88,48.01,3.78M,1.06,FAST,0.458906967,8.200404404,8.078994614,18,10,2017
17-Oct-17,47.94,47.49,48.12,46.83,4.42M,1.44,FAST,0.486669488,5.862683905,7.443438914,17,10,2017
16-Oct-17,47.26,46.75,47.28,46.62,3.22M,1.46,FAST,0.364963504,2.096527626,6.009070295,16,10,2017
13-Oct-17,46.58,46.19,46.8,46.07,2.84M,1.39,FAST,0.544188071,0.347599392,5.144548145,13,10,2017
12-Oct-17,45.94,44.38,45.95,44.38,4.63M,3.21,FAST,-0.292069198,-3.605560382,1.882460973,12,10,2017
