Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,177.18,176.85,178.28,175.2,25.31M,1.17,FB,0.982127562,-2.222590811,-3.180773021,30,11,2017
29-Nov-17,175.13,181.89,181.97,174,41.93M,-4,FB,-0.290538318,0.016496206,1.016327891,29,11,2017
28-Nov-17,182.42,183.51,184.25,182.09,14.38M,-0.33,FB,0.26225209,2.668680765,2.023683772,28,11,2017
27-Nov-17,183.03,182.56,183.73,181.99,12.34M,0.14,FB,-0.120363278,1.988826816,2.630987182,27,11,2017
24-Nov-17,182.78,180.4,183.15,180.29,9.43M,1.06,FB,-0.259855145,0.45102734,5.725839536,24,11,2017
22-Nov-17,180.87,181.3,181.73,180.44,10.38M,-0.54,FB,-0.307929176,1.882551278,6.271981243,22,11,2017
21-Nov-17,181.86,179.15,181.89,178.99,14.50M,1.75,FB,0.229383462,0.606503061,4.278230501,21,11,2017
20-Nov-17,178.74,178.87,179.5,178.1,10.05M,-0.15,FB,-0.072625698,0.055937797,4.437437963,20,11,2017
17-Nov-17,179,179.3,179.98,178.9,13.02M,-0.33,FB,-0.161478924,0.470693713,2.468853583,17,11,2017
16-Nov-17,179.59,178.76,179.83,178.5,15.61M,0.92,FB,0.45518404,-0.301171221,2.406049496,16,11,2017
15-Nov-17,177.95,176.66,178.57,176.4,10.25M,-0.07,FB,-0.79182344,-1.615059033,0.357893541,15,11,2017
14-Nov-17,178.07,178.13,178.97,177.18,9.59M,-0.39,FB,-0.358001902,-1.176144244,1.147010391,14,11,2017
13-Nov-17,178.77,177.5,179.04,177.3,9.52M,0.17,FB,-0.537935672,-1.481933729,1.707540683,13,11,2017
10-Nov-17,178.46,178.35,179.1,177.96,11.07M,-0.47,FB,-0.52983826,-0.318578135,2.653390123,10,11,2017
9-Nov-17,179.3,178.31,179.4,177.09,12.61M,-0.14,FB,-0.696146135,-0.340934496,3.338162851,9,11,2017
8-Nov-17,179.56,179.79,180.35,179.11,10.49M,-0.38,FB,-0.25520111,-1.571225227,4.081278222,8,11,2017
7-Nov-17,180.25,180.5,180.75,178.96,12.93M,0.04,FB,0.183160349,0.24436299,5.192610292,7,11,2017
6-Nov-17,180.17,178.56,180.45,178.31,13.31M,0.7,FB,-0.201207243,-0.728303775,3.513043478,6,11,2017
3-Nov-17,178.92,179.29,179.86,176.71,17.82M,0,FB,0.206796334,0.792669215,4.099169715,3,11,2017
2-Nov-17,178.92,180.63,181.94,177.34,35.53M,-2.05,FB,-1.111354429,5.860634121,5.483531885,2,11,2017
1-Nov-17,182.66,182.36,182.9,180.57,40.92M,1.44,FB,1.277351994,6.893317702,8.276926731,1,11,2017
31-Oct-17,180.06,180.57,180.8,178.94,20.17M,0.11,FB,0.389169956,5.104772992,6.242645328,31,10,2017
30-Oct-17,179.87,179.26,180.69,177.61,24.35M,1.12,FB,0.775803913,4.665148596,5.776833658,30,10,2017
27-Oct-17,177.88,174.15,178.21,173.9,30.29M,4.25,FB,2.06294321,-0.474339925,1.919587991,27,10,2017
26-Oct-17,170.63,171.38,172.28,170.39,11.83M,0.02,FB,0.457209848,-1.82172319,1.57055651,26,10,2017
25-Oct-17,170.6,171.9,172.25,168.89,15.87M,-0.7,FB,0.058207218,-2.34619099,2.516698473,25,10,2017
