"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","131.45","129.11","131.85","129.11","1.78M","2.12"
"Nov 29, 2017","128.72","128.37","128.99","127.59","957.87K","0.24"
"Nov 28, 2017","128.41","128.11","128.57","127.76","1.09M","0.20"
"Nov 27, 2017","128.16","128.38","128.63","127.67","595.65K","0.02"
"Nov 24, 2017","128.13","127.59","128.25","127.30","340.49K","0.33"
"Nov 22, 2017","127.71","128.29","128.63","127.53","687.99K","-0.44"
"Nov 21, 2017","128.27","128.71","128.75","127.79","790.51K","-0.04"
"Nov 20, 2017","128.32","128.24","128.82","127.78","685.68K","-0.05"
"Nov 17, 2017","128.39","129.44","129.48","127.92","805.49K","-0.89"
"Nov 16, 2017","129.54","128.91","130.10","128.72","668.50K","0.79"
"Nov 15, 2017","128.52","129.53","129.83","128.00","994.64K","-0.93"
"Nov 14, 2017","129.73","127.80","129.85","127.52","714.29K","1.23"
"Nov 13, 2017","128.16","127.97","128.57","127.38","693.48K","0.13"
"Nov 10, 2017","128.00","128.54","128.54","127.58","482.71K","-0.68"
"Nov 09, 2017","128.88","128.12","129.16","127.42","923.62K","0.05"
"Nov 08, 2017","128.82","126.76","129.11","126.53","700.50K","1.46"
"Nov 07, 2017","126.97","127.74","127.93","126.34","971.62K","-0.63"
"Nov 06, 2017","127.77","126.96","127.81","126.59","1.23M","0.58"
"Nov 03, 2017","127.03","126.46","127.10","126.14","1.04M","0.36"
"Nov 02, 2017","126.58","125.62","127.18","125.35","1.55M","0.84"
"Nov 01, 2017","125.52","124.00","125.79","120.38","5.17M","-3.02"
"Oct 31, 2017","129.43","129.19","129.70","128.51","1.32M","-0.02"
"Oct 30, 2017","129.45","130.05","130.18","128.72","954.84K","-0.56"
"Oct 27, 2017","130.18","128.71","130.20","128.49","809.18K","0.96"
"Oct 26, 2017","128.94","129.08","129.50","128.56","465.24K","0.57"
"Oct 25, 2017","128.21","126.89","128.59","126.64","1.07M","0.64"
"Oct 24, 2017","127.39","128.00","128.47","127.14","966.79K","-0.47"
"Oct 23, 2017","127.99","128.69","129.20","127.83","674.21K","-0.35"
"Oct 20, 2017","128.44","128.13","128.58","127.81","590.75K","0.70"
"Oct 19, 2017","127.55","126.95","127.77","126.64","478.64K","0.38"
"Oct 18, 2017","127.07","126.50","127.51","126.50","596.83K","0.35"
"Oct 17, 2017","126.63","127.08","127.41","126.31","465.59K","-0.45"
"Oct 16, 2017","127.20","127.04","127.50","126.75","626.22K","0.09"
"Oct 13, 2017","127.08","126.77","128.00","126.77","702.78K","-0.07"
"Oct 12, 2017","127.17","126.73","127.59","126.70","1.41M","0.34"
"Oct 11, 2017","126.74","127.71","127.93","126.45","834.64K","-0.88"
"Oct 10, 2017","127.87","127.94","128.65","127.73","700.83K","0.28"
"Oct 09, 2017","127.51","127.56","127.86","127.21","951.78K","0.02"
"Oct 06, 2017","127.48","128.90","128.90","127.17","1.33M","-1.11"
"Oct 05, 2017","128.91","128.96","129.24","128.15","691.48K","0.26"
"Oct 04, 2017","128.58","128.59","128.77","127.68","483.55K","-0.19"
"Oct 03, 2017","128.83","129.15","129.52","128.76","546.75K","-0.03"
"Oct 02, 2017","128.87","129.22","129.81","128.33","675.04K","-0.07"
"Sep 29, 2017","128.96","128.12","129.61","127.86","1.22M","0.58"
"Sep 28, 2017","128.21","127.75","128.64","127.67","944.12K","-0.12"
"Sep 27, 2017","128.36","127.99","128.63","127.86","904.66K","0.69"
"Sep 26, 2017","127.48","127.61","127.91","127.00","947.81K","0.29"
"Sep 25, 2017","127.11","125.79","127.15","125.50","1.14M","0.70"
"Sep 22, 2017","126.23","124.56","126.29","124.47","819.46K","1.18"
"Sep 21, 2017","124.76","125.09","125.27","124.29","583.69K","-0.27"
"Sep 20, 2017","125.10","125.41","125.84","124.39","520.53K","-0.06"
"Sep 19, 2017","125.17","125.65","126.26","125.03","566.45K","-0.29"
"Sep 18, 2017","125.53","123.91","125.57","123.77","762.21K","1.19"
"Sep 15, 2017","124.05","123.62","124.31","123.02","1.48M","0.40"
"Sep 14, 2017","123.55","123.60","124.10","123.16","652.38K","-0.35"
"Sep 13, 2017","123.99","124.06","124.34","123.59","489.05K","-0.47"
"Sep 12, 2017","124.58","124.31","124.98","123.92","525.10K","0.21"
"Sep 11, 2017","124.32","123.40","124.47","122.80","589.69K","1.35"
"Sep 08, 2017","122.66","122.67","123.46","122.03","709.02K","-0.14"
"Sep 07, 2017","122.83","122.93","123.57","122.17","603.58K","0.34"
"Sep 06, 2017","122.41","122.37","122.66","121.17","1.17M","0.45"
"Sep 05, 2017","121.86","122.58","122.71","121.32","868.63K","-0.93"
"Sep 01, 2017","123.00","124.19","124.62","122.66","478.04K","-0.57"
"Aug 31, 2017","123.71","123.74","124.05","123.23","844.49K","0.41"
"Aug 30, 2017","123.21","123.04","123.71","122.64","572.91K","0.15"
"Aug 29, 2017","123.02","122.19","123.19","122.17","576.66K","0.15"
"Aug 28, 2017","122.83","122.66","123.10","122.50","445.82K","0.42"
"Aug 25, 2017","122.32","121.99","122.94","121.67","869.85K","0.67"
"Aug 24, 2017","121.51","122.05","122.30","121.34","448.74K","-0.52"
"Aug 23, 2017","122.15","122.22","122.49","121.53","486.83K","-0.38"
"Aug 22, 2017","122.62","121.15","122.76","121.02","637.51K","1.53"
"Aug 21, 2017","120.77","120.64","121.15","120.09","825.51K","0.34"
"Aug 18, 2017","120.36","120.94","121.72","119.70","929.03K","-0.60"
"Aug 17, 2017","121.09","124.10","124.34","121.00","1.18M","-3.00"
