Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,131.45,129.11,131.85,129.11,1.78M,2.12,FISV,0.302983219,1.096233654,2.860101976,30,11,2017
29-Nov-17,128.72,128.37,128.99,127.59,957.87K,0.24,FISV,-0.031150222,0.077960552,-0.818975508,29,11,2017
28-Nov-17,128.41,128.11,128.57,127.76,1.09M,0.2,FISV,-0.039013733,-0.163653367,-1.035148706,28,11,2017
27-Nov-17,128.16,128.38,128.63,127.67,595.65K,0.02,FISV,0.195114337,-0.007788769,-1.382700876,27,11,2017
24-Nov-17,128.13,127.59,128.25,127.3,340.49K,0.33,FISV,-0.093962885,-1.50532654,-1.046998604,24,11,2017
22-Nov-17,127.71,128.29,128.63,127.53,687.99K,-0.44,FISV,0.01559211,-0.178960473,0.062397629,22,11,2017
21-Nov-17,128.27,128.71,128.75,127.79,790.51K,-0.04,FISV,0.303927681,-0.786248362,1.036188084,21,11,2017
20-Nov-17,128.32,128.24,128.82,127.78,685.68K,-0.05,FISV,-0.116831529,0.062421973,0.19532776,20,11,2017
17-Nov-17,128.39,129.44,129.48,127.92,805.49K,-0.89,FISV,-0.077196233,1.125,0.778573653,17,11,2017
16-Nov-17,129.54,128.91,130.1,128.72,668.50K,0.79,FISV,0.303454715,0.023277467,1.06624853,16,11,2017
15-Nov-17,128.52,129.53,129.83,128,994.64K,-0.93,FISV,-0.154166345,0.551156653,1.93594082,15,11,2017
14-Nov-17,129.73,127.8,129.85,127.52,714.29K,1.23,FISV,-0.280898876,0.653697724,0.92395167,14,11,2017
13-Nov-17,128.16,127.97,128.57,127.38,693.48K,0.13,FISV,-0.0234375,0.156531267,0.605345912,13,11,2017
10-Nov-17,128,128.54,128.54,127.58,482.71K,-0.68,FISV,-0.263811297,1.188695584,1.148882594,10,11,2017
9-Nov-17,128.88,128.12,129.16,127.42,923.62K,0.05,FISV,-0.543393883,1.216621899,0.747031533,9,11,2017
8-Nov-17,128.82,126.76,129.11,126.53,700.50K,1.46,FISV,-0.1653934,0.987890376,0.015780338,8,11,2017
7-Nov-17,126.97,127.74,127.93,126.34,971.62K,-0.63,FISV,-0.02347969,-1.305725102,-0.101665754,7,11,2017
6-Nov-17,127.77,126.96,127.81,126.59,1.23M,0.58,FISV,-0.055105093,-1.923522596,-0.431338719,6,11,2017
3-Nov-17,127.03,126.46,127.1,126.14,1.04M,0.36,FISV,-0.094801706,-2.85758181,-0.80012551,3,11,2017
2-Nov-17,126.58,125.62,127.18,125.35,1.55M,0.84,FISV,0.079668579,-2.574841011,-2.552168179,2,11,2017
1-Nov-17,125.52,124,125.79,120.38,5.17M,-3.02,FISV,-4.195317932,-3.28367522,-3.561984757,1,11,2017
31-Oct-17,129.43,129.19,129.7,128.51,1.32M,-0.02,FISV,-0.200849749,1.412983751,0.279438019,31,10,2017
30-Oct-17,129.45,130.05,130.18,128.72,954.84K,-0.56,FISV,-0.09986173,1.609500742,0.915651432,30,10,2017
27-Oct-17,130.18,128.71,130.2,128.49,809.18K,0.96,FISV,-0.17837754,0.210214886,-0.193858561,27,10,2017
26-Oct-17,128.94,129.08,129.5,128.56,465.24K,0.57,FISV,0.678574214,1.199529596,0.678574214,26,10,2017
25-Oct-17,128.21,126.89,128.59,126.64,1.07M,0.64,FISV,-0.392495486,-0.141654206,-1.145216578,25,10,2017
24-Oct-17,127.39,128,128.47,127.14,966.79K,-0.47,FISV,0.00781311,1.081892127,0.407907123,24,10,2017
23-Oct-17,127.99,128.69,129.2,127.83,674.21K,-0.35,FISV,0.194643413,1.171383648,1.243017859,23,10,2017
20-Oct-17,128.44,128.13,128.58,127.81,590.75K,0.7,FISV,0.454723638,0.82625118,1.505188941,20,10,2017
19-Oct-17,127.55,126.95,127.77,126.64,478.64K,0.38,FISV,-0.094436138,-0.172996776,1.755370311,19,10,2017
18-Oct-17,127.07,126.5,127.51,126.5,596.83K,0.35,FISV,-0.102661297,-0.189364052,1.119104716,18,10,2017
17-Oct-17,126.63,127.08,127.41,126.31,465.59K,-0.45,FISV,-0.094339623,-0.617814968,1.525924742,17,10,2017
16-Oct-17,127.2,127.04,127.5,126.75,626.22K,0.09,FISV,-0.031476235,-0.368598541,1.202899705,16,10,2017
13-Oct-17,127.08,126.77,128,126.77,702.78K,-0.07,FISV,-0.314539593,-0.55695011,2.192664248,13,10,2017
12-Oct-17,127.17,126.73,127.59,126.7,1.41M,0.34,FISV,-0.007890169,-1.691102319,2.573856738,12,10,2017
11-Oct-17,126.74,127.71,127.93,126.45,834.64K,-0.88,FISV,-0.125127082,-0.676621559,3.000241955,11,10,2017
10-Oct-17,127.87,127.94,128.65,127.73,700.83K,0.28,FISV,0.337228453,-0.690832881,2.697062129,10,10,2017
9-Oct-17,127.51,127.56,127.86,127.21,951.78K,0.02,FISV,0.062754942,-1.016528284,2.606177606,9,10,2017
6-Oct-17,127.48,128.9,128.9,127.17,1.33M,-1.11,FISV,-0.00775735,-0.046526055,5.087233002,6,10,2017
5-Oct-17,128.91,128.96,129.24,128.15,691.48K,0.26,FISV,0.295535853,0.584977771,4.990637466,5,10,2017
4-Oct-17,128.58,128.59,128.77,127.68,483.55K,-0.19,FISV,-0.186292013,0.179183546,5.04860714,4,10,2017
3-Oct-17,128.83,129.15,129.52,128.76,546.75K,-0.03,FISV,0.217273221,1.310009413,5.982274742,3,10,2017
2-Oct-17,128.87,129.22,129.81,128.33,675.04K,-0.07,FISV,0.201612903,1.659979545,5.056910569,2,10,2017
29-Sep-17,128.96,128.12,129.61,127.86,1.22M,0.58,FISV,-0.070197333,1.497266894,3.564788619,29,9,2017
28-Sep-17,128.21,127.75,128.64,127.67,944.12K,-0.12,FISV,-0.475225927,2.396601475,3.684765847,28,9,2017
