Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,31.15,31,31.46,30.54,3.60M,-0.48,FOX,-0.958466454,3.540414162,22.14342002,30,11,2017
29-Nov-17,31.3,30.22,31.59,30.22,3.98M,3.75,FOX,0.165727544,0.398671096,18.74263261,29,11,2017
28-Nov-17,30.17,29.82,30.23,29.63,2.08M,1.58,FOX,0.404040404,-0.267558528,15.80582524,28,11,2017
27-Nov-17,29.7,29.72,29.89,29.67,2.92M,-0.27,FOX,-0.201477502,-2.49343832,15.41747573,27,11,2017
24-Nov-17,29.78,29.68,30.09,29.68,732.23K,-0.53,FOX,-0.868403474,3.776223776,15.48638132,24,11,2017
22-Nov-17,29.94,30.02,30.16,29.83,2.72M,-0.53,FOX,-0.265780731,7.40608229,18.04954778,22,11,2017
21-Nov-17,30.1,29.93,30.28,29.64,2.65M,0.67,FOX,0.100334448,9.593555474,17.0970266,21,11,2017
20-Nov-17,29.9,30.45,30.92,29.7,3.27M,-1.9,FOX,-0.098425197,9.453630482,17.07035755,20,11,2017
17-Nov-17,30.48,30.45,30.73,29.57,5.81M,6.57,FOX,6.468531469,8.478802993,13.45007452,17,11,2017
16-Nov-17,28.6,27.56,28.74,27.56,3.40M,2.33,FOX,-1.395348837,-2.026306434,3.220973783,16,11,2017
15-Nov-17,27.95,27.26,28.01,26.86,2.97M,2.34,FOX,-0.18308312,-0.329067642,2.519744265,15,11,2017
14-Nov-17,27.31,27.66,27.77,27.09,2.40M,-1.83,FOX,-0.575125809,2.292899408,5.491990847,14,11,2017
13-Nov-17,27.82,27.84,28.04,27.48,1.49M,-0.89,FOX,-0.819380121,4.583020285,6.666666667,13,11,2017
10-Nov-17,28.07,28.19,29.17,27.98,4.56M,-0.21,FOX,0.213295414,15.39091281,9.136662795,10,11,2017
9-Nov-17,28.13,26.76,28.96,26.57,5.28M,2.85,FOX,-2.157221207,6.401590457,4.982346018,9,11,2017
8-Nov-17,27.35,26.84,27.39,26.74,5.69M,1.15,FOX,-0.73964497,5.752561072,5.337519623,8,11,2017
7-Nov-17,27.04,26.7,27.77,26.7,6.64M,1.58,FOX,0.30052592,4.911591356,2.103250478,7,11,2017
6-Nov-17,26.62,24.33,26.85,24.3,12.14M,8.96,FOX,-0.409332788,-5.514563107,-6.314978822,6,11,2017
3-Nov-17,24.43,25.05,25.2,24.39,3.30M,-2.86,FOX,-0.397614314,-2.718446602,-5.364563657,3,11,2017
2-Nov-17,25.15,25.38,25.53,24.91,2.96M,-0.91,FOX,0,-1.245136187,-3.571428571,2,11,2017
1-Nov-17,25.38,25.61,25.83,25.35,1.45M,-0.28,FOX,0.628683694,0.707825403,-3.21239607,1,11,2017
31-Oct-17,25.45,25.78,25.78,25.35,1.67M,-1.17,FOX,0.116504854,0.860719875,-0.92236741,31,10,2017
30-Oct-17,25.75,25.65,26.03,25.52,2.16M,0,FOX,-0.388349515,-1.384083045,-1.535508637,30,10,2017
27-Oct-17,25.75,25.56,25.76,24.91,2.33M,0.19,FOX,-0.544747082,-4.76900149,-0.891818534,27,10,2017
26-Oct-17,25.7,25.76,26,25.42,1.80M,1.06,FOX,1.297679906,-3.520599251,-0.961168781,26,10,2017
25-Oct-17,25.43,25.45,25.65,25.31,1.91M,-0.51,FOX,-0.430359937,-4.287326062,-4.93089279,25,10,2017
24-Oct-17,25.56,25.89,25.97,25.54,2.12M,-1.73,FOX,-0.461361015,-1.258581236,-2.006056018,24,10,2017
23-Oct-17,26.01,26.93,26.93,25.97,1.92M,-3.09,FOX,0.335320417,3.180076628,1.20255543,23,10,2017
20-Oct-17,26.84,26.88,26.94,26.64,1.43M,0.52,FOX,0.674157303,4.06504065,1.70261067,20,10,2017
19-Oct-17,26.7,26.59,26.73,26.31,1.46M,0.41,FOX,0,4.315417811,0.987466768,19,10,2017
18-Oct-17,26.59,26.21,26.72,26.19,2.59M,1.41,FOX,-0.038138825,2.864992151,-0.644427597,18,10,2017
17-Oct-17,26.22,26,26.25,25.93,1.31M,0.46,FOX,-0.383141762,-0.573613767,-1.027788352,17,10,2017
16-Oct-17,26.1,25.92,26.2,25.8,1.89M,1.05,FOX,0.348432056,-0.192529842,-0.42258932,16,10,2017
13-Oct-17,25.83,25.61,25.91,25.45,4.76M,1.33,FOX,0.470772852,-3.248961088,-3.902439024,13,10,2017
12-Oct-17,25.49,25.3,25.78,25.2,4.77M,0.04,FOX,-0.706436421,-3.875379939,-2.692307692,12,10,2017
11-Oct-17,25.48,26.05,26.05,25.24,3.02M,-2.56,FOX,-0.382409178,-1.549508692,-0.382409178,11,10,2017
10-Oct-17,26.15,26.03,26.54,25.99,1.59M,0.69,FOX,0.231035811,0.038431975,2.23880597,10,10,2017
9-Oct-17,25.97,26.41,26.48,25.97,1.23M,-1.89,FOX,-0.226671704,1.381957774,2.882742501,9,10,2017
6-Oct-17,26.47,26.34,26.49,26.09,2.36M,0.57,FOX,0.075987842,2.132609539,3.78250591,6,10,2017
5-Oct-17,26.32,26.58,26.65,26.24,1.59M,-0.53,FOX,0.453514739,2.191464821,4.728132388,5,10,2017
4-Oct-17,26.46,25.96,26.63,25.92,3.66M,1.69,FOX,-0.230591852,-3.025775121,-0.038505968,4,10,2017
3-Oct-17,26.02,26,26.16,25.85,3.85M,-0.12,FOX,-0.19193858,-1.589704769,-0.344959755,3,10,2017
2-Oct-17,26.05,25.85,26.3,25.79,3.42M,1.01,FOX,0.232648313,-2.856069147,-4.18828762,2,10,2017
29-Sep-17,25.79,26.05,26.1,25.7,5.00M,-0.85,FOX,0.153787005,-1.437760121,-3.874538745,29,9,2017
28-Sep-17,26.01,26.61,26.68,25.95,2.81M,-2.84,FOX,-0.597683975,1.06342575,-1.480932988,28,9,2017
27-Sep-17,26.77,26.47,26.81,26.13,2.86M,1.32,FOX,0.189250568,0.341167551,-1.635079896,27,9,2017
26-Sep-17,26.42,26.63,26.7,26.4,1.93M,-0.71,FOX,0.075159714,1.370384469,-0.485799701,26,9,2017
25-Sep-17,26.61,26.33,26.83,26.33,2.50M,0.68,FOX,-0.378357927,1.152516327,-1.459580838,25,9,2017
22-Sep-17,26.43,26.24,26.47,26.21,1.37M,0.38,FOX,-0.34181542,-1.538461538,-1.390454716,22,9,2017
21-Sep-17,26.33,26.27,26.46,26.19,1.73M,-0.19,FOX,-0.416982563,1.038461538,-1.462865716,21,9,2017
20-Sep-17,26.38,26.32,26.53,26.26,2.35M,0.42,FOX,0.190331176,0.650095602,-2.446256486,20,9,2017
19-Sep-17,26.27,26.1,26.31,25.92,2.30M,0.92,FOX,0.268920476,2.513747054,-2.937895128,19,9,2017
18-Sep-17,26.03,26.66,26.66,25.86,2.66M,-2.33,FOX,0.037523452,3.856641995,-0.485255692,18,9,2017
15-Sep-17,26.65,26.03,26.66,25.88,11.35M,2.5,FOX,0.115384615,2.56107171,-3.19821495,15,9,2017
14-Sep-17,26,26.05,26.13,25.8,2.35M,-0.57,FOX,-0.382409178,2.639873916,-5.478955007,14,9,2017
13-Sep-17,26.15,25.42,26.16,25.38,3.25M,2.71,FOX,-0.157109191,-2.117828263,-7.361516035,13,9,2017
12-Sep-17,25.46,25.48,25.54,25.19,2.72M,-0.82,FOX,-0.740163615,-2.33806056,-8.246308967,12,9,2017
11-Sep-17,25.67,25.56,25.68,25.39,3.12M,1.14,FOX,0.709219858,-5.263157895,-8.189655172,11,9,2017
8-Sep-17,25.38,25.37,25.4,25.07,2.54M,0,FOX,-0.039401103,-6.383763838,-7.644703313,8,9,2017
7-Sep-17,25.38,26.04,26.09,24.78,4.48M,-2.27,FOX,0.269541779,-3.591262495,-5.34351145,7,9,2017
6-Sep-17,25.97,26.14,26.2,25.75,2.66M,-0.46,FOX,0.191644308,-2.861389818,-5.665824612,6,9,2017
5-Sep-17,26.09,26.97,27.02,25.91,3.23M,-3.3,FOX,-0.037064492,0.784753363,-3.125,5,9,2017
1-Sep-17,26.98,27.16,27.31,26.95,1.63M,-0.44,FOX,0.221402214,1.646706587,-3.207412687,1,9,2017
31-Aug-17,27.1,27.02,27.25,26.99,2.53M,0.33,FOX,0.037023325,1.540774145,-5.259467041,31,8,2017
30-Aug-17,27.01,26.9,27.23,26.85,2.06M,0.37,FOX,-0.037160907,0.900225056,-4.879773692,30,8,2017
29-Aug-17,26.91,26.56,27.02,26.56,1.75M,0.56,FOX,-0.747384155,-1.556708673,-8.1604426,29,8,2017
28-Aug-17,26.76,26.86,27.02,26.71,1.55M,0.15,FOX,0.523952096,-0.111565638,-6.378529104,28,8,2017
25-Aug-17,26.72,26.66,26.97,26.58,2.63M,0.41,FOX,0.187899286,-0.485255692,-7.782774127,25,8,2017
24-Aug-17,26.61,26.67,26.8,26.57,1.57M,-0.19,FOX,0.037509377,-0.81814801,-8.726899384,24,8,2017
23-Aug-17,26.66,26.87,26.91,26.64,2.83M,-1.19,FOX,-0.407709414,-2.503628447,-3.760744986,23,8,2017
22-Aug-17,26.98,26.99,27.06,26.81,1.60M,0.33,FOX,0.371885459,-1.639941691,-2.598339949,22,8,2017
21-Aug-17,26.89,26.84,26.91,26.56,2.00M,0.37,FOX,0.186636805,-3.348937703,-2.4,21,8,2017
18-Aug-17,26.79,26.74,27.09,26.72,2.46M,-0.37,FOX,-0.557828189,-3.951149425,-3.291139241,18,8,2017
17-Aug-17,26.89,27.52,27.61,26.86,2.57M,-2.43,FOX,-0.145137881,0.182016746,-0.325968852,17,8,2017
16-Aug-17,27.56,27.58,27.71,27.39,1.64M,0.44,FOX,0.510204082,0.254452926,0.436999272,16,8,2017
15-Aug-17,27.44,27.71,27.83,27.42,1.71M,-1.19,FOX,-0.216060497,0,1.875,15,8,2017
14-Aug-17,27.77,28,28.17,27.75,2.06M,-0.25,FOX,0.574712644,0.574712644,2.827763496,14,8,2017
11-Aug-17,27.84,27.72,27.93,27.47,1.71M,1.35,FOX,0.910083728,-1.211689237,0.653594771,11,8,2017
10-Aug-17,27.47,28.5,29.16,27.45,3.58M,-0.15,FOX,3.598691385,-0.070126227,4.01459854,10,8,2017
9-Aug-17,27.51,27.43,27.56,26.96,2.52M,-0.72,FOX,-1.010465536,-3.005657709,-3.108442247,9,8,2017
8-Aug-17,27.71,27.81,28.06,27.6,1.53M,-0.47,FOX,-0.107758621,-3.838174274,0.324675325,8,8,2017
7-Aug-17,27.84,28.04,28.11,27.8,1.27M,-0.78,FOX,-0.071275837,-2.265597769,0.718390805,7,8,2017
4-Aug-17,28.06,28.33,28.48,27.77,2.23M,-1.61,FOX,-0.666199158,-2.006226219,2.793904209,4,8,2017
3-Aug-17,28.52,28.27,28.7,28.15,2.15M,0.85,FOX,-0.035360679,-3.25119781,2.725290698,3,8,2017
2-Aug-17,28.28,28.67,28.71,28.16,2.36M,-2.21,FOX,-0.864453665,2.686246418,2.612741589,2,8,2017
1-Aug-17,28.92,28.81,29.21,28.76,2.25M,0.8,FOX,0.418264204,3.969686034,2.417348027,1,8,2017
31-Jul-17,28.69,29.02,29.02,28.49,2.48M,-0.76,FOX,0.38049118,5.527272727,4.126300682,31,7,2017
28-Jul-17,28.91,29.06,29.27,28.76,3.99M,-1.06,FOX,-0.547570157,5.099457505,4.758471521,28,7,2017
