"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","31.94","31.87","32.26","31.52","10.73M","-0.50"
"Nov 29, 2017","32.10","31.04","32.31","31.02","12.24M","4.02"
"Nov 28, 2017","30.86","30.60","30.91","30.32","7.50M","1.55"
"Nov 27, 2017","30.39","30.43","30.56","30.32","4.01M","-0.26"
"Nov 24, 2017","30.47","30.45","30.80","30.36","2.15M","-0.46"
"Nov 22, 2017","30.61","30.87","30.96","30.55","4.60M","-0.87"
"Nov 21, 2017","30.88","30.71","31.10","30.41","7.01M","0.72"
"Nov 20, 2017","30.66","31.02","31.62","30.39","13.34M","-1.57"
"Nov 17, 2017","31.15","31.19","31.46","30.22","35.34M","6.24"
"Nov 16, 2017","29.32","28.36","29.55","28.36","11.84M","2.05"
"Nov 15, 2017","28.73","27.88","28.83","27.53","15.05M","2.50"
"Nov 14, 2017","28.03","28.31","28.48","27.77","8.69M","-1.82"
"Nov 13, 2017","28.55","28.66","28.78","28.20","5.78M","-1.01"
"Nov 10, 2017","28.84","28.98","29.95","28.74","14.78M","0.49"
"Nov 09, 2017","28.70","27.33","29.77","27.29","19.21M","2.17"
"Nov 08, 2017","28.09","27.71","28.60","27.47","11.09M","1.23"
"Nov 07, 2017","27.75","27.42","28.60","27.42","25.61M","1.09"
"Nov 06, 2017","27.45","24.93","27.53","24.81","29.89M","9.93"
"Nov 03, 2017","24.97","25.78","25.89","24.91","11.42M","-3.25"
"Nov 02, 2017","25.81","26.00","26.17","25.56","10.08M","-0.65"
"Nov 01, 2017","25.98","26.29","26.52","25.95","4.80M","-0.65"
"Oct 31, 2017","26.15","26.48","26.48","26.01","4.39M","-0.91"
"Oct 30, 2017","26.39","26.30","26.70","26.19","4.91M","-0.08"
"Oct 27, 2017","26.41","26.03","26.44","25.56","8.69M","0.38"
"Oct 26, 2017","26.31","26.32","26.68","26.05","5.18M","0.69"
"Oct 25, 2017","26.13","26.18","26.35","26.00","4.14M","-0.38"
"Oct 24, 2017","26.23","26.62","26.70","26.21","5.34M","-1.72"
"Oct 23, 2017","26.69","27.51","27.57","26.64","5.64M","-2.95"
"Oct 20, 2017","27.50","27.55","27.64","27.30","8.88M","0.47"
"Oct 19, 2017","27.37","27.07","27.41","26.95","5.74M","0.70"
"Oct 18, 2017","27.18","26.96","27.39","26.84","8.36M","1.12"
"Oct 17, 2017","26.88","26.56","26.92","26.55","4.73M","0.71"
"Oct 16, 2017","26.69","26.54","26.87","26.42","5.92M","0.64"
"Oct 13, 2017","26.52","26.29","26.58","26.08","9.83M","1.45"
"Oct 12, 2017","26.14","25.80","26.41","25.78","13.16M","0.11"
"Oct 11, 2017","26.11","26.63","26.63","25.80","15.00M","-2.47"
"Oct 10, 2017","26.77","26.64","27.18","26.59","8.59M","0.71"
"Oct 09, 2017","26.58","27.00","27.01","26.57","3.96M","-1.52"
"Oct 06, 2017","26.99","26.96","27.02","26.73","6.36M","0.15"
"Oct 05, 2017","26.95","27.20","27.30","26.84","8.62M","-0.55"
"Oct 04, 2017","27.10","26.63","27.30","26.52","10.97M","1.76"
"Oct 03, 2017","26.63","26.65","26.77","26.45","5.03M","0.11"
"Oct 02, 2017","26.60","26.51","26.86","26.35","6.69M","0.83"
"Sep 29, 2017","26.38","26.57","26.66","26.24","8.90M","-0.68"
"Sep 28, 2017","26.56","27.12","27.22","26.50","8.14M","-2.78"
"Sep 27, 2017","27.32","27.09","27.35","26.66","7.97M","1.37"
"Sep 26, 2017","26.95","27.22","27.22","26.90","5.26M","-0.63"
"Sep 25, 2017","27.12","26.88","27.32","26.81","7.63M","0.89"
"Sep 22, 2017","26.88","26.67","26.93","26.66","2.31M","0.45"
"Sep 21, 2017","26.76","26.90","26.95","26.66","3.56M","-0.41"
"Sep 20, 2017","26.87","26.74","26.95","26.61","4.04M","0.64"
"Sep 19, 2017","26.70","26.57","26.73","26.34","8.03M","0.75"
"Sep 18, 2017","26.50","27.00","27.13","26.32","6.10M","-2.03"
"Sep 15, 2017","27.05","26.41","27.11","26.34","9.07M","2.08"
"Sep 14, 2017","26.50","26.47","26.58","26.23","8.25M","-0.34"
"Sep 13, 2017","26.59","25.91","26.60","25.78","10.23M","2.66"
"Sep 12, 2017","25.90","25.83","25.92","25.59","6.05M","-0.61"
"Sep 11, 2017","26.06","25.94","26.07","25.81","6.60M","1.05"
"Sep 08, 2017","25.79","25.75","25.87","25.49","7.76M","0.00"
"Sep 07, 2017","25.79","26.50","26.57","25.14","13.01M","-2.42"
"Sep 06, 2017","26.43","26.68","26.70","26.18","8.35M","-0.56"
"Sep 05, 2017","26.58","27.49","27.55","26.41","7.87M","-3.31"
"Sep 01, 2017","27.49","27.65","27.80","27.49","3.59M","-0.36"
"Aug 31, 2017","27.59","27.50","27.78","27.46","6.29M","0.51"
"Aug 30, 2017","27.45","27.29","27.72","27.28","3.73M","0.37"
"Aug 29, 2017","27.35","27.12","27.55","27.08","4.24M","0.37"
"Aug 28, 2017","27.25","27.31","27.54","27.20","5.47M","0.00"
"Aug 25, 2017","27.25","27.20","27.47","27.08","3.99M","0.55"
"Aug 24, 2017","27.10","27.18","27.27","27.05","4.02M","-0.18"
"Aug 23, 2017","27.15","27.38","27.39","27.12","5.53M","-1.02"
"Aug 22, 2017","27.43","27.46","27.52","27.29","3.12M","0.22"
"Aug 21, 2017","27.37","27.29","27.39","27.02","4.78M","0.40"
"Aug 18, 2017","27.26","27.17","27.57","27.17","4.69M","-0.33"
"Aug 17, 2017","27.35","27.91","28.05","27.30","4.82M","-2.29"
"Aug 16, 2017","27.99","27.84","28.14","27.81","4.84M","0.50"
"Aug 15, 2017","27.85","28.22","28.27","27.84","8.19M","-1.28"
"Aug 14, 2017","28.21","28.37","28.60","28.17","5.85M","0.00"
"Aug 11, 2017","28.21","28.15","28.34","27.89","6.81M","1.18"
"Aug 10, 2017","27.88","29.10","29.60","27.86","12.58M","-0.07"
"Aug 09, 2017","27.90","27.70","27.95","27.16","11.20M","-0.46"
"Aug 08, 2017","28.03","28.17","28.38","27.91","6.74M","-0.60"
"Aug 07, 2017","28.20","28.46","28.52","28.18","5.11M","-0.91"
"Aug 04, 2017","28.46","28.45","28.68","28.07","6.27M","-1.25"
"Aug 03, 2017","28.82","28.73","29.08","28.66","8.59M","0.45"
"Aug 02, 2017","28.69","28.81","29.09","28.54","9.24M","-1.85"
"Aug 01, 2017","29.23","29.22","29.55","29.13","11.04M","0.45"
"Jul 31, 2017","29.10","29.40","29.40","28.90","9.23M","-0.92"
"Jul 28, 2017","29.37","29.55","29.63","29.20","9.04M","-0.88"
"Jul 27, 2017","29.63","28.48","29.63","28.37","16.57M","5.15"
"Jul 26, 2017","28.18","28.01","28.30","27.89","6.55M","0.90"
"Jul 25, 2017","27.93","27.68","28.05","27.52","9.69M","0.90"
"Jul 24, 2017","27.68","27.80","27.86","27.49","6.78M","-0.57"
"Jul 21, 2017","27.84","27.77","28.09","27.71","6.39M","0.18"
"Jul 20, 2017","27.79","27.76","28.06","27.35","7.15M","0.54"
"Jul 19, 2017","27.64","27.52","27.72","27.35","8.58M","0.99"
"Jul 18, 2017","27.37","27.37","27.49","26.84","8.10M","-0.04"
"Jul 17, 2017","27.38","27.74","27.82","27.29","11.72M","-1.30"
"Jul 14, 2017","27.74","27.74","28.06","27.52","9.29M","0.62"
"Jul 13, 2017","27.57","28.52","28.81","27.40","17.14M","-3.77"
"Jul 12, 2017","28.65","28.40","28.68","28.32","8.78M","1.96"
"Jul 11, 2017","28.10","28.20","28.28","28.03","7.43M","-0.64"
"Jul 10, 2017","28.28","27.87","28.34","27.83","7.10M","1.36"
"Jul 07, 2017","27.90","27.92","28.15","27.75","6.74M","-0.18"
"Jul 06, 2017","27.95","28.22","28.23","27.90","6.92M","-1.45"
"Jul 05, 2017","28.36","28.62","28.62","28.25","8.39M","-0.56"
"Jul 03, 2017","28.52","28.47","28.81","28.35","4.52M","0.64"
"Jun 30, 2017","28.34","28.25","28.37","27.86","7.83M","0.53"
"Jun 29, 2017","28.19","28.06","28.81","27.95","8.85M","0.28"
"Jun 28, 2017","28.11","27.72","28.45","27.72","7.58M","1.81"
"Jun 27, 2017","27.61","27.99","28.23","27.61","8.72M","-1.53"
"Jun 26, 2017","28.04","27.32","28.26","27.26","9.36M","3.13"
"Jun 23, 2017","27.19","26.93","27.23","26.77","16.88M","0.82"
"Jun 22, 2017","26.97","27.29","27.29","26.94","5.51M","-1.03"
"Jun 21, 2017","27.25","27.25","27.54","26.90","7.27M","0.26"
"Jun 20, 2017","27.18","27.74","27.78","27.01","9.37M","-2.23"
"Jun 19, 2017","27.80","27.55","27.90","27.30","5.03M","1.28"
"Jun 16, 2017","27.45","27.50","27.76","27.20","9.90M","-1.05"
"Jun 15, 2017","27.74","27.50","27.81","27.45","7.33M","0.47"
"Jun 14, 2017","27.61","28.10","28.25","27.42","10.49M","-1.60"
"Jun 13, 2017","28.06","28.61","28.64","28.03","7.75M","-2.37"
"Jun 12, 2017","28.74","28.20","29.03","28.11","15.66M","2.06"
"Jun 09, 2017","28.16","27.34","28.20","27.20","15.13M","2.77"
"Jun 08, 2017","27.40","27.50","27.61","27.05","6.70M","-0.65"
"Jun 07, 2017","27.58","27.56","27.80","27.43","6.60M","0.18"
"Jun 06, 2017","27.53","27.66","27.94","27.48","11.06M","-0.76"
"Jun 05, 2017","27.74","27.84","27.89","27.39","10.54M","-0.68"
"Jun 02, 2017","27.93","27.86","28.21","27.78","18.87M","0.40"
"Jun 01, 2017","27.82","27.26","27.84","27.07","11.57M","2.58"
"May 31, 2017","27.12","27.18","27.18","26.89","6.96M","0.26"
"May 30, 2017","27.05","26.94","27.12","26.84","5.53M","0.07"
"May 26, 2017","27.03","27.31","27.36","26.96","8.21M","-1.10"
"May 25, 2017","27.33","26.90","27.78","26.67","17.26M","1.71"
"May 24, 2017","26.87","26.87","26.92","26.64","4.78M","0.49"
"May 23, 2017","26.74","27.36","27.36","26.61","11.03M","-1.91"
"May 22, 2017","27.26","27.21","27.34","27.04","11.43M","0.55"
"May 19, 2017","27.11","26.86","27.25","26.76","7.47M","0.93"
"May 18, 2017","26.86","26.87","27.05","26.72","6.92M","0.04"
"May 17, 2017","26.85","27.11","27.19","26.74","12.85M","-1.79"
"May 16, 2017","27.34","27.70","27.79","27.02","17.35M","-1.41"
"May 15, 2017","27.73","28.00","28.20","27.69","18.55M","-0.75"
"May 12, 2017","27.94","28.38","28.64","27.89","29.19M","-2.03"
"May 11, 2017","28.52","28.45","28.76","27.65","31.15M","2.22"
"May 10, 2017","27.90","28.07","28.27","27.77","27.52M","-1.17"
"May 09, 2017","28.23","28.35","28.51","28.04","14.81M","-0.60"
"May 08, 2017","28.40","29.14","29.19","28.32","16.40M","-2.54"
"May 05, 2017","29.14","29.16","29.39","28.45","15.44M","0.34"
"May 04, 2017","29.04","28.80","29.32","27.75","17.17M","0.55"
"May 03, 2017","28.88","30.50","30.50","28.70","21.62M","-5.09"
"May 02, 2017","30.43","30.44","30.51","30.28","6.28M","0.13"
"May 01, 2017","30.39","30.67","30.67","30.19","7.27M","-0.49"
"Apr 28, 2017","30.54","30.60","30.60","30.30","6.68M","-0.07"
"Apr 27, 2017","30.56","30.81","30.83","30.49","4.28M","-0.59"
"Apr 26, 2017","30.74","30.68","30.93","30.57","5.13M","0.42"
"Apr 25, 2017","30.61","30.47","30.73","30.41","6.24M","0.86"
"Apr 24, 2017","30.35","31.11","31.13","30.16","9.13M","-1.14"
"Apr 21, 2017","30.70","31.05","31.16","30.64","5.62M","-1.19"
"Apr 20, 2017","31.07","30.59","31.16","30.39","7.22M","2.24"
"Apr 19, 2017","30.39","30.77","30.92","30.39","9.32M","-0.88"
