Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,31.94,31.87,32.26,31.52,10.73M,-0.5,FOXA,-0.716510903,4.116301862,22.6712856,30,11,2017
29-Nov-17,32.1,31.04,32.31,31.02,12.24M,4.02,FOXA,0.583279326,0.518134715,18.6998088,29,11,2017
28-Nov-17,30.86,30.6,30.91,30.32,7.50M,1.55,FOXA,0.691016782,-0.195694716,15.9530125,28,11,2017
27-Nov-17,30.39,30.43,30.56,30.32,4.01M,-0.26,FOXA,-0.131276666,-2.311396469,15.221507,27,11,2017
24-Nov-17,30.47,30.45,30.8,30.36,2.15M,-0.46,FOXA,-0.522704998,3.854024557,15.7354618,24,11,2017
22-Nov-17,30.61,30.87,30.96,30.55,4.60M,-0.87,FOXA,-0.03238342,7.448659937,18.14006889,22,11,2017
21-Nov-17,30.88,30.71,31.1,30.41,7.01M,0.72,FOXA,0.16307893,9.561184445,17.07967976,21,11,2017
20-Nov-17,30.66,31.02,31.62,30.39,13.34M,-1.57,FOXA,-0.417335474,8.651488616,16.22330461,20,11,2017
17-Nov-17,31.15,31.19,31.46,30.22,35.34M,6.24,FOXA,6.377899045,8.148404993,13.41818182,17,11,2017
16-Nov-17,29.32,28.36,29.55,28.36,11.84M,2.05,FOXA,-1.287852419,-1.18466899,3.617099014,16,11,2017
15-Nov-17,28.73,27.88,28.83,27.53,15.05M,2.5,FOXA,-0.53514092,-0.74759701,2.575423105,15,11,2017
14-Nov-17,28.03,28.31,28.48,27.77,8.69M,-1.82,FOXA,-0.840630473,2.018018018,5.319940476,14,11,2017
13-Nov-17,28.55,28.66,28.78,28.2,5.78M,-1.01,FOXA,-0.624133148,4.408014572,7.381041589,13,11,2017
10-Nov-17,28.84,28.98,29.95,28.74,14.78M,0.49,FOXA,0.975609756,16.05927113,9.2760181,10,11,2017
9-Nov-17,28.7,27.33,29.77,27.29,19.21M,2.17,FOXA,-2.705589178,5.889190236,4.552410099,9,11,2017
8-Nov-17,28.09,27.71,28.6,27.47,11.09M,1.23,FOXA,-0.144144144,6.658968437,6.127920337,8,11,2017
7-Nov-17,27.75,27.42,28.6,27.42,25.61M,1.09,FOXA,-0.109289617,4.856596558,2.428091147,7,11,2017
6-Nov-17,27.45,24.93,27.53,24.81,29.89M,9.93,FOXA,-0.160192231,-5.532398636,-6.207674944,6,11,2017
3-Nov-17,24.97,25.78,25.89,24.91,11.42M,-3.25,FOXA,-0.116234018,-2.385460053,-4.483141904,3,11,2017
2-Nov-17,25.81,26,26.17,25.56,10.08M,-0.65,FOXA,0.076982294,-1.178259217,-3.525046382,2,11,2017
1-Nov-17,25.98,26.29,26.52,25.95,4.80M,-0.65,FOXA,0.535372849,0.612323,-2.988929889,1,11,2017
31-Oct-17,26.15,26.48,26.48,26.01,4.39M,-0.91,FOXA,0.341038272,0.953107129,-0.563274502,31,10,2017
30-Oct-17,26.39,26.3,26.7,26.19,4.91M,-0.08,FOXA,-0.416508898,-1.461221431,-1.127819549,30,10,2017
27-Oct-17,26.41,26.03,26.44,25.56,8.69M,0.38,FOXA,-1.064234132,-5.345454545,-1.326762699,27,10,2017
26-Oct-17,26.31,26.32,26.68,26.05,5.18M,0.69,FOXA,0.727133563,-3.836317136,-0.903614458,26,10,2017
25-Oct-17,26.13,26.18,26.35,26,4.14M,-0.38,FOXA,-0.190621426,-3.679175865,-4.172767204,25,10,2017
24-Oct-17,26.23,26.62,26.7,26.21,5.34M,-1.72,FOXA,-0.262270513,-0.967261905,-1.224489796,24,10,2017
23-Oct-17,26.69,27.51,27.57,26.64,5.64M,-2.95,FOXA,0.036363636,3.072311727,1.438053097,23,10,2017
20-Oct-17,27.5,27.55,27.64,27.3,8.88M,0.47,FOXA,0.657654366,3.883861237,2.492559524,20,10,2017
19-Oct-17,27.37,27.07,27.41,26.95,5.74M,0.7,FOXA,-0.404709345,3.557765876,1.158445441,19,10,2017
18-Oct-17,27.18,26.96,27.39,26.84,8.36M,1.12,FOXA,0.297619048,3.255457679,0.334946036,18,10,2017
17-Oct-17,26.88,26.56,26.92,26.55,4.73M,0.71,FOXA,-0.48707381,-0.784460217,-0.524344569,17,10,2017
16-Oct-17,26.69,26.54,26.87,26.42,5.92M,0.64,FOXA,0.075414781,-0.15048909,0.150943396,16,10,2017
13-Oct-17,26.52,26.29,26.58,26.08,9.83M,1.45,FOXA,0.573833206,-2.593553168,-2.80961183,13,10,2017
12-Oct-17,26.14,25.8,26.41,25.78,13.16M,0.11,FOXA,-1.187284565,-4.26716141,-2.641509434,12,10,2017
11-Oct-17,26.11,26.63,26.63,25.8,15.00M,-2.47,FOXA,-0.522973478,-1.734317343,0.150432493,11,10,2017
10-Oct-17,26.77,26.64,27.18,26.59,8.59M,0.71,FOXA,0.225733634,0.037551633,2.857142857,10,10,2017
9-Oct-17,26.58,27,27.01,26.57,3.96M,-1.52,FOXA,0.03705076,1.503759398,3.607060629,9,10,2017
6-Oct-17,26.99,26.96,27.02,26.73,6.36M,0.15,FOXA,0.037105751,2.19863533,4.536642109,6,10,2017
5-Oct-17,26.95,27.2,27.3,26.84,8.62M,-0.55,FOXA,0.36900369,2.409638554,5.467235363,5,10,2017
4-Oct-17,27.1,26.63,27.3,26.52,10.97M,1.76,FOXA,0,-2.525622255,0.756715853,4,10,2017
3-Oct-17,26.63,26.65,26.77,26.45,5.03M,0.11,FOXA,0.187969925,-1.113172542,0.263355907,3,10,2017
2-Oct-17,26.6,26.51,26.86,26.35,6.69M,0.83,FOXA,0.492797574,-2.249262537,-3.564932703,2,10,2017
29-Sep-17,26.38,26.57,26.66,26.24,8.90M,-0.68,FOXA,0.037650602,-1.15327381,-3.696991664,29,9,2017
28-Sep-17,26.56,27.12,27.22,26.5,8.14M,-2.78,FOXA,-0.732064422,1.34529148,-1.202185792,28,9,2017
27-Sep-17,27.32,27.09,27.35,26.66,7.97M,1.37,FOXA,0.519480519,0.818756978,-0.950639854,27,9,2017
26-Sep-17,26.95,27.22,27.22,26.9,5.26M,-0.63,FOXA,0.368731563,1.947565543,-0.110091743,26,9,2017
25-Sep-17,27.12,26.88,27.32,26.81,7.63M,0.89,FOXA,0,1.433962264,-1.357798165,25,9,2017
22-Sep-17,26.88,26.67,26.93,26.66,2.31M,0.45,FOXA,-0.33632287,-1.404805915,-1.586715867,22,9,2017
21-Sep-17,26.76,26.9,26.95,26.66,3.56M,-0.41,FOXA,0.111648679,1.509433962,-0.920810313,21,9,2017
20-Sep-17,26.87,26.74,26.95,26.61,4.04M,0.64,FOXA,0.149812734,0.56412185,-2.515493985,20,9,2017
19-Sep-17,26.7,26.57,26.73,26.34,8.03M,0.75,FOXA,0.264150943,2.586872587,-2.922908294,19,9,2017
18-Sep-17,26.5,27,27.13,26.32,6.10M,-2.03,FOXA,-0.184842884,3.607060629,-0.95377843,18,9,2017
15-Sep-17,27.05,26.41,27.11,26.34,9.07M,2.08,FOXA,-0.339622642,2.404032571,-3.436928702,15,9,2017
14-Sep-17,26.5,26.47,26.58,26.23,8.25M,-0.34,FOXA,-0.45129748,2.636680884,-5.430510897,14,9,2017
13-Sep-17,26.59,25.91,26.6,25.78,10.23M,2.66,FOXA,0.038610039,-1.967461218,-6.965888689,13,9,2017
12-Sep-17,25.9,25.83,25.92,25.59,6.05M,-0.61,FOXA,-0.882578665,-2.821670429,-8.436724566,12,9,2017
