"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","74.78","74.49","75.10","73.75","11.77M","1.51"
"Nov 29, 2017","73.67","72.84","74.20","72.57","9.91M","1.49"
"Nov 28, 2017","72.59","72.16","72.68","71.40","5.97M","1.24"
"Nov 27, 2017","71.70","72.51","72.60","71.52","4.91M","-1.05"
"Nov 24, 2017","72.46","72.76","72.92","72.23","2.34M","-0.49"
"Nov 22, 2017","72.82","72.48","73.09","72.35","4.37M","0.43"
"Nov 21, 2017","72.51","72.07","72.84","71.82","6.47M","0.53"
"Nov 20, 2017","72.13","72.41","72.61","71.55","6.45M","-0.43"
"Nov 17, 2017","72.44","72.27","72.62","72.12","5.72M","0.04"
"Nov 16, 2017","72.41","71.75","72.60","71.25","7.54M","0.84"
"Nov 15, 2017","71.81","70.63","72.10","70.53","8.54M","0.93"
"Nov 14, 2017","71.15","72.70","72.72","70.05","10.93M","-2.33"
"Nov 13, 2017","72.85","73.25","73.39","72.51","8.74M","-1.25"
"Nov 10, 2017","73.77","72.96","74.08","72.20","7.70M","1.03"
"Nov 09, 2017","73.02","73.04","73.42","72.62","5.82M","-0.11"
"Nov 08, 2017","73.10","73.32","73.37","72.72","8.10M","-0.15"
"Nov 07, 2017","73.21","72.41","73.34","72.32","7.82M","1.15"
"Nov 06, 2017","72.38","73.29","73.50","72.11","8.27M","-1.47"
"Nov 03, 2017","73.46","73.59","73.85","72.83","7.65M","-0.47"
"Nov 02, 2017","73.81","74.72","74.80","73.55","7.46M","-1.36"
"Nov 01, 2017","74.83","74.69","75.85","74.22","8.78M","-0.17"
"Oct 31, 2017","74.96","75.83","76.39","74.72","8.80M","-1.36"
"Oct 30, 2017","75.99","76.10","76.93","75.25","11.28M","-1.40"
"Oct 27, 2017","77.07","75.01","77.20","72.76","22.76M","-1.04"
"Oct 26, 2017","77.88","78.29","79.50","77.00","12.45M","-2.52"
"Oct 25, 2017","79.89","80.08","80.08","78.69","9.57M","-0.26"
"Oct 24, 2017","80.10","80.18","80.38","78.80","7.30M","-0.09"
"Oct 23, 2017","80.17","81.25","81.32","80.09","6.80M","-1.28"
"Oct 20, 2017","81.21","81.95","81.95","80.45","9.19M","-0.47"
"Oct 19, 2017","81.59","81.53","82.47","80.51","15.57M","1.97"
"Oct 18, 2017","80.01","80.26","80.84","79.76","7.18M","-0.29"
"Oct 17, 2017","80.24","80.00","80.71","79.56","7.04M","0.36"
"Oct 16, 2017","79.95","81.13","81.21","79.55","7.38M","-1.50"
"Oct 13, 2017","81.17","81.27","81.58","80.65","5.68M","-0.16"
"Oct 12, 2017","81.30","82.57","82.82","81.02","6.76M","-1.54"
"Oct 11, 2017","82.57","83.06","83.29","82.31","6.77M","-0.57"
"Oct 10, 2017","83.04","81.90","83.06","81.86","5.75M","1.29"
"Oct 09, 2017","81.98","82.36","82.76","81.56","3.96M","-0.19"
"Oct 06, 2017","82.14","82.94","83.22","81.95","5.80M","-1.64"
"Oct 05, 2017","83.51","82.22","83.53","82.13","6.72M","1.32"
"Oct 04, 2017","82.42","83.23","83.26","82.07","6.71M","-0.93"
"Oct 03, 2017","83.19","83.50","84.23","82.13","6.51M","-0.40"
"Oct 02, 2017","83.52","81.21","83.63","81.18","9.81M","3.09"
"Sep 29, 2017","81.02","81.20","81.96","79.31","13.30M","0.14"
"Sep 28, 2017","80.91","83.51","83.60","79.21","17.74M","-3.52"
"Sep 27, 2017","83.86","83.98","84.55","83.46","6.82M","0.12"
"Sep 26, 2017","83.76","83.67","84.73","83.55","7.90M","0.18"
"Sep 25, 2017","83.61","83.41","84.28","82.86","8.47M","0.41"
"Sep 22, 2017","83.27","82.47","83.37","82.01","5.65M","0.79"
"Sep 21, 2017","82.62","82.73","83.41","82.23","6.19M","-0.02"
"Sep 20, 2017","82.64","82.36","82.90","81.84","6.36M","0.43"
"Sep 19, 2017","82.29","83.39","83.39","82.13","6.31M","-0.82"
"Sep 18, 2017","82.97","82.53","83.50","81.54","7.89M","0.74"
