Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,74.78,74.49,75.1,73.75,11.77M,1.51,GILD,1.113071807,2.293326009,-0.454363223,30,11,2017
29-Nov-17,73.67,72.84,74.2,72.57,9.91M,1.49,GILD,0.344400055,0.45510964,-2.828175027,29,11,2017
28-Nov-17,72.59,72.16,72.68,71.4,5.97M,1.24,GILD,0.641562064,0.041591571,-5.04013686,28,11,2017
27-Nov-17,71.7,72.51,72.6,71.52,4.91M,-1.05,GILD,0.069003588,0.096631695,-5.916699105,27,11,2017
24-Nov-17,72.46,72.76,72.92,72.23,2.34M,-0.49,GILD,-0.082394946,0.483358652,-6.574216744,24,11,2017
22-Nov-17,72.82,72.48,73.09,72.35,4.37M,0.43,GILD,-0.041373604,0.933017686,-9.275253474,22,11,2017
21-Nov-17,72.51,72.07,72.84,71.82,6.47M,0.53,GILD,-0.083183142,1.293042867,-10.02496879,21,11,2017
20-Nov-17,72.13,72.41,72.61,71.55,6.45M,-0.43,GILD,-0.041413584,-0.603980782,-9.679431209,20,11,2017
17-Nov-17,72.44,72.27,72.62,72.12,5.72M,0.04,GILD,-0.193343461,-2.033346889,-11.00849649,17,11,2017
16-Nov-17,72.41,71.75,72.6,71.25,7.54M,0.84,GILD,-0.083553823,-1.739249521,-12.06030151,16,11,2017
15-Nov-17,71.81,70.63,72.1,70.53,8.54M,0.93,GILD,-0.730850316,-3.378932969,-11.72353456,15,11,2017
14-Nov-17,71.15,72.7,72.72,70.05,10.93M,-2.33,GILD,-0.205902539,-0.696626144,-9.396809571,14,11,2017
13-Nov-17,72.85,73.25,73.39,72.51,8.74M,-1.25,GILD,-0.704893588,1.2019895,-8.380237649,13,11,2017
10-Nov-17,73.77,72.96,74.08,72.2,7.70M,1.03,GILD,-0.082169269,-0.680642527,-10.11457435,10,11,2017
9-Nov-17,73.02,73.04,73.42,72.62,5.82M,-0.11,GILD,-0.082079343,-1.043219076,-10.1599016,9,11,2017
8-Nov-17,73.1,73.32,73.37,72.72,8.10M,-0.15,GILD,0.150252698,-2.017907256,-11.20261596,8,11,2017
7-Nov-17,73.21,72.41,73.34,72.32,7.82M,1.15,GILD,0.041447914,-3.401814301,-12.80105973,7,11,2017
6-Nov-17,72.38,73.29,73.5,72.11,8.27M,-1.47,GILD,-0.231418459,-3.553099092,-10.60014638,6,11,2017
3-Nov-17,73.46,73.59,73.85,72.83,7.65M,-0.47,GILD,-0.298062593,-4.515375633,-10.40905771,3,11,2017
2-Nov-17,73.81,74.72,74.8,73.55,7.46M,-1.36,GILD,-0.146999866,-4.057524397,-10.52568555,2,11,2017
1-Nov-17,74.83,74.69,75.85,74.22,8.78M,-0.17,GILD,-0.360192102,-6.508949806,-9.378791555,1,11,2017
31-Oct-17,74.96,75.83,76.39,74.72,8.80M,-1.36,GILD,-0.21055402,-5.330836454,-8.847217214,31,10,2017
30-Oct-17,75.99,76.1,76.93,75.25,11.28M,-1.4,GILD,-1.258596081,-5.076711987,-8.884099617,30,10,2017
27-Oct-17,77.07,75.01,77.2,72.76,22.76M,-1.04,GILD,-3.685156651,-7.634527768,-7.417921501,27,10,2017
26-Oct-17,77.88,78.29,79.5,77,12.45M,-2.52,GILD,-2.002753786,-4.04461331,-3.238165863,26,10,2017
25-Oct-17,79.89,80.08,80.08,78.69,9.57M,-0.26,GILD,-0.024968789,0.087489064,-4.507512521,25,10,2017
24-Oct-17,80.1,80.18,80.38,78.8,7.30M,-0.09,GILD,0.012473494,-0.074775673,-4.274116523,24,10,2017
23-Oct-17,80.17,81.25,81.32,80.09,6.80M,-1.28,GILD,0.049255018,1.62601626,-2.822628872,23,10,2017
20-Oct-17,81.21,81.95,81.95,80.45,9.19M,-0.47,GILD,0.441230543,0.960946162,-1.585204756,20,10,2017
19-Oct-17,81.59,81.53,82.47,80.51,15.57M,1.97,GILD,1.89976253,0.282902829,-1.319293149,19,10,2017
18-Oct-17,80.01,80.26,80.84,79.76,7.18M,-0.29,GILD,0.024925224,-2.797626257,-2.879961278,18,10,2017
17-Oct-17,80.24,80,80.71,79.56,7.04M,0.36,GILD,0.062539087,-3.66088632,-2.782841171,17,10,2017
16-Oct-17,79.95,81.13,81.21,79.55,7.38M,-1.5,GILD,-0.04927929,-1.036838253,-2.217669037,16,10,2017
13-Oct-17,81.17,81.27,81.58,80.65,5.68M,-0.16,GILD,-0.036900369,-1.059167275,-1.323457989,13,10,2017
12-Oct-17,81.3,82.57,82.82,81.02,6.76M,-1.54,GILD,0,-1.125613699,0.340260056,12,10,2017
11-Oct-17,82.57,83.06,83.29,82.31,6.77M,-0.57,GILD,0.024084778,0.776510556,-0.740917782,11,10,2017
10-Oct-17,83.04,81.9,83.06,81.86,5.75M,1.29,GILD,-0.097584777,-1.550667147,-3.088391906,10,10,2017
9-Oct-17,81.98,82.36,82.76,81.56,3.96M,-0.19,GILD,0.267835403,-1.388888889,-2.55560814,9,10,2017
6-Oct-17,82.14,82.94,83.22,81.95,5.80M,-1.64,GILD,-0.682552988,2.369785238,-2.538190364,6,10,2017
5-Oct-17,83.51,82.22,83.53,82.13,6.72M,1.32,GILD,-0.242659549,1.619082932,-3.802503803,5,10,2017
