Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,"1,021.41","1,022.37","1,028.49","1,015.00",1.72M,-0.02,GOOG,0.069494744,-1.311826711,-0.305216967,30,11,2017
29-Nov-17,"1,021.66","1,042.68","1,044.08","1,015.65",2.46M,-2.46,GOOG,-0.451590113,0.791694458,2.561378659,29,11,2017
28-Nov-17,"1,047.41","1,055.09","1,062.38","1,040.00",1.42M,-0.65,GOOG,0.083474829,3.604744791,3.734109388,28,11,2017
27-Nov-17,"1,054.21","1,040.00","1,055.46","1,038.44",1.31M,1.31,GOOG,-0.058619464,2.051830555,2.03380851,27,11,2017
24-Nov-17,"1,040.61","1,035.87","1,043.18","1,035.00",537.00K,0.45,GOOG,-0.008687594,0.326392252,6.509624085,24,11,2017
22-Nov-17,"1,035.96","1,035.00","1,039.71","1,031.43",746.88K,0.14,GOOG,0.049299655,1.380141247,6.335980603,22,11,2017
21-Nov-17,"1,034.49","1,023.31","1,035.11","1,022.65",1.10M,1.58,GOOG,0.484102202,-0.262183236,5.437179302,21,11,2017
20-Nov-17,"1,018.38","1,020.26","1,022.61","1,017.50",953.47K,-0.07,GOOG,0.114808309,-0.535218133,5.34978574,20,11,2017
17-Nov-17,"1,019.09","1,034.01","1,034.42","1,017.75",1.40M,-1.3,GOOG,0.146246973,0.577781669,4.635701275,17,11,2017
16-Nov-17,"1,032.50","1,022.52","1,035.92","1,022.52",1.13M,1.14,GOOG,0.157702442,-0.847506933,3.867133933,16,11,2017
15-Nov-17,"1,020.91","1,019.21","1,024.09","1,015.42",853.99K,-0.5,GOOG,-0.661793372,-1.984901669,2.659119066,15,11,2017
14-Nov-17,"1,026.00","1,022.59","1,026.81","1,014.15",959.22K,0.02,GOOG,-0.308067268,-1.039358191,3.06496805,14,11,2017
13-Nov-17,"1,025.75","1,023.42","1,031.58","1,022.57",885.78K,-0.23,GOOG,-0.452303831,-0.241738961,3.16733871,13,11,2017
10-Nov-17,"1,028.07","1,026.46","1,030.76","1,025.28",720.68K,-0.31,GOOG,-0.465450032,-0.583062142,3.71635276,10,11,2017
9-Nov-17,"1,031.26","1,033.99","1,033.99","1,019.67",1.25M,-0.83,GOOG,-0.563542819,0.820023791,4.672868813,9,11,2017
8-Nov-17,"1,039.85","1,030.52","1,043.52","1,028.45",1.09M,0.63,GOOG,-0.271936361,0.489517309,4.171847359,8,11,2017
7-Nov-17,"1,033.33","1,027.27","1,033.97","1,025.13",1.11M,0.72,GOOG,0.133541281,1.045601196,5.621015834,7,11,2017
6-Nov-17,"1,025.90","1,028.99","1,034.87","1,025.00",1.13M,-0.64,GOOG,-0.338021075,1.168015259,5.321392016,6,11,2017
3-Nov-17,"1,032.48","1,022.11","1,032.65","1,020.31",1.08M,0.67,GOOG,-0.338345132,0.278630785,4.415204977,3,11,2017
2-Nov-17,"1,025.58","1,021.76","1,028.09","1,013.01",1.05M,0.01,GOOG,-0.364700146,5.058813852,5.340426409,2,11,2017
1-Nov-17,"1,025.50","1,017.21","1,029.67","1,016.95",1.37M,0.87,GOOG,0.056067044,4.508234617,6.885717888,1,11,2017
31-Oct-17,"1,016.64","1,015.22","1,024.00","1,010.42",1.33M,-0.05,GOOG,-0.185820609,4.603622725,5.996095177,31,10,2017
30-Oct-17,"1,017.11","1,014.00","1,024.97","1,007.50",2.09M,-0.21,GOOG,-0.517036703,4.703392018,6.370702949,30,10,2017
27-Oct-17,"1,019.27","1,009.19","1,048.39","1,008.20",5.17M,4.8,GOOG,3.766348606,2.124063955,5.221507439,27,10,2017
26-Oct-17,972.56,980,987.6,972.2,2.04M,-0.08,GOOG,0.685276319,-0.452029052,3.212216956,26,10,2017
25-Oct-17,973.33,968.37,976.09,960.52,1.21M,0.29,GOOG,-0.223586869,-2.46169962,2.528348633,25,10,2017
24-Oct-17,970.54,970,972.23,961,1.21M,0.22,GOOG,0.160049564,-2.235481465,4.880738706,24,10,2017
23-Oct-17,968.45,989.52,989.52,966.12,1.48M,-2,GOOG,0.133576199,-0.25,7.443239193,23,10,2017
20-Oct-17,988.2,989.44,991,984.58,1.18M,0.38,GOOG,0.506882015,-0.024250263,6.559831131,20,10,2017
19-Oct-17,984.45,986,988.88,978.39,1.31M,-0.84,GOOG,-0.68593185,-0.185254548,5.742935278,19,10,2017
18-Oct-17,992.81,991.77,996.72,986.97,1.06M,0.06,GOOG,-0.041323147,0.254738438,6.461066146,18,10,2017
17-Oct-17,992.18,990.29,996.44,988.59,1.29M,0.02,GOOG,-0.172379032,1.818836109,7.428862781,17,10,2017
16-Oct-17,992,992.1,993.91,984,910.54K,0.23,GOOG,0.244523482,1.545547595,8.426229508,16,10,2017
13-Oct-17,989.68,992,997.21,989,1.17M,0.19,GOOG,0.422137412,1.339272033,7.792109009,13,10,2017
12-Oct-17,987.83,987.45,994.12,985,1.26M,-0.14,GOOG,-0.181956027,1.803167141,6.738658106,12,10,2017
11-Oct-17,989.25,973.72,990.71,972.25,1.69M,1.71,GOOG,0.115155254,2.315904506,4.131153151,11,10,2017
10-Oct-17,972.6,980,981.57,966.08,968.36K,-0.45,GOOG,0.307062436,2.318879921,5.142317637,10,10,2017
9-Oct-17,977,980,985.42,976.11,891.36K,-0.19,GOOG,0.113393742,2.804032436,5.480690576,9,10,2017
6-Oct-17,978.89,966.7,979.46,963.36,1.17M,0.92,GOOG,-0.336096334,0.791358655,4.338909876,6,10,2017
5-Oct-17,969.96,955.49,970.91,955.18,1.21M,1.92,GOOG,0.400344654,0.630858346,2.087718361,5,10,2017
