"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","1,036.17","1,039.94","1,044.14","1,030.07","2.25M","-0.12"
"Nov 29, 2017","1,037.38","1,056.18","1,058.77","1,029.65","2.79M","-2.44"
"Nov 28, 2017","1,063.29","1,073.99","1,080.00","1,054.54","1.82M","-0.81"
"Nov 27, 2017","1,072.01","1,058.57","1,073.04","1,054.77","1.77M","1.47"
"Nov 24, 2017","1,056.52","1,054.39","1,060.07","1,051.92","825.37K","0.44"
"Nov 22, 2017","1,051.92","1,051.16","1,055.43","1,047.25","726.90K","0.15"
"Nov 21, 2017","1,050.30","1,040.04","1,050.39","1,039.14","1.11M","1.51"
"Nov 20, 2017","1,034.66","1,036.00","1,038.69","1,032.67","876.32K","-0.12"
"Nov 17, 2017","1,035.89","1,049.80","1,051.00","1,033.73","1.34M","-1.20"
"Nov 16, 2017","1,048.47","1,038.75","1,051.76","1,038.00","1.19M","1.16"
"Nov 15, 2017","1,036.41","1,035.00","1,039.63","1,030.76","905.26K","-0.50"
"Nov 14, 2017","1,041.64","1,037.72","1,042.30","1,029.33","1.05M","0.04"
"Nov 13, 2017","1,041.20","1,040.80","1,048.74","1,039.26","940.72K","-0.28"
"Nov 10, 2017","1,044.15","1,043.87","1,046.63","1,041.22","972.13K","-0.34"
"Nov 09, 2017","1,047.72","1,048.00","1,050.88","1,035.85","1.79M","-1.00"
"Nov 08, 2017","1,058.29","1,050.05","1,062.69","1,047.05","1.21M","0.56"
"Nov 07, 2017","1,052.39","1,049.65","1,053.41","1,043.00","1.31M","0.93"
"Nov 06, 2017","1,042.68","1,049.10","1,052.59","1,042.00","914.75K","-0.70"
"Nov 03, 2017","1,049.99","1,042.75","1,050.66","1,037.65","1.39M","0.67"
"Nov 02, 2017","1,042.97","1,039.99","1,045.52","1,028.66","1.33M","0.04"
"Nov 01, 2017","1,042.60","1,036.32","1,047.86","1,034.00","2.16M","0.93"
"Oct 31, 2017","1,033.04","1,033.00","1,041.00","1,026.30","1.52M","-0.01"
"Oct 30, 2017","1,033.13","1,029.16","1,039.83","1,022.33","2.34M","-0.05"
"Oct 27, 2017","1,033.67","1,030.99","1,063.62","1,026.85","5.18M","4.26"
"Oct 26, 2017","991.42","998.47","1,006.51","990.47","2.37M","-0.00"
"Oct 25, 2017","991.46","986.27","994.43","977.72","1.53M","0.30"
"Oct 24, 2017","988.49","986.50","989.26","977.08","1.45M","0.30"
"Oct 23, 2017","985.54","1,005.18","1,005.79","983.10","1.64M","-1.94"
"Oct 20, 2017","1,005.07","1,007.05","1,008.65","1,002.27","1.61M","0.32"
"Oct 19, 2017","1,001.84","1,004.75","1,007.32","997.30","1.71M","-1.08"
"Oct 18, 2017","1,012.74","1,011.05","1,016.31","1,005.32","1.28M","0.17"
"Oct 17, 2017","1,011.00","1,007.44","1,014.56","1,006.05","1.01M","0.16"
"Oct 16, 2017","1,009.35","1,009.63","1,012.00","1,001.52","1.07M","0.15"
"Oct 13, 2017","1,007.87","1,009.11","1,014.76","1,007.06","1.33M","0.22"
"Oct 12, 2017","1,005.65","1,003.84","1,011.54","1,001.10","1.53M","0.00"
"Oct 11, 2017","1,005.65","989.04","1,007.57","987.94","1.81M","1.81"
"Oct 10, 2017","987.80","995.30","997.47","981.11","1.16M","-0.45"
"Oct 09, 2017","992.31","995.00","1,000.46","991.50","1.30M","-0.13"
"Oct 06, 2017","993.64","980.00","994.26","978.51","1.55M","0.86"
"Oct 05, 2017","985.19","972.79","986.51","970.27","1.78M","1.90"
"Oct 04, 2017","966.78","971.76","974.40","965.61","1.06M","-0.55"
"Oct 03, 2017","972.08","967.56","972.44","962.71","1.08M","0.48"
"Oct 02, 2017","967.47","975.65","977.74","961.95","1.54M","-0.64"
"Sep 29, 2017","973.72","966.00","975.81","966.00","2.03M","0.92"
"Sep 28, 2017","964.81","956.25","966.18","955.55","1.40M","0.51"
"Sep 27, 2017","959.90","942.74","965.43","941.95","2.33M","2.40"
"Sep 26, 2017","937.43","936.69","944.08","935.12","1.67M","0.34"
"Sep 25, 2017","934.28","939.45","939.75","924.51","1.87M","-0.95"
"Sep 22, 2017","943.26","942.77","950.00","940.84","1.07M","-0.45"
"Sep 21, 2017","947.55","948.13","952.80","939.38","1.37M","0.00"
"Sep 20, 2017","947.54","937.73","950.00","937.50","2.00M","1.14"
"Sep 19, 2017","936.86","933.41","937.94","926.66","1.24M","0.76"
"Sep 18, 2017","929.75","935.01","936.86","925.40","1.47M","-0.59"
"Sep 15, 2017","935.29","940.09","941.75","931.25","1.99M","-0.51"
"Sep 14, 2017","940.13","946.00","948.03","938.36","1.43M","-1.08"
"Sep 13, 2017","950.44","945.50","952.85","944.74","1.10M","0.40"
"Sep 12, 2017","946.65","946.92","948.09","937.50","1.28M","0.36"
"Sep 11, 2017","943.29","947.20","952.68","941.00","1.34M","0.20"
"Sep 08, 2017","941.41","949.70","950.70","940.01","999.92K","-0.89"
"Sep 07, 2017","949.89","944.25","950.50","937.53","1.12M","0.84"
"Sep 06, 2017","942.02","943.87","944.50","932.68","1.39M","0.06"
"Sep 05, 2017","941.48","946.86","951.39","935.60","1.46M","-1.10"
"Sep 01, 2017","951.99","957.47","958.33","950.28","1.04M","-0.34"
"Aug 31, 2017","955.24","946.30","957.20","946.25","1.69M","1.23"
"Aug 30, 2017","943.63","935.67","945.86","934.05","1.12M","0.84"
"Aug 29, 2017","935.75","919.95","938.19","919.31","1.16M","0.82"
"Aug 28, 2017","928.13","931.88","934.85","926.11","1.05M","-0.25"
"Aug 25, 2017","930.50","939.21","940.73","930.10","1.19M","-0.68"
"Aug 24, 2017","936.89","943.71","946.31","930.74","1.29M","-0.60"
"Aug 23, 2017","942.58","937.00","945.42","935.24","1.13M","0.23"
"Aug 22, 2017","940.40","926.96","941.96","926.17","1.78M","2.12"
"Aug 21, 2017","920.87","925.77","928.25","918.60","1.30M","-0.57"
"Aug 18, 2017","926.18","926.98","931.02","923.45","1.34M","-0.16"
"Aug 17, 2017","927.66","942.95","943.81","927.64","1.70M","-1.76"
"Aug 16, 2017","944.27","941.25","949.90","940.04","1.35M","0.66"
"Aug 15, 2017","938.08","941.03","943.07","936.64","1.11M","-0.09"
"Aug 14, 2017","938.93","939.07","941.04","934.49","1.15M","0.95"
"Aug 11, 2017","930.09","923.71","933.36","921.22","1.62M","0.70"
"Aug 10, 2017","923.59","935.00","936.30","921.78","2.71M","-1.75"
"Aug 09, 2017","940.08","938.45","943.76","933.92","1.40M","-0.44"
"Aug 08, 2017","944.19","944.29","952.49","942.48","1.51M","-0.16"
"Aug 07, 2017","945.75","947.52","948.96","943.50","1.45M","-0.00"
"Aug 04, 2017","945.79","943.95","947.54","939.79","1.25M","0.58"
"Aug 03, 2017","940.30","949.10","950.00","939.44","1.12M","-0.77"
"Aug 02, 2017","947.64","948.37","949.10","932.52","2.04M","0.11"
"Aug 01, 2017","946.56","947.81","954.49","944.96","1.33M","0.11"
"Jul 31, 2017","945.50","960.00","961.19","941.73","2.29M","-1.34"
"Jul 28, 2017","958.33","947.99","961.79","945.31","1.81M","0.61"
"Jul 27, 2017","952.51","969.18","969.52","937.06","3.72M","-1.33"
"Jul 26, 2017","965.31","972.78","973.95","960.23","2.22M","-0.38"
"Jul 25, 2017","969.03","970.70","976.73","963.80","5.93M","-2.93"
"Jul 24, 2017","998.31","994.10","1,006.19","990.27","3.98M","0.45"
"Jul 21, 2017","993.84","989.00","995.11","984.17","1.46M","0.17"
"Jul 20, 2017","992.19","997.00","998.68","984.62","1.42M","-0.06"
"Jul 19, 2017","992.77","990.01","995.60","987.01","1.41M","0.59"
"Jul 18, 2017","986.95","973.36","990.85","972.04","1.41M","1.13"
"Jul 17, 2017","975.96","976.32","983.35","970.80","1.66M","-0.10"
"Jul 14, 2017","976.91","974.00","977.54","970.15","1.08M","0.83"
"Jul 13, 2017","968.85","970.80","978.70","964.80","1.52M","0.12"
"Jul 12, 2017","967.66","960.86","969.63","957.04","1.60M","1.48"
"Jul 11, 2017","953.53","950.52","954.89","945.12","1.46M","0.27"
"Jul 10, 2017","951.00","941.95","953.13","941.95","1.45M","1.08"
"Jul 07, 2017","940.81","930.99","944.66","929.79","1.66M","1.41"
"Jul 06, 2017","927.69","925.00","936.14","919.85","2.01M","-0.49"
"Jul 05, 2017","932.26","924.20","936.29","918.63","2.09M","1.39"
"Jul 03, 2017","919.46","933.22","934.24","915.31","1.69M","-1.10"
"Jun 30, 2017","929.68","943.99","945.00","929.61","2.29M","-0.87"
"Jun 29, 2017","937.82","951.35","951.66","929.60","3.21M","-2.41"
"Jun 28, 2017","961.01","950.66","963.24","936.16","2.75M","1.36"
"Jun 27, 2017","948.09","961.60","967.22","947.09","2.44M","-2.47"
"Jun 26, 2017","972.09","990.00","993.99","970.33","1.52M","-1.42"
"Jun 23, 2017","986.09","975.50","986.62","974.46","1.56M","0.97"
"Jun 22, 2017","976.62","976.87","980.50","973.31","1.01M","-0.20"
"Jun 21, 2017","978.59","970.79","979.67","969.16","1.16M","0.99"
"Jun 20, 2017","968.99","975.31","980.79","968.20","1.30M","-0.64"
"Jun 19, 2017","975.22","969.65","979.30","968.20","1.47M","1.73"
"Jun 16, 2017","958.62","957.91","959.95","948.70","2.56M","-0.16"
"Jun 15, 2017","960.18","948.02","960.68","940.37","2.43M","-0.80"
"Jun 14, 2017","967.93","975.50","979.70","959.51","1.51M","-0.26"
"Jun 13, 2017","970.50","972.04","977.91","962.01","2.01M","0.90"
"Jun 12, 2017","961.81","958.72","968.00","936.79","4.20M","-0.86"
"Jun 09, 2017","970.12","1,005.49","1,005.50","953.37","3.65M","-3.40"
"Jun 08, 2017","1,004.28","1,004.23","1,005.60","996.62","1.69M","0.27"
"Jun 07, 2017","1,001.59","998.82","1,003.91","995.81","1.37M","0.49"
"Jun 06, 2017","996.68","1,003.31","1,008.61","994.80","1.55M","-0.72"
"Jun 05, 2017","1,003.88","997.89","1,007.40","995.45","1.38M","0.78"
"Jun 02, 2017","996.12","988.59","996.48","987.07","1.74M","0.79"
"Jun 01, 2017","988.29","990.96","993.14","981.29","1.31M","0.12"
"May 31, 2017","987.09","996.21","999.60","981.68","1.72M","-0.91"
"May 30, 2017","996.17","992.50","997.62","991.36","1.52M","0.29"
"May 26, 2017","993.27","992.00","996.39","987.36","1.64M","0.14"
"May 25, 2017","991.86","979.00","995.78","977.82","1.95M","1.46"
"May 24, 2017","977.61","975.26","978.12","971.63","1.14M","0.73"
"May 23, 2017","970.55","969.96","974.51","964.50","1.55M","0.67"
"May 22, 2017","964.07","957.00","964.82","956.56","1.39M","0.99"
"May 19, 2017","954.65","952.82","959.56","952.00","1.36M","0.44"
"May 18, 2017","950.50","943.20","954.18","941.27","1.80M","0.88"
"May 17, 2017","942.17","959.70","960.99","940.06","2.45M","-2.33"
"May 16, 2017","964.61","963.55","965.90","960.35","1.10M","0.56"
"May 15, 2017","959.22","955.29","962.70","952.82","1.34M","0.43"
"May 12, 2017","955.14","957.85","957.98","952.06","1.21M","-0.08"
"May 11, 2017","955.89","951.29","957.99","948.61","1.03M","0.11"
"May 10, 2017","954.84","956.22","956.71","949.84","1.15M","-0.20"
"May 09, 2017","956.71","961.33","962.20","954.40","1.69M","-0.21"
"May 08, 2017","958.69","947.45","960.99","947.39","1.88M","0.88"
"May 05, 2017","950.28","956.72","958.44","948.10","1.62M","-0.47"
"May 04, 2017","954.72","950.29","959.14","947.37","1.94M","0.66"
"May 03, 2017","948.45","936.05","950.20","935.21","1.82M","1.21"
"May 02, 2017","937.09","933.27","942.99","931.00","1.75M","0.46"
"May 01, 2017","932.82","924.15","935.82","920.80","2.33M","0.90"
"Apr 28, 2017","924.52","929.00","935.90","923.22","3.85M","3.71"
"Apr 27, 2017","891.44","890.00","893.38","887.18","2.34M","0.26"
"Apr 26, 2017","889.14","891.39","892.99","885.15","1.32M","0.03"
"Apr 25, 2017","888.84","882.26","892.25","879.28","2.04M","1.13"
"Apr 24, 2017","878.93","868.44","879.96","866.11","1.70M","2.33"
"Apr 21, 2017","858.95","860.62","862.44","857.73","1.17M","-0.13"
"Apr 20, 2017","860.08","859.74","863.93","857.50","1.19M","0.42"
"Apr 19, 2017","856.51","857.38","860.20","853.53","1.08M","0.30"
"Apr 18, 2017","853.99","852.54","857.39","851.25","936.20K","-0.13"
"Apr 17, 2017","855.13","841.38","855.64","841.03","1.05M","1.78"
