Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,"1,036.17","1,039.94","1,044.14","1,030.07",2.25M,-0.12,GOOGL,0.246775531,-1.138869876,-0.255131402,30,11,2017
29-Nov-17,"1,037.38","1,056.18","1,058.77","1,029.65",2.79M,-2.44,GOOGL,-0.668679288,0.559840046,2.239990707,29,11,2017
28-Nov-17,"1,063.29","1,073.99","1,080.00","1,054.54",1.82M,-0.81,GOOGL,0.18469977,3.801248719,3.954971785,28,11,2017
27-Nov-17,"1,072.01","1,058.57","1,073.04","1,054.77",1.77M,1.47,GOOGL,0.194033241,2.189421657,2.408892587,27,11,2017
24-Nov-17,"1,056.52","1,054.39","1,060.07","1,051.92",825.37K,0.44,GOOGL,0.234808731,0.564632274,6.351495834,24,11,2017
22-Nov-17,"1,051.92","1,051.16","1,055.43","1,047.25",726.90K,0.15,GOOGL,0.081881367,1.423181945,6.021422952,22,11,2017
21-Nov-17,"1,050.30","1,040.04","1,050.39","1,039.14",1.11M,1.51,GOOGL,0.519977577,-0.153603932,5.215024937,21,11,2017
20-Nov-17,"1,034.66","1,036.00","1,038.69","1,032.67",876.32K,-0.12,GOOGL,0.010618888,-0.499423742,5.120035716,20,11,2017
17-Nov-17,"1,035.89","1,049.80","1,051.00","1,033.73",1.34M,-1.2,GOOGL,0.126851507,0.541109994,4.450436288,17,11,2017
16-Nov-17,"1,048.47","1,038.75","1,051.76","1,038.00",1.19M,1.16,GOOGL,0.225779373,-0.856144772,3.684221033,16,11,2017
15-Nov-17,"1,036.41","1,035.00","1,039.63","1,030.76",905.26K,-0.5,GOOGL,-0.637456319,-2.200720029,2.197997512,15,11,2017
14-Nov-17,"1,041.64","1,037.72","1,042.30","1,029.33",1.05M,0.04,GOOGL,-0.334229735,-1.393969916,2.642927794,14,11,2017
13-Nov-17,"1,041.20","1,040.80","1,048.74","1,039.26",940.72K,-0.28,GOOGL,-0.320835129,-0.1803046,3.115866647,13,11,2017
