Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,93.02,92.95,93.92,92.55,1.07M,0.19,HAS,0.118483412,-2.18878249,2.74124019,30,11,2017
29-Nov-17,92.84,93.72,93.92,92.81,979.25K,-1,HAS,-0.063979527,-1.399263546,1.220434172,29,11,2017
28-Nov-17,93.78,93.78,94.19,93.31,741.53K,0.09,HAS,0.085378869,-1.304988423,-1.770189588,28,11,2017
27-Nov-17,93.7,94.92,95.22,93.48,703.75K,-1,HAS,0.28526149,-1.011575764,-2.285361334,27,11,2017
24-Nov-17,94.65,95.31,95.46,94.59,294.01K,-0.4,HAS,0.294643797,-0.615224192,0.400294954,24,11,2017
22-Nov-17,95.03,95.17,95.53,94.83,471.77K,-0.02,HAS,0.126249342,0.443271768,0.815677966,22,11,2017
21-Nov-17,95.05,95.68,96.1,94.88,717.51K,0.03,HAS,0.694590613,-0.312565118,2.925989673,21,11,2017
20-Nov-17,95.02,95.54,95.97,94.46,966.87K,-0.91,HAS,-0.365001564,-1.332231746,6.451253482,20,11,2017
17-Nov-17,95.89,96.07,96.9,95.7,1.08M,-0.01,HAS,0.177267987,5.051940951,-2.159079336,17,11,2017
16-Nov-17,95.9,93.91,96.33,93.5,967.25K,1.21,HAS,-0.886543536,5.885669185,-2.855073963,16,11,2017
15-Nov-17,94.75,95.6,95.89,94.02,1.42M,-1.28,HAS,-0.395915816,7.40366251,-1.157981803,15,11,2017
14-Nov-17,95.98,96.22,97.3,95.64,2.38M,-0.88,HAS,-0.629970051,7.041940149,-0.352112676,14,11,2017
13-Nov-17,96.83,94.75,99.17,94.75,5.59M,5.88,HAS,3.608529251,4.109438523,-2.450324308,13,11,2017
10-Nov-17,91.45,88.83,91.59,88.76,1.42M,3.11,HAS,0.157853197,-2.050942772,-8.062512937,10,11,2017
9-Nov-17,88.69,88.32,89.89,87.92,1.64M,-0.36,HAS,-0.775193798,-1.439571476,-8.571428571,9,11,2017
8-Nov-17,89.01,89.82,89.9,88.21,1.63M,-0.98,HAS,-0.077872956,-0.718470211,-7.028257944,8,11,2017
7-Nov-17,89.89,90.76,91.13,89.16,1.36M,-1.23,HAS,-0.274695088,-1.976455341,-5.645077451,7,11,2017
6-Nov-17,91.01,90.67,91.26,90.35,704.53K,0.35,HAS,-0.022053148,-5.027757411,-6.158145312,6,11,2017
3-Nov-17,90.69,89.15,91.01,89.1,1.07M,1.21,HAS,-0.513335565,-8.225241919,-7.386245585,3,11,2017
2-Nov-17,89.61,91.07,91.1,89.29,1.40M,-0.95,HAS,0.663203272,-4.066154008,-5.705114931,2,11,2017
1-Nov-17,90.47,92.9,93.33,90.32,1.85M,-2.29,HAS,0.334809375,-1.588983051,-4.893529894,1,11,2017
31-Oct-17,92.59,94.65,94.75,92.19,1.94M,-3.02,HAS,-0.858908558,1.817986231,-2.992723173,31,10,2017
30-Oct-17,95.47,96.96,96.96,95.4,2.13M,-1.72,HAS,-0.185299568,8.033426184,-0.706605223,30,10,2017
27-Oct-17,97.14,94.85,97.3,94,2.58M,2.33,HAS,-0.084272622,-3.401568388,-2.887273472,27,10,2017
26-Oct-17,94.93,94.94,95.46,94.23,2.01M,0.56,HAS,0.572033898,-1.789593462,-2.133800639,26,10,2017
25-Oct-17,94.4,92.88,94.44,92.6,2.73M,1.55,HAS,-0.08605852,-3.970223325,-4.405104981,25,10,2017
24-Oct-17,92.96,91.67,93.99,91.5,4.44M,3.58,HAS,2.139275766,-5.064208782,-5.902278793,24,10,2017
23-Oct-17,89.75,92.69,93.44,88.66,7.22M,-8.6,HAS,-5.60138507,-4.571193246,-4.047619048,23,10,2017
20-Oct-17,98.19,97.32,98.93,97.1,2.27M,1.57,HAS,0.672390607,0.724487684,1.227376742,20,10,2017
19-Oct-17,96.67,96.67,97.04,96.13,876.53K,-0.05,HAS,-0.051695616,0.072463768,1.929565584,19,10,2017
18-Oct-17,96.72,96.51,96.93,96.3,821.68K,0.17,HAS,-0.051781276,-0.103508954,1.036432161,18,10,2017
17-Oct-17,96.56,97.28,97.28,96.36,1.51M,-0.59,HAS,0.154432204,1.133173927,2.410780082,17,10,2017
16-Oct-17,97.13,96.6,97.25,96.3,1.26M,0.53,HAS,-0.020699648,-0.020699648,3.603603604,16,10,2017
13-Oct-17,96.62,97.17,97.77,96.52,967.88K,0.02,HAS,0.590062112,0.945356327,2.456769296,13,10,2017
12-Oct-17,96.6,96.44,96.97,96.22,798.48K,-0.01,HAS,-0.175965221,-0.144957548,1.441043442,12,10,2017
11-Oct-17,96.61,95.9,96.83,95.9,908.76K,0.44,HAS,-0.301486641,-1.822276822,-0.062526053,11,10,2017
10-Oct-17,96.19,96.53,96.89,96.08,644.16K,-0.45,HAS,-0.093148416,-1.065901404,1.696165192,10,10,2017
9-Oct-17,96.62,96.5,97.26,96.12,628.01K,0.37,HAS,0.249324745,-1.177675371,0.730688935,9,10,2017
6-Oct-17,96.26,96.39,96.42,95.53,1.33M,-0.33,HAS,-0.196728101,-1.310535477,2.444468062,6,10,2017
5-Oct-17,96.58,97.94,98.58,96.49,1.38M,-1.13,HAS,0.266175266,0.958664055,5.686845797,5,10,2017
4-Oct-17,97.68,97.52,97.95,97.09,711.91K,0.11,HAS,-0.05124526,0.370522849,4.121289772,4,10,2017
3-Oct-17,97.57,97.72,98.07,96.88,1.05M,-0.08,HAS,0.071684588,0.30794498,2.30318258,3,10,2017
2-Oct-17,97.65,97.35,97.74,96.75,1.02M,-0.02,HAS,-0.327633869,0.776397516,-1.006711409,2,10,2017
29-Sep-17,97.67,97,97.87,96.82,934.14K,0.68,HAS,-0.010308216,0.894528812,-1.272264631,29,9,2017
28-Sep-17,97.01,96.95,97.46,96.15,1.03M,-0.15,HAS,-0.216138329,2.224799663,1.752728799,28,9,2017
27-Sep-17,97.16,97.61,97.75,96.77,891.46K,-0.27,HAS,0.195031821,2.188023451,2.931561742,27,9,2017
26-Sep-17,97.42,97.04,97.69,96.7,907.28K,0.85,HAS,0.455486542,2.158121908,2.546761069,26,9,2017
25-Sep-17,96.6,96.17,97.05,95.5,1.16M,0.48,HAS,0.031204493,3.142428142,1.018907563,25,9,2017
22-Sep-17,96.14,95,96.43,94.73,1.55M,1.37,HAS,0.168705188,0.168705188,-0.052603893,22,9,2017
21-Sep-17,94.84,95.54,95.66,94.35,1.71M,-0.71,HAS,0.020938023,0.494372568,1.724872232,21,9,2017
20-Sep-17,95.52,95.6,95.6,94.22,1.30M,0.56,HAS,0.64217286,-0.375156315,1.110523533,20,9,2017
19-Sep-17,94.99,93.04,96.88,92.91,1.96M,1.88,HAS,-0.214500215,-1.980615255,-1.897933361,19,9,2017
18-Sep-17,93.24,95.17,95.61,92.36,1.80M,-1.69,HAS,0.34795445,-0.657620042,-0.355983667,18,9,2017
15-Sep-17,94.84,95.02,95.95,94.66,1.45M,-0.24,HAS,-0.052592826,0.988415347,-2.202552491,15,9,2017
14-Sep-17,95.07,95.38,95.93,94.64,880.91K,-0.93,HAS,-0.604418508,2.924355239,-3.617623282,14,9,2017
13-Sep-17,95.96,94.65,96.08,94.52,658.08K,1.1,HAS,-0.284450063,1.057014734,-3.742499746,13,9,2017
12-Sep-17,94.92,95.94,96.2,94.44,1.68M,-0.92,HAS,0.146137787,0.439698492,-2.341205212,12,9,2017
11-Sep-17,95.8,94.98,96.53,94.57,1.64M,1.82,HAS,0.945902859,-3.416717511,-2.634546386,11,9,2017
8-Sep-17,94.09,92.43,94.38,91.56,1.36M,1.53,HAS,-0.25898349,-5.923664122,-5.51012063,8,9,2017
7-Sep-17,92.67,93.65,94.2,92.37,1.40M,-1.06,HAS,-0.010676917,-1.710747271,-6.35,7,9,2017
6-Sep-17,93.66,95.65,95.84,92.15,3.34M,-1.95,HAS,0.136097152,0.864705262,-5.698511289,6,9,2017
5-Sep-17,95.52,97.37,97.46,95.16,1.38M,-2.87,HAS,-0.986373805,2.895487689,-5.484371967,5,9,2017
1-Sep-17,98.34,98.45,99.09,97.81,1.07M,0.09,HAS,0.203562341,3.413865546,-4.870035752,1,9,2017
31-Aug-17,98.25,96,98.31,95.94,1.69M,3.12,HAS,0.755667506,0.999473961,-7.639022513,31,8,2017
30-Aug-17,95.28,94.96,95.65,94.52,1.12M,0.47,HAS,0.13708742,1.107325383,-9.363367376,30,8,2017
29-Aug-17,94.83,94.37,95.23,94.32,1.16M,0.21,HAS,-0.274754306,-0.190375463,-10.92968381,29,8,2017
28-Aug-17,94.63,95.29,95.45,94.48,1.09M,-0.6,HAS,0.094537815,0.47448334,-10.00188893,28,8,2017
25-Aug-17,95.2,95.28,96.06,95.08,988.24K,0.16,HAS,0.241977906,-0.24081248,-9.892188387,25,8,2017
24-Aug-17,95.05,94.17,95.4,94.06,1.82M,1.2,HAS,0.266183986,-3.077398106,-11.69354839,24,8,2017
23-Aug-17,93.92,94.59,94.59,93.73,1.62M,-0.67,HAS,0.042305658,-4.415925627,-10.84825636,23,8,2017
22-Aug-17,94.55,95,95.14,94.39,2.23M,-0.31,HAS,0.168705188,-3.386555476,-10.64710309,22,8,2017
21-Aug-17,94.84,95.55,95.66,94.66,1.73M,-0.7,HAS,0.041880431,-2.738192182,-9,21,8,2017
18-Aug-17,95.51,96.73,96.91,95.12,1.40M,-1.7,HAS,-0.442568958,-0.840594567,-16.57611039,18,8,2017
17-Aug-17,97.16,98.64,99.03,97.12,835.14K,-1.82,HAS,-0.323362975,0.838274382,-14.15143603,17,8,2017
16-Aug-17,98.96,98.25,99.6,98.12,882.56K,0.64,HAS,-0.08135869,-1.75,-13.84601894,16,8,2017
15-Aug-17,98.33,98.29,98.66,97.75,907.34K,0.09,HAS,0.050895765,-3.095731046,-13.32451499,15,8,2017
14-Aug-17,98.24,98.48,99,98,943.15K,0.71,HAS,0.953357253,-4.406911279,-12.72598369,14,8,2017
11-Aug-17,97.55,97.99,98.36,97.07,1.52M,-0.28,HAS,0.173788591,-5.314523142,-13.39048966,11,8,2017
10-Aug-17,97.82,99.56,99.97,97.68,1.22M,-2.18,HAS,-0.44,-4.213969598,-10.90030428,10,8,2017
9-Aug-17,100,101,101.05,99.75,1.58M,-1.41,HAS,-0.423937691,-3.598358309,-10.59573338,9,8,2017
8-Aug-17,101.43,102.99,103.36,101.25,1.18M,-1.54,HAS,-0.029120559,-2.793770647,-8.290293856,8,8,2017
7-Aug-17,103.02,103.65,103.86,102.92,825.20K,-0.45,HAS,0.15460431,-2.106157915,-7.562650495,7,8,2017
4-Aug-17,103.49,104.3,104.32,102.84,1.00M,-0.43,HAS,0.346353666,-1.361830906,-6.816760475,4,8,2017
3-Aug-17,103.94,105.13,105.72,103.41,1.01M,-0.79,HAS,0.343609812,-1.415978995,-5.390568754,3,8,2017
2-Aug-17,104.77,105.5,106.54,103.26,1.54M,-1.11,HAS,-0.424728646,-0.565504241,-5.803571429,2,8,2017
1-Aug-17,105.95,106.08,106.8,105.53,1.21M,0.07,HAS,0.188893087,-0.225733634,-4.208054903,1,8,2017
31-Jul-17,105.88,105.7,106,105.2,1.34M,0.13,HAS,-0.037828636,0.666666667,-5.210295041,31,7,2017
28-Jul-17,105.74,106.08,106.25,105.16,1.31M,-0.84,HAS,-0.525131283,-8.51228978,-3.61620934,28,7,2017
